<<<<<<< HEAD
﻿n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model,remove_multicoli,balancing_sampling_technique,Model,accuracy,f1,precision,recall
223,3s,MICE,nothing,Yes,SMOTE,RF,0.9140,0.3415,0.3500,0.3333
223,nothing,MICE,nothing,Yes,SMOTE,RF,0.9140,0.3415,0.3500,0.3333
226,nothing,knn__uniform,nothing,Yes,SMOTE,RF,0.8981,0.3043,0.2800,0.3333
10,NaN,knn__uniform,BoS__shap,Yes,SMOTEENN,NN,0.8631,0.3385,0.2500,0.5238
11,3s,MICE,BoS__shap,Yes,SMOTE,RF,0.8471,0.3514,0.2453,0.6190
24,NaN,knn__distance,RFE__RF,Yes,ROSE,RF,0.8439,0.3467,0.2407,0.6190
24,3s,knn__distance,RFE__RF,Yes,ADASYN,RF,0.8694,0.3051,0.2368,0.4286
23,3s,knn__uniform,RFE__RF_30,Yes,ROSE,RF,0.8535,0.3235,0.2340,0.5238
225,3s,knn__uniform,nothing,Yes,SMOTE,RF,0.8885,0.2553,0.2308,0.2857
25,NaN,knn__uniform,RFE__RF,Yes,SMOTEENN,NN,0.9108,0.1765,0.2308,0.1429
8,3s,knn__uniform,BoS__gini,Yes,SMOTEENN,LR,0.8503,0.3188,0.2292,0.5238
14,3s,knn__distance,BoS__shap,Yes,ADASYN,RF,0.8408,0.3243,0.2264,0.5714
15,3s,MICE,BoS__shap,Yes,ADASYN,RF,0.8376,0.3200,0.2222,0.5714
31,3s,knn__uniform,RFE__RF,No,ROSE,RF,0.8535,0.3030,0.2222,0.4762
31,3s,knn__uniform,RFE__SVM,No,ROSE,RF,0.8599,0.2903,0.2195,0.4286
14,3s,knn__distance,BoS__shap,Yes,SMOTE,RF,0.8344,0.3158,0.2182,0.5714
9,3s,knn__uniform,BoS__gini,Yes,SMOTEENN,RF,0.8217,0.3171,0.2131,0.6190
24,3s,MICE,RFE__RF_30,Yes,ROSE,RF,0.8981,0.2000,0.2105,0.1905
6,NaN,knn__uniform,BoS__shap,Yes,SMOTE,NN,0.8439,0.2899,0.2083,0.4762
10,3s,knn__uniform,BoS__shap,Yes,SMOTE,RF,0.8248,0.3038,0.2069,0.5714
26,NaN,knn__uniform,RFE__RF,Yes,ROSE,RF,0.8121,0.3059,0.2031,0.6190
