n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model_new,FS_classifier_model,remove_multicoli,balancing_sampling_technique,Model,combination,accuracy,precision,recall,auc,log_loss_,cohen_kappa_score_,accuracy_train,ision_train,recall_train,auc_train
223,3s,MICE,nothing,nothing,Yes,SMOTE,RF,3s & MICE & nothing & SMOTE & RF,0.914,0.35,0.3333,0.6445,2.9699,0.2955,0.9778,0.9612,0.9957,0.9778
223,nothing,MICE,nothing,nothing,Yes,SMOTE,RF,nothing & MICE & nothing & SMOTE & RF,0.914,0.35,0.3333,0.6445,2.9699,0.2955,0.9778,0.9612,0.9957,0.9778
226,nothing,knn__uniform,nothing,nothing,Yes,SMOTE,RF,nothing & knn__uniform & nothing & SMOTE & RF,0.8981,0.28,0.3333,0.6359,3.5199,0.2498,0.9761,0.9588,0.9949,0.9761
10,with_NaN,knn__uniform,BoS__shap,BoS__shap,Yes,SMOTEENN,NN,NaN & knn__uniform & BoS__shap & SMOTEENN & NN,0.8631,0.25,0.5238,0.7056,4.7299,0.2726,0.7167,0.9045,0.5675,0.7432
11,3s,MICE,BoS__shap,BoS__shap,Yes,SMOTE,RF,3s & MICE & BoS__shap & SMOTE & RF,0.8471,0.2453,0.619,0.7413,5.2799,0.2826,0.8607,0.8465,0.8812,0.8607
24,with_NaN,knn__distance,RFE__RF,RFE__RF,Yes,ROSE,RF,NaN & knn__distance & RFE__RF & ROSE & RF,0.8439,0.2407,0.619,0.7396,5.3899,0.277,0.8897,0.923,0.8504,0.8897
24,3s,knn__distance,RFE__RF,RFE__RF,Yes,ADASYN,RF,3s & knn__distance & RFE__RF & ADASYN & RF,0.8694,0.2368,0.4286,0.6648,4.5099,0.2396,0.932,0.8952,0.9775,0.9323
23,3s,knn__uniform,RFE__RF,RFE__RF_30,Yes,ROSE,RF,3s & knn__uniform & RFE__RF & ROSE & RF,0.8535,0.234,0.5238,0.7005,5.0599,0.2546,0.9034,0.9184,0.8855,0.9034
25,with_NaN,knn__uniform,RFE__RF,RFE__RF,Yes,SMOTEENN,NN,NaN & knn__uniform & RFE__RF & SMOTEENN & NN,0.9108,0.2308,0.1429,0.5544,3.0799,0.1321,0.4755,0.8636,0.1238,0.5481
225,3s,knn__uniform,nothing,nothing,Yes,SMOTE,RF,3s & knn__uniform & nothing & SMOTE & RF,0.8885,0.2308,0.2857,0.6087,3.8499,0.1958,0.9761,0.9588,0.9949,0.9761
14,3s,knn__distance,BoS__shap,BoS__shap,Yes,ADASYN,RF,3s & knn__distance & BoS__shap & ADASYN & RF,0.8408,0.2264,0.5714,0.7157,5.4999,0.2527,0.8658,0.845,0.8929,0.8661
31,3s,knn__uniform,RFE__RF,RFE__RF,No,ROSE,RF,3s & knn__uniform & RFE__RF & ROSE & RF,0.8535,0.2222,0.4762,0.6784,5.0599,0.2331,0.8974,0.9115,0.8803,0.8974
15,3s,MICE,BoS__shap,BoS__shap,Yes,ADASYN,RF,3s & MICE & BoS__shap & ADASYN & RF,0.8376,0.2222,0.5714,0.714,5.6099,0.2475,0.8638,0.8549,0.8748,0.8639
31,3s,knn__uniform,RFE__SVM,RFE__SVM,No,ROSE,RF,3s & knn__uniform & RFE__SVM & ROSE & RF,0.8599,0.2195,0.4286,0.6597,4.8399,0.2215,0.8855,0.9107,0.8547,0.8855
14,3s,knn__distance,BoS__shap,BoS__shap,Yes,SMOTE,RF,3s & knn__distance & BoS__shap & SMOTE & RF,0.8344,0.2182,0.5714,0.7123,5.7199,0.2425,0.8718,0.8491,0.9043,0.8718
