,feature_133,feature_342,feature_206,feature_60,feature_563,feature_442,feature_66,feature_148,feature_349,feature_124,feature_478,feature_332
0,2.3766,2.6547,9.22,0.6990999999999997,267.07,0.9639,23.2216,0.0173,0.0237,15.83,6.026599999999999,0.07909999999999999
1,2.3805,2.0989,7.31,-1.4172999999999996,250.08400000000003,0.8427,27.2716,0.014,0.027199999999999995,15.75,4.8218,0.10709999999999999
2,2.3244,2.5012,8.8,10.2355,264.272,0.9192999999999999,14.7061,0.0189,0.0163,15.69,6.1589,0.0852
3,2.3725,2.4329,7.77,9.851799999999999,263.3847162245573,0.7158,36.0791,0.0267,0.03,15.81,5.0612,0.09849999999999999
4,2.3401,3.2653000000000003,11.06,1.0336000000000005,254.42675499117036,1.1255,24.3057,0.0106,0.024299999999999995,15.94,7.4828,0.08169999999999998
5,2.2797,2.2442,6.26,3.6809,264.272,0.4782,19.1189,0.0069,0.0205,15.86,4.1813,0.0318
6,2.2864,2.5551,8.8,2.810899999999999,264.272,0.656,22.206400000000002,0.0251,0.0245,15.79,5.9339,0.0752
7,2.3080999999999996,2.0185999999999997,5.24,1.5035999999999998,264.272,0.9319999999999999,25.3099,0.0189,0.0174,15.69,3.5466,0.08630000000000002
8,2.2592,3.7663,13.3,23.8245,267.064,1.2771,24.2829,0.0221,0.0105,15.94,9.1221,0.0243
9,2.2877,1.6033,5.1,1.5744999999999987,264.272,0.5317,21.0974,0.0132,0.02235773958712852,15.91,3.3971,0.0975
10,2.212,2.4674,6.99,2.9281999999999986,272.796,0.565,23.905,0.0144,0.0339,15.98,4.7353,0.0824
11,2.2773,2.3933,7.32,5.4991,265.306,0.9361,17.5983,0.021400000000000002,0.0172,15.97,5.2686,0.0807
12,2.2959,3.1731,9.69,-2.502699999999999,270.44,0.9174999999999999,32.7483,0.0241,0.0198,15.73,6.8676,0.0368
13,2.3322999999999996,3.2260999999999997,10.32,0.3399999999999998,251.616,0.7316,22.3647,0.0092,0.011599999999999997,15.98,7.0359,0.0929
14,2.2673999999999994,3.0013,10.11,4.1691,256.842,0.8531999999999998,22.3694,0.008,0.0225,15.84,6.8146,0.0311
15,2.2564,1.547,4.12,-3.7400000000000007,258.924,0.7032,29.142899999999997,0.0159,0.0236,15.81,2.7876,0.0892
16,2.2784,3.4612771055499656,12.695039662606263,2.5434505209656164,249.918,0.7139,29.395438213169957,0.0096,0.0148,15.89,8.559091064194122,0.0909
17,2.3735000000000004,3.8318,13.53,1.9481999999999995,261.168,0.8222,45.3921,0.0262,0.0381,15.8,9.1675,0.09400000000000001
18,2.1911,1.5118,4.95,8.1455,264.272,0.6144,15.0471,0.0055,0.0253,16.1,3.4324,0.1011
19,2.3499,4.0309,14.74,4.955500000000001,269.366,0.9383,22.165900000000004,0.028600000000000004,0.0184,15.61,9.9444,0.0622
20,2.2928,2.9030000000000005,9.02,9.1882,261.7029254469369,0.5593,37.258,0.0262,0.014,15.91,5.9269,0.0968
21,2.3146,4.8332,14.910000000000002,2.2855000000000003,264.272,0.5836,21.7095,0.0203,0.0162,15.7,10.1458,0.0954
22,2.3386,3.4032,11.18,0.6190999999999988,251.02999999999997,0.78,23.1287,0.0102,0.0229,15.81,7.5571,0.0929
23,2.272,1.5594,4.95,-3.7509,264.272,0.6373,30.759299999999996,0.0157,0.0209,15.75,3.369,0.1043
24,2.2802,2.5103,7.04,4.911799999999999,264.272,0.7655,19.2834,0.0088,0.015399999999999999,15.8,4.8707,0.08500000000000002
25,2.3121999999999994,2.9003,8.33,0.11999999999999862,263.02,0.9964999999999999,27.2876,0.0223,0.024099999999999996,15.87,5.817,0.0883
26,2.2728,1.9382999999999997,5.14,1.8172999999999986,265.908,0.7928,24.3905,0.0257,0.044500000000000005,15.99,3.4949,0.0848
27,2.2474,1.8276,6.01,2.7927,253.314,0.7233,21.2465,0.0112,0.0245,15.92,3.9522,0.0911
28,2.3216,4.1816,13.41,2.1109000000000004,261.3599404321589,0.6667,26.2754,0.0246,0.0177,15.89,8.8016,0.0778
29,2.4241,1.7377999999999998,5.5,-4.410900000000001,264.272,0.6641,29.808999999999997,0.008,0.0199,15.88,3.706,0.0842
30,2.3684,2.9373,10.22,8.913599999999997,260.674,0.7584,41.2374,0.0189,0.0373,15.77,7.1799,0.0224
31,2.2937,2.9181,9.35,-2.0764000000000014,256.53641626829256,1.1255,30.491399999999995,0.0059,0.0278,15.98,6.11,0.0652
