,feature_54,feature_57,feature_60,feature_61,feature_63,feature_64,feature_73,feature_74,feature_88,feature_100,feature_112,feature_116,feature_118,feature_123,feature_127,feature_133,feature_134,feature_217,feature_253,feature_300,feature_337,feature_355,feature_391,feature_436,feature_478,feature_489,feature_525,feature_578,feature_579,feature_589,feature_590
0,4.645,0.9202,0.6991000000000007,363.0018,121.4118,5.9553,120.64426922015059,475.1448237914011,0.9888,0.03909999999999999,232.13534,785.5426,59.266200000000005,2.932,2.813,2.3766,1001.2553,0.076,3.763,0.05739999999999999,10.0329,0.04130000000000001,0.9877999999999999,6.425700000000001,6.0266,472.0497,6.3493,24.5741,0.0282,0.0059,68.7444
1,4.599,0.9353999999999999,9.851800000000003,346.5818,99.0464,20.3227,145.69374,466.1897,0.9866,-0.024199999999999992,231.08244000000002,705.2765,58.28309999999999,2.88,2.749,2.3725,1001.4222,0.0794,2.5391,0.0728,8.0615,0.0361,0.7167,7.373,5.0612,498.5871,4.3565,12.0929,0.0284,0.0037999999999999996,49.749
2,4.627,0.9228,3.6808999999999994,363.72450000000003,111.31,7.533999999999999,157.4775,467.2697,0.9908,0.048399999999999985,231.25462,711.4945,60.9507,2.84,3.064,2.2797,1008.4892,0.036800000000000006,2.7488,0.056900000000000006,7.9101,0.0169,0.8003,6.1738,4.1813,59.1402,4.51,14.448000000000002,0.02136,0.0097,72.6469
3,4.555,0.9319000000000001,2.8109,346.36549999999994,115.85640000000001,10.9182,149.95247999999998,466.6197,0.9918,0.031599999999999996,231.1908,777.1425,58.907599999999995,3.082,2.789,2.2864,1001.4681999999999,0.0884,1.5500999999999998,0.0337,9.564999999999998,0.04639999999999999,0.5143,3.8351000000000006,5.9339,367.1859,2.6315,12.6982,0.01952,0.0017,31.0252
4,4.513,0.9295000000000001,1.5744999999999991,345.4982,120.8682,8.4647,154.25686,465.10859999999997,0.9914,0.023300000000000008,233.7235,826.7217,59.976400000000005,1.671,2.7830000000000004,2.2877,1015.7622,0.09692,2.4154,0.0961,11.8301,0.05066,0.7389,10.5716,3.3971,273.04304,4.0272,17.8379,0.0235,0.0098,117.0945
5,4.621,0.9326999999999999,2.9282000000000017,352.1582,122.1618,9.5985,156.4302,465.5035,0.9885,-0.017699999999999994,229.0942,681.0370999999999,55.9011,4.269,2.58,2.212,1009.9953,0.0331,1.9166,0.0428,8.5805,0.014700000000000001,0.7367,5.1806,4.7353,39.4165,3.4285,17.0809,0.021619999999999997,0.0030999999999999995,41.078199999999995
6,4.601,0.9185,4.169099999999998,366.04179999999997,123.0982,11.6023,161.12367999999998,466.46886,0.9878,0.0055999999999999965,234.1616,725.1428,59.6793,4.029,2.654,2.2673999999999994,1006.0044,0.1133,3.1896999999999993,0.0444,10.0258,0.0535,1.0085,4.7643,6.8146,675.4098,5.3448,12.6938,0.02802,0.004,44.0961
7,4.612,0.9337,-3.740000000000001,350.1046,110.21909999999997,12.9827,151.92875999999998,464.86670000000004,0.9658000000000001,-0.04000000000000001,231.23842000000002,762.0218,56.7784,6.3549999999999995,2.389,2.2564,1013.7167,0.0698,4.6880999999999995,0.0171,10.0281,0.0295,1.2897,2.0518,2.7876,204.5421,8.2568,31.623427689746684,0.024959999999999996,0.0035,62.0056
8,4.618,0.935,4.955499999999998,352.4009,112.25450000000001,16.6,145.9557,466.9243,0.9702000000000001,-0.031599999999999996,231.61432,691.3175,58.7458,4.4399999999999995,2.511,2.3499,986.0991,0.0998,3.2515,0.09880558256882387,8.8046,0.0512,1.0225,11.108911496836551,9.9444,710.3203,5.5349,16.6894,0.02546,0.0071,187.0796
9,4.6,0.9314,0.6191000000000009,354.3218,108.6945,12.7122,148.7488,462.2075,0.9894999999999999,-0.09110000000000001,230.65692,742.3405000000001,58.4837,3.562,2.452,2.3386,994.2346,0.0548,3.3558,0.0522,11.5569,0.0286,1.0884,5.4563,7.5571,212.4031,5.7379,10.3164,0.01904,0.0115,119.9899
10,4.569,0.9304,-3.7508999999999997,352.8682,116.1836,14.734500000000002,152.28558,466.75698,0.9878,0.027899999999999994,230.5237,710.5846,59.3419,5.97,2.658,2.272,998.8077,0.09149999999999998,3.7833,0.0648,9.9534,0.0473,1.1093,6.776300000000001,3.369,450.7389,6.3754,16.7005,0.029200000000000004,0.0073999999999999995,45.7019
11,4.584,0.9314,4.911799999999999,350.5764,107.1627,12.68,151.23293999999999,467.15144000000004,0.9896,-0.0027999999999999982,233.3418,782.5507,57.186899999999994,3.235,2.7830000000000004,2.2802,998.0122,0.0702,1.6717,0.0839,9.5915,0.038500000000000006,0.5007,8.5266,4.8707,450.7223,2.9233,10.5084,0.02614,0.0037999999999999996,114.2878
12,4.668,0.9267,0.1200000000000012,364.0564,126.6509,11.5491,166.6559,467.2523,0.9903,-0.0372,232.51384000000002,804.2368,58.6908,3.15,2.582,2.3121999999999994,1006.4594000000001,0.1087,3.447,0.0052,9.1303,0.0517,1.1569,0.5474,5.817,351.4956,5.8732,9.9804,0.0175,0.0023,34.4153
13,4.583,0.9308,2.792699999999999,351.7582,122.9182,9.7528,157.4439,469.3006,0.9829,0.0828,230.9354,815.9082,58.36010000000001,4.207,2.553,2.2474,1009.5254,0.0483,1.7920000000000003,0.0327,8.674,0.0216,0.5391,3.9705,3.9522,106.7403,3.0706,12.5176,0.02564,0.0053,91.4264
