,feature_148,feature_206,feature_342,feature_461,feature_133,feature_299,feature_34,feature_60,feature_349,feature_442,feature_22,feature_118,feature_478,feature_65,feature_435,feature_66,feature_124,feature_164,feature_332
0,0.017300000000000003,9.22,2.6547,14.7554,2.3766,0.0595,8.6915,0.6991000000000006,0.023699999999999995,0.9639,-4750.75,59.266200000000005,6.0266,19.3009,9.9805,23.2216,15.83,0.128,0.07909999999999999
1,0.014,7.31,2.0989,12.157,2.3805,0.0662,8.3006,-1.4173,0.0272,0.8427,-5410.75,58.7063,4.821799999999999,21.4173,12.5349,27.2716,15.749999999999998,0.157,0.1071
2,0.0189,8.8,2.5012,21.1169,2.3244,0.0519,8.7418,10.235500000000004,0.0163,0.9192999999999999,-6456.75,55.8504,6.1589,9.7645,12.8413,14.7061,15.69,0.127,0.0852
3,0.0106,11.06,3.2653,23.1457,2.3401,0.0505,8.5891,1.0335999999999999,0.0243,1.1255,-6900.5,58.026199999999996,7.4828,18.9664,11.1054,24.3057,15.94,0.108,0.0817
4,0.025100000000000008,8.8,2.5551,31.3174,2.2864,0.0655,8.9132,2.810899999999999,0.0245,0.656,-5408.75,58.90760000000001,5.9339,17.1891,11.5102,22.2064,15.79,0.149,0.07520000000000002
5,0.0189,5.24,2.0186,23.5649,2.3080999999999996,0.0867,8.3383,1.5035999999999998,0.0174,0.9319999999999999,-5095.0,58.282000000000004,3.5465999999999998,18.4964,14.685199999999998,25.3099,15.69,0.193,0.0863
6,0.0144,6.99,2.4674,13.0192,2.212,0.10989999999999998,9.534,2.9282,0.033900000000000007,0.565,-5345.25,55.9011,4.735299999999999,17.0718,18.972,23.905,15.98,0.251,0.0824
7,0.024100000000000003,9.69,3.1731,33.2053,2.2959,0.0266,8.1605,-2.5027,0.0198,0.9174999999999999,-6623.75,56.3776,6.8676,22.5027,5.9122,32.7483,15.73,0.064,0.036800000000000006
8,0.0092,10.32,3.2261,30.5482,2.3322999999999996,0.0486,8.8043,0.3400000000000009,0.0116,0.7316,-5416.0,59.0911,7.0359,19.66,8.9372,22.3647,15.98,0.115,0.0929
9,0.008,10.11,3.0013,24.061800000000005,2.2673999999999994,0.0607,8.7556,4.1690999999999985,0.0225,0.8531999999999998,-5187.25,59.67929999999999,6.8145999999999995,15.830900000000002,10.058300000000001,22.3694,15.84,0.138,0.0311
10,0.0096,9.256285640024425,2.7174918012848814,44.9213,2.2784,0.0536,9.131,2.2763599999999964,0.0148,0.7139,-5334.75,59.095800000000004,6.3422069272196495,17.72364,8.919,24.68546,15.89,0.112,0.0909
11,0.0286,14.740000000000002,4.0309,14.845300000000002,2.3499,0.13750336952302658,8.441,4.955499999999999,0.0184,0.9383,-4159.573159036706,58.7458,9.9444,15.0445,38.235678500851506,22.1659,15.61,0.3021990244762846,0.0622
12,0.0203,14.91,4.8332,16.8406,2.3146,0.0166,8.6706,2.285499999999999,0.0162,0.5836,-6257.5,59.54270000000001,10.1458,17.7145,2.7860999999999994,21.7095,15.7,0.035,0.0954
13,0.0157,4.95,1.5594,21.7993,2.272,0.071,8.8581,-3.750899999999999,0.0209,0.6373,-5720.25,59.3419,3.369,23.7509,13.1301,30.7593,15.749999999999998,0.16799999999999998,0.1043
14,0.0223,8.33,2.9003,31.398699999999998,2.3121999999999994,0.0601,8.6397,0.1199999999999987,0.0241,0.9964999999999999,-5434.0,58.6908,5.817000000000001,19.88,9.9237,27.2876,15.87,0.13,0.0883
15,0.0112,6.01,1.8276000000000001,19.1756,2.2474,0.0643,8.2345,2.792699999999999,0.0245,0.7233,-5419.75,58.36010000000001,3.9522,17.2073,10.9953,21.2465,15.920000000000002,0.145,0.0911
16,0.008,5.5,1.7378,32.6596,2.4241,0.1043,8.6544,-4.4109,0.0199,0.6641,-5341.25,59.4322,3.706,24.4109,16.4288,29.809,15.88,0.213,0.0842
17,0.0189,10.22,2.9373,53.5488,2.3684,0.0254,10.237029652516307,8.9136,0.03730000000000001,0.7584,-5474.25,59.0911,7.1799,31.086399999999998,4.7491,41.2374,15.77,0.062,0.0224
18,0.0059,9.35,2.9181000000000004,33.3826,2.2937,0.0587,8.5891,-2.076399999999999,0.0278,1.1255,-6305.25,59.0644,6.11,22.0764,14.5455,30.4914,15.98,0.142,0.0652
19,0.0163,8.84,2.476,56.318,2.2757,0.0286,8.287,0.5518000000000012,0.0273,1.0541,-5639.75,55.43999999999999,6.0246,19.4482,4.7256,22.9635,15.86,0.062,0.0875
20,0.0137,4.38,1.4554,22.4105,2.2658,0.0816,8.5851,-0.9364000000000005,0.017,0.442,-5977.250000000001,58.225699999999996,2.9235,20.9364,14.3617,26.269100000000005,15.77,0.189,0.08390000000000002
