,feature_1,feature_17,feature_20,feature_22,feature_32,feature_34,feature_60,feature_66,feature_92,feature_103,feature_116,feature_122,feature_125,feature_130,feature_131,feature_134,feature_153,feature_154,feature_206,feature_248,feature_300,feature_337,feature_342,feature_385,feature_424,feature_427,feature_456,feature_461,feature_478,feature_511,feature_582
0,3079.77,9.859,12.3686,-4750.75,3.3618,8.6915,0.6990999999999986,23.2216,-0.1835,0.08109999999999999,785.5426,15.76,15.820000000000002,0.0,0.8203,1001.2553,0.2848,0.012699999999999998,9.22,0.015199999999999998,0.05739999999999999,10.0329,2.6547,1.1153600000000001,81.7554,1.3155,4.9135,14.755400000000002,6.0266,84.9279,68.7444
1,3001.36,10.671,12.4959,-5410.75,3.3499999999999996,8.3006,-1.4173000000000004,27.2716,0.016699999999999996,-0.0346,672.3211,15.76,15.73,0.2837999999999999,0.8291,1002.2324,0.308,0.0065,7.3100000000000005,0.03414,0.0477,13.2427,2.0989,1.12918,71.91940000000001,0.6593000000000001,2.9723999999999995,12.157,4.8218,25.2308,44.5901
2,3042.78,9.8446,12.5553,-6456.75,4.6781,8.7418,10.235500000000002,14.706100000000001,-0.031599999999999996,-0.0563,751.7695,15.65,15.689999999999998,-0.2837999999999999,0.5438,989.4793,0.21320000000000003,0.014799999999999999,8.8,0.0345,0.0335,11.0695,2.5012,0.8952600000000001,58.0425,1.5403,4.964,21.1169,6.1589,46.2963,81.03254
3,3028.08,9.4578,12.5967,-5345.25,3.3061,9.534,2.9281999999999995,23.905,0.01929999999999998,-0.03740000000000001,681.0371,15.95,16.01,0.5203999999999996,0.6778,1009.9953,0.7795,0.013,6.990000000000001,0.03646,0.0428,8.5805,2.4674,1.4387,38.6949,1.3358,3.0707,13.0192,4.7353,52.0231,54.057460000000006
4,2986.5,10.5436,12.4849,-5416.0,3.4266,8.8043,0.34000000000000047,22.3647,-0.027199999999999985,-0.0323,722.202,15.959999999999999,15.95,-0.9461000000000002,0.7527,1010.1773,0.3693,0.0073,10.32,0.0153,0.030800000000000004,11.13,3.2261000000000006,1.1672799999999999,64.6874,0.7479,2.8617,30.548199999999998,7.0359,54.6154,262.1302
5,2913.4,9.6284,12.5488,-5153.75,3.4468,8.5571,-3.7399999999999998,29.1429,0.03299999999999998,-0.039999999999999994,762.0218,15.750000000000002,15.71,-3.4960000000000004,0.5638,1013.7167,0.41579999999999995,0.0082,4.12,0.03222,0.0171,10.0281,1.547,1.1682,80.668,0.8463,3.6843000000000004,55.39099999999999,2.7876,34.7826,55.68858
6,3018.8,10.3504,12.276887939928308,-5334.75,3.4113,9.131,2.2763600000000004,24.685459999999996,0.0,0.0,735.5572,15.8,15.84,0.0,0.7865,997.3981,0.2308,0.0057,9.141739982447149,0.07124,0.0341,9.1425,2.685180203826061,0.9950999999999999,85.2863,0.5788,3.8579,44.921299999999995,6.236783015622034,42.3963,48.77404
7,3033.29,10.0634,12.6278,-6362.999999999999,4.6573,9.5642,9.188199999999998,37.258,0.015599999999999992,-0.00839999999999999,809.4099,15.829999999999998,15.92,-0.3784000000000001,0.7463,1003.5357999999999,1.501023222841332,0.015299999999999998,9.02,0.0202,0.030699999999999998,8.4756,2.903,1.2711000000000001,54.5945,1.5739,4.6522,26.161,5.9269,45.152,89.32378
8,3043.22,10.0466,12.4849,-5607.25,3.3864000000000005,8.7867,0.6191,23.1287,0.09990000000000002,-0.0442,742.3405,15.74,15.79,-0.9461000000000002,0.6893,994.2346,0.8679,0.0072,11.18,0.0444,0.0522,11.5569,3.4032,1.1176000000000001,70.9477,0.737,2.655,28.8304,7.5571,71.028,132.84612
9,3021.61,9.3651,12.4124,-5720.25,3.3751,8.8581,-3.7508999999999997,30.7593,0.1024,0.024399999999999984,710.5846000000001,15.73,15.71,-3.449,0.5042,998.8077,0.9897999999999999,0.0123,4.95,0.029160000000000005,0.0648,9.9534,1.5594,1.1569399999999999,104.409,1.2606,4.343700000000001,21.7993,3.3689999999999998,39.708,101.85998000000001
10,3048.76,10.4536,12.512,-5122.5,3.3848,8.8624,4.9118,19.2834,0.01180000000000001,0.02860000000000001,782.5507,15.750000000000002,15.73,0.7096,0.8543000000000001,998.0122,0.2378,0.0053,7.040000000000001,0.0196,0.0839,9.5915,2.5102999999999995,1.0762,122.3571,0.5418,3.7061000000000006,36.519,4.8707,30.837,58.062799999999996
11,2986.106,10.3503,12.4761,-5434.0,3.4193999999999996,8.6397,0.11999999999999936,27.287599999999998,-0.1293,0.0776,804.2368,15.87,15.84,-0.4258000000000001,0.7785,1006.4594,0.35070000000000007,0.0167,8.33,0.027159999999999993,0.0052,9.1303,2.9003,0.9704600000000001,74.1514,1.7251,2.7682000000000007,31.3987,5.817,64.3929,34.4153
12,2965.41,9.8053,12.7051,-5419.75,3.4107,8.2345,2.792699999999999,21.2465,0.005000000000000007,0.019500000000000003,815.9082,15.87,15.87,-0.8042000000000002,0.7003,1009.5254,0.4482,0.0082,6.01,0.02002,0.0327,8.674,1.8276,0.7113,72.2936,0.8378,3.9386000000000005,19.1756,3.9522,56.044,58.22104
13,3030.27,9.999,12.4608,-6153.999999999999,3.4926999999999997,9.1502,2.1109000000000013,26.2754,0.13970000000000002,0.02210000000000001,806.2734,15.829999999999998,15.84,-0.4730999999999999,0.7589,995.1991,0.4136,0.0189,13.41,0.06306,0.0174,8.099,4.181600000000002,1.3766,91.3669,1.9544000000000001,2.1894,23.6929,8.8016,132.90721458684297,112.04581999999999
14,3006.39,9.4949,12.5218,-6305.25,4.6542,8.5891,-2.0764000000000014,30.491399999999995,-0.010899999999999998,-0.05740000000000001,755.3514,15.93,15.95,-1.655,0.7591,1005.3318,0.3763,0.0047,9.35,0.0162,0.0411,10.3051,2.9181,0.9123600000000001,129.9072,0.4793,3.7537000000000007,33.3826,6.109999999999999,33.2449,141.51140775340178
15,3007.75,9.8632,12.5488,-5639.75,3.5029,8.287,0.5518000000000012,22.9635,-0.0035999999999999917,0.01740000000000001,782.4785,15.77,15.75,0.04729999999999975,0.6423,1007.2099,0.47650000000000003,0.0091,8.84,0.0225,0.0433,9.7387,2.476,0.98832,66.6712,0.9286999999999999,3.7263000000000006,56.31799999999999,6.0245999999999995,44.8065,77.98438
16,2936.51,9.9457,12.4059,-5977.25,3.4444,8.5851,-0.9364000000000005,26.2691,-0.02879999999999999,0.033600000000000005,682.5903999999999,15.79,15.73,-2.222,0.7822000000000001,1001.4256,0.2558,0.009,4.38,0.051759999999999994,0.059,8.7863,1.4554,0.9674,51.7334,0.9269,3.2273,22.4105,2.9235,25.3365,59.5644
17,3033.29,10.5538,12.4998,-6279.0,4.6438,9.7836,1.2835999999999999,23.8157,0.025099999999999976,-0.060400000000000016,702.0668,15.95,15.97,-0.5203999999999996,0.7232,1007.4808,0.451,0.01,17.84869991223575,0.0293,0.027600000000000003,13.0936,5.072101019130303,0.9959599999999998,55.3285,1.0257,5.011400000000001,14.2191,12.045415078110173,28.3333,60.49628
18,2951.06,9.8259,12.5967,-5371.5,3.1629,9.0447,-2.6564000000000005,30.3233,-0.02939999999999999,-0.043500000000000004,811.2656,15.74,15.74,-0.5203999999999996,0.7154,996.3344,0.5614,0.0114,3.49,0.043019999999999996,0.0566,8.1657,1.0967,1.2892,115.0351,1.1716,3.5501,18.1961,2.3646,44.3778,53.162319999999994
19,2994.06,9.0234,12.2981,-5176.25,3.3418000000000005,8.9191,-0.06360000000000056,26.448,0.0,0.0,827.0727,15.829999999999998,15.76,-2.93,0.8145,999.8622,1.1641,0.0083,15.35,0.040819999999999995,0.0095,8.1525,3.6058,1.6627,55.9769,0.8527,3.6577000000000006,46.50209999999999,10.0705,55.9242,50.63156
20,2955.3,9.1855,12.4247,-5641.25,3.3492000000000006,9.2405,3.9054999999999978,44.784266730084916,0.0,0.0,759.1619000000001,15.699999999999998,15.68,0.7568999999999998,0.786,1009.6011,0.321,0.014,8.66,0.0182,0.0532,7.878699999999999,2.822,0.77946,86.7402,1.4389,2.8727,29.5865,6.1617,61.7647,85.02195999999999
21,2996.65,10.2747,12.649,-5193.25,3.3322999999999996,8.7512,2.0317999999999996,21.6831,-0.1331,0.03889999999999999,791.9736000000001,15.74,15.769999999999998,0.6622999999999996,0.8781000000000001,1004.653,0.2515,0.0053,6.370000000000001,0.02408,0.05739999999999999,12.3178,2.1479,1.6231,82.9691,0.5403,4.2078000000000015,20.8576,4.358200000000001,23.7037,52.6841
22,2988.99,10.215,12.4231,-5369.0,3.4687,8.9336,17.387300000000003,27.4102,-0.1689,0.03849999999999999,735.4067,15.98,16.05,-0.04729999999999975,0.6287,1009.9942,1.501023222841332,0.0123,8.26,0.0332,0.048999999999999995,8.585,2.4997,0.9405399999999998,90.9661,1.2655,2.7888,30.435599999999997,5.7628,69.6774,216.9552
23,3054.52,10.001,12.6122,-5770.75,3.5453000000000006,8.8909,-0.15449999999999928,26.8979,-0.0435,0.006099999999999996,787.916,15.82,15.73,0.04729999999999975,0.8343000000000002,1007.144,0.4462,0.0059,6.33,0.0219,0.0933,8.9376,2.3749,1.0736,89.7356,0.5996,2.4525,28.4535,4.319,21.3577,54.771640000000005
