,feature_54,feature_57,feature_60,feature_61,feature_63,feature_64,feature_73,feature_74,feature_88,feature_100,feature_112,feature_116,feature_118,feature_123,feature_127,feature_133,feature_134,feature_217,feature_253,feature_300,feature_337,feature_355,feature_391,feature_436,feature_478,feature_489,feature_525,feature_578,feature_579,feature_589,feature_590
0,4.645,0.9202,0.6991000000000007,363.0018,121.4118,5.9553,120.64426922015059,475.1448237914011,0.9888,0.03909999999999999,232.13534,785.5426,59.266200000000005,2.932,2.813,2.3766,1001.2553,0.076,3.763,0.05739999999999999,10.0329,0.04130000000000001,0.9877999999999999,6.425700000000001,6.0266,472.0497,6.3493,24.5741,0.0282,0.0059,68.7444
1,4.553,0.9304,-1.4172999999999991,349.5327,118.1482,9.699,153.41014,467.40767999999997,0.9881,-0.0288,232.20600000000002,672.3211,58.7063,3.703,2.99,2.3805,1002.2323999999999,0.0844,1.76,0.0477,13.2427,0.0474,0.5209,5.2598,4.8218,430.0637,2.998,7.8563,0.032740000000000005,0.0081,163.9998
2,4.586,0.9247,10.235499999999996,356.89359999999994,125.75550000000001,13.0423,159.7443,465.7885,0.9903,-0.0791,231.71972,751.7695,55.8504,4.375,2.918,2.3244,989.4793,0.0925,3.2419999999999995,0.0335,11.0695,0.0496,0.8375000000000001,4.0945,6.1589,389.4737,5.8047,14.6788,0.022659999999999996,0.0091,138.2861
3,4.599,0.9353999999999999,9.851800000000003,346.5818,99.0464,20.3227,145.69374,466.1897,0.9866,-0.024199999999999992,231.08244000000002,705.2765,58.28309999999999,2.88,2.749,2.3725,1001.4222,0.0794,2.5391,0.0728,8.0615,0.0361,0.7167,7.373,5.0612,498.5871,4.3565,12.0929,0.0284,0.0037999999999999996,49.749
4,4.617,0.929,1.0336000000000003,355.1582,116.0864,9.9475,149.63832,466.33404,0.9685,-0.007400000000000004,232.72047999999998,719.8049,58.0262,3.383,2.776,2.3401,1006.7659999999998,0.058,2.0761,0.0374,10.0529,0.026,0.6728,4.4038,7.4828,213.8249,3.5779,13.121,0.013179999999999996,0.004300000000000001,68.9871
5,4.627,0.9228,3.6808999999999994,363.72450000000003,111.31,7.533999999999999,157.4775,467.2697,0.9908,0.048399999999999985,231.25462,711.4945,60.9507,2.84,3.064,2.2797,1008.4892,0.036800000000000006,2.7488,0.056900000000000006,7.9101,0.0169,0.8003,6.1738,4.1813,59.1402,4.51,14.448000000000002,0.02136,0.0097,72.6469
6,4.555,0.9319000000000001,2.8109,346.36549999999994,115.85640000000001,10.9182,149.95247999999998,466.6197,0.9918,0.031599999999999996,231.1908,777.1425,58.907599999999995,3.082,2.789,2.2864,1001.4681999999999,0.0884,1.5500999999999998,0.0337,9.564999999999998,0.04639999999999999,0.5143,3.8351000000000006,5.9339,367.1859,2.6315,12.6982,0.01952,0.0017,31.0252
7,4.604,0.9347,1.5035999999999998,350.9709,123.9155,8.7662,157.6115,465.0222,0.9925000000000002,-0.027899999999999994,232.3029,741.9427,58.282000000000004,3.217,2.982,2.3080999999999996,992.8866999999999,0.079,4.525499999999999,0.0085,7.5607,0.0368,1.3295,1.0064,3.5466,309.8039,7.7648,11.4779,0.029539999999999997,0.005400000000000001,80.1759
8,4.492200242081075,0.9139,23.8245,364.5364,115.6273,11.3019,140.6972,475.1448237914011,0.9880000000000001,0.1218,232.63576000000003,718.5777,58.4808,2.882,3.094,2.2592,998.444,0.03489999999999999,4.1446,0.0583,8.9855,0.0154,1.2356,5.765,9.1221,191.7582,7.087,9.2721,0.0533920500278543,0.012801598410487926,82.8602
9,4.513,0.9295000000000001,1.5744999999999991,345.4982,120.8682,8.4647,154.25686,465.10859999999997,0.9914,0.023300000000000008,233.7235,826.7217,59.976400000000005,1.671,2.7830000000000004,2.2877,1015.7622,0.09692,2.4154,0.0961,11.8301,0.05066,0.7389,10.5716,3.3971,273.04304,4.0272,17.8379,0.0235,0.0098,117.0945
10,4.621,0.9326999999999999,2.9282000000000017,352.1582,122.1618,9.5985,156.4302,465.5035,0.9885,-0.017699999999999994,229.0942,681.0370999999999,55.9011,4.269,2.58,2.212,1009.9953,0.0331,1.9166,0.0428,8.5805,0.014700000000000001,0.7367,5.1806,4.7353,39.4165,3.4285,17.0809,0.021619999999999997,0.0030999999999999995,41.078199999999995
11,4.588,0.9261,5.499100000000002,357.9436,121.2709,11.9794,151.0604,467.0915,0.9871000000000001,-0.0372,230.08041999999998,729.4385000000001,56.4388,5.261,3.4316813726846602,2.2773,1009.9188,0.0897,2.5332,0.0703,11.094,0.04680000000000001,0.7999,7.2425,5.268600000000001,710.495,4.4883,6.5829,0.024900000000000002,0.0079,313.91183443878106
