,feature_1,feature_17,feature_20,feature_22,feature_34,feature_60,feature_65,feature_82,feature_91,feature_92,feature_104,feature_116,feature_118,feature_122,feature_125,feature_130,feature_131,feature_134,feature_206,feature_288,feature_300,feature_337,feature_342,feature_417,feature_421,feature_424,feature_427,feature_461,feature_478,feature_489,feature_520
0,3079.77,9.859,12.3686,-4750.75,8.6915,0.6990999999999995,19.3009,-0.016100000000000007,9131.0599,-0.1835,-0.009499999999999998,785.5426,59.26619999999999,15.76,15.82,0.0,0.8203000000000003,1001.2553,9.22,0.091,0.05740000000000001,10.0329,2.6547,3.439,1.8087,81.7554,1.3155,14.755400000000002,6.0266,472.0497,3.2924
1,3001.36,10.671,12.4959,-5410.75,8.3006,-1.4173000000000007,21.4173,-0.019599999999999996,8795.69,0.016699999999999996,-0.0163,672.3210999999999,58.7063,15.76,15.73,0.2837999999999999,0.8291000000000002,1002.2324,7.31,0.0899,0.0477,13.2427,2.0989,4.8102,1.4549,71.9194,0.6593,12.157,4.8218,430.0637,7.385279999999998
2,3042.78,9.8446,12.5553,-6456.750000000001,8.7418,10.235500000000002,9.7645,-0.0238,8615.15,-0.0316,-0.0108,751.7695,55.85040000000001,15.650000000000002,15.690000000000001,-0.2837999999999999,0.5438,989.4793,8.8,0.0722,0.0335,11.0695,2.5012,2.3289,1.9880000000000002,58.0425,1.5403,21.1169,6.1589,389.4737,7.4392
3,3018.64,10.5954,12.4469,-5775.0,8.6829,9.851799999999999,30.1482,-0.0159,8363.73,0.010499999999999999,-0.003800000000000001,705.2765000000002,58.283100000000005,15.73,15.77,0.04729999999999975,0.8047999999999998,1001.4222,7.77,0.1869,0.0728,8.0615,2.4329,3.671,2.8063,88.6322,1.6422,41.7748,5.0612,498.5871,46.81789999637793
4,3020.29,9.4946,12.4618,-6900.499999999999,8.5891,1.033600000000001,18.9664,-0.0271,8510.42,-0.028699999999999993,-0.011899999999999999,719.8049,58.0262,15.9,15.95,0.4258000000000001,0.7611,1006.766,11.060000000000002,0.11879999999999999,0.0374,10.0529,3.2653,3.4488,1.0932,70.6281,0.8006,23.1457,7.4828,213.8249,3.78848
5,2964.69,9.7899,12.5492,-5546.0,9.0744,3.680900000000001,16.3191,-0.06219999999999999,8365.7701,0.03519999999999998,-0.0115,711.4945,60.95069999999999,15.82,15.749999999999998,1.6550000000000002,0.8137,1008.4892000000001,6.26,0.239,0.0569,7.9101,2.2442,3.5483,0.7021,57.2251,0.7004,37.3638,4.1813,59.1402,4.254700000000001
6,2940.74,9.9299,12.4124,-5408.75,8.9132,2.8109000000000015,17.1891,-0.024100000000000003,9047.8399,-0.02310000000000001,-0.0093,777.1425000000002,58.907599999999995,15.76,15.699999999999998,0.0,0.8253000000000001,1001.4682,8.8,0.1101,0.0337,9.565,2.5551,4.6164,2.6354,70.1378,1.4411999999999998,31.3174,5.9339,367.1859,6.52066
7,3043.08,9.8134,12.5004,-5095.0,8.3383,1.503599999999999,18.4964,-0.025499999999999995,8493.8199,-0.1509,-0.013599999999999998,741.9427,58.282,15.650000000000002,15.61,2.4579999999999997,0.8345999999999999,992.8867,5.24,0.163,0.0085,7.5607,2.0186,3.2594999999999996,1.9699,50.3276,1.419,23.5649,3.5466,309.8039,4.21354
8,2932.61,9.3144,12.5404,-5447.75,8.659,23.8245,16.1755,-0.0182,9317.1698,0.05530000000000003,-0.0026000000000000003,718.5777,58.4808,15.9,15.95,-0.1891999999999997,0.8194000000000001,998.444,13.3,0.1479,0.0583,8.9855,3.7663,3.0609,2.2943,50.6425,1.8268,32.3594,9.1221,191.7582,36.9067
9,3031.78,10.2769,12.5582,-4958.0,8.7512,1.5745,18.4255,-0.01596,8678.36006,-0.03830000000000001,-0.0102,826.7217,59.9764,15.92,15.869999999999997,-0.14189999999999994,0.8711999999999999,1015.7621999999999,5.1,0.0616,0.0961,11.8301,1.6033,5.3505,1.3589000000000002,91.1204,0.9783,15.479600000000001,3.3970999999999996,273.04304,6.07504
10,3028.08,9.4578,12.5967,-5345.25,9.534,2.9282000000000012,17.0718,-0.07160404781624563,8078.23,0.019300000000000015,-0.0086,681.0371,55.90109999999999,15.95,16.01,0.5203999999999996,0.6778,1009.9953,6.99,0.2194,0.0428,8.5805,2.4674,3.234,1.4902,38.694900000000004,1.3358,13.0192,4.7353,39.4165,8.0945
11,3003.82,10.832,12.4998,-5192.5,8.5288,5.4991,14.5009,-0.012599999999999995,8564.1802,-0.03010000000000001,-0.0105,729.4385000000001,56.4388,15.94,15.99,-0.5677000000000001,0.6786,1009.9188,7.32,0.1281,0.0703,11.094,2.3933,2.6284,2.2458,62.3963,1.5564,27.4194,5.268600000000001,710.495,4.7135
12,2990.57,9.407,12.5373,-6623.75,8.1605,-2.5027000000000013,22.5027,-0.012599999999999995,8808.85,-0.1331,-0.0094,801.3997,56.3776,15.7,15.71,0.0,0.7048,993.8988,9.69,0.1273,0.021599999999999998,10.1164,3.1731,3.2298,2.5142,58.39549999999999,1.5814,33.2053,6.8675999999999995,718.0915,6.12058
13,2986.5,10.5436,12.4849,-5416.0,8.8043,0.3399999999999989,19.66,-0.014299999999999995,8303.47,-0.027199999999999995,-0.013,722.202,59.0911,15.96,15.95,-0.9461000000000002,0.7527,1010.1773,10.32,0.1075,0.0308,11.13,3.2261,2.5382,0.9559000000000001,64.68739999999997,0.7479,30.5482,7.0359,670.6294,3.3066
14,3219.75,9.5974,12.5914,-5187.25,8.7556,4.1690999999999985,15.8309,-0.0168,8508.81,0.0425,-0.0121,725.1428,59.6793,15.82,15.79,-0.4258000000000001,0.6888,1006.0044,10.110000000000001,0.0812,0.0444,10.0258,3.0013,2.3278000000000003,0.8173,49.4844,0.6601,24.0618,6.8146,675.4098,7.261219999999999
15,2913.4,9.6284,12.5488,-5153.75,8.5571,-3.7399999999999993,23.74,-0.0341,9303.0001,0.032999999999999995,-0.0098,762.0217999999999,56.778400000000005,15.75,15.71,-3.4960000000000004,0.5638,1013.7167,4.12,0.12189999999999998,0.017099999999999997,10.0281,1.547,3.8732,1.653,80.66799999999999,0.8463,55.391000000000005,2.7876,204.5421,6.886740000000001
16,3018.8,10.3504,12.27669424820973,-5334.75,9.131,2.2763599999999995,17.72364,-0.066,9207.0201,0.0,-0.0108,735.5572,59.0958,15.8,15.84,0.0,0.7865000000000001,997.3981,9.146872796774007,0.0711,0.0341,9.1425,2.686288463324579,3.0259,0.9921000000000001,85.2863,0.5788,44.92130000000001,6.2418069412106085,97.1212,15.52222
17,2942.41,9.778,12.6278,-5410.5,8.5687,1.9482000000000006,34.62999992554279,-0.023,8738.47,0.016000000000000004,-0.007199999999999999,749.6408,57.49009999999999,15.77,15.73,0.0,0.8217,1003.6100000000001,13.53,0.2159,0.042,10.2062,3.8318,3.439,2.7501,37.1837,2.02,20.7031,9.1675,482.2633,3.6093
18,2848.46,10.1278,12.4716,-5233.75,8.7187,8.145499999999998,11.8545,-0.010600000000000002,9280.83,0.0636,-0.0114,798.0013,55.363452574821316,16.02,16.07,-0.7568999999999998,0.7403,1013.4306,4.95,0.0834,0.05310000000000001,12.8157,1.5118000000000003,2.4834000000000005,0.5649,99.6876,0.6477,25.4407,3.4324,897.6526,6.55446
19,3010.26,10.4363,12.4049,-4173.536428374855,8.441,4.955499999999998,15.0445,-0.014100000000000001,8531.5401,-0.08230000000000001,-0.0097,691.3175,58.745799999999996,15.59,15.54,-0.14189999999999994,0.6847,986.0991,14.74,0.0903,0.10292340670916168,8.8046,4.0309,4.3082,3.0235,51.5852,2.0504,14.845300000000002,9.9444,710.3203,7.7522
20,3033.29,10.0634,12.6278,-6363.000000000001,9.5642,9.188200000000002,30.8118,-0.009199999999999996,8981.2399,0.015599999999999973,-0.0086,809.4099,59.8003,15.83,15.919999999999998,-0.3784000000000001,0.7463,1003.5358000000001,9.02,0.44190388499406486,0.030699999999999998,8.4756,2.903,5.1493,2.7521,54.5945,1.5739,26.161,5.9269,848.0874,4.346
21,2941.23,9.6635,12.58,-6257.5,8.6706,2.285499999999999,17.7145,-0.021299999999999993,8586.1801,-0.1071,-0.0062,730.9317,59.542699999999996,15.650000000000002,15.66,1.0399999999999998,0.657,991.5424,14.910000000000002,0.11790000000000002,0.028100000000000003,13.5441,4.8332,3.5302999999999995,2.126,46.8068,1.5151000000000001,16.8406,10.1458,420.6573,4.3534
22,3043.22,10.0466,12.4849,-5607.25,8.7867,0.6190999999999987,19.3809,-0.025800000000000003,8881.1499,0.09989999999999999,-0.008,742.3405,58.4837,15.74,15.79,-0.9461000000000002,0.6893,994.2346,11.180000000000001,0.23290000000000002,0.052199999999999996,11.5569,3.4031999999999996,2.4583000000000004,1.0582,70.9477,0.737,28.8304,7.557100000000001,212.4031,9.4653
23,3021.61,9.3651,12.4124,-5720.25,8.8581,-3.7509,23.7509,-0.0203,8562.79,0.1024,-0.0086,710.5846,59.3419,15.73,15.71,-3.449,0.5042,998.8077,4.95,0.2818,0.0648,9.9534,1.5594,2.4749000000000003,1.6264000000000003,104.409,1.2606,21.7993,3.3690000000000007,450.7389,6.29052
24,3048.76,10.4536,12.512,-5122.5,8.8624,4.911800000000003,15.088199999999999,-0.015599999999999998,9060.0199,0.01179999999999998,-0.0114,782.5507,57.1869,15.75,15.73,0.7096,0.8543,998.0122,7.04,0.0752,0.0839,9.5915,2.5103,2.7308,0.9130999999999999,122.35709999999999,0.5418,36.519,4.8707,450.7223,4.1715
25,2980.566,10.3503,12.4761,-5434.0,8.6397,0.11999999999999994,19.88,-0.0309,9233.7999,-0.1293,-0.0092,804.2368,58.690799999999996,15.87,15.84,-0.4258000000000001,0.7785,1006.4594,8.33,0.1078,0.0052,9.1303,2.9003,4.3793,2.3232,74.1514,1.7251,31.398699999999998,5.817000000000001,351.4956,4.873920000000001
26,2943.9,10.4094,12.4753,-6349.750000000001,9.5713,1.8172999999999997,18.1827,-0.0093,8639.07,0.02570000000000003,-0.016,763.2943000000001,59.42029999999999,15.92,15.99,0.23650000000000015,0.7287,1008.7232,5.14,0.10319999999999999,0.025999999999999995,8.5625,1.9383,2.3289,2.6912,78.125,2.2004,66.3273450377527,3.4949,0.0,4.4127
27,2965.41,9.8053,12.7051,-5419.75,8.2345,2.792699999999999,17.2073,-0.0452,8742.2499,0.004999999999999996,-0.0091,815.9082000000001,58.3601,15.87,15.869999999999997,-0.8042000000000002,0.7003,1009.5254,6.01,0.1437,0.0327,8.674,1.8276000000000001,3.4228000000000005,1.1494,72.29360000000001,0.8378,19.1756,3.9522,106.7403,4.3916
