,feature_1,feature_17,feature_20,feature_22,feature_32,feature_34,feature_60,feature_66,feature_92,feature_103,feature_116,feature_122,feature_125,feature_130,feature_131,feature_134,feature_153,feature_154,feature_206,feature_248,feature_300,feature_337,feature_342,feature_385,feature_424,feature_427,feature_456,feature_461,feature_478,feature_511,feature_582
0,3079.77,9.859,12.3686,-4750.75,3.3618,8.6915,0.6990999999999986,23.2216,-0.1835,0.08109999999999999,785.5426,15.76,15.820000000000002,0.0,0.8203,1001.2553,0.2848,0.012699999999999998,9.22,0.015199999999999998,0.05739999999999999,10.0329,2.6547,1.1153600000000001,81.7554,1.3155,4.9135,14.755400000000002,6.0266,84.9279,68.7444
1,3001.36,10.671,12.4959,-5410.75,3.3499999999999996,8.3006,-1.4173000000000004,27.2716,0.016699999999999996,-0.0346,672.3211,15.76,15.73,0.2837999999999999,0.8291,1002.2324,0.308,0.0065,7.3100000000000005,0.03414,0.0477,13.2427,2.0989,1.12918,71.91940000000001,0.6593000000000001,2.9723999999999995,12.157,4.8218,25.2308,44.5901
2,3042.78,9.8446,12.5553,-6456.75,4.6781,8.7418,10.235500000000002,14.706100000000001,-0.031599999999999996,-0.0563,751.7695,15.65,15.689999999999998,-0.2837999999999999,0.5438,989.4793,0.21320000000000003,0.014799999999999999,8.8,0.0345,0.0335,11.0695,2.5012,0.8952600000000001,58.0425,1.5403,4.964,21.1169,6.1589,46.2963,81.03254
3,3018.64,10.5954,12.4469,-5775.0,3.4767,8.6829,9.851799999999999,36.0791,0.010500000000000018,-0.04590000000000001,705.2765,15.73,15.769999999999998,0.04729999999999975,0.8048000000000001,1001.4222,0.6531,0.0159,7.7700000000000005,0.21510965485016342,0.0728,8.0615,2.4329,1.3188199999999999,88.6322,1.6421999999999999,4.4921,41.77479999999999,5.0612,114.28570000000002,49.749
4,3020.29,9.4946,12.4618,-6900.500000000002,4.6303,8.5891,1.033600000000001,24.3057,-0.028699999999999996,0.011200000000000002,719.8049,15.9,15.95,0.4258000000000001,0.7611,1006.7659999999998,0.3602,0.0078,11.06,0.017400000000000002,0.0374,10.0529,3.2653000000000003,0.9522999999999998,70.6281,0.8005999999999999,4.5447000000000015,23.1457,7.4828,36.2869,124.58525387670089
5,2964.69,9.7899,12.5492,-5546.0,3.3016000000000005,9.0744,3.680900000000001,19.118900000000004,0.03519999999999999,-0.0053999999999999986,711.4945,15.82,15.75,1.6550000000000002,0.8137000000000001,1008.4892,0.8524,0.0069,6.26,0.01968,0.056900000000000006,7.9101,2.2442,1.1103800000000001,57.2251,0.7004,2.1367,37.36379999999999,4.1813,32.9718,78.09549999999999
6,2940.74,9.9299,12.4124,-5408.75,3.3186,8.9132,2.8108999999999997,22.2064,-0.02309999999999999,-0.012199999999999992,777.1425,15.76,15.7,0.0,0.8253,1001.4682,0.368,0.014,8.8,0.03056,0.0337,9.565,2.5551,0.8692,70.1378,1.4412,3.601,31.3174,5.9338999999999995,58.9023,53.97060000000001
7,3043.08,9.8134,12.5004,-5095.0,3.4786,8.3383,1.5036000000000012,25.3099,-0.1509,0.0693,741.9427,15.65,15.610000000000001,2.4579999999999997,0.8346,992.8867,0.5468,0.0137,5.24,0.021980000000000003,0.0085,7.5607,2.0186,1.09158,50.3276,1.4190000000000003,3.4455,23.5649,3.5466,51.3291,50.40936
8,2932.61,9.3144,12.5404,-5447.75,3.5986,8.659,23.8245,24.2829,0.05530000000000001,0.013400000000000006,718.5777,15.9,15.95,-0.1891999999999997,0.8194,998.444,0.4909,0.0177,13.3,0.1729,0.0583,8.9855,3.7663,1.08272,50.6425,1.8268,3.1182,32.3594,9.1221,132.90721458684297,82.8602
9,3031.78,10.2769,12.5582,-4958.0,3.2114,8.7512,1.5744999999999993,21.0974,-0.0383,0.036500000000000005,826.7217000000002,15.92,15.87,-0.14189999999999994,0.8712000000000001,1015.7622,0.1965,0.0095,5.1,0.029400000000000003,0.0961,11.8301,1.6033,1.5632,91.1204,0.9783,3.9777,15.4796,3.3971,46.022,117.0945
10,3028.08,9.4578,12.5967,-5345.25,3.3061,9.534,2.9281999999999995,23.905,0.01929999999999998,-0.03740000000000001,681.0371,15.95,16.01,0.5203999999999996,0.6778,1009.9953,0.7795,0.013,6.990000000000001,0.03646,0.0428,8.5805,2.4674,1.4387,38.6949,1.3358,3.0707,13.0192,4.7353,52.0231,54.057460000000006
11,3003.82,10.832,12.4998,-5192.5,3.3488,8.5288,5.4991,17.5983,-0.030100000000000012,-0.0166,729.4385,15.94,15.99,-0.5677000000000001,0.6786,1009.9188000000001,0.4309,0.015,7.320000000000001,0.0217,0.0703,11.094,2.3933,0.9194999999999999,62.396300000000004,1.5564000000000004,5.131700000000001,27.4194,5.268600000000001,29.4537,86.07437999999999
12,2990.57,9.407,12.5373,-6623.749999999999,4.7082,8.1605,-2.5026999999999995,32.7483,-0.1331,0.009900000000000016,801.3996999999999,15.699999999999998,15.71,0.0,0.7048,993.8988,0.3554,0.015299999999999998,9.69,0.021459999999999996,0.0216,10.1164,3.1730999999999994,1.3803,58.3955,1.5814,2.2906,33.2053,6.8676,132.90721458684297,44.0961
13,2986.5,10.5436,12.4849,-5416.0,3.4266,8.8043,0.34000000000000047,22.3647,-0.027199999999999985,-0.0323,722.202,15.959999999999999,15.95,-0.9461000000000002,0.7527,1010.1773,0.3693,0.0073,10.32,0.0153,0.030800000000000004,11.13,3.2261000000000006,1.1672799999999999,64.6874,0.7479,2.8617,30.548199999999998,7.0359,54.6154,262.1302
14,3219.75,9.5974,12.5914,-5187.25,3.3088,8.7556,4.169100000000002,22.3694,0.04250000000000002,-0.0867,725.1428,15.82,15.79,-0.4258000000000001,0.6888,1006.0044,0.2456,0.0065,10.11,0.033280000000000004,0.0444,10.0258,3.0013000000000005,1.2974,49.4844,0.6601,2.385,24.0618,6.8146,39.6285,84.0183
15,2913.4,9.6284,12.5488,-5153.75,3.4468,8.5571,-3.7399999999999998,29.1429,0.03299999999999998,-0.039999999999999994,762.0218,15.750000000000002,15.71,-3.4960000000000004,0.5638,1013.7167,0.41579999999999995,0.0082,4.12,0.03222,0.0171,10.0281,1.547,1.1682,80.668,0.8463,3.6843000000000004,55.39099999999999,2.7876,34.7826,55.68858
16,3018.8,10.3504,12.276887939928308,-5334.75,3.4113,9.131,2.2763600000000004,24.685459999999996,0.0,0.0,735.5572,15.8,15.84,0.0,0.7865,997.3981,0.2308,0.0057,9.141739982447149,0.07124,0.0341,9.1425,2.685180203826061,0.9950999999999999,85.2863,0.5788,3.8579,44.921299999999995,6.236783015622034,42.3963,48.77404
17,2942.41,9.778,12.6278,-5410.5,3.4393,8.5687,1.9481999999999986,44.784266730084916,0.015999999999999973,0.005200000000000016,749.6408,15.77,15.73,0.0,0.8217000000000001,1003.61,0.8118,0.0194,13.53,0.0167,0.042,10.2062,3.8318000000000003,1.0355,37.1837,2.020000000000001,4.685,20.7031,9.1675,91.9861,109.1265938767009
18,2848.46,10.1278,12.4716,-5233.75,3.5288,8.7187,8.1455,15.0471,0.06359999999999999,-0.0265,798.0013,16.02,16.07,-0.7568999999999998,0.7403,1013.4305999999999,0.249,0.0063,4.95,0.030440000000000002,0.053099999999999994,12.8157,1.5118,0.8261,99.6876,0.6477,4.172100000000001,25.4407,3.4323999999999995,51.8112,77.973
19,3010.26,10.4363,12.4049,-4173.957016448832,4.6249,8.441,4.955499999999997,22.1659,-0.0823,0.036999999999999984,691.3175,15.59,15.54,-0.14189999999999994,0.6847,986.0991000000001,0.3,0.0196,14.74,0.0354,0.09913623964904866,8.8046,4.0309,1.2146892337203947,51.5852,2.0504,2.9258,14.8453,9.9444,48.329,91.07382
20,3033.29,10.0634,12.6278,-6362.999999999999,4.6573,9.5642,9.188199999999998,37.258,0.015599999999999992,-0.00839999999999999,809.4099,15.829999999999998,15.92,-0.3784000000000001,0.7463,1003.5357999999999,1.501023222841332,0.015299999999999998,9.02,0.0202,0.030699999999999998,8.4756,2.903,1.2711000000000001,54.5945,1.5739,4.6522,26.161,5.9269,45.152,89.32378
21,2941.23,9.6635,12.58,-6257.499999999999,3.4872,8.6706,2.2854999999999994,21.7095,-0.1071,0.17851141182528196,730.9317,15.65,15.66,1.0399999999999998,0.657,991.5424,0.3775,0.0146,14.91,0.027940000000000006,0.028099999999999997,13.5441,4.8332,1.3434199999999998,46.8068,1.5151000000000001,2.701,16.8406,10.1458,42.0202,59.51468
22,3043.22,10.0466,12.4849,-5607.25,3.3864000000000005,8.7867,0.6191,23.1287,0.09990000000000002,-0.0442,742.3405,15.74,15.79,-0.9461000000000002,0.6893,994.2346,0.8679,0.0072,11.18,0.0444,0.0522,11.5569,3.4032,1.1176000000000001,70.9477,0.737,2.655,28.8304,7.5571,71.028,132.84612
23,3021.61,9.3651,12.4124,-5720.25,3.3751,8.8581,-3.7508999999999997,30.7593,0.1024,0.024399999999999984,710.5846000000001,15.73,15.71,-3.449,0.5042,998.8077,0.9897999999999999,0.0123,4.95,0.029160000000000005,0.0648,9.9534,1.5594,1.1569399999999999,104.409,1.2606,4.343700000000001,21.7993,3.3689999999999998,39.708,101.85998000000001
24,3048.76,10.4536,12.512,-5122.5,3.3848,8.8624,4.9118,19.2834,0.01180000000000001,0.02860000000000001,782.5507,15.750000000000002,15.73,0.7096,0.8543000000000001,998.0122,0.2378,0.0053,7.040000000000001,0.0196,0.0839,9.5915,2.5102999999999995,1.0762,122.3571,0.5418,3.7061000000000006,36.519,4.8707,30.837,58.062799999999996
