,feature_1,feature_20,feature_22,feature_34,feature_60,feature_104,feature_113,feature_122,feature_130,feature_131,feature_206,feature_248,feature_349,feature_383
0,3079.77,12.3686,-4750.75,8.6915,0.6991,-0.0095,0.4611,15.76,0.0,0.8203,9.22,0.0152,0.0237,0.0008777352047347163
1,3001.36,12.4959,-5410.75,8.3006,-1.4173,-0.0163,0.46474377679940787,15.76,0.2838,0.8291,7.31,0.05776924176679032,0.0272,0.0005504986246315461
2,3042.78,12.5553,-6456.75,8.7418,10.2355,-0.0108,0.4637,15.65,-0.2838,0.5438,8.8,0.0345,0.0163,0.0009279302067522494
3,3018.64,12.4469,-5775.0,8.6829,9.8518,-0.0038,0.4527,15.73,0.0473,0.8048,7.77,0.21496475034650175,0.03,0.0014053153454682537
4,3020.29,12.4618,-6900.5,8.5891,1.0336,-0.0119,0.46121442326950046,15.9,0.4258,0.7611,11.06,0.05377922050575747,0.0243,0.0007835872070357935
5,2964.69,12.5492,-5546.0,9.0744,3.6809,-0.0115,0.4598989398985876,15.82,1.655,0.8137,6.26,0.05128695590808883,0.0205,8.994107322211724e-05
6,2940.74,12.4124,-5408.75,8.9132,2.8109,-0.0093,0.46003436715166046,15.76,0.0,0.8253,8.8,0.0566913881857294,0.0245,0.0007
7,3043.08,12.5004,-5095.0,8.3383,1.5036,-0.0136,0.46044065453814215,15.65,2.458,0.8346,5.24,0.057565664402320006,0.0174,0.0006704103700482158
8,2932.61,12.5404,-5447.75,8.659,23.8245,-0.0026,0.4684,15.9,-0.1892,0.8194,13.3,0.1729,0.0105,0.0010587851303328153
9,3031.78,12.5582,-4958.0,8.7512,1.5745,-0.0102,0.4609445637872394,15.92,-0.1419,0.8712,5.1,0.05290789441723718,0.019858884371890602,0.0006
10,3028.08,12.5967,-5345.25,9.534,2.9282,-0.0086,0.455340144588788,15.95,0.5204,0.6778,6.99,0.057734249841698025,0.0339,0.0005
11,3003.82,12.4998,-5192.5,8.5288,5.4991,-0.0105,0.4608,15.94,-0.5677,0.6786,7.32,0.0217,0.0172,0.0007871286325366288
12,2990.57,12.5373,-6623.75,8.1605,-2.5027,-0.0094,0.4637842866602809,15.7,0.0,0.7048,9.69,0.05344152418504053,0.0198,0.0004
13,2986.5,12.4849,-5416.0,8.8043,0.34,-0.013,0.4632,15.96,-0.9461,0.7527,10.32,0.0153,0.0116,0.0008880695749070508
14,3219.75,12.5914,-5187.25,8.7556,4.1691,-0.0121,0.4612736438064841,15.82,-0.4258,0.6888,10.11,0.05161840901922646,0.0225,0.0005
15,2913.4,12.5488,-5153.75,8.5571,-3.74,-0.0098,0.4640936247707807,15.75,-3.496,0.5638,4.12,0.054761152937341115,0.0236,0.000835009557453175
16,3018.8,12.276893641994103,-5334.75,9.131,4.059519327372289,-0.0108,0.4659026854654387,15.8,0.0,0.7865,8.251052184451764,0.03107772178508504,0.0148,0.0015
17,2942.41,12.6278,-5410.5,8.5687,1.9482,-0.0072,0.4631,15.77,0.0,0.8217,13.53,0.0167,0.0381,0.0015088719425920324
18,2848.46,12.4716,-5233.75,8.7187,8.1455,-0.0114,0.45984147508476386,16.02,-0.7569,0.7403,4.95,0.05637318833845919,0.0253,0.0008
