,feature_66,feature_427,feature_442,feature_133,feature_3,feature_124,feature_299
0,23.2216,1.3155,0.9639,2.3766,2207.0444,15.83,0.0595
1,27.2716,0.6593,0.8427,2.3805,2155.3111,15.75,0.0662
2,14.7061,1.5403,0.9193,2.3244,2173.4556,15.69,0.0519
3,36.0791,1.6422,0.7158,2.3725,2224.0,15.81,0.0635
4,24.3057,0.8006,1.1255,2.3401,2217.8111,15.94,0.0505
5,19.1189,0.7004,0.4782,2.2797,2212.3,15.86,0.0242
6,22.2064,1.4412,0.656,2.2864,2200.2,15.79,0.0655
7,25.3099,1.419,0.932,2.3081,2209.8,15.69,0.0867
8,24.2829,1.8268,1.2771,2.2592,2186.4111,15.94,0.08
9,21.0974,0.9783,0.5317,2.2877,2182.5555,15.91,0.0449
10,23.905,1.3358,0.565,2.212,2173.2778,15.98,0.1099
11,17.5983,1.5564,0.9361,2.2773,2163.5889,15.97,0.1141
12,32.7483,1.5814,0.9175,2.2959,2162.5556,15.73,0.0266
13,22.3647,0.7479,0.7316,2.3323,2236.0667,15.98,0.0486
14,22.3694,0.6601,0.8532,2.2674,2239.4111,15.84,0.0607
15,29.1429,0.8463,0.7032,2.2564,2227.2444,15.81,0.0585
16,25.60221426137383,0.5788,0.7139,2.2784,2195.6667,15.89,0.0536
17,44.78377123839995,2.02,0.8222,2.3735,2207.0444,15.8,0.0868
18,15.0471,0.6477,0.6144,2.1911,2164.3666,16.1,0.0359
19,22.1659,2.0504,0.9383,2.3499,2170.0666,15.61,0.12570694210913666
20,37.258,1.5739,0.5593,2.2928,2244.1111,15.91,0.0565
21,21.7095,1.5151,0.5836,2.3146,2160.6,15.7,0.0166
22,23.1287,0.737,0.78,2.3386,2191.5667,15.81,0.0488
23,30.7593,1.2606,0.6373,2.272,2227.2222,15.75,0.071
24,19.2834,0.5418,0.7655,2.2802,2224.6778,15.8,0.045
25,27.2876,1.7251,0.9965,2.3122,2207.3889,15.87,0.0601
26,24.3905,2.2004,0.7928,2.2728,2173.4556,15.99,0.053
27,21.2465,0.8378,0.7233,2.2474,2210.8556,15.92,0.0643
28,26.2754,1.9544,0.6667,2.3216,2230.4222,15.89,0.0339
29,29.809,0.6131,0.6641,2.4241,2243.8556,15.88,0.1043
30,41.2374,1.3431,0.7584,2.3684,2171.9,15.77,0.0254
31,30.4914,0.4793,1.1255,2.2937,2220.4778,15.98,0.0587
32,22.9635,0.9287,1.0541,2.2757,2216.5,15.86,0.0286
33,26.2691,0.9269,0.442,2.2658,2266.8333,15.77,0.0816
34,21.7926,1.2483,0.9238,2.3817,2205.7445,15.85,0.0679
35,23.8157,1.0257,0.6987,2.2771,2124.8444,16.01,0.0472
36,26.4132,0.5418,0.656,2.2864,2208.5222,15.79,0.0175
37,30.3233,1.1716,0.7534,2.2434,2228.4778,15.78,0.099
38,26.448,0.8527,0.8859,2.2569,2247.3666,15.84,0.0257
39,44.78377123839995,1.4389,0.6901,2.3712,2191.9,15.75,0.038
40,21.6831,0.5403,0.5317,2.3187,2191.3556,15.8,0.0327
41,27.4102,1.2655,1.0644,2.2887,2223.0333,15.99,0.0384
42,26.8979,0.5996,0.6815,2.4151,2165.0333,15.84,0.0393
43,27.3211,1.3047,0.7053,2.2616,2189.9667,15.86,0.0805
44,31.4501,1.5308,0.5632,2.3672,2218.0555,15.87,0.045
45,23.5578,0.6632,0.8716,2.3375,2217.8667,15.99,0.0351
46,22.1353,2.1082,0.7613,2.3756,2232.5889,15.72,0.0433
47,32.7577,0.6269,1.1525,2.3099,2196.8,15.84,0.088
48,22.7275,0.5892,0.9136,2.2826,2162.1333,15.79,0.1198
49,33.272,1.5991,0.684,2.4241,2178.5889,15.88,0.0573
50,30.1062,1.6608,0.9251,2.3275,2191.7889,15.8,0.0813
51,25.9809,1.7426,0.7663,2.3257,2217.8667,16.01,0.0144
52,24.7257,0.6011,0.9251,2.3132,2207.0444,15.91,0.061
53,30.7182,0.6632,0.5669,2.2752,2206.4,15.89,0.0626
54,44.78377123839995,1.2224,0.7898,2.3497,2196.6555,15.77,0.12570694210913666
55,26.6305,0.5648,0.8807,2.3259,2183.1,15.75,0.0454
56,22.5569,0.6418,0.577,2.3063,2228.4444,15.96,0.0397
57,26.063,0.5445,0.9588,2.4214,2203.4556,15.62,0.0337
58,22.1675,1.1766,0.8435,2.3573,2172.5333,15.87,0.05
