,feature_66,feature_427,feature_442,feature_3
0,23.2216,1.3155,0.9639,2207.0444
1,27.2716,0.6593,0.8427,2155.3111
2,14.7061,1.5403,0.9193,2173.4556
3,36.0791,1.6422,0.7158,2224.0
4,24.3057,0.8006,1.1255,2217.8111
5,19.1189,0.7004,0.4782,2212.3
6,22.2064,1.4412,0.656,2200.2
7,25.3099,1.419,0.932,2209.8
8,24.2829,1.8268,1.2771,2186.4111
9,21.0974,0.9783,0.5317,2182.5555
10,23.905,1.3358,0.565,2173.2778
11,17.5983,1.5564,0.9361,2163.5889
12,32.7483,1.5814,0.9175,2162.5556
13,22.3647,0.7479,0.7316,2236.0667
14,22.3694,0.6601,0.8532,2239.4111
15,29.1429,0.8463,0.7032,2227.2444
16,25.626250518185163,0.5788,0.7139,2195.6667
17,44.783769805205026,2.02,0.8222,2207.0444
18,15.0471,0.6477,0.6144,2164.3666
19,22.1659,2.0504,0.9383,2170.0666
20,37.258,1.5739,0.5593,2244.1111
21,21.7095,1.5151,0.5836,2160.6
22,23.1287,0.737,0.78,2191.5667
23,30.7593,1.2606,0.6373,2227.2222
24,19.2834,0.5418,0.7655,2224.6778
25,27.2876,1.7251,0.9965,2207.3889
26,24.3905,2.2004,0.7928,2173.4556
27,21.2465,0.8378,0.7233,2210.8556
28,26.2754,1.9544,0.6667,2230.4222
29,29.809,0.6131,0.6641,2243.8556
30,41.2374,1.3431,0.7584,2171.9
31,30.4914,0.4793,1.1255,2220.4778
32,22.9635,0.9287,1.0541,2216.5
33,26.2691,0.9269,0.442,2266.8333
34,21.7926,1.2483,0.9238,2205.7445
35,23.8157,1.0257,0.6987,2124.8444
36,26.4132,0.5418,0.656,2208.5222
37,30.3233,1.1716,0.7534,2228.4778
38,26.448,0.8527,0.8859,2247.3666
39,44.783769805205026,1.4389,0.6901,2191.9
40,21.6831,0.5403,0.5317,2191.3556
41,27.4102,1.2655,1.0644,2223.0333
42,26.8979,0.5996,0.6815,2165.0333
43,27.3211,1.3047,0.7053,2189.9667
44,31.4501,1.5308,0.5632,2218.0555
45,23.5578,0.6632,0.8716,2217.8667
46,22.1353,2.1082,0.7613,2232.5889
47,32.7577,0.6269,1.1525,2196.8
48,22.7275,0.5892,0.9136,2162.1333
49,33.272,1.5991,0.684,2178.5889
50,30.1062,1.6608,0.9251,2191.7889
51,25.9809,1.7426,0.7663,2217.8667
52,24.7257,0.6011,0.9251,2207.0444
53,30.7182,0.6632,0.5669,2206.4
54,44.783769805205026,1.2224,0.7898,2196.6555
55,26.6305,0.5648,0.8807,2183.1
56,22.5569,0.6418,0.577,2228.4444
57,26.063,0.5445,0.9588,2203.4556
58,22.1675,1.1766,0.8435,2172.5333
59,39.7257,2.2773,0.8384,2207.0444
60,26.2833,0.6101,1.0216,2246.5778
61,25.8939,0.7529542209918363,0.7584,2206.3
62,26.0522,1.1702,0.6641,2222.0111
63,26.2174,1.4616,0.9965,2207.3889
64,19.9076,2.2414,0.7506,2168.7
65,29.3176,1.5379,0.7015,2160.3667
66,23.6041,1.9706,0.9396,2175.9667
67,24.9899,1.1539,0.8435,2178.6889
68,14.1135,2.0544,0.7928,2238.5444
69,27.9713,0.7382,0.481,2223.0444
70,37.532,1.3796,0.6302,2191.9
71,24.5799,1.2366,0.6641,2194.9556
72,23.4468,1.5257,0.7611,2238.1444
73,30.0288,0.4832,0.7477,2218.0555
74,27.3802,1.4317,0.8471,2204.6667
75,27.3069,0.5758,0.6335,2167.2
76,25.7305,1.5604,0.4254,2231.0555
77,22.0576,0.5481,0.7337,2114.9905673821168
78,30.9387,1.7736,0.8136,2199.3
79,22.3195,0.6244,0.6927,2175.1222
80,23.5326,1.8291,1.0189,2233.1556
81,24.7337,0.5965,0.8146,2201.0667
82,26.2439,0.5518,0.7258,2213.9111
83,23.2157,1.8725,0.577,2179.2
84,20.2591,2.1221,1.0959,2222.3222
85,26.3407,1.0482,0.8595,2172.3111
86,37.4668,1.4978,1.1815,2213.7556
87,21.2309,0.7851,0.8752,2183.3111
88,44.783769805205026,1.2405,0.8716,2183.5
89,28.1684,1.39,0.5194,2211.4
90,31.4027,1.588,0.7392,2198.5667
91,28.9181,0.6811,1.0143,2250.3667
92,18.6295,1.4069,0.745,2173.4889
93,13.8957,1.6695,0.8435,2173.4556
94,28.0428,0.557,0.7032,2187.4111
95,26.4354,0.7473,0.7643,2216.4778
96,29.5723,0.7797,0.9079,2200.0666
97,30.6875,0.6728,0.8229,2195.4444
98,27.7301,1.4506,0.7611,2182.4111
99,25.4759,0.9418,0.9726,2211.7222
100,25.02,1.7597,0.7928,2186.9889
101,27.5264,1.5321,0.869,2170.9667
102,28.5851,0.4657,0.466,2227.2444
103,26.336,0.5311,1.062,2218.0555
104,21.0498,1.4331,0.6163,2223.0444
105,24.8429,0.6266,1.0551,2184.8778
106,20.9393,0.9017,0.6222,2162.7556
107,23.8674,0.6247,0.6796,2203.1667
108,17.735,0.5238,0.9639,2178.6889
109,44.783769805205026,1.6916,0.8556,2179.0445
110,26.254,1.2856,0.8133,2136.4111
111,22.9551,0.8812,0.593,2227.9778
112,23.7582,0.5256,0.6641,2178.1444
113,20.0076,0.7915,0.9274,2223.0444
114,36.3451,1.272,0.3973,2213.2889
