,feature_421,feature_478,feature_125,feature_34,feature_442
0,1.8087,6.0266,15.82,8.6915,0.9639
1,1.4549,4.8218,15.73,8.3006,0.8427
2,1.988,6.158899999999999,15.689999999999998,8.7418,0.9192999999999999
3,2.8063,5.0612,15.770000000000001,8.6829,0.7158
4,1.0932,7.4828,15.95,8.5891,1.1255
5,1.9699,3.5466000000000006,15.61,8.3383,0.9319999999999999
6,1.3589,3.3971,15.870000000000001,8.7512,0.5317
7,1.4902,4.7353,16.01,9.534,0.565
8,2.5141999999999998,6.8676,15.71,8.1605,0.9174999999999999
9,1.653,2.7876000000000003,15.71,8.5571,0.7032
10,0.9921,6.16694,15.84,9.131,0.7139
11,1.6263999999999998,3.369,15.71,8.8581,0.6373
12,0.9130999999999999,4.8707,15.73,8.8624,0.7655
13,1.1494,3.9522,15.870000000000001,8.2345,0.7233
14,2.5678,8.8016,15.84,9.1502,0.6667
15,0.5995,6.11,15.95,8.5891,1.1255
16,1.6993,6.0246,15.75,8.287,1.0541
17,1.4106,2.9235,15.73,8.5851,0.442
18,2.4229,4.0558,15.92,8.572,0.9237999999999998
19,1.9827,6.82888,15.97,9.7836,0.6987
20,1.5853,2.3646,15.74,9.0447,0.7534
21,2.1897999999999995,6.1617,15.680000000000001,9.2405,0.6901
22,1.686,3.2036,15.8,8.7635,0.7053
23,0.8224999999999999,6.0536,15.98,9.0121,0.8716
24,3.0263,5.1949,15.64,9.094,0.7613
25,0.9488999999999999,6.4204,15.85,8.536,1.1525
26,2.9276,5.1848,15.770000000000001,8.8287,0.9251
27,2.2843,3.9097,15.88,8.4092,0.9251
28,0.7504,6.014999999999999,15.779999999999998,9.6515,0.5669
29,0.6393,6.0748,15.74,9.1784,0.7898
30,0.7677,3.4708,15.96,9.754,0.577
31,0.5105,6.1979,15.63,8.5855,0.9588
32,1.9332,4.885700000000001,15.88,8.7994,0.8435
33,0.7364,3.9991,15.73,8.2395,1.0216
34,2.2048,3.9691,15.84,8.6397,0.9964999999999999
35,3.4596,3.2357,15.73,8.322,0.7506
36,1.8251,4.392200000000001,15.67,8.3331,0.9396
37,1.8930999999999998,7.684,15.88,8.7994,0.8435
38,0.7325,2.8027,15.75,9.088,0.481
39,1.4955,5.2293,15.814,8.8249,0.6302
40,1.7461,5.8268,15.71,8.6544,0.6641
