,feature_60,feature_478,feature_133,feature_349,feature_65,feature_124,feature_442,feature_164,feature_34,feature_383
0,0.6991,6.0266,2.3766,0.0237,19.3009,15.83,0.9639,0.128,8.6915,4.8488705508087024e-05
1,-1.4173,4.8218,2.3805,0.0272,21.4173,15.75,0.8427,0.157,8.3006,0.0006138488808639913
2,9.8518,5.0612,2.3725,0.03,30.1482,15.81,0.7158,0.135,8.6829,0.001458823031438015
3,1.0336,7.4828,2.3401,0.0243,18.9664,15.94,1.1255,0.108,8.5891,0.0008075421796781522
4,1.5745,3.3971,2.2877,0.02121191991083716,18.4255,15.91,0.5317,0.102,8.7512,0.0006
5,2.9282,4.7353,2.212,0.0339,17.0718,15.98,0.565,0.251,9.534,0.0005
6,-2.5027,6.8676,2.2959,0.0198,22.5027,15.73,0.9175,0.064,8.1605,0.0004
7,0.34,7.0359,2.3323,0.0116,19.66,15.98,0.7316,0.115,8.8043,0.000991904233489417
8,4.1691,6.8146,2.2674,0.0225,15.8309,15.84,0.8532,0.138,8.7556,0.0005
9,-3.74,2.7876,2.2564,0.0236,23.74,15.81,0.7032,0.125,8.5571,0.0008401239660040787
10,4.095622257378942,5.667155551775378,2.2784,0.0148,19.77682086591495,15.89,0.7139,0.112,9.131,0.0015
11,4.9555,9.9444,2.3499,0.0184,15.0445,15.61,0.9383,0.5124155910554695,8.441,-0.0001442843300867424
12,0.12,5.817,2.3122,0.0241,19.88,15.87,0.9965,0.13,8.6397,0.00024308866019090436
13,-2.0764,6.11,2.2937,0.0278,22.0764,15.98,1.1255,0.142,8.5891,0.000285562151480092
14,0.5518,6.0246,2.2757,0.0273,19.4482,15.86,1.0541,0.062,8.287,0.0009946331682315433
15,-0.9364,2.9235,2.2658,0.017,20.9364,15.77,0.442,0.189,8.5851,0.0003
16,-2.6564,2.3646,2.2434,0.0256,22.6564,15.78,0.7534,0.241,9.0447,0.0001
17,2.0318,4.3582,2.3187,0.0227,17.9682,15.8,0.5317,0.068,8.7512,0.002
18,-0.3309,3.2036,2.2616,0.0169,20.3309,15.86,0.7053,0.175,8.7635,0.0004
