,feature_1,feature_20,feature_22,feature_34,feature_60,feature_82,feature_91,feature_104,feature_112,feature_122,feature_127,feature_130,feature_131,feature_153,feature_154,feature_206,feature_247,feature_248,feature_320,feature_337,feature_461,feature_489,feature_511
0,3079.77,12.3686,-4750.75,8.6915,0.6991000000000014,-0.016100000000000003,9131.0599,-0.0095,231.77836,15.76,2.813,0.0,0.8202999999999999,0.2848,0.0127,9.22,3.9994599999999996,0.0152,11.0518,10.0329,14.7554,472.0497,84.9279
1,3001.36,12.4959,-5410.75,8.3006,-1.4173000000000007,-0.019599999999999992,8795.69,-0.0163,231.11734,15.76,2.9900000000000007,0.2837999999999999,0.8291,0.308,0.0065,7.31,3.18582,0.03106,7.0269,13.242699999999997,12.157,430.0637,25.230799999999995
2,3042.78,12.5553,-6456.75,8.7418,10.235500000000002,-0.023800000000000005,8615.15,-0.0108,233.86028000000002,15.65,2.918,-0.2837999999999999,0.5438,0.2132,0.0148,8.8,3.06482,0.0345,10.8718,11.0695,21.1169,389.4737,46.2963
3,3018.64,12.4469,-5775.0,8.6829,9.851800000000003,-0.015900000000000004,8363.73,-0.003800000000000001,230.7406,15.73,2.749,0.04729999999999975,0.8048000000000001,0.6531,0.0159,7.77,4.309019999999999,0.26081568189366156,9.476,8.0615,41.77479999999999,498.5871,114.28570000000002
4,3020.29,12.4618,-6900.5,8.5891,1.0335999999999996,-0.027099999999999996,8510.42,-0.0119,232.95828,15.9,2.7760000000000002,0.4258000000000001,0.7611,0.3602,0.007799999999999999,11.06,2.6757999999999997,0.01722,10.0446,10.0529,23.1457,213.8249,36.2869
5,2964.69,12.5492,-5546.0,9.0744,3.680900000000001,-0.0622,8365.7701,-0.0115,230.62256,15.819999999999999,3.0639999999999996,1.6550000000000002,0.8137000000000001,0.8524,0.0069,6.260000000000001,3.3681399999999995,0.01928,3.8933,7.9101,37.3638,59.1402,32.9718
6,2940.74,12.4124,-5408.75,8.9132,2.8109,-0.0241,9047.8399,-0.009299999999999998,231.1908,15.76,2.789,0.0,0.8253000000000003,0.368,0.014000000000000002,8.8,3.2714000000000003,0.030559999999999997,7.225899999999999,9.565,31.3174,367.1859,58.9023
7,3043.08,12.500400000000003,-5095.0,8.3383,1.5036000000000016,-0.025500000000000002,8493.8199,-0.0136,231.46896,15.65,2.982,2.4579999999999997,0.8346,0.5468,0.0137,5.24,3.70402,0.02586,8.1627,7.5607,23.5649,309.8039,51.3291
8,2932.61,12.5404,-5447.75,8.659,23.8245,-0.018199999999999997,9317.1698,-0.0026000000000000003,231.01888,15.9,3.094,-0.1891999999999997,0.8194,0.4909,0.0177,13.3,3.0332599999999994,0.1729,6.1797,8.9855,32.3594,191.7582,166.7625693771002
9,3031.78,12.5582,-4958.0,8.7512,1.5744999999999982,-0.01486,8785.91206,-0.010200000000000002,233.7235,15.92,2.783,-0.14189999999999994,0.8711999999999999,0.1965,0.0095,5.099999999999999,4.1804,0.027200000000000005,8.6833,11.8301,15.479600000000001,289.14442,46.02199999999999
