,feature_66,feature_442,feature_3,feature_299,feature_154
0,23.2216,0.9639,2207.0444,0.0595,0.0127
1,27.2716,0.8427,2155.3111,0.0662,0.0065
2,14.7061,0.9193,2173.4556,0.0519,0.0148
3,36.0791,0.7158,2224.0,0.0635,0.0159
4,24.3057,1.1255,2217.8111,0.0505,0.0078
5,19.1189,0.4782,2212.3,0.0242,0.0069
6,22.2064,0.656,2200.2,0.0655,0.014
7,25.3099,0.932,2209.8,0.0867,0.0137
8,24.2829,1.2771,2186.4111,0.08,0.0177
9,21.0974,0.5317,2182.5555,0.0449,0.0095
10,23.905,0.565,2173.2778,0.1099,0.013
11,17.5983,0.9361,2163.5889,0.1141,0.015
12,32.7483,0.9175,2162.5556,0.0266,0.0153
13,22.3647,0.7316,2236.0667,0.0486,0.0073
14,22.3694,0.8532,2239.4111,0.0607,0.0065
15,29.1429,0.7032,2227.2444,0.0585,0.0082
16,25.63381173722568,0.7139,2195.6667,0.0536,0.0057
17,44.78376974109432,0.8222,2207.0444,0.0868,0.0194
18,15.0471,0.6144,2164.3666,0.0359,0.0063
19,22.1659,0.9383,2170.0666,0.12570673895648993,0.0196
20,37.258,0.5593,2244.1111,0.0565,0.0153
21,21.7095,0.5836,2160.6,0.0166,0.0146
22,23.1287,0.78,2191.5667,0.0488,0.0072
23,30.7593,0.6373,2227.2222,0.071,0.0123
24,19.2834,0.7655,2224.6778,0.045,0.0053
25,27.2876,0.9965,2207.3889,0.0601,0.0167
26,24.3905,0.7928,2173.4556,0.053,0.0211
27,21.2465,0.7233,2210.8556,0.0643,0.0082
28,26.2754,0.6667,2230.4222,0.0339,0.0189
29,29.809,0.6641,2243.8556,0.1043,0.006
30,41.2374,0.7584,2171.9,0.0254,0.0131
31,30.4914,1.1255,2220.4778,0.0587,0.0047
32,22.9635,1.0541,2216.5,0.0286,0.0091
33,26.2691,0.442,2266.8333,0.0816,0.009
34,21.7926,0.9238,2205.7445,0.0679,0.0122
35,23.8157,0.6987,2124.8444,0.0472,0.01
36,26.4132,0.656,2208.5222,0.0175,0.0053
37,30.3233,0.7534,2228.4778,0.099,0.0114
38,26.448,0.8859,2247.3666,0.0257,0.0083
39,44.78376974109432,0.6901,2191.9,0.038,0.014
40,21.6831,0.5317,2191.3556,0.0327,0.0053
41,27.4102,1.0644,2223.0333,0.0384,0.0123
42,26.8979,0.6815,2165.0333,0.0393,0.0059
43,27.3211,0.7053,2189.9667,0.0805,0.0127
44,31.4501,0.5632,2218.0555,0.045,0.0148
45,23.5578,0.8716,2217.8667,0.0351,0.0065
46,22.1353,0.7613,2232.5889,0.0433,0.0203
47,32.7577,1.1525,2196.8,0.088,0.0061
48,22.7275,0.9136,2162.1333,0.1198,0.0058
49,33.272,0.684,2178.5889,0.0573,0.0155
50,30.1062,0.9251,2191.7889,0.0813,0.0161
51,25.9809,0.7663,2217.8667,0.0144,0.0167
52,24.7257,0.9251,2207.0444,0.061,0.0058
53,30.7182,0.5669,2206.4,0.0626,0.0065
54,44.78376974109432,0.7898,2196.6555,0.12570673895648993,0.0119
55,26.6305,0.8807,2183.1,0.0454,0.0055
56,22.5569,0.577,2228.4444,0.0397,0.0063
57,26.063,0.9588,2203.4556,0.0337,0.0053
58,22.1675,0.8435,2172.5333,0.05,0.0114
59,39.7257,0.8384,2207.0444,0.0339,0.0218
60,26.2833,1.0216,2246.5778,0.074,0.006
61,25.8939,0.7584,2206.3,0.0452,0.007405809631591129
62,26.0522,0.6641,2222.0111,0.0494,0.0113
63,26.2174,0.9965,2207.3889,0.0467,0.0142
64,19.9076,0.7506,2168.7,0.0387,0.0214
65,29.3176,0.7015,2160.3667,0.12570673895648993,0.0149
66,23.6041,0.9396,2175.9667,0.0644,0.0189
67,24.9899,0.8435,2178.6889,0.0875,0.0112
68,14.1135,0.7928,2238.5444,0.0535,0.0198
69,27.9713,0.481,2223.0444,0.0866,0.0072
