,feature_1,feature_20,feature_22,feature_34,feature_42,feature_60,feature_91,feature_92,feature_103,feature_104,feature_112,feature_116,feature_118,feature_122,feature_130,feature_131,feature_248,feature_288,feature_320,feature_337,feature_342,feature_421,feature_461,feature_469,feature_524,feature_588
0,3079.7700000000004,12.368599999999999,-4750.75,8.6915,2.2130000000000005,0.6991000000000006,9131.0599,-0.1835,0.08110000000000002,-0.0095,231.498265732319,785.5426,59.2662,15.76,0.0,0.8202999999999999,0.0152,0.09100000000000001,11.051800000000002,10.0329,2.6546999999999996,1.8087,14.755400000000002,0.0,0.04630000000000001,0.0194
1,3001.36,12.4959,-5410.75,8.3006,3.147,-1.4172999999999998,8795.69,0.016700000000000027,-0.0346,-0.0163,231.9436925581716,672.3211,58.7063,15.76,0.2837999999999999,0.8291,0.023546612992210756,0.0899,7.0269,9.791969704568388,2.0989,1.4549,12.157,0.0,0.07980000000000001,0.0276
2,3042.78,12.5553,-6456.75,8.7418,2.508,10.235499999999998,8615.15,-0.03160000000000001,-0.056299999999999996,-0.0108,231.90915097330196,751.7695,55.8504,15.65,-0.2837999999999999,0.5438,0.0345,0.0722,10.8718,11.0695,2.5012,1.988,21.1169,50.60840000000001,0.08992352127855345,0.0287
3,3018.64,12.4469,-5775.0,8.6829,4.97,9.8518,8363.73,0.010499999999999982,-0.0459,-0.0037999999999999996,233.29929338798968,705.2765,58.283100000000005,15.729999999999999,0.04729999999999975,0.8048,0.02808238574277704,0.1869,9.476,8.0615,2.4329,2.8063,41.7748,63.44010000000001,0.0728,0.014100000000000001
4,3020.29,12.4618,-6900.5,8.5891,2.9150000000000005,1.0336000000000003,8510.42,-0.028700000000000014,0.011199999999999984,-0.0119,231.39862839475524,719.8049,58.0262,15.9,0.4258000000000001,0.7611000000000001,0.028912011114948483,0.11879999999999999,10.0446,10.0529,3.2653,1.0932,23.145699999999998,432.45379999999994,0.1064,0.0114
5,2964.69,12.549199999999999,-5546.0,9.0744,2.3080000000000003,3.680899999999999,8365.7701,0.03519999999999999,-0.005399999999999993,-0.0115,230.78518854446253,711.4945,60.95069999999999,15.82,1.6550000000000002,0.8136999999999999,0.019226934365975,0.239,3.8933000000000004,7.910100000000001,2.2442,0.7021,37.3638,300.1976,0.1433,0.0251
6,2940.74,12.412399999999998,-5408.750000000001,8.9132,2.5440000000000005,2.810899999999999,9047.8399,-0.023099999999999992,-0.012199999999999994,-0.0093,231.1908,777.1425,58.9076,15.76,0.0,0.8253,0.02972950778109184,0.1101,7.225899999999999,9.565,2.5551000000000004,2.6353999999999997,31.317399999999996,160.8021,0.0992,0.0059
7,3043.08,12.5004,-5095.0,8.3383,3.409,1.5036,8493.8199,-0.1509,0.06930000000000001,-0.0136,232.40039630626706,741.9427,58.282000000000004,15.65,2.4579999999999997,0.8346,0.022443920494265825,0.163,8.1627,7.560699999999999,2.0186,1.9699,23.564899999999998,273.3374,0.09199999999999998,0.014800000000000002
8,2932.61,12.5404,-5447.75,8.659,5.434,1.7088304226936395,9317.1698,0.0553,0.013399999999999985,-0.0026,230.74886412416316,718.5777,58.4808,15.9,-0.1891999999999997,0.8194000000000001,0.03407662430010901,0.1479,6.1797,8.9855,3.7662999999999998,2.2942999999999993,32.3594,21.3645,0.0751,0.017942153369668756
9,3031.78,12.5582,-4958.0,8.7512,2.5860000000000003,1.574500000000001,8884.03910024987,-0.038300000000000015,0.03649999999999999,-0.0102,233.7235,826.7217,59.976400000000005,15.92,-0.14189999999999994,0.8712,0.028678934777664256,0.0616,8.6833,11.8301,1.6033,1.3589,15.4796,343.9224643693539,0.12280000000000003,0.0275
