,feature_421,feature_478,feature_125,feature_34,feature_442
0,1.8087,6.0266,15.82,8.6915,0.9639
1,1.4549,4.8218,15.73,8.3006,0.8427
2,1.988,6.158899999999999,15.689999999999998,8.7418,0.9192999999999999
3,2.8063,5.0612,15.770000000000001,8.6829,0.7158
4,1.0932,7.4828,15.95,8.5891,1.1255
5,0.7021,4.181300000000001,15.75,9.0744,0.4782
6,2.6353999999999997,5.9339,15.7,8.9132,0.656
7,1.9699,3.5466000000000006,15.61,8.3383,0.9319999999999999
8,2.2942999999999993,9.1221,15.95,8.659,1.2771
9,1.3589,3.3971,15.870000000000001,8.7512,0.5317
10,1.4902,4.7353,16.01,9.534,0.565
11,2.2458,5.268599999999999,15.99,8.5288,0.9361
12,2.5141999999999998,6.8676,15.71,8.1605,0.9174999999999999
13,0.9559000000000001,7.0359,15.95,8.8043,0.7316
14,0.8172999999999999,6.8146,15.79,8.7556,0.8531999999999998
15,1.653,2.7876000000000003,15.71,8.5571,0.7032
16,0.9921,6.16694,15.84,9.131,0.7139
17,2.7501,9.1675,15.73,8.5687,0.8222
18,0.5649,3.4324,16.07,8.7187,0.6144
19,3.0235,9.9444,15.54,8.441,0.9383
20,2.7521,5.9269,15.92,9.5642,0.5593
21,2.126,10.1458,15.66,8.6706,0.5836
22,1.0582,7.557099999999999,15.79,8.7867,0.78
23,1.6263999999999998,3.369,15.71,8.8581,0.6373
24,0.9130999999999999,4.8707,15.73,8.8624,0.7655
25,2.3232,5.817,15.84,8.6397,0.9964999999999999
26,2.6912,3.4949,15.99,9.5713,0.7928
27,1.1494,3.9522,15.870000000000001,8.2345,0.7233
28,2.5678,8.8016,15.84,9.1502,0.6667
29,0.8233000000000001,3.706,15.75,8.6544,0.6641
30,1.9599,7.1799,15.73,8.79266,0.7584
31,0.5995,6.11,15.95,8.5891,1.1255
32,1.6993,6.0246,15.75,8.287,1.0541
33,1.4106,2.9235,15.73,8.5851,0.442
34,2.4229,4.0558,15.92,8.572,0.9237999999999998
35,1.9827,6.82888,15.97,9.7836,0.6987
36,1.9321,7.1443,15.7,8.9132,0.656
37,1.5853,2.3646,15.74,9.0447,0.7534
38,1.3856,10.0705,15.76,8.9191,0.8858999999999999
39,2.1897999999999995,6.1617,15.680000000000001,9.2405,0.6901
