,feature_1,feature_20,feature_22,feature_34,feature_60,feature_122,feature_131,feature_206,feature_349,feature_511,feature_520
0,3079.77,12.3686,-4750.75,8.6915,0.6991000000000003,15.76,0.8203,9.22,0.023699999999999995,84.9279,3.2924
1,3001.36,12.4959,-5410.75,8.3006,-1.4173000000000002,15.76,0.8291000000000001,7.31,0.0272,25.2308,7.385280000000001
2,3042.78,12.5553,-6456.75,8.7418,10.235499999999996,15.649999999999999,0.5438,8.8,0.0163,46.2963,7.4392
3,3018.64,12.4469,-5775.0,8.6829,9.851800000000004,15.73,0.8048,7.77,0.030000000000000002,114.2857,46.47425574862458
4,3020.29,12.4618,-6900.5,8.5891,1.0335999999999994,15.9,0.7611,11.06,0.0243,36.2869,3.78848
5,2964.69,12.5492,-5546.0,9.0744,3.680900000000003,15.820000000000002,0.8137,6.259999999999999,0.0205,32.9718,4.2547
6,2940.74,12.4124,-5408.75,8.9132,2.8109000000000015,15.76,0.8253000000000001,8.8,0.0245,58.9023,6.810220000000001
7,3043.08,12.5004,-5095.0,8.3383,1.5036000000000003,15.649999999999999,0.8345999999999999,5.24,0.0174,51.3291,4.7830400000000015
8,2932.61,12.5404,-5447.75,8.659,23.8245,15.9,0.8194000000000001,13.3,0.0105,132.85278293010546,36.9067
9,3031.78,12.5582,-4958.0,8.7512,1.5745000000000005,15.92,0.8712,5.1,0.01926,46.022,6.38476
10,3028.08,12.5967,-5345.25,9.534,2.928200000000001,15.95,0.6778,6.99,0.0339,52.0231,8.0945
11,3003.82,12.4998,-5192.5,8.5288,5.499099999999998,15.94,0.6786,7.319999999999999,0.0172,29.4537,4.7135
12,2990.57,12.5373,-6623.75,8.1605,-2.5027,15.7,0.7048,9.69,0.0198,132.85278293010546,4.639640000000001
13,2986.5,12.4849,-5416.0,8.8043,0.3400000000000003,15.960000000000003,0.7527,10.32,0.0116,54.6154,3.3066000000000004
14,3219.75,12.5914,-5187.25,8.7556,4.1690999999999985,15.820000000000002,0.6888,10.11,0.022499999999999996,39.6285,7.261220000000001
15,2913.4,12.5488,-5153.75,8.5571,-3.7400000000000007,15.75,0.5638,4.12,0.0236,34.7826,7.420279999999999
16,3018.8,12.276893646663098,-5334.75,9.131,4.711999999999998,15.8,0.7865,8.768,0.0148,42.3963,15.522219999999997
17,2942.41,12.6278,-5410.5,8.5687,1.9482000000000006,15.77,0.8217,13.53,0.0381,91.9861,3.6092999999999997
18,2848.46,12.4716,-5233.75,8.7187,8.145500000000002,16.02,0.7403,4.95,0.0253,51.8112,6.55374
19,3010.26,12.4049,-4173.970024483161,8.441,4.955500000000001,15.59,0.6847,14.74,0.0184,48.329,7.752199999999999
20,3033.29,12.6278,-6363.000000000001,9.5642,9.188200000000002,15.83,0.7463,9.02,0.014,45.152,4.346
21,2941.23,12.58,-6257.500000000001,8.6706,2.2855,15.649999999999999,0.657,14.91,0.0162,42.0202,6.05004
22,3043.22,12.4849,-5607.25,8.7867,0.6190999999999987,15.74,0.6893,11.18,0.0229,71.028,9.4653
23,3021.61,12.4124,-5720.25,8.8581,-3.750900000000001,15.73,0.5042,4.95,0.0209,39.708,6.290519999999999
24,3048.76,12.512,-5122.5,8.8624,4.9118,15.75,0.8543,7.04,0.0154,30.837,4.1715
25,2986.106,12.4761,-5434.0,8.6397,0.11999999999999979,15.87,0.7784999999999999,8.33,0.0241,64.3929,5.903
26,2943.9,12.4753,-6349.75,9.5713,1.8173000000000006,15.92,0.7287,5.14,0.0445,50.7439,4.4127
27,2965.41,12.7051,-5419.75,8.2345,2.7926999999999986,15.87,0.7003,6.01,0.0245,56.044,4.3916
28,3030.27,12.4608,-6154.0,9.1502,2.110899999999999,15.83,0.7589,13.41,0.0177,132.85278293010546,6.953739999999999
29,3035.89,12.58,-5341.25,8.6544,-4.4109,15.84,0.8013999999999999,5.5,0.0199,34.6535,4.2035599999999995
30,2943.58,12.5698,-5474.25,10.053779039737469,8.9136,15.74,0.7681,10.22,0.03729999999999999,93.9683,36.3044
31,3006.39,12.5218,-6305.25,8.5891,-2.0763999999999996,15.930000000000001,0.7591,9.35,0.0278,33.2449,3.5725999999999996
32,3007.75,12.5488,-5639.75,8.287,0.5517999999999986,15.77,0.6423,8.84,0.0273,44.8065,4.885
33,2936.51,12.4059,-5977.250000000001,8.5851,-0.936399999999999,15.790000000000001,0.7822,4.38,0.017,25.3365,10.911960000000002
34,3021.83,12.4349,-5466.75,8.572,5.206400000000003,15.9,0.8536,5.7,0.0207,37.3464,3.9393
35,3033.29,12.4998,-6279.0,9.7836,1.2835999999999999,15.95,0.7232,17.847436190549466,0.03189999999999999,28.333300000000005,6.341900000000001
36,3230.1250333219627,12.56,-5477.0,8.9132,1.0027,15.76,0.8253000000000001,10.4,0.0221,38.9189,7.495760000000001
37,2951.06,12.5967,-5371.5,9.0447,-2.6563999999999997,15.74,0.7154,3.49,0.0256,44.3778,9.473700000000001
38,2994.06,12.2981,-5176.25,8.9191,-0.0636000000000001,15.83,0.8145,15.35,0.0253,55.9242,8.72654
39,2955.3,12.4247,-5641.25,9.2405,3.9055,15.7,0.7860000000000001,8.66,0.0164,61.7647,3.8763
40,2996.65,12.649,-5193.25,8.7512,2.0317999999999996,15.74,0.8781,6.369999999999999,0.022699999999999998,23.7037,5.02776
41,2988.99,12.4231,-5369.0,8.9336,17.3873,15.98,0.6287,8.26,0.0461,69.6774,6.9757
42,3054.52,12.6122,-5770.75,8.8909,-0.1544999999999993,15.820000000000002,0.8343,6.33,0.0241,21.3577,4.7976
43,3221.21,12.551,-5658.25,8.7635,-0.3308999999999988,15.8,0.5662,4.78,0.0169,42.4178,6.33714
44,2977.43,12.4616,-5282.75,9.1855,-5.718200000000001,15.87,0.8116999999999999,9.82,0.014400000000000001,49.0251,4.40258
45,3017.87,12.5018,-5936.0,9.0121,3.649999999999998,15.97,0.7987,9.02,0.0247,46.2312,4.1212
46,2960.574,12.5088,-5657.75,9.094,25.5127,15.7,0.6925,7.739999999999999,0.015100000000000002,77.2727,13.6335
47,3230.1250333219627,12.4661,-5226.5,8.536,-5.647300000000001,15.790000000000001,0.6755,9.04,0.025200000000000004,26.8344,9.7529
48,3182.87,12.6122,-5603.75,8.8097,1.8608999999999989,15.78,0.821,3.85,0.0197,61.8725,4.7375
49,3037.2,12.498,-5508.5,8.58,-4.4927,15.84,0.8013999999999999,6.779999999999999,0.0141,34.0852,3.5462
50,3024.15,12.6202,-6112.25,8.8287,17.400000000000002,15.75,0.7085,7.23,0.0256,132.85278293010546,12.6951
51,3004.71,12.4706,-5422.0,8.7219,1.6073000000000008,16.0,0.7975,7.03,0.0232,43.7856,41.0461
52,2894.04,12.4616,-6280.75,8.4092,0.8872999999999994,15.820000000000002,0.6518,5.71,0.04999352051195748,60.3015,20.573919999999998
53,2997.45,12.6012,-5425.5,9.6515,-2.713599999999999,15.87,0.7223,9.09,0.0211,16.3107,17.299371149724912
54,2950.0,12.4743,-4173.970024483161,9.1784,5.338199999999997,15.72,0.7304,9.26,0.0162,56.47059999999999,10.8909
55,2997.15,12.4841,-6310.25,8.5987,1.6373000000000009,15.74,0.6887,8.83,0.0236,24.6154,3.3605
56,3058.6,12.4618,-5490.25,9.754,2.969100000000001,15.92,0.7436,5.07,0.0141,67.0391,4.4362
57,2940.26,12.4743,-5273.0,8.5855,-1.0991000000000004,15.619999999999997,0.7697,8.97,0.0154,35.2423,10.9789
58,3053.49,12.5894,-5427.75,8.7994,2.9518,15.87,0.8243999999999999,7.15,0.0194,42.4178,3.7925000000000004
59,3035.75,12.47,-6439.0,8.5177,-10.37,15.820000000000002,0.6751,6.909999999999999,0.04999352051195748,44.3497,19.630560000000003
60,3017.39,12.276893646663098,-5250.75,8.2395,1.3444999999999991,15.76,0.7906000000000001,5.94,0.0208,34.4322,4.60352
61,2978.81,12.4555,-5153.25,8.1728,1.1664000000000005,15.733999999999998,0.70486,5.33,0.024598704102391497,54.833,6.9998000000000005
62,2994.22,12.5412,-5359.25,8.6544,0.18729999999999974,15.8,0.8826,5.2,0.0248,27.8134,3.7733399999999997
63,3040.34,12.5222,-5575.25,8.6397,0.48359999999999936,15.87,0.7784999999999999,5.95,0.0185,102.9126,4.973700000000001
64,3171.54,12.499,-6029.0,8.322,4.080900000000001,15.790000000000001,0.8529,4.87,0.0208,31.7181,5.675680000000001
65,2884.74,12.4761,-4173.970024483161,9.2007,18.3936,15.960000000000003,0.8093,6.28,0.038599999999999995,60.1156,46.47425574862458
66,3045.07,12.4349,-5371.25,8.3331,1.2808999999999988,15.649999999999999,0.6697,6.47,0.0208,41.9175,3.8306999999999998
67,3085.57,12.5302,-5932.0,8.7994,0.5682000000000003,15.87,0.8243999999999999,11.19,0.0183,36.7722,7.763600000000001
68,2954.36,12.4896,-6383.75,9.5713,8.095500000000003,15.74,0.698,10.23,0.04999352051195748,33.8425,19.7945
69,2908.47,12.5722,-5377.0,9.088,-1.970000000000001,15.820000000000002,0.8137,4.15,0.0337,27.8652,5.53588
70,3031.9,12.4743,-5393.25,8.8249,-8.2255,15.791999999999998,0.7994600000000001,7.58,0.013800000000000002,76.815,5.45766
71,3084.23,12.5488,-5692.5,8.6544,-0.7500000000000014,15.75,0.562,8.49,0.025,57.1429,3.8743
72,2914.04,12.4647,-5326.5,8.6472,0.16269999999999873,15.78,0.821,4.89,0.0215,35.2941,5.0895
73,2993.48,12.4759,-6453.75,9.996400000000001,-1.9555000000000007,15.8,0.7527,10.52,0.020099999999999996,114.5263,12.528780000000001
74,2990.46,12.4245,-5175.5,8.7538,-1.3018,15.56,0.592,8.42,0.0281,50.9091,6.13386
75,3064.81,12.5094,-5336.0,9.0425,-0.019099999999999683,15.92,0.7436,9.75,0.0149,18.1303,9.0472
76,3019.44,12.4363,-5305.25,9.1526,-2.0326999999999993,15.81,0.7189,7.01,0.0229,33.0312,5.96786
77,3058.91,12.5106,-5548.25,8.8546,3.0981999999999994,15.84,0.8349000000000001,7.05,0.0192,25.3968,9.3272
78,2963.26,12.5184,-5426.0,8.2963,-2.9608999999999988,15.63,0.6534,10.81,0.0134,17.6991,16.81778
79,3010.75,12.5145,-5329.25,8.8519,3.5436000000000023,15.76,0.8121,6.559999999999999,0.0199,43.9407,0.0
80,2939.6,12.5302,-6447.25,8.5779,1.512699999999999,15.960000000000003,0.8162,12.38,0.023899999999999998,40.4669,5.06194
81,2965.52,12.499,-5545.75,8.8132,1.1700000000000006,15.86,0.8318,6.389999999999999,0.0234,45.5516,31.7587
82,3188.9,12.2981,-5439.25,8.9979,-0.8045,15.72,0.5708,7.99,0.0152,61.2903,7.762440000000001
83,3025.81,12.4896,-5513.5,9.754,2.9899999999999993,15.86,0.7747,9.9,0.0461,20.6769,3.6451
84,3049.19,12.4371,-6472.500000000001,8.6667,27.3427,15.7,0.7636,10.31,0.0135,85.7645,9.2278
85,3033.11,12.3351,-5339.5,8.1161,0.6999999999999996,15.74,0.6304,5.88,0.0175,48.9412,3.8897999999999997
86,2917.09,12.6278,-5633.25,8.6013,10.9955,15.77,0.6586,13.97,0.0306,64.6204,7.139700000000001
87,3072.41,12.5065,-5763.75,9.7324,1.7373000000000016,15.72,0.6556,6.4,0.0269,53.4954,26.741500000000002
88,3041.23,12.5906,-5362.75,9.0121,-19.9927,15.97,0.7987,10.01,0.032299999999999995,58.9474,3.1947
89,3225.54,12.4018,-5663.5,8.8356,0.9573000000000002,15.95,0.6778,8.32,0.0219,63.4409,5.50018
90,3052.31,12.402,-6408.75,8.9607,-3.3555,15.92,0.8712,9.54,0.02112,29.4372,9.60566
91,2978.96,12.5661,-5434.25,8.8078,-0.6326999999999997,15.790000000000001,0.8404999999999999,8.16,0.0169,26.1328,7.2025
92,3075.05,12.4018,-5138.5,8.7782,5.069099999999997,16.03,0.7772,4.13,0.0193,43.9462,7.28368
93,2949.82,12.5553,-5343.0,8.7994,11.290899999999999,15.9,0.6802,15.560000000000002,0.021,39.5062,6.7939
94,3007.47,12.5429,-5621.0,8.5571,-2.6109000000000004,15.85,0.822,3.84,0.015100000000000002,31.7073,0.0
95,3158.88,12.5031,-5135.0,8.9635,-0.3736000000000005,15.930000000000001,0.7591,8.67,0.0127,62.9108,3.2042
96,2985.38,12.4618,-5750.0,8.6427,-1.1391000000000013,15.92,0.8079999999999999,4.95,0.020400000000000005,69.12,10.7883
97,3183.63,12.5453,-5491.75,10.053779039737469,-4.99,15.7,0.6102,6.33,0.02102,31.7101,4.0374
98,3025.04,12.3869,-5160.75,8.6472,-0.9090999999999999,15.56,0.592,6.32,0.0176,47.2761,4.572299999999999
99,3055.66,12.4769,-5763.0,8.2638,1.8164000000000011,15.7,0.7308,8.59,0.022600000000000002,46.0028,7.343600000000001
100,3037.81,12.4104,-6391.5,9.5713,0.12270000000000063,15.790000000000001,0.6755,8.98,0.0262,51.4745,8.4982
101,3007.38,12.4724,-6409.5,8.5251,0.8745000000000008,15.88,0.7884,7.209999999999999,0.0125,47.4506,5.7412
102,2945.9,12.4996,-5966.750000000001,8.7779,-1.0181999999999995,15.75,0.5013,9.49,0.0142,38.6555,5.141400000000001
103,2940.72,12.448,-6259.5,8.8513,0.3035999999999997,15.73,0.6834,9.79,0.0189,46.9294,9.44224
104,2873.83,12.5439,-5445.25,8.6556,2.0508999999999995,15.88,0.7202,12.38,0.026,60.6593,5.22166
105,2949.65,12.5506,-5707.5,9.0998,22.792700000000004,15.73,0.8764,12.74,0.0352,132.85278293010546,28.1945
106,3080.89,12.5663,-5618.75,8.5889,4.146400000000002,15.619999999999997,0.7697,12.08,0.020200000000000003,62.7054,9.91146
107,3202.9,12.6149,-5390.0,8.8973,0.32450000000000084,15.64,0.7573,12.8,0.04999352051195748,58.8556,9.966579999999999
108,2933.88,12.4655,-5487.25,8.6915,6.1526999999999985,15.87,0.8116999999999999,3.86,0.0183,54.8792,6.1341
109,2954.1,12.6063,-5518.0,8.7879,-1.8473000000000004,15.790000000000001,0.8187000000000001,13.31,0.024899999999999995,108.9974,9.4629
110,2953.41,12.601,-5539.5,8.2823,-1.643599999999999,15.67,0.7639,10.41,0.020200000000000003,47.36,5.4295599999999995
111,3059.68,12.4431,-5402.0,8.6799,2.298199999999999,15.77,0.8318,6.12,0.0171,55.7971,6.046860000000001
112,3044.46,12.5849,-6599.25,9.1638,23.8864,15.74,0.7429,5.27,0.03949999999999999,83.3747,12.473999999999998
113,2997.84,12.5039,-5260.25,8.9605,3.810899999999998,15.88,0.7202,7.53,0.0146,69.7789,12.131760000000002
114,2990.66,12.4839,-5415.25,9.7137,-6.740000000000001,15.67,0.7131,7.3,0.0195,41.543,4.700940000000001
115,3026.86,12.5469,-5641.0,9.7571,2.261800000000001,15.7,0.6815,12.5,0.0253,39.8804,3.9501199999999996
116,2990.72,12.448,-5803.0,8.5459,1.924499999999999,15.92,0.7287,6.76,0.0136,54.9102,7.7789
117,3012.68,12.3578,-5125.75,8.3663,-0.4409000000000004,15.75,0.5882,8.97,0.0175,55.0265,5.63626
