,feature_1,feature_20,feature_22,feature_29,feature_34,feature_60,feature_79,feature_91,feature_92,feature_103,feature_104,feature_110,feature_116,feature_122,feature_127,feature_130,feature_131,feature_148,feature_181,feature_206,feature_248,feature_288,feature_300,feature_320,feature_337,feature_461,feature_564
0,3079.7700000000004,12.368599999999999,-4750.75,66.4,8.6915,0.6990999999999984,-0.1113,9131.0599,-0.1835,0.08110000000000002,-0.0095,0.981,785.5426,15.76,2.813,0.0,0.8202999999999999,0.0173,16.29,9.22,0.0152,0.091,0.0574,11.051800000000002,10.0329,14.755400000000002,0.8015
1,3001.36,12.4959,-5410.75,75.8111,8.3006,-1.4172999999999998,-0.028099999999999997,8795.69,0.016700000000000027,-0.0346,-0.0163,0.9798,672.3211,15.76,2.99,0.2837999999999999,0.8291,0.014,20.54,7.31,0.024659999999999998,0.0899,0.0477,7.0269,9.77764,12.157,0.6708
2,3042.78,12.5553,-6456.75,71.3111,8.7418,10.2355,-0.066,8615.15,-0.03160000000000001,-0.056299999999999996,-0.0108,0.97874,751.7695,15.65,2.918,-0.2837999999999999,0.5438,0.0189,15.43,8.8,0.0345,0.0722,0.0335,10.8718,11.0695,21.1169,0.5671
3,3018.64,12.4469,-5775.0,70.0556,8.6829,9.851799999999999,-0.059500000000000004,8363.73,0.010499999999999982,-0.0459,-0.0037999999999999996,0.98056,705.2765,15.729999999999999,2.749,0.04729999999999975,0.8048,0.0267,20.210000000000004,7.77,0.028060000000000005,0.1869,0.0728,9.476,8.0615,41.7748,0.67282
4,3020.29,12.4618,-6900.5,67.0222,8.5891,1.0335999999999992,-0.027199999999999995,8510.42,-0.028700000000000014,0.011199999999999984,-0.0119,0.98034,719.8049,15.9,2.776,0.4258000000000001,0.7611000000000001,0.0106,24.14,11.06,0.027480000000000004,0.1188,0.0374,10.0446,10.0529,23.145699999999998,0.70124
5,2964.69,12.549199999999999,-5546.0,70.4,9.0744,3.680899999999999,-0.0012999999999999884,8365.7701,0.03519999999999999,-0.005399999999999993,-0.0115,0.98054,711.4945,15.82,3.064,1.6550000000000002,0.8136999999999999,0.0069,20.23,6.26,0.01918,0.23899999999999996,0.0569,3.8933000000000004,7.910100000000001,37.3638,0.5671
6,2940.74,12.412399999999998,-5408.750000000001,73.9778,8.9132,2.8109,0.0811,9047.8399,-0.023099999999999992,-0.012199999999999994,-0.0093,0.9794,777.1425,15.76,2.789,0.0,0.8253,0.0251,18.31,8.8,0.029480000000000006,0.11010000000000002,0.0337,7.225899999999999,9.565,31.317399999999996,0.5671
7,3043.08,12.5004,-5095.0,69.4222,8.3383,1.5035999999999994,0.013199999999999995,8493.8199,-0.1509,0.06930000000000001,-0.0136,0.98236,741.9427,15.65,2.982,2.4579999999999997,0.8346,0.0189,18.92,5.24,0.022440000000000005,0.163,0.0085,8.1627,7.560699999999999,23.564899999999998,0.5671
8,2932.61,12.5404,-5447.75,67.1333,8.659,1.6894599999999984,0.021300000000000006,9317.1698,0.0553,0.013399999999999985,-0.0026,0.98168,718.5777,15.9,3.094,-0.1891999999999997,0.8194000000000001,0.0221,17.78,13.3,0.03406000000000001,0.1479,0.0583,6.1797,8.9855,32.3594,0.9032
9,3031.78,12.5582,-4958.0,72.4889,8.7512,1.574499999999998,-0.0005600000000000176,8877.82208,-0.038300000000000015,0.03649999999999999,-0.0102,0.9835,826.7217,15.92,2.783,-0.14189999999999994,0.8712,0.0132,21.43,5.1,0.028739999999999998,0.0616,0.033280000000000004,8.6833,11.8301,15.4796,0.5671
10,3028.08,12.5967,-5345.25,68.4333,9.534,2.9281999999999986,0.02739999999999999,8078.23,0.019299999999999987,-0.03740000000000001,-0.0086,0.9811,681.0371,15.95,2.58,0.5203999999999996,0.6778,0.0144,18.17,6.990000000000001,0.020960000000000003,0.21939999999999998,0.042800000000000005,7.2602,8.5805,13.0192,0.6454
11,3003.82,12.4998,-5192.5,67.5,8.5288,5.499100000000001,-0.049300000000000004,8564.1802,-0.030100000000000005,-0.016599999999999993,-0.0105,0.97964,729.4385,15.94,2.6490000000000005,-0.5677000000000001,0.6786,0.0214,21.87,7.32,0.0217,0.1281,0.0703,11.3343,11.094,27.419400000000003,0.7538
12,2990.57,12.537300000000002,-6623.75,70.5667,8.1605,-2.502700000000001,-0.0438,8808.85,-0.1331,0.009900000000000003,-0.0094,0.9840000000000001,801.3997,15.699999999999998,2.533,0.0,0.7048,0.0241,24.36,9.69,0.03002,0.1273,0.021599999999999998,4.2805,10.1164,33.2053,0.8863
13,2986.5,12.4849,-5416.0,68.7333,8.8043,0.34000000000000025,-0.06040000000000001,8303.47,-0.02720000000000001,-0.0323,-0.013,0.9777600000000001,722.202,15.96,2.892,-0.9461000000000002,0.7527,0.0092,17.13,10.32,0.0153,0.1075,0.0308,6.6974,11.13,30.5482,0.8809
14,3035.48,12.5914,-5187.25,68.0889,8.7556,4.169100000000003,0.02369999999999999,8508.81,0.04250000000000002,-0.0867,-0.0121,0.9817,725.1428,15.82,2.654,-0.4258000000000001,0.6888,0.008,24.51,10.11,0.022240000000000003,0.0812,0.04440000000000001,4.6509,10.0258,24.0618,0.5842
15,2913.4,12.5488,-5153.750000000001,75.5556,8.5571,-3.739999999999999,0.0437,9303.0001,0.03299999999999998,-0.04000000000000001,-0.0098,0.9769800000000001,762.0218,15.750000000000002,2.389,-3.4960000000000004,0.5638,0.0159,24.43,4.12,0.02916,0.1219,0.017099999999999997,8.643,10.0281,55.391,0.6099
16,3018.8,12.43956,-5334.749999999999,69.5222,9.131,0.5361799999999985,-0.0513,9207.0201,0.0,0.0,-0.0108,0.9795,735.5572,15.8,2.686,0.0,0.7865,0.0096,16.77,9.198,0.02784,0.0711,0.0341,8.7444,8.75342,44.9213,0.7777
17,2942.41,12.6278,-5410.500000000001,69.0111,8.5687,1.9481999999999986,-0.059500000000000004,8738.47,0.01599999999999999,0.005199999999999995,-0.0072,0.97958,749.6408,15.77,2.792,0.0,0.8217,0.0262,16.87,13.53,0.0167,0.21589999999999998,0.042,9.9818,10.2062,20.7031,0.7139
