,feature_66,feature_349,feature_248,feature_442,feature_478,feature_133,feature_383,feature_563,feature_60,feature_164,feature_124
0,27.2716,0.0272,0.052994325196854715,0.8427,4.8218,2.3805,0.0009259237066805981,250.084,-1.4173,0.157,15.75
1,36.0791,0.03,0.055912977862836846,0.7158,5.0612,2.3725,0.0020282585081652857,262.3846162409049,9.8518,0.135,15.81
2,24.3057,0.0243,0.052035876483588386,1.1255,7.4828,2.3401,0.0008879177569652216,261.6473064761434,1.0336,0.108,15.94
3,19.1189,0.0205,0.04919970802357518,0.4782,4.1813,2.2797,-7.863457581008468e-05,264.272,3.6809,0.056,15.86
4,25.3099,0.0174,0.04981987128403506,0.932,3.5466,2.3081,0.0005313831813675285,264.272,1.5036,0.193,15.69
5,21.0974,0.021428223594178092,0.04943901042753886,0.5317,3.3971,2.2877,0.0006,264.272,1.5745,0.102,15.91
6,32.7483,0.0198,0.0534516476926288,0.9175,6.8676,2.2959,0.0004,270.44,-2.5027,0.064,15.73
7,29.1429,0.0236,0.05066415388894193,0.7032,2.7876,2.2564,0.0007323308039014105,258.924,-3.74,0.125,15.81
8,26.835832370706804,0.0148,0.036593525802320365,0.7139,5.630103687038305,2.2784,0.0015,249.918,6.122243321694292,0.112,15.89
9,37.258,0.014,0.0202,0.5593,5.9269,2.2928,0.0016828840318811808,262.788425279375,9.1882,0.136,15.91
10,21.7095,0.0162,0.05013267309998335,0.5836,10.1458,2.3146,0.0015085506920662385,264.272,2.2855,0.035,15.7
11,30.7593,0.0209,0.04727225075724586,0.6373,3.369,2.272,0.0008667316707295231,264.272,-3.7509,0.168,15.75
12,29.809,0.0199,0.042438108040017436,0.6641,3.706,2.4241,0.0006,264.272,-4.4109,0.213,15.88
13,41.2374,0.0373,0.1677,0.7584,7.1799,2.3684,0.0012497377968208635,260.674,8.9136,0.062,15.77
14,30.4914,0.0278,0.0162,1.1255,6.11,2.2937,0.00028143422534797,261.73917405070296,-2.0764,0.142,15.98
15,26.2691,0.017,0.03492806654299936,0.442,2.9235,2.2658,0.0003,277.55,-0.9364,0.189,15.77
16,21.7926,0.0207,0.018,0.9238,4.0558,2.3817,0.0012,264.272,5.2064,0.158,15.85
17,23.8157,0.0319,0.0293,0.6987,12.6757,2.2771,0.0008648924319003756,264.47,1.2836,0.114,16.01
18,30.3233,0.0256,0.04462655090395562,0.7534,2.3646,2.2434,0.0001,272.572,-2.6564,0.241,15.78
19,26.448,0.0253,0.0483720860484347,0.8859,10.0705,2.2569,0.0004,256.014,-0.0636,0.054,15.84
20,27.4102,0.0461,0.0332,1.0644,5.7628,2.2887,0.0007134642279013823,265.49,17.3873,0.088,15.99
