,feature_1,feature_20,feature_22,feature_34,feature_60,feature_116,feature_122,feature_130,feature_131,feature_206,feature_320,feature_337,feature_461,feature_511
0,3079.77,12.3686,-4750.75,8.6915,0.6991000000000003,785.5426,15.76,0.0,0.8203,9.22,11.0518,10.0329,14.755399999999998,84.9279
1,3001.36,12.4959,-5410.75,8.3006,-1.4173000000000002,672.3211,15.76,0.2837999999999999,0.8291000000000001,7.31,7.0269,13.2427,12.157,25.2308
2,3042.78,12.5553,-6456.75,8.7418,10.235499999999996,751.7695,15.649999999999999,-0.2837999999999999,0.5438,8.8,10.8718,11.0695,21.1169,46.2963
3,3018.64,12.4469,-5775.0,8.6829,9.851800000000004,705.2765,15.73,0.04729999999999975,0.8048,7.77,9.476000000000003,8.0615,41.7748,114.2857
4,3020.29,12.4618,-6900.5,8.5891,1.0335999999999994,719.8049,15.900000000000002,0.4258000000000001,0.7611,11.06,10.044600000000003,10.0529,23.1457,36.2869
5,2964.69,12.5492,-5546.0,9.0744,3.680900000000003,711.4945,15.820000000000002,1.6550000000000002,0.8137,6.259999999999999,3.8933,7.9101,37.3638,32.9718
6,2940.74,12.4124,-5408.75,8.9132,2.8109000000000015,777.1424999999999,15.76,0.0,0.8253000000000001,8.8,7.2259,9.565,31.3174,58.9023
7,3043.08,12.5004,-5095.0,8.3383,1.5036000000000003,741.9427,15.649999999999999,2.4579999999999997,0.8345999999999999,5.24,8.1627,7.5607,23.5649,51.3291
8,2932.61,12.5404,-5447.75,8.659,23.8245,718.5777,15.900000000000002,-0.1891999999999997,0.8194000000000001,13.3,6.1797,8.9855,32.3594,132.85278293010546
9,3031.78,12.5582,-4958.0,8.7512,1.5745000000000005,826.7217,15.92,-0.14189999999999994,0.8712,5.1,8.683300000000001,11.8301,15.4796,46.022
10,3028.08,12.5967,-5345.25,9.534,2.928200000000001,681.0371,15.95,0.5203999999999996,0.6778,6.99,7.260200000000001,8.5805,13.0192,52.0231
11,3003.82,12.4998,-5192.5,8.5288,5.499099999999998,729.4385,15.94,-0.5677000000000001,0.6786,7.319999999999999,11.3343,11.094,27.419399999999996,29.4537
12,2990.57,12.5373,-6623.75,8.1605,-2.5027,801.3997,15.7,0.0,0.7048,9.69,4.2805,10.1164,33.2053,132.85278293010546
13,2986.5,12.4849,-5416.0,8.8043,0.3400000000000003,722.202,15.96,-0.9461000000000002,0.7527,10.32,6.697400000000001,11.13,30.548199999999998,54.6154
14,3219.75,12.5914,-5187.25,8.7556,4.1690999999999985,725.1428,15.820000000000002,-0.4258000000000001,0.6888,10.11,4.6509,10.0258,24.061799999999998,39.6285
15,2913.4,12.5488,-5153.75,8.5571,-3.7400000000000007,762.0218,15.749999999999998,-3.4960000000000004,0.5638,4.12,8.643,10.0281,55.391,34.7826
16,3018.8,12.276893646663098,-5334.75,9.131,4.711999999999998,735.5572,15.8,0.0,0.7865,8.768,8.744400000000002,9.08782,44.9213,42.3963
17,2942.41,12.6278,-5410.5,8.5687,1.9482000000000006,749.6408,15.77,0.0,0.8217,13.53,9.9818,10.2062,20.7031,91.9861
18,2848.46,12.4716,-5233.75,8.7187,8.145500000000002,798.0013,16.02,-0.7568999999999998,0.7403,4.95,8.8329,12.8157,25.440699999999996,51.8112
19,3010.26,12.4049,-4173.970024483161,8.441,4.955500000000001,691.3175,15.59,-0.14189999999999994,0.6847,14.74,6.369,8.8046,14.845299999999998,48.329
20,3033.29,12.6278,-6363.000000000001,9.5642,9.188200000000002,809.4099,15.83,-0.3784000000000001,0.7463,9.02,10.0419,8.4756,26.161,45.152
21,2941.23,12.58,-6257.500000000001,8.6706,2.2855,730.9317,15.649999999999999,1.0399999999999998,0.657,14.91,6.6024,13.5441,16.8406,42.0202
22,3043.22,12.4849,-5607.25,8.7867,0.6190999999999987,742.3405,15.74,-0.9461000000000002,0.6893,11.18,6.268299999999999,11.5569,28.8304,71.028
23,3021.61,12.4124,-5720.25,8.8581,-3.750900000000001,710.5846,15.73,-3.449,0.5042,4.95,9.5407,9.9534,21.7993,39.708
24,3048.76,12.512,-5122.5,8.8624,4.9118,782.5507,15.749999999999998,0.7096,0.8543,7.04,8.1451,9.5915,36.519,30.837
25,2986.106,12.4761,-5434.0,8.6397,0.11999999999999979,804.2368,15.87,-0.4258000000000001,0.7784999999999999,8.33,7.129200000000001,9.1303,31.398699999999998,64.3929
26,2943.9,12.4753,-6349.75,9.5713,1.8173000000000006,763.2943000000001,15.92,0.23650000000000015,0.7287,5.14,9.9673,8.5625,66.32594271826702,50.7439
27,2965.41,12.7051,-5419.75,8.2345,2.7926999999999986,815.9082,15.87,-0.8042000000000002,0.7003,6.01,8.870600000000001,8.674,19.1756,56.044
28,3030.27,12.4608,-6154.0,9.1502,2.110899999999999,806.2734,15.83,-0.4730999999999999,0.7589,13.41,5.168499999999999,8.099,23.6929,132.85278293010546
29,3035.89,12.58,-5341.25,8.6544,-4.4109,730.2174,15.840000000000002,-2.553,0.8013999999999999,5.5,6.7671,8.0188,32.6596,34.6535
30,2943.58,12.5698,-5474.25,10.053779039737469,8.9136,737.8589,15.74,-0.3310999999999997,0.7681,10.22,6.181199999999999,7.9086,53.5488,93.9683
31,3006.39,12.5218,-6305.25,8.5891,-2.0763999999999996,755.3514,15.930000000000003,-1.655,0.7591,9.35,8.1083,10.3051,33.3826,33.2449
32,3007.75,12.5488,-5639.75,8.287,0.5517999999999986,782.4785,15.77,0.04729999999999975,0.6423,8.84,8.660400000000001,9.7387,56.318,44.8065
33,2936.51,12.4059,-5977.250000000001,8.5851,-0.936399999999999,682.5904,15.790000000000001,-2.222,0.7822,4.38,7.3995,8.7863,22.4105,25.3365
34,3021.83,12.4349,-5466.75,8.572,5.206400000000003,744.1374,15.900000000000002,0.0,0.8536,5.7,8.0433,9.4316,18.8183,37.3464
35,3033.29,12.4998,-6279.0,9.7836,1.2835999999999999,702.0668,15.95,-0.5203999999999996,0.7232,17.847436190549466,11.4268,13.0936,14.2191,28.333300000000005
36,3230.1250333219627,12.56,-5477.0,8.9132,1.0027,768.3565000000001,15.76,0.0,0.8253000000000001,10.4,10.371200000000002,9.8985,28.1081,38.9189
37,2951.06,12.5967,-5371.5,9.0447,-2.6563999999999997,811.2656,15.74,-0.5203999999999996,0.7154,3.49,7.9876,8.1657,18.1961,44.3778
38,2994.06,12.2981,-5176.25,8.9191,-0.0636000000000001,827.0727,15.83,-2.93,0.8145,15.35,7.509400000000001,8.1525,46.5021,55.9242
39,2955.3,12.4247,-5641.25,9.2405,3.9055,759.1619,15.7,0.7568999999999998,0.7860000000000001,8.66,5.9099,7.8787,29.5865,61.7647
40,2996.65,12.649,-5193.25,8.7512,2.0317999999999996,791.9736,15.74,0.6622999999999996,0.8781,6.369999999999999,9.0252,12.3178,20.8576,23.7037
41,2988.99,12.4231,-5369.0,8.9336,17.3873,735.4067,15.98,-0.04729999999999975,0.6287,8.26,5.7219999999999995,8.585,30.4356,69.6774
42,3054.52,12.6122,-5770.75,8.8909,-0.1544999999999993,787.916,15.820000000000002,0.04729999999999975,0.8343,6.33,4.7959,8.9376,28.4535,21.3577
43,3221.21,12.551,-5658.25,8.7635,-0.3308999999999988,714.6349,15.8,-1.797,0.5662,4.78,7.1902,8.0577,45.2399,42.4178
44,2977.43,12.4616,-5282.75,9.1855,-5.718200000000001,740.1718,15.87,-0.23650000000000015,0.8116999999999999,9.82,10.0673,8.9853,33.5223,49.0251
45,3017.87,12.5018,-5936.0,9.0121,3.649999999999998,745.5714,15.97,0.0,0.7987,9.02,10.662100000000002,10.256,30.783899999999996,46.2312
46,2960.574,12.5088,-5657.75,9.094,25.5127,719.0445,15.7,-0.14189999999999994,0.6925,7.739999999999999,4.6159,6.0479,53.855,77.2727
47,3230.1250333219627,12.4661,-5226.5,8.536,-5.647300000000001,839.7342,15.790000000000001,0.23650000000000015,0.6755,9.04,5.725999999999999,8.5708,45.946,26.8344
48,3182.87,12.6122,-5603.75,8.8097,1.8608999999999989,759.6441,15.780000000000001,1.4190000000000003,0.821,3.85,9.7272,8.8196,14.495,61.8725
49,3037.2,12.498,-5508.5,8.58,-4.4927,732.8971,15.840000000000002,-2.553,0.8013999999999999,6.779999999999999,5.4373,8.2088,22.1105,34.0852
50,3024.15,12.6202,-6112.25,8.8287,17.400000000000002,800.7351000000001,15.749999999999998,-0.14189999999999994,0.7085,7.23,11.139,8.854,31.099,132.85278293010546
51,3004.71,12.4706,-5422.0,8.7219,1.6073000000000008,774.0379,16.0,-0.0946000000000002,0.7975,7.03,6.444500000000001,7.8666,25.3724,43.7856
52,2894.04,12.4616,-6280.75,8.4092,0.8872999999999994,670.0626999999998,15.820000000000002,0.8042000000000002,0.6518,5.71,9.7086,10.7031,47.8395,60.3015
53,2997.45,12.6012,-5425.5,9.6515,-2.713599999999999,743.0757,15.87,-1.277,0.7223,9.09,4.3255,8.5178,21.569,16.3107
