,feature_1,feature_15,feature_20,feature_22,feature_23,feature_54,feature_57,feature_60,feature_63,feature_64,feature_76,feature_118,feature_130,feature_132,feature_133,feature_134,feature_161,feature_206,feature_217,feature_239,feature_337,feature_425,feature_437,feature_456,feature_486,feature_563,feature_565,feature_588
0,3079.77,6.8827,12.3686,-4750.75,2713.25,4.645,0.9201999999999999,0.6991000000000002,121.4118,5.9553,-0.009500000000000001,59.2662,0.0,0.9956000000000002,2.3766,1001.2553000000001,323.0,9.22,0.076,0.0081,10.0329,3.4551,4.3068,4.9135,51.6506,267.07,7.960000000000001,0.0194
1,3001.36,12.7017,12.495900000000002,-5410.75,2909.5,4.553,0.9304,-1.4173000000000007,118.1482,9.699,-0.0028000000000000004,58.7063,0.2837999999999999,1.0,2.3805,1002.2324,967.0,7.3100000000000005,0.08439999999999999,0.0041,13.2427,1.605,1.5866,2.9724,207.1174,250.084,6.49,0.0276
2,3042.78,6.4832,12.5553,-6456.75,2909.75,4.586,0.9247,10.235500000000004,125.7555,13.0423,0.004900000000000004,55.8504,-0.2837999999999999,0.9971999999999999,2.3244,989.4793,636.0,8.8,0.09249999999999999,0.005,11.0695,4.4993,1.8213,4.964,90.4545,264.272,4.98,0.028699999999999996
3,3018.64,9.831600000000002,12.4469,-5775.0,3019.5,4.599,0.9353999999999999,9.851799999999999,99.0464,20.3227,-0.011000000000000001,58.2831,0.04729999999999975,0.9946,2.3725,1001.4222,1423.0,7.7700000000000005,0.0794,0.0043,8.0615,2.455,4.1654,4.4921,135.7983,262.26714047185845,6.463459825678803,0.0141
4,3020.29,9.830400000000001,12.4618,-6900.499999999999,3063.25,4.617,0.9290000000000002,1.0336000000000014,116.08639999999998,9.9475,0.0021000000000000038,58.0262,0.4258000000000001,0.9971,2.3401,1006.766,642.0,11.06,0.058,0.0043,10.0529,2.2014,1.5634,4.5447,225.1607,261.6019890445997,6.445715812245237,0.0114
5,2964.69,7.734399999999999,12.5492,-5546.0,2687.75,4.627,0.9227999999999998,3.680899999999999,111.31,7.534,-0.024700000000000003,60.9507,1.6550000000000002,0.9973999999999998,2.2797,1008.4892,402.99999999999994,6.26,0.0368,0.0038000000000000004,7.910100000000001,5.3008,5.1484,2.1367,0.0,264.272,4.98,0.0251
6,2940.74,8.5389,12.412399999999998,-5408.75,2785.0,4.555,0.9318999999999998,2.810900000000001,115.85639999999998,10.9182,-0.013500000000000003,58.9076,0.0,0.9979,2.2864,1001.4682,204.0,8.8,0.0884,0.0055,9.565,1.6839,1.8571,3.6009999999999995,31.329,264.272,4.98,0.0059
7,3043.08,7.9638,12.5004,-5095.0,2412.0,4.604,0.9347,1.5035999999999998,123.9155,8.7662,-0.0129,58.282,2.4579999999999997,0.9971999999999999,2.3080999999999996,992.8867,247.99999999999997,5.24,0.079,0.007,7.560699999999999,3.0325,3.2808,3.4455,316.8242,264.272,4.98,0.0148
8,2932.61,9.5157,12.5404,-5447.75,2701.75,4.486,0.9139,23.8245,115.62729999999999,11.3019,-0.007800000000000004,58.4808,-0.1891999999999997,0.9978,2.2592,998.444,788.0,13.3,0.0349,0.0062,8.9855,2.0261,0.8972,3.1182,190.3869,267.064,1.1,0.039606435566824
9,3031.78,9.885800000000001,12.5582,-4958.0,2573.25,4.513,0.9294999999999999,1.5745000000000011,120.8682,8.4647,-0.006695851166362615,59.976400000000005,-0.14189999999999994,1.0,2.2877,1015.7622,373.99999999999994,5.1,0.08353537758118194,0.0047,11.8301,1.624,5.4161,3.9777,194.80355530316027,264.272,4.98,0.0275
