,feature_66,feature_427,feature_300,feature_332,feature_442,feature_133,feature_3,feature_60
0,23.2216,1.3154999999999997,0.0574,0.0791,0.9639,2.3766,2207.0444,0.6991000000000002
1,27.2716,0.6593,0.0477,0.1071,0.8427,2.3805,2155.3111,-1.4173000000000007
2,24.305700000000005,0.8006,0.0374,0.0817,1.1255,2.3401,2217.8111,1.0336000000000014
3,19.118899999999996,0.7004,0.0569,0.0318,0.4782,2.2797,2212.3,3.680899999999999
4,22.2064,1.4412000000000003,0.0337,0.0752,0.656,2.2864,2200.2,2.810900000000001
5,21.0974,0.9783,0.0961,0.0975,0.5317,2.2877,2182.5555,1.5745000000000011
6,23.1287,0.737,0.0522,0.0929,0.78,2.3386,2191.5667,0.6190999999999985
7,21.2465,0.8378,0.0327,0.0911,0.7233,2.2474,2210.8556,2.792700000000001
8,26.2754,1.9544,0.0174,0.0778,0.6667,2.3216,2230.4222,2.110900000000001
9,41.2374,1.3431,0.0503,0.0224,0.7584,2.3684,2171.9,8.913600000000002
10,30.4914,0.4793,0.0411,0.0652,1.1255,2.2937,2220.4778,-2.0764
11,22.9635,0.9287,0.0433,0.0875,1.0541,2.2757,2216.5,0.5518
12,26.2691,0.9269,0.059,0.0839,0.442,2.2658,2266.8333,-0.9363999999999995
13,21.7926,1.2482999999999997,0.0742,0.0871,0.9237999999999998,2.3817,2205.7445,5.2063999999999995
14,23.8157,1.0257,0.0276,0.0775,0.6987,2.2771,2124.8444,1.2836000000000007
15,21.6831,0.5403,0.0574,0.1065,0.5317,2.3187,2191.3556,2.031799999999999
16,23.557799999999997,0.6631999999999999,0.0316,0.08330000000000001,0.8716,2.3375,2217.8667,3.6500000000000012
17,22.1353,2.1082,0.0381,0.0778,0.7613,2.3756,2232.5889,25.5127
18,32.7577,0.6269,0.0172,0.0254,1.1525,2.3099000000000003,2196.8,-5.6472999999999995
19,33.272,1.5991,0.0475,0.0381,0.684,2.4241,2178.5889,-4.492699999999999
20,25.9809,1.7425999999999997,0.0548,0.062299999999999994,0.7663,2.3257,2217.8667,1.607299999999999
21,24.725699999999996,0.6011,0.0401,0.1003,0.9251,2.3132,2207.0444,0.8873000000000012
22,30.7182,0.6631999999999999,0.0677,0.0306,0.5669,2.2752,2206.4,-2.713599999999999
