,feature_1,feature_17,feature_20,feature_22,feature_34,feature_60,feature_65,feature_103,feature_104,feature_112,feature_116,feature_122,feature_131,feature_153,feature_154,feature_206,feature_248,feature_300,feature_320,feature_461,feature_511,feature_517,feature_588
0,3079.77,9.859,12.3686,-4750.75,8.6915,0.6991000000000002,19.3009,0.0811,-0.0095,232.90588,785.5426,15.759999999999998,0.8203,0.2848,0.012699999999999998,9.22,0.0152,0.0574,11.0518,14.755400000000002,84.9279,0.11190000000000001,0.0194
1,3001.36,10.671,12.495900000000002,-5410.75,8.3006,-1.4173000000000007,21.4173,-0.034600000000000006,-0.0163,232.26986,672.3211,15.759999999999998,0.8291,0.308,0.0065,7.3100000000000005,0.0312,0.0477,7.0269,12.157,25.2308,0.20806,0.0276
2,3042.78,9.8446,12.5553,-6456.749999999999,8.7418,10.235500000000004,9.7645,-0.05630000000000001,-0.0108,233.5146,751.7695,15.65,0.5438,0.2132,0.0148,8.8,0.0345,0.0335,10.8718,21.1169,46.2963,0.30742284673138665,0.028699999999999996
3,3018.64,10.5954,12.4469,-5775.0,8.6829,9.851799999999999,30.148200000000003,-0.0459,-0.003800000000000001,230.69788,705.2765,15.73,0.8048000000000001,0.6531,0.0159,7.7700000000000005,0.22883699377408898,0.0728,9.476,41.7748,114.2857,0.13532000000000002,0.0141
4,3020.29,9.4946,12.4618,-6900.499999999999,8.5891,1.0336000000000014,18.9664,0.011199999999999986,-0.0119,232.46562,719.8049,15.9,0.7611,0.3602,0.0078,11.06,0.017400000000000002,0.0374,10.0446,23.1457,36.28690000000001,0.20332000000000003,0.0114
5,2964.69,9.7899,12.5492,-5546.0,9.0744,3.680899999999999,16.3191,-0.005399999999999993,-0.011499999999999998,230.01785999999998,711.4945,15.82,0.8137,0.8524,0.006900000000000001,6.26,0.01968,0.0569,3.8933,37.3638,32.9718,0.12156,0.0251
6,3043.08,9.8134,12.5004,-5095.0,8.3383,1.5035999999999998,18.4964,0.0693,-0.0136,232.3029,741.9427,15.65,0.8346,0.5468,0.013700000000000002,5.24,0.02586,0.0085,8.1627,23.564899999999998,51.3291,0.17934,0.0148
7,3028.08,9.4578,12.5967,-5345.25,9.534,2.928200000000001,17.0718,-0.03739999999999999,-0.0086,229.0942,681.0371,15.95,0.6778,0.7795,0.013,6.99,0.0549,0.0428,7.2602,13.0192,52.0231,0.13540000000000002,0.01
8,2986.5,10.5436,12.484899999999998,-5416.0,8.8043,0.3400000000000013,19.66,-0.032300000000000016,-0.013,230.69414,722.202,15.960000000000003,0.7527,0.3693,0.0073,10.32,0.015300000000000001,0.0308,6.6974,30.548200000000005,54.6154,0.29557999999999995,0.0277
9,3219.75,9.5974,12.5914,-5187.25,8.7556,4.169099999999998,15.8309,-0.0867,-0.0121,234.1616,725.1428,15.82,0.6888,0.24559999999999998,0.0065,10.11,0.03328,0.0444,4.6509,24.061799999999998,39.6285,0.1759,0.0121
10,2913.4,9.6284,12.5488,-5153.75,8.5571,-3.74,23.74,-0.04,-0.0098,231.18174,762.0218,15.75,0.5638,0.4158,0.0082,4.12,0.03332,0.0171,8.643,55.391,34.7826,0.31532284673138666,0.0127
11,3018.8,10.3504,12.21949803477214,-5334.75,9.131,2.7292600000000005,17.27074,0.0,-0.0108,231.8164,735.5572,15.8,0.7865,0.2308,0.0057,10.209144377908048,0.06056,0.0341,8.7444,44.9213,42.3963,0.4215,0.0135
12,3010.26,10.4363,12.4049,-4090.620481174927,8.441,4.955499999999997,15.0445,0.03700000000000001,-0.0097,232.28498,691.3175,15.59,0.6847,0.3,0.0196,14.74,0.0354,0.24250819530221143,6.369,14.8453,48.329,0.35586284673138663,0.022700000000000005
13,3033.29,10.0634,12.6278,-6363.0,9.5642,9.188200000000002,30.811800000000005,-0.008400000000000005,-0.0086,232.11084000000002,809.4099,15.83,0.7463,1.5097,0.0153,9.02,0.0202,0.030700000000000005,10.0419,26.161,45.152,0.18482,0.0142
14,3043.22,10.0466,12.484899999999998,-5607.25,8.7867,0.6190999999999985,19.3809,-0.04420000000000002,-0.008000000000000002,231.31114,742.3405,15.74,0.6893,0.8679,0.007200000000000001,11.18,0.0444,0.0522,6.268299999999999,28.8304,71.028,0.2551,0.0335
15,3021.61,9.3651,12.412399999999998,-5720.25,8.8581,-3.7509000000000006,23.7509,0.024400000000000012,-0.0086,230.5237,710.5846,15.73,0.5042,0.9898,0.0123,4.950000000000001,0.02392,0.0648,9.5407,21.7993,39.708,0.21842,0.02
16,3048.76,10.4536,12.512,-5122.5,8.8624,4.911799999999999,15.088200000000002,0.028599999999999987,-0.0114,233.3418,782.5507,15.75,0.8543000000000001,0.23779999999999998,0.0053,7.040000000000001,0.0196,0.0839,8.1451,36.519,30.837,0.6165142336569333,0.0113
17,2980.5660000000003,10.3503,12.4761,-5434.0,8.6397,0.11999999999999963,19.88,0.07760000000000002,-0.0092,230.96516,804.2368,15.87,0.7785,0.3507,0.0167,8.33,0.02402,0.0052,7.1292,31.398699999999998,64.3929,0.12106000000000001,0.005999999999999999
18,2965.41,9.8053,12.7051,-5419.75,8.2345,2.792700000000001,17.2073,0.019500000000000007,-0.0091,230.9354,815.9082000000001,15.87,0.7003,0.4482,0.0082,6.01,0.02284,0.0327,8.8706,19.1756,56.044,0.1122,0.021000000000000005
19,3030.27,9.999,12.4608,-6153.999999999999,9.1502,2.110900000000001,17.8891,0.022100000000000015,-0.004200000000000001,231.82894,806.2734000000002,15.83,0.7589,0.4136,0.0189,13.410000000000002,0.06766,0.0174,5.168499999999999,23.692899999999995,143.13042927163903,0.21354,0.0151
20,3035.89,9.3572,12.58,-5341.25,8.6544,-4.4109,24.4109,0.037100000000000015,-0.0101,230.123,730.2174,15.84,0.8014000000000001,0.5288,0.005999999999999999,5.5,0.02166,0.0642,6.767100000000001,32.6596,34.6535,0.1655,0.0181
21,3006.39,9.4949,12.5218,-6305.249999999999,8.5891,-2.0764,22.0764,-0.0574,-0.014099999999999998,233.37171999999998,755.3514,15.93,0.7591,0.3763,0.0047,9.35,0.0162,0.0411,8.1083,33.3826,33.2449,0.13268,0.0102
22,3007.75,9.8632,12.5488,-5639.75,8.287,0.5518,19.4482,0.01740000000000002,-0.0123,231.62078,782.4785,15.77,0.6423,0.4764999999999999,0.0091,8.84,0.0225,0.0433,8.6604,56.318,44.8065,0.23967999999999998,0.0139
23,3033.29,10.5538,12.4998,-6279.000000000001,9.7836,1.2836000000000007,18.7164,-0.060399999999999995,-0.012,231.18547999999998,702.0668,15.95,0.7232,0.451,0.010000000000000004,18.96,0.029300000000000003,0.0276,11.4268,14.2191,28.3333,0.18326,0.0189
24,2951.06,9.8259,12.5967,-5371.5,9.0447,-2.6564000000000005,22.6564,-0.0435,-0.0083,229.6407,811.2656,15.74,0.7154,0.5614,0.011400000000000002,3.49,0.04488,0.0566,7.9876000000000005,18.1961,44.3778,0.0518,0.0183
25,2994.06,9.0234,12.2981,-5176.25,8.9191,-0.06360000000000128,20.0636,0.0,-0.0106,231.2142,827.0727,15.83,0.8145,1.1641,0.0083,15.35,0.04422,0.0095,7.5094,46.5021,55.9242,0.1396,0.0071
26,2996.65,10.2747,12.649,-5193.25,8.7512,2.031799999999999,17.9682,0.03889999999999999,-0.0101,229.5449,791.9736,15.74,0.8781,0.2515,0.0053,6.37,0.02408,0.0574,9.0252,20.8576,23.7037,0.6165142336569333,0.0106
27,2988.99,10.215,12.423099999999998,-5369.0,8.9336,17.387299999999996,22.6127,0.038500000000000006,-0.0078,233.3383,735.4067,15.98,0.6287,3.4114,0.0123,8.26,0.0332,0.049,5.7219999999999995,30.4356,69.6774,0.0946,0.039606435566824
28,3017.87,9.703,12.5018,-5936.0,9.0121,3.6500000000000012,16.35,0.0685,-0.01,231.10362,745.5714,15.97,0.7987,0.4459,0.0065,9.02,0.019,0.0316,10.6621,30.7839,46.2312,0.22066000000000002,0.0106
29,2973.002,10.4161,12.5088,-5657.75,9.094,25.5127,14.487300000000001,-0.012400000000000007,-0.0044,232.27872,719.0445,15.7,0.6925,0.4607,0.0203,7.740000000000002,0.0641,0.0381,4.6159,53.855,77.27270000000001,0.30146569346277335,0.0102
30,3037.2,9.4495,12.498,-5508.5,8.58,-4.492699999999999,24.4927,0.037700000000000004,-0.01,231.7058,732.8971,15.84,0.8014000000000001,0.2898,0.0155,6.78,0.0162,0.0475,5.4373,22.1105,34.0852,0.2231,0.0096
31,3024.15,10.0974,12.6202,-6112.25,8.8287,17.400000000000002,22.6,0.06869999999999997,-0.0046,233.08169999999998,800.7351,15.75,0.7085,0.2544,0.0161,7.23,0.059300000000000005,0.0289,11.139,31.099,143.13042927163903,0.21085999999999996,0.019099999999999995
32,3004.71,10.4994,12.4706,-5422.0,8.7219,1.607299999999999,18.3927,0.08520000000000001,-0.011,232.63852,774.0379,16.0,0.7974999999999999,0.2336,0.0167,7.030000000000001,0.1811,0.0548,6.4445,25.372399999999992,43.7856,0.1371,0.0149
33,2894.04,8.876,12.4616,-6280.749999999999,8.4092,0.8873000000000012,19.1127,-0.086,-0.005,232.39434,670.0627,15.82,0.6518,3.7461,0.0058,5.71,0.051300000000000005,0.0401,9.7086,47.8395,60.3015,0.16046,0.0106
34,2997.45,10.055,12.6012,-5425.5,9.6515,-2.713599999999999,22.7136,0.02309999999999999,-0.0129,231.6601,743.0757,15.87,0.7223,0.5468,0.0065,9.09,0.1009673987548178,0.0677,4.3255,21.569,16.3107,0.0947,0.0203
35,2997.15,10.7136,12.4841,-6310.249999999999,8.5987,1.6372999999999995,18.3627,-0.0411,-0.013,233.48986,811.2332,15.74,0.6887,0.7914,0.0055,8.83,0.0154,0.0342,11.3511,35.497,24.6154,0.2728628467313867,0.0122
36,3058.6,9.8139,12.4618,-5490.25,9.754,2.9691000000000014,17.0309,0.021100000000000008,-0.008900000000000002,231.89442,744.2807,15.92,0.7436,0.2972,0.006299999999999999,5.07,0.0203,0.0488,10.2887,16.6688,67.0391,0.13986000000000004,0.0146
37,2994.22,10.1854,12.5412,-5359.25,8.6544,0.187300000000001,19.8127,0.05060000000000002,-0.0137,230.0474,770.2,15.8,0.8826,0.6247,0.0113,5.2,0.06476,0.0246,7.180900000000001,18.1433,27.8134,0.11810000000000001,0.0072
38,3040.34,9.847,12.5222,-5575.25,8.6397,0.48359999999999864,19.5164,0.037299999999999986,-0.0052,230.50566,790.0665,15.87,0.7785,0.40620000000000006,0.014200000000000003,5.95,0.0493,0.030700000000000005,6.9173,20.4401,102.9126,0.11446,0.0151
39,3171.54,9.4268,12.499,-6029.0,8.322,4.0809000000000015,15.919100000000002,-0.0028000000000000017,-0.0114,232.0602,712.0192,15.79,0.8528999999999999,0.24770000000000003,0.0214,4.869999999999999,0.02646,0.0432,8.9913,30.104300000000002,31.7181,0.6165142336569333,0.0181
40,3085.57,10.1473,12.5302,-5932.0,8.7994,0.5682000000000004,19.4318,0.10890000000000001,-0.0122,231.61769999999999,761.0258,15.87,0.8244,0.9635000000000001,0.0112,11.19,0.0359,0.0345,11.6452,10.8607,36.7722,0.20008,0.0156
41,2908.47,9.7751,12.5722,-5377.0,9.088,-1.9700000000000009,21.97,0.019500000000000007,-0.0111,234.1873,707.236,15.82,0.8137,0.8071,0.007200000000000001,4.15,0.06295999999999999,0.0229,7.3351,22.1334,27.8652,0.0986,0.0192
42,3031.9,9.4636,12.474299999999998,-5393.25,8.8249,-8.225500000000002,28.2255,-0.0336,-0.0053,232.11416,768.9496,15.77,0.7948599999999999,0.8855,0.013299999999999998,7.580000000000002,0.026820000000000004,0.0264,5.170999999999999,35.7201,76.81500000000001,0.12314000000000001,0.0083
43,3084.23,9.7939,12.5488,-5692.5,8.6544,-0.7500000000000012,20.75,-0.0357,-0.0091,230.7885,773.5931,15.75,0.562,0.4381,0.011999999999999999,8.49,0.0181,0.0553,8.4755,43.5382,57.1429,0.20030000000000003,0.0156
44,2914.04,9.9364,12.464699999999999,-5326.5,8.6472,0.1627000000000005,19.8373,-0.04370000000000001,-0.0093,228.9898,673.5806,15.78,0.821,0.5309,0.0148,4.890000000000001,0.0233,0.0678,4.467,22.2221,35.2941,0.21220000000000003,0.015199999999999998
45,2993.48,10.3491,12.4759,-6453.749999999999,9.9964,-1.9555000000000005,21.9555,-0.041000000000000016,-0.005900000000000002,232.0676,704.7627,15.8,0.7527,0.7481,0.0047,10.52,0.04307999999999999,0.0429,5.0498,20.3639,114.5263,0.10074000000000001,0.0112
46,3019.44,9.8657,12.4363,-5305.25,9.1526,-2.0326999999999993,22.0327,0.0684,-0.0124,235.1533,771.077,15.809999999999999,0.7189,0.2623,0.0151,7.01,0.03524,0.0392,4.8461,42.9683,33.0312,0.10310000000000001,0.0078
47,2963.26,9.9175,12.5184,-5426.0,8.2963,-2.9609000000000014,22.9609,0.01800000000000001,-0.014099999999999998,234.4585,779.7144,15.630000000000003,0.6534,0.7523,0.0171,10.81,0.0758,0.0665,4.6887,41.0931,17.6991,0.2018,0.0373
48,3010.75,9.9672,12.5145,-5329.25,8.8519,3.543599999999999,16.4564,-0.06809999999999998,-0.0143,230.87586,722.1561,15.759999999999998,0.8121000000000002,0.2673,0.0061,6.559999999999999,0.0,0.0787,4.9575,36.1226,43.94070000000001,0.16408,0.0207
49,2939.6,9.595,12.5302,-6447.249999999999,8.5779,1.5127,18.4873,0.10669999999999998,-0.0096,233.67690000000002,720.4035999999999,15.960000000000003,0.8162000000000001,0.1771,0.0176,12.38,0.0239,0.0528,10.6519,19.107,40.4669,0.1295,0.0277
50,2965.52,8.7153,12.499,-5545.75,8.8132,1.1700000000000013,18.83,0.0589,-0.007,231.71368,762.103,15.860000000000001,0.8317999999999999,1.0597,0.0059,6.39,0.1454,0.041,8.8426,14.7869,45.5516,0.16686,0.0129
51,3025.81,9.3832,12.4896,-5513.5,9.754,2.9899999999999993,17.01,-0.0333,-0.0011584123627733252,231.98406,749.6111,15.860000000000001,0.7747,0.4774,0.018,9.900000000000002,0.0168,0.0382,9.3046,28.115999999999996,20.6769,0.20364000000000002,0.0113
52,3049.19,9.7663,12.4371,-6472.499999999999,8.6667,27.342700000000004,12.6573,-0.0017999999999999913,-0.0071,232.79652000000002,741.6048,15.7,0.7636,0.2094,0.0204,10.31,0.0427,0.0319,4.3737,27.9613,85.76449999999998,0.15986000000000003,0.0218
53,3033.11,9.4434,12.3351,-5339.5,8.1161,0.7000000000000002,19.3,0.0026999999999999967,-0.0106,229.9405,748.6221,15.74,0.6304,0.2996,0.0102,5.88,0.01878,0.0485,8.4733,31.0537,48.9412,0.3083,0.019099999999999995
