,feature_60,feature_478,feature_421,feature_125,feature_349,feature_65,feature_299,feature_442,feature_332,feature_22,feature_563
0,0.6991,6.0266,1.8087,15.82,0.0237,19.3009,0.0595,0.9639,0.0791,-4750.75,267.07
1,-1.4173,4.8218,1.4549,15.73,0.0272,21.4173,0.0662,0.8427,0.1071,-5410.75,250.084
2,10.2355,6.1589,1.988,15.69,0.0163,9.7645,0.0519,0.9193,0.0852,-6456.75,264.272
3,9.8518,5.0612,2.8063,15.77,0.03,30.1482,0.0635,0.7158,0.0985,-5775.0,262.3770222755347
4,1.0336,7.4828,1.0932,15.95,0.0243,18.9664,0.0505,1.1255,0.0817,-6900.5,261.58017705131647
5,3.6809,4.1813,0.7021,15.75,0.0205,16.3191,0.0242,0.4782,0.0318,-5546.0,264.272
6,2.8109,5.9339,2.6354,15.7,0.0245,17.1891,0.0655,0.656,0.0752,-5408.75,264.272
7,1.5036,3.5466,1.9699,15.61,0.0174,18.4964,0.0867,0.932,0.0863,-5095.0,264.272
8,23.8245,9.1221,2.2943,15.95,0.0105,16.1755,0.08,1.2771,0.0243,-5447.75,267.064
9,1.5745,3.3971,1.3589,15.87,0.01982060520598089,18.4255,0.0449,0.5317,0.0975,-4958.0,264.272
10,2.9282,4.7353,1.4902,16.01,0.0339,17.0718,0.1099,0.565,0.0824,-5345.25,272.796
11,5.4991,5.2686,2.2458,15.99,0.0172,14.5009,0.1141,0.9361,0.0807,-5192.5,265.306
12,-2.5027,6.8676,2.5142,15.71,0.0198,22.5027,0.0266,0.9175,0.0368,-6623.75,270.44
13,0.34,7.0359,0.9559,15.95,0.0116,19.66,0.0486,0.7316,0.0929,-5416.0,251.616
14,4.1691,6.8146,0.8173,15.79,0.0225,15.8309,0.0607,0.8532,0.0311,-5187.25,256.842
15,-3.74,2.7876,1.653,15.71,0.0236,23.74,0.0585,0.7032,0.0892,-5153.75,258.924
16,4.088311869791351,5.623965575890773,0.9921,15.84,0.0148,19.79794270337018,0.0536,0.7139,0.0909,-5334.75,249.918
