,feature_1,feature_20,feature_22,feature_34,feature_60,feature_104,feature_118,feature_122,feature_130,feature_131,feature_206,feature_248,feature_349,feature_383
0,3079.77,12.3686,-4750.75,8.6915,0.6991,-0.0095,59.2662,15.76,0.0,0.8203,9.22,0.0152,0.0237,0.0008858555759095003
1,3001.36,12.4959,-5410.75,8.3006,-1.4173,-0.0163,58.7063,15.76,0.2838,0.8291,7.31,0.057773817305990786,0.0272,0.0005527644654119892
2,3042.78,12.5553,-6456.75,8.7418,10.2355,-0.0108,55.8504,15.65,-0.2838,0.5438,8.8,0.0345,0.0163,0.000921693349423781
3,3018.64,12.4469,-5775.0,8.6829,9.8518,-0.0038,58.2831,15.73,0.0473,0.8048,7.77,0.21496051300321922,0.03,0.0013936735943816253
4,3020.29,12.4618,-6900.5,8.5891,1.0336,-0.0119,58.0262,15.9,0.4258,0.7611,11.06,0.0537931872188036,0.0243,0.0007836762260398488
5,2964.69,12.5492,-5546.0,9.0744,3.6809,-0.0115,60.9507,15.82,1.655,0.8137,6.26,0.051284666315735535,0.0205,9.499842003700236e-05
6,2940.74,12.4124,-5408.75,8.9132,2.8109,-0.0093,58.9076,15.76,0.0,0.8253,8.8,0.05667443901778161,0.0245,0.0007
7,3043.08,12.5004,-5095.0,8.3383,1.5036,-0.0136,58.282,15.65,2.458,0.8346,5.24,0.05757270558392564,0.0174,0.0006708461410115107
8,2932.61,12.5404,-5447.75,8.659,23.8245,-0.0026,58.4808,15.9,-0.1892,0.8194,13.3,0.1729,0.0105,0.0010466634117689867
9,3031.78,12.5582,-4958.0,8.7512,1.5745,-0.0102,59.9764,15.92,-0.1419,0.8712,5.1,0.05291847851828446,0.01982060520598089,0.0006
10,3028.08,12.5967,-5345.25,9.534,2.9282,-0.0086,55.9011,15.95,0.5204,0.6778,6.99,0.05772145908936905,0.0339,0.0005
11,3003.82,12.4998,-5192.5,8.5288,5.4991,-0.0105,56.4388,15.94,-0.5677,0.6786,7.32,0.0217,0.0172,0.0007881264187934271
12,2990.57,12.5373,-6623.75,8.1605,-2.5027,-0.0094,56.3776,15.7,0.0,0.7048,9.69,0.05344967708566897,0.0198,0.0004
13,2986.5,12.4849,-5416.0,8.8043,0.34,-0.013,59.0911,15.96,-0.9461,0.7527,10.32,0.0153,0.0116,0.0008885709983350015
14,3219.75,12.5914,-5187.25,8.7556,4.1691,-0.0121,59.6793,15.82,-0.4258,0.6888,10.11,0.051623189709465514,0.0225,0.0005
15,2913.4,12.5488,-5153.75,8.5571,-3.74,-0.0098,56.7784,15.75,-3.496,0.5638,4.12,0.05484082363853587,0.0236,0.0008379398078209293
16,3018.8,12.276893646663098,-5334.75,9.131,4.088311869791351,-0.0108,59.0958,15.8,0.0,0.7865,8.251261156672784,0.031064167873410237,0.0148,0.0015
17,2942.41,12.6278,-5410.5,8.5687,1.9482,-0.0072,57.4901,15.77,0.0,0.8217,13.53,0.0167,0.0381,0.001505708276133142
18,2848.46,12.4716,-5233.75,8.7187,8.1455,-0.0114,55.36455652882361,16.02,-0.7569,0.7403,4.95,0.056375620328222194,0.0253,0.0008
19,3010.26,12.4049,-4173.970024483161,8.441,4.9555,-0.0097,58.7458,15.59,-0.1419,0.6847,14.74,0.0354,0.0184,0.0007879824872913596
20,3033.29,12.6278,-6363.0,9.5642,9.1882,-0.0086,59.8003,15.83,-0.3784,0.7463,9.02,0.0202,0.014,0.0015214295766055666
21,2941.23,12.58,-6257.5,8.6706,2.2855,-0.0062,59.5427,15.65,1.04,0.657,14.91,0.05696406274039193,0.0162,0.0013521172642906778
22,3043.22,12.4849,-5607.25,8.7867,0.6191,-0.008,58.4837,15.74,-0.9461,0.6893,11.18,0.0444,0.0229,0.0010559630249882355
23,3021.61,12.4124,-5720.25,8.8581,-3.7509,-0.0086,59.3419,15.73,-3.449,0.5042,4.95,0.052146252559228126,0.0209,0.000985596136125793
24,3048.76,12.512,-5122.5,8.8624,4.9118,-0.0114,57.1869,15.75,0.7096,0.8543,7.04,0.0196,0.0154,0.0018587623796689128
25,3011.944256515786,12.4761,-5434.0,8.6397,0.12,-0.0092,58.6908,15.87,-0.4258,0.7785,8.33,0.05566007763095938,0.0241,0.0001767982080138463
26,2943.9,12.4753,-6349.75,9.5713,1.8173,-0.016,59.4203,15.92,0.2365,0.7287,5.14,0.0205,0.0445,0.0008866571236858523
27,2965.41,12.7051,-5419.75,8.2345,2.7927,-0.0091,58.3601,15.87,-0.8042,0.7003,6.01,0.024072580666491913,0.0245,0.0004
28,3030.27,12.4608,-6154.0,9.1502,2.1109,-0.0042,58.823,15.83,-0.4731,0.7589,13.41,0.0654793137594718,0.0177,0.0004235226813491689
29,3035.89,12.58,-5341.25,8.6544,-4.4109,-0.0101,59.4322,15.84,-2.553,0.8014,5.5,0.04925197685039565,0.0199,0.0006
30,2943.58,12.5698,-5474.25,10.053779039737469,8.9136,-0.0039,59.0911,15.74,-0.3311,0.7681,10.22,0.1677,0.0373,0.001004091274628735
31,3006.39,12.5218,-6305.25,8.5891,-2.0764,-0.0141,59.0644,15.93,-1.655,0.7591,9.35,0.0162,0.0278,0.00010446293307109396
32,3007.75,12.5488,-5639.75,8.287,0.5518,-0.0123,55.44,15.77,0.0473,0.6423,8.84,0.0225,0.0273,0.0010081982300858394
33,2936.51,12.4059,-5977.25,8.5851,-0.9364,-0.0158,58.2257,15.79,-2.222,0.7822,4.38,0.03897841160207802,0.017,0.0003
34,3021.83,12.4349,-5466.75,8.572,5.2064,-0.0102,58.6223,15.9,0.0,0.8536,5.7,0.018,0.0207,0.0012
35,3033.29,12.4998,-6279.0,9.7836,1.2836,-0.012,59.1488,15.95,-0.5204,0.7232,17.847436190549466,0.0293,0.0319,0.0006923039278311123
36,3230.1250333219627,12.56,-5477.0,8.9132,1.0027,-0.0139,57.5441,15.76,0.0,0.8253,10.4,0.04417511570281811,0.0221,0.0012
37,2951.06,12.5967,-5371.5,9.0447,-2.6564,-0.0083,58.8339,15.74,-0.5204,0.7154,3.49,0.04783320573653386,0.0256,0.0001
38,2994.06,12.2981,-5176.25,8.9191,-0.0636,-0.0106,57.6451,15.83,-2.93,0.8145,15.35,0.05380723993584882,0.0253,0.0004
39,2955.3,12.4247,-5641.25,9.2405,3.9055,-0.0068,57.7094,15.7,0.7569,0.786,8.66,0.0182,0.0164,0.0008646606042305247
40,2996.65,12.649,-5193.25,8.7512,2.0318,-0.0101,58.5099,15.74,0.6623,0.8781,6.37,0.050057305201612896,0.0227,0.0018587623796689128
41,2988.99,12.4231,-5369.0,8.9336,17.3873,-0.0078,58.6421,15.98,-0.0473,0.6287,8.26,0.0332,0.0461,0.0006222112700792169
42,3054.52,12.6122,-5770.75,8.8909,-0.1545,-0.0164,58.7766,15.82,0.0473,0.8343,6.33,0.0219,0.0241,0.0005
43,3221.21,12.551,-5658.25,8.7635,-0.3309,-0.0118,61.2828,15.8,-1.797,0.5662,4.78,0.04750660202967306,0.0169,0.0004
44,2977.43,12.4616,-5282.75,9.1855,-5.7182,-0.0135,59.3036,15.87,-0.2365,0.8117,9.82,0.02812166152126528,0.0144,0.0014399139865743787
45,3017.87,12.5018,-5936.0,9.0121,3.65,-0.01,56.9856,15.97,0.0,0.7987,9.02,0.019,0.0247,0.000730177024913372
46,3015.787795910086,12.5088,-5657.75,9.094,25.5127,-0.0044,57.8978,15.7,-0.1419,0.6925,7.74,0.0641,0.0151,0.0008989252160174818
47,3230.1250333219627,12.4661,-5226.5,8.536,-5.6473,-0.0119,58.148,15.79,0.2365,0.6755,9.04,0.0455,0.0252,0.00011577183167255957
48,3182.87,12.6122,-5603.75,8.8097,1.8609,-0.0092,59.305,15.78,1.419,0.821,3.85,0.0219,0.0197,0.0006
49,3037.2,12.498,-5508.5,8.58,-4.4927,-0.01,59.0025,15.84,-2.553,0.8014,6.78,0.0162,0.0141,0.0009
50,3024.15,12.6202,-6112.25,8.8287,17.4,-0.0046,57.0914,15.75,-0.1419,0.7085,7.23,0.0593,0.0256,0.0011812978197979756
51,3004.71,12.4706,-5422.0,8.7219,1.6073,-0.011,59.3308,16.0,-0.0946,0.7975,7.03,0.1811,0.0232,0.0008600449559706923
52,2894.04,12.4616,-6280.75,8.4092,0.8873,-0.005,58.3741,15.82,0.8042,0.6518,5.71,0.05692505778927686,0.049993520511957476,0.0009699084828285551
53,2997.45,12.6012,-5425.5,9.6515,-2.7136,-0.0129,58.3573,15.87,-1.277,0.7223,9.09,0.05694828846092335,0.0211,0.0003
54,2950.0,12.4743,-4173.970024483161,9.1784,5.3382,-0.0042,58.9744,15.72,-0.0473,0.7304,9.26,0.0507,0.0162,0.0013470840276624558
55,2997.15,12.4841,-6310.25,8.5987,1.6373,-0.013,58.7323,15.74,-0.0473,0.6887,8.83,0.0154,0.0236,0.0010148313742815475
56,3058.6,12.4618,-5490.25,9.754,2.9691,-0.0089,58.5766,15.92,-0.0946,0.7436,5.07,0.0203,0.0141,0.0007313476413335542
57,2940.26,12.4743,-5273.0,8.5855,-1.0991,-0.0085,58.3136,15.62,0.1419,0.7697,8.97,0.051,0.0154,0.0010183589681881187
58,3053.49,12.5894,-5427.75,8.7994,2.9518,-0.0118,59.0601,15.87,-0.9461,0.8244,7.15,0.0176,0.0194,0.0005580243771514098
59,3035.75,12.47,-6439.0,8.5177,-10.37,-0.0117,57.9622,15.82,-0.0473,0.6751,6.91,0.04238569694289582,0.049993520511957476,0.0013851639344195591
60,3017.39,12.276893646663098,-5250.75,8.2395,1.3445,-0.0136,57.3415,15.76,-1.229,0.7906,5.94,0.050875451912909375,0.0208,0.0011
61,2978.81,12.4555,-5153.25,8.1728,1.1664,-0.0142,59.2046,15.79022716048615,-0.8207325438833222,0.7230655923534282,5.33,0.054559185750024684,0.0220385313928323,0.0002
