,feature_1,feature_20,feature_22,feature_34,feature_60,feature_103,feature_122,feature_131,feature_206,feature_248,feature_383,feature_427
0,3079.77,12.3686,-4750.75,8.6915,0.6991000000000003,0.08110000000000002,15.76,0.8203,9.22,0.015200000000000002,0.0008858555759095003,1.3154999999999997
1,3001.36,12.4959,-5410.75,8.3006,-1.4173000000000002,-0.03459999999999999,15.76,0.8291000000000001,7.31,0.05777381730599078,0.0005527644654119893,0.6593
2,3042.78,12.5553,-6456.75,8.7418,10.235499999999996,-0.05630000000000001,15.649999999999999,0.5438,8.8,0.0345,0.000921693349423781,1.5403
3,3018.64,12.4469,-5775.0,8.6829,9.851800000000004,-0.045899999999999996,15.73,0.8048,7.77,0.2149605130032192,0.0013936735943816253,1.6422
4,3020.29,12.4618,-6900.5,8.5891,1.0335999999999994,0.0112,15.9,0.7611,11.06,0.05379318721880359,0.0007836762260398488,0.8006
5,2964.69,12.5492,-5546.0,9.0744,3.680900000000003,-0.0053999999999999925,15.820000000000002,0.8137,6.259999999999999,0.051284666315735535,9.499842003700239e-05,0.7004
6,2940.74,12.4124,-5408.75,8.9132,2.8109000000000015,-0.012199999999999996,15.76,0.8253000000000001,8.8,0.0566744390177816,0.0007,1.4412
7,3043.08,12.5004,-5095.0,8.3383,1.5036000000000003,0.06929999999999999,15.649999999999999,0.8345999999999999,5.24,0.057572705583925646,0.0006708461410115107,1.419
8,2932.61,12.5404,-5447.75,8.659,23.8245,0.013399999999999999,15.9,0.8194000000000001,13.3,0.1729,0.0010466634117689867,1.8268
9,3031.78,12.5582,-4958.0,8.7512,1.5745000000000005,0.036499999999999984,15.92,0.8712,5.1,0.05291847851828446,0.0006,0.9782999999999998
10,3028.08,12.5967,-5345.25,9.534,2.928200000000001,-0.03740000000000002,15.95,0.6778,6.99,0.05772145908936905,0.0005,1.3358
11,3003.82,12.4998,-5192.5,8.5288,5.499099999999998,-0.016599999999999993,15.94,0.6786,7.319999999999999,0.0217,0.0007881264187934271,1.5564
12,2990.57,12.5373,-6623.75,8.1605,-2.5027,0.009899999999999994,15.7,0.7048,9.69,0.05344967708566897,0.0004,1.5814
13,2986.5,12.4849,-5416.0,8.8043,0.3400000000000003,-0.032299999999999995,15.960000000000003,0.7527,10.32,0.015300000000000001,0.0008885709983350015,0.7479
14,3219.75,12.5914,-5187.25,8.7556,4.1690999999999985,-0.0867,15.820000000000002,0.6888,10.11,0.051623189709465514,0.0005,0.6601
15,2913.4,12.5488,-5153.75,8.5571,-3.7400000000000007,-0.04000000000000001,15.75,0.5638,4.12,0.05484082363853587,0.0008379398078209293,0.8463
16,3018.8,12.276893646663098,-5334.75,9.131,4.088311869791349,0.0,15.8,0.7865,8.251261156672784,0.03106416787341024,0.0015000000000000002,0.5788
17,2942.41,12.6278,-5410.5,8.5687,1.9482000000000006,0.005199999999999986,15.77,0.8217,13.53,0.0167,0.001505708276133142,2.02
18,2848.46,12.4716,-5233.75,8.7187,8.145500000000002,-0.026500000000000006,16.02,0.7403,4.95,0.056375620328222194,0.0008,0.6477
19,3010.26,12.4049,-4173.970024483161,8.441,4.955500000000001,0.037,15.59,0.6847,14.74,0.0354,0.0007879824872913596,2.0504
20,3033.29,12.6278,-6363.000000000001,9.5642,9.188200000000002,-0.0084,15.83,0.7463,9.02,0.0202,0.0015214295766055666,1.5739
