,feature_60,feature_478,feature_133,feature_148,feature_349,feature_65,feature_435,feature_124,feature_34,feature_22,feature_118,feature_442,feature_104,feature_3,feature_332
0,0.6991,6.0266,2.3766,0.0173,0.0237,19.3009,9.9805,15.83,8.6915,-4750.75,59.2662,0.9639,-0.0095,2207.0444,0.0791
1,-1.4173,4.8218,2.3805,0.014,0.0272,21.4173,12.5349,15.75,8.3006,-5410.75,58.7063,0.8427,-0.0163,2155.3111,0.1071
2,10.2355,6.1589,2.3244,0.0189,0.0163,9.7645,12.8413,15.69,8.7418,-6456.75,55.8504,0.9193,-0.0108,2173.4556,0.0852
3,9.8518,5.0612,2.3725,0.0267,0.03,30.1482,10.5202,15.81,8.6829,-5775.0,58.2831,0.7158,-0.0038,2224.0,0.0985
4,1.0336,7.4828,2.3401,0.0106,0.0243,18.9664,11.1054,15.94,8.5891,-6900.5,58.0262,1.1255,-0.0119,2217.8111,0.0817
5,3.6809,4.1813,2.2797,0.0069,0.0205,16.3191,4.3896,15.86,9.0744,-5546.0,60.9507,0.4782,-0.0115,2212.3,0.0318
6,2.8109,5.9339,2.2864,0.0251,0.0245,17.1891,11.5102,15.79,8.9132,-5408.75,58.9076,0.656,-0.0093,2200.2,0.0752
7,1.5036,3.5466,2.3081,0.0189,0.0174,18.4964,14.6852,15.69,8.3383,-5095.0,58.282,0.932,-0.0136,2209.8,0.0863
8,23.8245,9.1221,2.2592,0.0221,0.0105,16.1755,14.2503,15.94,8.659,-5447.75,58.4808,1.2771,-0.0026,2186.4111,0.0243
9,1.5745,3.3971,2.2877,0.0132,0.021786928201496962,18.4255,8.041,15.91,8.7512,-4958.0,59.9764,0.5317,-0.0102,2182.5555,0.0975
10,2.9282,4.7353,2.212,0.0144,0.0339,17.0718,18.972,15.98,9.534,-5345.25,55.9011,0.565,-0.0086,2173.2778,0.0824
11,5.4991,5.2686,2.2773,0.0214,0.0172,14.5009,19.7531,15.97,8.5288,-5192.5,56.4388,0.9361,-0.0105,2163.5889,0.0807
12,-2.5027,6.8676,2.2959,0.0241,0.0198,22.5027,5.9122,15.73,8.1605,-6623.75,56.3776,0.9175,-0.0094,2162.5556,0.0368
13,0.34,7.0359,2.3323,0.0092,0.0116,19.66,8.9372,15.98,8.8043,-5416.0,59.0911,0.7316,-0.013,2236.0667,0.0929
14,4.1691,6.8146,2.2674,0.008,0.0225,15.8309,10.0583,15.84,8.7556,-5187.25,59.6793,0.8532,-0.0121,2239.4111,0.0311
15,-3.74,2.7876,2.2564,0.0159,0.0236,23.74,9.6358,15.81,8.5571,-5153.75,56.7784,0.7032,-0.0098,2227.2444,0.0892
16,4.013616365207255,5.630003738333794,2.2784,0.0096,0.0148,19.846108206039364,8.919,15.89,9.131,-5334.75,59.0958,0.7139,-0.0108,2195.6667,0.0909
17,1.9482,9.1675,2.3735,0.0262,0.0381,34.666002787332104,14.1928,15.8,8.5687,-5410.5,57.4901,0.8222,-0.0072,2207.0444,0.094
18,8.1455,3.4324,2.1911,0.0055,0.0253,11.8545,5.9052,16.1,8.7187,-5233.75,55.302171674983114,0.6144,-0.0114,2164.3666,0.1011
19,4.9555,9.9444,2.3499,0.0286,0.0184,15.0445,38.235678500851506,15.61,8.441,-4159.573159036706,58.7458,0.9383,-0.0097,2170.0666,0.0622
20,9.1882,5.9269,2.2928,0.0262,0.014,30.8118,13.8036,15.91,9.5642,-6363.0,59.8003,0.5593,-0.0086,2244.1111,0.0968
21,2.2855,10.1458,2.3146,0.0203,0.0162,17.7145,2.7861,15.7,8.6706,-6257.5,59.5427,0.5836,-0.0062,2160.6,0.0954
22,0.6191,7.5571,2.3386,0.0102,0.0229,19.3809,9.2987,15.81,8.7867,-5607.25,58.4837,0.78,-0.008,2191.5667,0.0929
23,-3.7509,3.369,2.272,0.0157,0.0209,23.7509,13.1301,15.75,8.8581,-5720.25,59.3419,0.6373,-0.0086,2227.2222,0.1043
24,4.9118,4.8707,2.2802,0.0088,0.0154,15.0882,8.2562,15.8,8.8624,-5122.5,57.1869,0.7655,-0.0114,2224.6778,0.085
25,0.12,5.817,2.3122,0.0223,0.0241,19.88,9.9237,15.87,8.6397,-5434.0,58.6908,0.9965,-0.0092,2207.3889,0.0883
26,1.8173,3.4949,2.2728,0.0257,0.0445,18.1827,13.2642,15.99,9.5713,-6349.75,59.4203,0.7928,-0.016,2173.4556,0.0848
27,2.7927,3.9522,2.2474,0.0112,0.0245,17.2073,10.9953,15.92,8.2345,-5419.75,58.3601,0.7233,-0.0091,2210.8556,0.0911
28,2.1109,8.8016,2.3216,0.0246,0.0177,17.8891,8.6069,15.89,9.1502,-6154.0,58.823,0.6667,-0.0042,2230.4222,0.0778
29,-4.4109,3.706,2.4241,0.008,0.0199,24.4109,16.4288,15.88,8.6544,-5341.25,59.4322,0.6641,-0.0101,2243.8556,0.0842
30,8.9136,7.1799,2.3684,0.0189,0.0373,31.0864,4.7491,15.77,10.237029652516307,-5474.25,59.0911,0.7584,-0.0039,2171.9,0.0224
31,-2.0764,6.11,2.2937,0.0059,0.0278,22.0764,14.5455,15.98,8.5891,-6305.25,59.0644,1.1255,-0.0141,2220.4778,0.0652
32,0.5518,6.0246,2.2757,0.0163,0.0273,19.4482,4.7256,15.86,8.287,-5639.75,55.44,1.0541,-0.0123,2216.5,0.0875
33,-0.9364,2.9235,2.2658,0.0137,0.017,20.9364,14.3617,15.77,8.5851,-5977.25,58.2257,0.442,-0.0158,2266.8333,0.0839
34,5.2064,4.0558,2.3817,0.0232,0.0207,14.7936,12.1562,15.85,8.572,-5466.75,58.6223,0.9238,-0.0102,2205.7445,0.0871
