,feature_1,feature_20,feature_22,feature_34,feature_60,feature_65,feature_91,feature_104,feature_112,feature_113,feature_118,feature_122,feature_130,feature_131,feature_153,feature_154,feature_248,feature_300,feature_337,feature_342,feature_349,feature_383,feature_406,feature_456,feature_461
0,3079.77,12.3686,-4750.75,8.6915,0.6991000000000006,19.3009,9131.0599,-0.0095,231.73516075331995,0.4611,59.266200000000005,15.76,0.0,0.8202999999999999,0.2848,0.0127,0.0152,0.0574,10.0329,2.6547,0.023699999999999995,0.000494303305273662,0.0288,4.9135,14.7554
1,3001.36,12.4959,-5410.75,8.3006,-1.4173,21.4173,8795.69,-0.0163,231.7750833842754,0.4646961650257305,58.7063,15.76,0.2837999999999999,0.8291,0.308,0.006500000000000001,0.05752251418528928,0.0477,13.2427,2.0989,0.0272,0.0005982582085506792,0.0361,2.9724,12.157
2,3042.78,12.5553,-6456.75,8.7418,10.235500000000004,9.7645,8615.15,-0.0108,232.24517553433512,0.4637,55.8504,15.65,-0.2837999999999999,0.5438,0.2132,0.014799999999999999,0.0345,0.0335,11.0695,2.5012,0.0163,0.0008741676552688917,0.0149,4.9639999999999995,21.1169
3,3018.64,12.4469,-5775.0,8.6829,9.851800000000003,30.1482,8363.73,-0.003799999999999999,231.0217452271144,0.45269999999999994,58.283100000000005,15.729999999999999,0.04729999999999975,0.8048,0.6531,0.0159,0.2201626055852531,0.0728,8.0615,2.4328999999999996,0.03,0.0015354649375140831,0.0276,4.4921,41.7748
4,3020.29,12.4618,-6900.5,8.5891,1.0335999999999999,18.9664,8510.42,-0.0119,232.39435678539672,0.460265470986422,58.026199999999996,15.9,0.4258000000000001,0.7611,0.36019999999999996,0.0078,0.053979682026838005,0.0374,10.0529,3.2653,0.0243,0.0008101587642628284,0.011800000000000001,4.544699999999999,23.1457
5,2964.69,12.5492,-5546.0,9.0744,3.680899999999999,16.3191,8365.7701,-0.0115,231.34911043398552,0.4605159340081307,60.9507,15.82,1.6550000000000002,0.8137,0.8524,0.0069,0.051899786507205024,0.0569,7.9101,2.2442,0.020500000000000004,0.00013366103645809368,0.0461,2.1367,37.3638
6,2940.74,12.4124,-5408.75,8.9132,2.810899999999999,17.1891,9047.8399,-0.0093,231.1908,0.45965119898328816,58.90760000000001,15.76,0.0,0.8252999999999999,0.368,0.014,0.0565566623940964,0.0337,9.565,2.5551,0.0245,0.0007,0.0182,3.601,31.3174
7,3043.08,12.5004,-5095.0,8.3383,1.5035999999999998,18.4964,8493.8199,-0.0136,231.60490973086104,0.4599896727730859,58.282000000000004,15.65,2.4579999999999997,0.8345999999999999,0.5468,0.013700000000000002,0.05680361479763869,0.008500000000000002,7.560700000000001,2.0186,0.0174,0.0006591276731035406,0.0441,3.4454999999999996,23.5649
8,2932.61,12.5404,-5447.75,8.659,23.824500000000004,16.1755,9317.1698,-0.0025999999999999994,231.7942854363298,0.4684,58.48080000000001,15.9,-0.1891999999999997,0.8194,0.4909,0.0177,0.1729,0.0583,8.9855,3.7663,0.0105,0.0011054610629472935,0.019,3.1181999999999994,32.3594
9,3031.78,12.5582,-4958.0,8.7512,1.5745000000000013,18.4255,9287.193869751469,-0.0102,233.7235,0.4608327177652115,59.9764,15.92,-0.14189999999999994,0.8711999999999999,0.1965,0.009500000000000001,0.05362088032367674,0.0961,11.8301,1.6033000000000002,0.021786928201496962,0.0006,0.038,3.977699999999999,15.4796
10,3028.08,12.5967,-5345.25,9.534,2.9282,17.0718,8078.23,-0.0086,229.0942,0.4550724770751602,55.9011,15.949999999999998,0.5203999999999996,0.6778,0.7795,0.013000000000000001,0.05737564870723652,0.0428,8.5805,2.4674,0.033900000000000007,0.0005000000000000001,0.0114,3.0707,13.0192
11,3003.82,12.4998,-5192.5,8.5288,5.4990999999999985,14.500899999999998,8564.1802,-0.010500000000000002,231.58782940177645,0.46079999999999993,56.4388,15.94,-0.5677000000000001,0.6786,0.4309,0.015,0.0217,0.0703,11.094,2.3932999999999995,0.0172,0.0008467268228783688,0.0117,5.1317,27.4194
12,2990.57,12.5373,-6623.75,8.1605,-2.5027,22.5027,8808.85,-0.0094,233.8565,0.46394064379726946,56.3776,15.7,0.0,0.7048,0.3554,0.015300000000000001,0.053772173857168926,0.0216,10.116399999999999,3.1731,0.0198,0.0004,0.0208,2.2906,33.2053
13,2986.5,12.4849,-5416.0,8.8043,0.3400000000000009,19.66,8303.47,-0.013,231.74016353769053,0.46320000000000006,59.0911,15.96,-0.9461000000000002,0.7527,0.3693,0.0073,0.015300000000000001,0.0308,11.13,3.2261,0.0116,0.0009322943625158873,0.0098,2.8617,30.5482
