,feature_60,feature_478,feature_133,feature_349,feature_65,feature_435,feature_34
0,0.6991,6.0266,2.3766,0.0237,19.3009,9.9805,8.6915
1,-1.4173,4.8218,2.3805,0.0272,21.4173,12.5349,8.3006
2,3.6809,4.1813,2.2797,0.0205,16.3191,4.3896,9.0744
3,2.8109,5.9339,2.2864,0.0245,17.1891,11.5102,8.9132
4,1.5036,3.5466,2.3081,0.0174,18.4964,14.6852,8.3383
5,1.5745,3.3971,2.2877,0.02200343121715196,18.4255,8.041,8.7512
6,2.9282,4.7353,2.212,0.0339,17.0718,18.972,9.534
7,-2.5027,6.8676,2.2959,0.0198,22.5027,5.9122,8.1605
8,0.34,7.0359,2.3323,0.0116,19.66,8.9372,8.8043
9,3.946794348640868,5.625585845161292,2.2784,0.0148,19.82129319169181,8.919,9.131
10,4.9555,9.9444,2.3499,0.0184,15.0445,27.963788399291673,8.441
11,9.1882,5.9269,2.2928,0.014,30.8118,13.8036,9.5642
12,0.6191,7.5571,2.3386,0.0229,19.3809,9.2987,8.7867
13,-3.7509,3.369,2.272,0.0209,23.7509,13.1301,8.8581
14,4.9118,4.8707,2.2802,0.0154,15.0882,8.2562,8.8624
15,0.12,5.817,2.3122,0.0241,19.88,9.9237,8.6397
16,2.1109,8.8016,2.3216,0.0177,17.8891,8.6069,9.1502
17,8.9136,7.1799,2.3684,0.0373,31.0864,4.7491,10.095633903464792
18,-2.0764,6.11,2.2937,0.0278,22.0764,14.5455,8.5891
19,-0.9364,2.9235,2.2658,0.017,20.9364,14.3617,8.5851
20,5.2064,4.0558,2.3817,0.0207,14.7936,12.1562,8.572
21,1.2836,12.159886140272093,2.2771,0.0319,18.7164,11.6714,9.7836
22,-2.6564,2.3646,2.2434,0.0256,22.6564,19.2454,9.0447
23,2.0318,4.3582,2.3187,0.0227,17.9682,5.1253,8.7512
24,17.3873,5.7628,2.2887,0.0461,22.6127,6.7048,8.9336
25,-0.1545,4.319,2.4151,0.0241,20.1545,6.4061,8.8909
26,-0.3309,3.2036,2.2616,0.0169,20.3309,13.1777,8.7635
27,-5.6473,6.4204,2.3099,0.0252,25.6473,16.1069,8.536
28,1.8609,2.582,2.2826,0.0197,18.1391,20.1799,8.8097
29,-4.4927,4.5795,2.4241,0.0141,24.4927,10.4381,8.58
30,17.4,5.1848,2.3275,0.0256,22.6,14.361,8.8287
31,1.6073,4.6249,2.3257,0.0232,18.3927,2.4696,8.7219
