,feature_66,feature_427,feature_442,feature_133,feature_3,feature_299,feature_563,feature_354
0,23.2216,1.3155,0.9639,2.3766,2207.0444,0.0595,267.07,0.0202
1,27.271599999999996,0.6593,0.8427,2.3805,2155.3111,0.0662,250.084,0.0357
2,14.7061,1.5403,0.9192999999999999,2.3244,2173.4556,0.0519,264.272,0.0145
3,36.0791,1.6422,0.7158,2.3725,2224.0,0.0635,267.4264,0.0512
4,24.3057,0.8006,1.1255,2.3401,2217.8111,0.0505,257.6892,0.0533
5,19.1189,0.7004,0.4782,2.2797,2212.3,0.024200000000000003,264.272,0.0497
6,22.2064,1.4412,0.656,2.2864,2200.2,0.0655,264.272,0.017
7,25.3099,1.419,0.9319999999999999,2.3080999999999996,2209.8,0.0867,264.272,0.033
8,24.2829,1.8268,1.2771,2.2592,2186.4111,0.08,267.064,0.04279999999999999
9,21.0974,0.9783,0.5317,2.2877,2182.5555,0.0449,264.272,0.04193999999999999
10,23.905,1.3358,0.565,2.212,2173.2778,0.1099,272.796,0.0519
11,17.5983,1.5564,0.9361,2.2773,2163.5889,0.1141,265.306,0.0497
12,32.74829999999999,1.5814,0.9174999999999999,2.2959,2162.5556,0.0266,270.44,0.0495
13,22.3647,0.7479,0.7316,2.3322999999999996,2236.0667,0.0486,251.616,0.0626
14,22.3694,0.6601,0.8531999999999998,2.2673999999999994,2239.4111,0.06069999999999999,256.842,0.049
15,29.1429,0.8463,0.7032,2.2564,2227.2444,0.0585,258.924,0.0545
16,24.68546,0.5788,0.7139,2.2784,2195.6667,0.0536,249.918,0.0455
17,44.82200571028819,2.02,0.8222,2.3735000000000004,2207.0444,0.0868,261.168,0.0135
18,15.0471,0.6477,0.6144,2.1911,2164.3666,0.0359,264.272,0.0448
19,22.1659,2.0504,0.9383,2.3499,2170.0666,0.1287386231974043,269.366,0.0446
20,37.258,1.5739,0.5593,2.2928,2244.1111,0.0565,264.5176,0.058699999999999995
21,21.7095,1.5151,0.5836,2.3146,2160.6,0.0166,264.272,0.0378
22,23.1287,0.737,0.78,2.3386,2191.5667,0.0488,251.03,0.05959999999999999
23,30.759300000000003,1.2606,0.6373,2.272,2227.2222,0.071,264.272,0.0124
24,19.2834,0.5418,0.7655,2.2802,2224.6778,0.045,264.272,0.007799999999999999
25,27.2876,1.7251,0.9964999999999999,2.3121999999999994,2207.3889,0.0601,263.02,0.0506
26,24.3905,2.2004,0.7928,2.2728,2173.4556,0.053,265.908,0.0513
27,21.2465,0.8378,0.7233,2.2474,2210.8556,0.0643,253.314,0.0583
28,26.2754,1.9544,0.6667,2.3216,2230.4222,0.0339,262.27160000000003,0.0423
29,29.809000000000005,0.6131,0.6641,2.4241,2243.8556,0.1043,264.272,0.0389
30,41.2374,1.3431000000000002,0.7584,2.3684,2171.9,0.0254,260.674,0.0225
31,30.491399999999995,0.4793,1.1255,2.2937,2220.4778,0.0587,256.6628,0.0384
32,22.9635,0.9287,1.0541,2.2757,2216.5,0.0286,264.272,0.0435
33,26.2691,0.9269,0.442,2.2658,2266.8333,0.0816,277.55,0.0291
34,21.7926,1.2483,0.9237999999999998,2.3817,2205.7445,0.0679,264.272,0.0483
35,23.8157,1.0257,0.6987,2.2771,2124.8444,0.0472,264.47,0.0324
36,26.413199999999996,0.5418,0.656,2.2864,2208.5222,0.0175,264.272,0.013
37,30.323299999999996,1.1716000000000002,0.7534,2.2434,2228.4778,0.099,272.572,0.05589999999999999
38,26.448000000000004,0.8527,0.8858999999999999,2.2569,2247.3666,0.0257,256.014,0.0247
39,44.82200571028819,1.4389000000000003,0.6901,2.3712,2191.9,0.038,263.176,0.020800000000000003
40,21.6831,0.5403,0.5317,2.3187,2191.3556,0.0327,253.16999999999996,0.049
41,27.410199999999993,1.2655,1.0644,2.2887,2223.0333,0.0384,265.49,0.0204
42,26.8979,0.5996000000000001,0.6815,2.4151,2165.0333,0.0393,250.206,0.0188
43,27.321099999999998,1.3047,0.7053,2.2616,2189.9667,0.0805,264.272,0.0396
44,31.450099999999996,1.5308,0.5632,2.3672,2218.0555,0.045,264.272,0.062
45,23.5578,0.6632,0.8716,2.3375,2217.8667,0.0351,250.292,0.0213
46,22.1353,2.1082,0.7613,2.3756,2232.5889,0.0433,261.542,0.0368
47,32.75769999999999,0.6268999999999999,1.1525,2.3099000000000003,2196.8,0.088,249.54800000000003,0.0421
48,22.7275,0.5892,0.9136,2.2825999999999995,2162.1333,0.1198,264.272,0.0568
49,33.272,1.5991,0.684,2.4241,2178.5889,0.0573,264.272,0.047400000000000005
50,30.106200000000005,1.6608,0.9251,2.3275,2191.7889,0.0813,262.938,0.0321
51,25.9809,1.7426,0.7663,2.3257,2217.8667,0.0144,258.3696,0.014
52,24.7257,0.6011,0.9251,2.3132,2207.0444,0.06099999999999999,262.4296,0.0105
53,30.7182,0.6632,0.5669,2.2752,2206.4,0.0626,257.404,0.0569
54,44.82200571028819,1.2223999999999997,0.7898,2.3497,2196.6555,0.1287386231974043,264.136,0.0288
55,26.630499999999998,0.5648,0.8807,2.3259,2183.1,0.0454,250.0,0.0284
56,22.5569,0.6417999999999999,0.577,2.3063,2228.4444,0.0397,250.698,0.0509
57,26.063,0.5445,0.9588,2.4213999999999998,2203.4556,0.0337,248.774,0.0326
58,22.1675,1.1766000000000003,0.8435,2.3573,2172.5333,0.05,262.6268,0.038
59,39.7257,2.2773,0.8384,2.295,2207.0444,0.0339,263.902,0.0524
60,26.2833,0.6101,1.0216,2.2807999999999997,2246.5778,0.074,251.156,0.0603
61,25.8939,0.81398,0.7584,2.3285199999999997,2206.3,0.0452,256.73,0.036419999999999994
62,26.0522,1.1702,0.6641,2.3922999999999996,2222.0111,0.0494,268.152,0.0365
63,26.2174,1.4616,0.9964999999999999,2.3121999999999994,2207.3889,0.0467,263.066,0.0492
64,19.9076,2.2414,0.7506,2.4079,2168.7,0.0387,264.272,0.0358
65,29.317599999999995,1.5379000000000003,0.7015,2.2936,2160.3667,0.1287386231974043,263.5076,0.0632
66,23.6041,1.9706000000000001,0.9396,2.349,2175.9667,0.0644,266.8,0.0399
67,24.9899,1.1539000000000001,0.8435,2.3573,2178.6889,0.0875,262.9168,0.0372
68,14.1135,2.0544,0.7928,2.3865,2238.5444,0.0535,265.88,0.0134
69,27.9713,0.7382,0.481,2.2797,2223.0444,0.0866,256.778,0.0769
70,37.532,1.3796,0.6302,2.3394,2191.9,0.0813,261.436,0.0435
71,24.5799,1.2366,0.6641,2.2647,2194.9556,0.0803,261.234,0.0552
72,23.4468,1.5257,0.7611,2.2825999999999995,2238.1444,0.0119,264.272,0.0451
73,30.028799999999997,0.4832,0.7477,2.3161,2218.0555,0.0564,264.272,0.0349
74,27.380200000000002,1.4317,0.8470999999999999,2.2915,2204.6667,0.0551,264.272,0.046799999999999994
75,27.3069,0.5758,0.6335,2.3063,2167.2,0.09,250.556,0.0321
76,25.7305,1.5604000000000002,0.4254,2.2563,2231.0555,0.0342,280.32,0.0341
77,22.0576,0.5481,0.7337,2.3883,2114.985572059136,0.0884,264.272,0.0435
78,30.9387,1.7736000000000003,0.8136,2.2859,2199.3,0.0532,271.75,0.0463
79,22.3195,0.6244,0.6927,2.2726,2175.1222,0.1084,248.426,0.0504
80,23.5326,1.8291,1.0189,2.3322999999999996,2233.1556,0.0678,259.8004,0.0339
81,24.7337,0.5965,0.8146,2.3402,2201.0667,0.059,252.932,0.0116
82,26.2439,0.5518,0.7258,2.2472,2213.9111,0.0835,256.832,0.029200000000000004
83,23.2157,1.8724999999999998,0.577,2.3604,2179.2,0.0654,262.73920000000004,0.0357
84,20.2591,2.1221,1.0959,2.3524,2222.3222,0.0466,260.17,0.0518
85,26.340699999999995,1.0482,0.8594999999999999,2.2445,2172.3111,0.0849,264.272,0.0409
86,37.46679999999999,1.4978,1.1815,2.3073,2213.7556,0.0355,259.704,0.0454
87,21.2309,0.7851,0.8751999999999999,2.3162,2183.3111,0.0859,256.6228,0.025499999999999995
88,44.82200571028819,1.2405,0.8716,2.3375,2183.5,0.0517,265.16,0.0176
89,28.168399999999995,1.39,0.5194,2.212,2211.4,0.0627,264.272,0.0308
90,31.4027,1.588,0.7392,2.2877,2198.5667,0.0249,266.832,0.04998
91,28.918099999999995,0.6811,1.0143,2.4167,2250.3667,0.0205,264.272,0.0124
92,18.6295,1.4069,0.745,2.1996,2173.4889,0.0697,272.312,0.0531
93,13.8957,1.6695,0.8435,2.2697,2173.4556,0.038,265.432,0.0389
94,28.0428,0.557,0.7032,2.3936000000000006,2187.4111,0.0539,264.272,0.04440000000000001
95,26.4354,0.7473,0.7643,2.2937,2216.4778,0.0536,259.20439999999996,0.0562
96,29.5723,0.7797,0.9078999999999999,2.3289,2200.0666,0.0413,250.77999999999997,0.0376
97,30.687499999999996,0.6728,0.8229,2.2555,2195.4444,0.0367,251.976,0.043199999999999995
98,27.730099999999997,1.4506,0.7611,2.2915,2182.4111,0.0554,272.74,0.051699999999999996
