,feature_66,feature_118,feature_349,feature_478,feature_133,feature_34,feature_299,feature_342,feature_65,feature_148,feature_22,feature_60,feature_164,feature_435,feature_206,feature_154,feature_511,feature_442
0,23.2216,59.266200000000005,0.0237,6.026599999999999,2.3766,8.6915,0.0595,2.6547,19.3009,0.0173,-4750.75,0.6990999999999999,0.128,9.9805,9.22,0.0127,84.9279,0.9639
1,27.271599999999996,58.706300000000006,0.0272,4.8218,2.3805,8.3006,0.0662,2.0989,21.4173,0.014,-5410.75,-1.4172999999999987,0.157,12.5349,7.31,0.0065,25.2308,0.8427
2,14.7061,55.8504,0.0163,6.1589,2.3244,8.7418,0.0519,2.5012000000000003,9.7645,0.0189,-6456.75,10.235500000000002,0.127,12.8413,8.8,0.0148,46.2963,0.9192999999999999
3,36.0791,58.28309999999999,0.030000000000000002,5.0612,2.3725,8.6829,0.0635,2.4329,30.1482,0.0267,-5775.0,9.851800000000004,0.135,10.5202,7.77,0.0159,114.2857,0.7158
4,24.3057,58.02620000000001,0.0243,7.482800000000001,2.3401,8.5891,0.0505,3.2653,18.9664,0.0106,-6900.5,1.0336000000000012,0.108,11.1054,11.06,0.0078000000000000005,36.2869,1.1255
5,19.1189,60.9507,0.0205,4.1813,2.2797,9.0744,0.024200000000000003,2.2442,16.3191,0.0069,-5546.0,3.6809000000000016,0.055999999999999994,4.3896,6.26,0.006899999999999999,32.9718,0.4782
6,22.2064,58.9076,0.0245,5.9339,2.2864,8.9132,0.0655,2.5551,17.1891,0.025100000000000004,-5408.75,2.8108999999999997,0.149,11.5102,8.8,0.014,58.9023,0.656
7,25.3099,58.282000000000004,0.0174,3.5465999999999998,2.3080999999999996,8.3383,0.0867,2.0186,18.4964,0.0189,-5095.0,1.5035999999999998,0.193,14.6852,5.24,0.0137,51.3291,0.9319999999999999
8,24.2829,58.4808,0.010499999999999999,9.1221,2.2592,8.659,0.08,3.7663,16.1755,0.022100000000000005,-5447.75,23.8245,0.187,14.2503,13.299999999999999,0.0177,134.09580822620637,1.2771
9,21.0974,59.9764,0.020879999999999996,3.3971,2.2877,8.7512,0.0449,1.6033000000000002,18.4255,0.0132,-4958.0,1.574500000000001,0.102,8.041,5.1,0.009500000000000001,46.022,0.5317
10,23.905,55.90109999999999,0.0339,4.7353,2.212,9.534,0.1099,2.4674,17.0718,0.0144,-5345.25,2.9282000000000012,0.251,18.972,6.99,0.013,52.0231,0.565
11,17.5983,56.4388,0.0172,5.268599999999999,2.2773,8.5288,0.1141,2.3933,14.500899999999998,0.021400000000000002,-5192.5,5.499100000000001,0.248,19.7531,7.32,0.015,29.4537,0.9361
12,32.74829999999999,56.3776,0.0198,6.8676,2.2959,8.1605,0.0266,3.1731000000000003,22.5027,0.0241,-6623.750000000001,-2.5026999999999995,0.064,5.9122,9.69,0.0153,134.09580822620637,0.9174999999999999
13,22.3647,59.0911,0.0116,7.0359,2.3322999999999996,8.8043,0.0486,3.2261,19.66,0.0092,-5416.0,0.3400000000000006,0.115,8.9372,10.32,0.007299999999999999,54.6154,0.7316
14,22.3694,59.6793,0.022499999999999996,6.8146,2.2673999999999994,8.7556,0.06069999999999999,3.0013,15.8309,0.008,-5187.25,4.169100000000001,0.138,10.0583,10.11,0.0065,39.6285,0.8531999999999998
