,feature_66,feature_349,feature_421,feature_478,feature_125,feature_563,feature_519,feature_60,feature_476
0,23.2216,0.0237,1.8087,6.0266,15.82,267.07,1.5558126562814247,0.6991,4.5173
1,27.2716,0.0272,1.4549,4.8218,15.73,250.084,1.5733629445036312,-1.4173,4.2949
2,14.7061,0.0163,1.988,6.1589,15.69,264.272,1.5757104592154128,10.2355,4.489
3,36.0791,0.03,2.8063,5.0612,15.77,262.87954663375837,1.6315677040645042,9.8518,4.8503
4,24.3057,0.0243,1.0932,7.4828,15.95,261.80471206276025,1.565647859831893,1.0336,4.9923
5,19.1189,0.0205,0.7021,4.1813,15.75,264.272,1.5669863213142696,3.6809,2.4905
6,22.2064,0.0245,2.6354,5.9339,15.7,264.272,1.415,2.8109,3.7727
7,25.3099,0.0174,1.9699,3.5466,15.61,264.272,1.5824347045891707,1.5036,4.1869
8,24.2829,0.0105,2.2943,9.1221,15.95,267.064,1.6093312627176581,9.376869538429531,3.1842
9,21.0974,0.023011544909180004,1.3589,3.3971,15.87,264.272,1.7886,1.5745,3.9223
10,23.905,0.0339,1.4902,4.7353,16.01,272.796,2.3005,2.9282,4.3873
11,17.5983,0.0172,2.2458,5.2686,15.99,265.306,1.5808064689396493,5.4991,4.9517
12,32.7483,0.0198,2.5142,6.8676,15.71,270.44,2.1356,-2.5027,3.0789
13,22.3647,0.0116,0.9559,7.0359,15.95,251.616,1.579285793688885,0.34,3.8263
14,22.3694,0.0225,0.8173,6.8146,15.79,256.842,1.5545,4.1691,3.3926
15,29.1429,0.0236,1.653,2.7876,15.71,258.924,1.6002631630389,-3.74,4.9513
16,26.78624315185727,0.0148,0.9921,5.41734240028708,15.84,249.918,1.4338,4.197344806158355,4.160467983327913
17,36.8711335331414,0.0381,2.7501,9.1675,15.73,261.168,1.636536142748808,1.9482,6.0769
18,15.0471,0.0253,0.5649,3.4324,16.07,264.272,1.1195,8.1455,4.6131
19,22.1659,0.0184,3.0235,9.9444,15.54,269.366,1.5788933095024469,4.9555,3.5685
20,37.258,0.014,2.7521,5.9269,15.92,262.7878805925857,1.625260763151911,9.1882,3.9739
21,21.7095,0.0162,2.126,10.1458,15.66,264.272,1.5827908120870553,2.2855,4.5947
22,23.1287,0.0229,1.0582,7.5571,15.79,251.03,1.5599010860322668,0.6191,4.0264
23,30.7593,0.0209,1.6264,3.369,15.71,264.272,1.5859985123824285,-3.7509,4.8696
24,19.2834,0.0154,0.9131,4.8707,15.73,264.272,1.6072,4.9118,4.9201
25,27.2876,0.0241,2.3232,5.817,15.84,263.02,1.5866554758099092,0.12,3.1824
26,24.3905,0.0445,2.6912,3.4949,15.99,265.908,1.5892123323295444,1.8173,4.2736
27,21.2465,0.0245,1.1494,3.9522,15.87,253.314,0.889,2.7927,4.074
28,26.2754,0.0177,2.5678,8.8016,15.84,262.0695400814298,1.563342218126703,2.1109,2.5947
29,29.809,0.0199,0.8233,3.706,15.75,264.272,2.4239,-4.4109,4.1186
30,41.2374,0.0373,1.9599,7.1799,15.73,260.674,1.6397394881822343,8.9136,3.2204
31,30.4914,0.0278,0.5995,6.11,15.95,261.7809357656235,1.571089416634222,-2.0764,4.3566
32,22.9635,0.0273,1.6993,6.0246,15.75,264.272,1.5993113040122742,0.5518,5.1134
33,26.2691,0.017,1.4106,2.9235,15.73,277.55,1.5396,-0.9364,4.2548
34,21.7926,0.0207,2.4229,4.0558,15.92,264.272,1.6398,5.2064,4.2416
35,23.8157,0.0319,1.9827,5.505789049773666,15.97,264.47,1.5798158733174714,1.2836,5.2874
36,26.4132,0.0221,1.9321,7.1443,15.7,264.272,1.2376,1.0027,5.69
37,30.3233,0.0256,1.5853,2.3646,15.74,272.572,1.6881,-2.6564,4.2248
38,26.448,0.0253,1.3856,10.0705,15.76,256.014,2.0305,-0.0636,3.9759
39,36.26969054901792,0.0164,2.1898,6.1617,15.68,263.176,1.6515496753652013,3.9055,2.5731
40,21.6831,0.0227,0.758,4.3582,15.77,253.17,2.1018,2.0318,4.5964
41,27.4102,0.030138616592255862,2.0262,5.7628,16.05,265.49,1.6388501492978869,17.3873,3.2402
42,26.8979,0.0241,0.8954,4.319,15.73,250.206,1.6407,-0.1545,3.0934
43,27.3211,0.0169,1.686,3.2036,15.8,264.272,1.0659,-0.3309,4.2119
44,31.4501,0.0144,1.9769,6.748,15.85,264.272,1.5795148613084522,-5.7182,4.9331
45,23.5578,0.0247,0.8225,6.0536,15.98,250.292,1.57064390650558,3.65,5.0093
46,22.1353,0.0151,3.0263,5.1949,15.64,261.542,1.6014520301720163,13.401781628871177,3.188
47,32.7577,0.0252,0.9489,6.4204,15.85,249.548,1.575244383188312,-5.6473,3.4652
48,22.7275,0.0197,0.6982,2.582,15.75,264.272,1.7113,1.8609,4.975
49,33.272,0.0141,1.865,4.5795,15.75,264.272,2.012,-4.4927,2.9348
50,30.1062,0.0256,2.9276,5.1848,15.77,262.938,1.6456461992030922,17.4,5.2024
51,25.9809,0.0232,1.6524,4.6249,16.04,263.0210599418622,1.5677644939675441,1.6073,4.3563
52,24.7257,0.03578461941260755,2.2843,3.9097,15.88,261.02563365093005,1.6004145820044153,0.8873,4.1828
53,30.7182,0.0211,0.7504,6.015,15.78,257.404,2.6006,-2.7136,2.7359
54,36.08458708373663,0.0162,0.6393,6.0748,15.74,264.136,1.6246797264993003,5.3382,5.345
55,26.6305,0.0236,1.0597,6.026,15.75,250.0,1.5801438376187587,1.6373,4.9704
56,22.5569,0.0141,0.7677,3.4708,15.96,250.698,1.5765086208912489,2.9691,4.5991
57,26.063,0.0154,0.5105,6.1979,15.63,248.774,1.5893314904305211,-1.0991,3.0857
58,22.1675,0.0194,1.9332,4.8857,15.88,263.37181414540896,1.5922440806335392,2.9518,4.4005
59,39.7257,0.021669981245256542,0.587,4.4544,15.88,262.09697672496753,1.5686621930240325,-10.37,4.0395
60,26.2833,0.0208,0.7364,3.9991,15.73,251.156,2.3081,1.3445,4.9827
61,25.8939,0.02469190792873993,0.9943403478032451,3.4878,15.786873280325599,256.73,1.9592,1.1664,4.2035
62,26.0522,0.0248,1.5628,3.4793,15.8,268.152,2.0695,0.1873,4.0359
63,26.2174,0.0185,2.2048,3.9691,15.84,263.066,1.573888775520159,0.4836,2.9759
64,19.9076,0.0208,3.4596,3.2357,15.73,264.272,2.0513,4.0809,4.4514
65,29.3176,0.0386,2.1094,4.2732,16.03,262.04043780087125,1.6391486935021577,18.3936,3.6281
66,23.6041,0.0208,1.8251,4.3922,15.67,266.8,1.5750871704736198,1.2809,4.9328
67,24.9899,0.0183,1.8931,7.684,15.88,262.91990399234504,1.5869428909984837,0.5682,5.2481
68,14.1135,0.03099623483216804,3.6139,6.9474,15.75,262.35974289119247,1.5948015481075346,8.0955,4.5079
69,27.9713,0.0337,0.7325,2.8027,15.75,256.778,2.866,-1.97,3.755
70,37.532,0.0138,1.4955,5.2293,15.761796235601489,261.436,1.5747950657528478,-8.2255,2.117
71,24.5799,0.025,1.7461,5.8268,15.71,261.234,1.8422,-0.75,4.7419
72,23.4468,0.0215,2.0227,3.2662,15.75,264.272,1.541,0.1627,3.4346
