,feature_60,feature_478,feature_133,feature_65,feature_349,feature_435,feature_34,feature_511,feature_442,feature_124
0,0.6991,6.0266,2.3766,19.3009,0.0237,9.9805,8.6915,84.9279,0.9639,15.83
1,-1.4173,4.8218,2.3805,21.4173,0.0272,12.5349,8.3006,25.2308,0.8427,15.75
2,10.2355,6.1589,2.3244,9.7645,0.0163,12.8413,8.7418,46.2963,0.9193,15.69
3,9.8518,5.0612,2.3725,30.1482,0.03,10.5202,8.6829,114.2857,0.7158,15.81
4,1.0336,7.4828,2.3401,18.9664,0.0243,11.1054,8.5891,36.2869,1.1255,15.94
5,3.6809,4.1813,2.2797,16.3191,0.0205,4.3896,9.0744,32.9718,0.4782,15.86
6,2.8109,5.9339,2.2864,17.1891,0.0245,11.5102,8.9132,58.9023,0.656,15.79
7,1.5036,3.5466,2.3081,18.4964,0.0174,14.6852,8.3383,51.3291,0.932,15.69
8,23.8245,9.1221,2.2592,16.1755,0.0105,14.2503,8.659,133.29193306761312,1.2771,15.94
9,1.5745,3.3971,2.2877,18.4255,0.01980311064353519,8.041,8.7512,46.022,0.5317,15.91
10,2.9282,4.7353,2.212,17.0718,0.0339,18.972,9.534,52.0231,0.565,15.98
11,5.4991,5.2686,2.2773,14.5009,0.0172,19.7531,8.5288,29.4537,0.9361,15.97
12,-2.5027,6.8676,2.2959,22.5027,0.0198,5.9122,8.1605,133.29193306761312,0.9175,15.73
13,0.34,7.0359,2.3323,19.66,0.0116,8.9372,8.8043,54.6154,0.7316,15.98
14,4.1691,6.8146,2.2674,15.8309,0.0225,10.0583,8.7556,39.6285,0.8532,15.84
15,-3.74,2.7876,2.2564,23.74,0.0236,9.6358,8.5571,34.7826,0.7032,15.81
16,3.969906523068129,5.623331123803992,2.2784,19.753660125097745,0.0148,8.919,9.131,42.3963,0.7139,15.89
17,1.9482,9.1675,2.3735,34.62999992554279,0.0381,14.1928,8.5687,91.9861,0.8222,15.8
18,8.1455,3.4324,2.1911,11.8545,0.0253,5.9052,8.7187,51.8112,0.6144,16.1
19,4.9555,9.9444,2.3499,15.0445,0.0184,24.40700322285261,8.441,48.329,0.9383,15.61
20,9.1882,5.9269,2.2928,30.8118,0.014,13.8036,9.5642,45.152,0.5593,15.91
21,2.2855,10.1458,2.3146,17.7145,0.0162,2.7861,8.6706,42.0202,0.5836,15.7
22,0.6191,7.5571,2.3386,19.3809,0.0229,9.2987,8.7867,71.028,0.78,15.81
23,-3.7509,3.369,2.272,23.7509,0.0209,13.1301,8.8581,39.708,0.6373,15.75
24,4.9118,4.8707,2.2802,15.0882,0.0154,8.2562,8.8624,30.837,0.7655,15.8
25,0.12,5.817,2.3122,19.88,0.0241,9.9237,8.6397,64.3929,0.9965,15.87
26,1.8173,3.4949,2.2728,18.1827,0.0445,13.2642,9.5713,50.7439,0.7928,15.99
27,2.7927,3.9522,2.2474,17.2073,0.0245,10.9953,8.2345,56.044,0.7233,15.92
28,2.1109,8.8016,2.3216,17.8891,0.0177,8.6069,9.1502,133.29193306761312,0.6667,15.89
29,-4.4109,3.706,2.4241,24.4109,0.0199,16.4288,8.6544,34.6535,0.6641,15.88
30,8.9136,7.1799,2.3684,31.0864,0.0373,4.7491,10.063204409341335,93.9683,0.7584,15.77
31,-2.0764,6.11,2.2937,22.0764,0.0278,14.5455,8.5891,33.2449,1.1255,15.98
32,0.5518,6.0246,2.2757,19.4482,0.0273,4.7256,8.287,44.8065,1.0541,15.86
33,-0.9364,2.9235,2.2658,20.9364,0.017,14.3617,8.5851,25.3365,0.442,15.77
34,5.2064,4.0558,2.3817,14.7936,0.0207,12.1562,8.572,37.3464,0.9238,15.85
35,1.2836,12.070534706053035,2.2771,18.7164,0.0319,11.6714,9.7836,28.3333,0.6987,16.01
36,1.0027,7.1443,2.2864,18.9973,0.0221,2.5787,8.9132,38.9189,0.656,15.79
37,-2.6564,2.3646,2.2434,22.6564,0.0256,19.2454,9.0447,44.3778,0.7534,15.78
38,-0.0636,10.0705,2.2569,20.0636,0.0253,4.3531,8.9191,55.9242,0.8859,15.84
39,3.9055,6.1617,2.3712,34.62999992554279,0.0164,5.645,9.2405,61.7647,0.6901,15.75
40,2.0318,4.3582,2.3187,17.9682,0.0227,5.1253,8.7512,23.7037,0.5317,15.8
41,17.3873,5.7628,2.2887,22.6127,0.0461,6.7048,8.9336,69.6774,1.0644,15.99
42,-0.1545,4.319,2.4151,20.1545,0.0241,6.4061,8.8909,21.3577,0.6815,15.84
43,-0.3309,3.2036,2.2616,20.3309,0.0169,13.1777,8.7635,42.4178,0.7053,15.86
44,-5.7182,6.748,2.3672,25.7182,0.0144,7.9905,9.1855,49.0251,0.5632,15.87
45,3.65,6.0536,2.3375,16.35,0.0247,6.3029,9.0121,46.2312,0.8716,15.99
46,25.5127,5.1949,2.3756,14.4873,0.0151,7.6279,9.094,77.2727,0.7613,15.72
47,-5.6473,6.4204,2.3099,25.6473,0.0252,16.1069,8.536,26.8344,1.1525,15.84
48,1.8609,2.582,2.2826,18.1391,0.0197,20.1799,8.8097,61.8725,0.9136,15.79
49,-4.4927,4.5795,2.4241,24.4927,0.0141,10.4381,8.58,34.0852,0.684,15.88
50,17.4,5.1848,2.3275,22.6,0.0256,14.361,8.8287,133.29193306761312,0.9251,15.8
51,1.6073,4.6249,2.3257,18.3927,0.0232,2.4696,8.7219,43.7856,0.7663,16.01
52,0.8873,3.9097,2.3132,19.1127,0.05001404392542416,13.239,8.4092,60.3015,0.9251,15.91
53,-2.7136,6.015,2.2752,22.7136,0.0211,10.1682,9.6515,16.3107,0.5669,15.89
54,5.3382,6.0748,2.3497,34.62999992554279,0.0162,24.40700322285261,9.1784,56.4706,0.7898,15.77
55,1.6373,6.026,2.3259,18.3627,0.0236,10.6195,8.5987,24.6154,0.8807,15.75
56,2.9691,3.4708,2.3063,17.0309,0.0141,7.4002,9.754,67.0391,0.577,15.96
57,-1.0991,6.1979,2.4214,21.0991,0.0154,5.5035,8.5855,35.2423,0.9588,15.62
58,2.9518,4.8857,2.3573,17.0482,0.0194,8.5058,8.7994,42.4178,0.8435,15.87
59,-10.37,4.4544,2.295,30.37,0.05001404392542416,7.1982,8.5177,44.3497,0.8384,15.88
60,1.3445,3.9991,2.2808,18.6555,0.0208,12.9923,8.2395,34.4322,1.0216,15.82
61,1.1664,3.4878,2.2935935783150496,18.8336,0.021929198863950512,8.43,8.1728,54.833,0.7584,15.830614464076529
62,0.1873,3.4793,2.3923,19.8127,0.0248,8.8156,8.6544,27.8134,0.6641,15.9
63,0.4836,3.9691,2.3122,19.5164,0.0185,8.177,8.6397,102.9126,0.9965,15.87
64,4.0809,3.2357,2.4079,15.9191,0.0208,6.3871,8.322,31.7181,0.7506,15.79
65,18.3936,4.2732,2.2936,21.6064,0.0386,24.40700322285261,9.2007,60.1156,0.7015,16.04
66,1.2809,4.3922,2.349,18.7191,0.0208,10.8354,8.3331,41.9175,0.9396,15.71
67,0.5682,7.684,2.3573,19.4318,0.0183,14.9271,8.7994,36.7722,0.8435,15.87
68,8.0955,6.9474,2.3865,11.9045,0.05001404392542416,13.2003,9.5713,33.8425,0.7928,15.78
69,-1.97,2.8027,2.2797,21.97,0.0337,15.6194,9.088,27.8652,0.481,15.86
70,-8.2255,5.2293,2.3366446934572704,28.2255,0.0138,15.2786,8.8249,76.815,0.6302,15.814569606570712
71,-0.75,5.8268,2.2647,20.75,0.025,13.3543,8.6544,57.1429,0.6641,15.83
72,0.1627,3.2662,2.2826,19.8373,0.0215,2.2511,8.6472,35.2941,0.7611,15.79
73,-1.9555,7.1548,2.3161,21.9555,0.0201,13.7654,9.9964,114.5263,0.7477,15.89
74,-1.3018,5.6614,2.2915,21.3018,0.0281,8.4459,8.7538,50.9091,0.8471,15.54
75,-0.0191,6.4234,2.3063,20.0191,0.0149,16.5013,9.0425,18.1303,0.6335,15.96
76,-2.0327,4.8172,2.2563,22.0327,0.0229,5.6548,9.1526,33.0312,0.4254,15.83
77,3.0982,4.8741,2.3883,16.9018,0.0192,13.9335,8.8546,25.3968,0.7337,15.91
78,-2.9609,7.3252,2.2859,22.9609,0.0134,10.1575,8.2963,17.6991,0.8136,15.72
79,3.5436,4.3696,2.2726,16.4564,0.0199,18.9251,8.8519,43.9407,0.6927,15.76
80,1.5127,8.4684,2.3323,18.4873,0.0239,16.4479,8.5779,40.4669,1.0189,15.97
81,1.17,4.533,2.3402,18.83,0.0234,9.7785,8.8132,45.5516,0.8146,15.88
82,-0.8045,5.2201,2.2472,20.8045,0.0152,14.3598,8.9979,61.2903,0.7258,15.72
83,2.99,6.8674,2.3604,17.01,0.0461,10.8833,9.754,20.6769,0.577,15.86
84,27.3427,6.7229,2.3524,12.6573,0.0135,10.9924,8.6667,85.7645,1.0959,15.74
85,0.7,3.952,2.2445,19.3,0.0175,15.2516,8.1161,48.9412,0.8595,15.79
86,10.9955,9.4756,2.3073,29.0045,0.0306,6.2156,8.6013,64.6204,1.1815,15.76
87,1.7373,4.3682,2.3162,18.2627,0.0269,15.5645,9.7324,53.4954,0.8752,15.75
88,-19.9927,6.6127,2.3375,34.62999992554279,0.0323,8.36,9.0121,58.9474,0.8716,15.99
89,0.9573,5.5044,2.212,19.0427,0.0219,11.9272,8.8356,63.4409,0.5194,15.98
90,-3.3555,6.5896,2.2877,23.3555,0.020790329615660047,5.0598,8.9607,29.4372,0.7392,15.91
91,-0.6327,5.515,2.4167,20.6327,0.0169,2.8641,8.8078,26.1328,1.0143,15.83
92,5.0691,2.7352,2.1996,14.9309,0.0193,12.605,8.7782,43.9462,0.745,16.09
93,11.2909,10.7271,2.2697,8.7091,0.021,7.0512,8.7994,39.5062,0.8435,15.94
94,-2.6109,2.5503,2.3936,22.6109,0.0151,8.9998,8.5571,31.7073,0.7032,15.87
95,-0.3736,5.7983,2.2937,20.3736,0.0127,9.2971,8.9635,62.9108,0.7643,15.98
96,-1.1391,3.3645,2.3289,21.1391,0.0204,7.7824,8.6427,69.12,0.9079,15.94
97,-4.99,4.3431,2.2555,24.99,0.02011198984856056,6.0282,10.063204409341335,31.7101,0.8229,15.74
