,feature_1,feature_17,feature_20,feature_22,feature_34,feature_60,feature_65,feature_82,feature_91,feature_92,feature_104,feature_116,feature_122,feature_130,feature_131,feature_153,feature_206,feature_299,feature_300,feature_317,feature_337,feature_421,feature_424,feature_461,feature_588
0,3079.77,9.859,12.3686,-4750.75,8.6915,0.6990999999999995,19.3009,-0.016100000000000007,9131.0599,-0.1835,-0.009499999999999998,785.5426,15.76,0.0,0.8203000000000003,0.2848,9.22,0.0595,0.05740000000000001,6.940800000000001,10.0329,1.8087,81.7554,14.755400000000002,0.0194
1,3001.36,10.671,12.4959,-5410.75,8.3006,-1.4173000000000007,21.4173,-0.019599999999999996,8795.69,0.016699999999999996,-0.0163,672.3210999999999,15.76,0.2837999999999999,0.8291000000000002,0.308,7.31,0.0662,0.0477,5.4323,13.2427,1.4549,71.9194,12.157,0.027599999999999996
2,3042.78,9.8446,12.5553,-6456.750000000001,8.7418,10.235500000000002,9.7645,-0.0238,8615.15,-0.0316,-0.0108,751.7695,15.650000000000002,-0.2837999999999999,0.5438,0.2132,8.8,0.0519,0.0335,5.0133,11.0695,1.9880000000000002,58.0425,21.1169,0.028699999999999996
3,3018.64,10.5954,12.4469,-5775.0,8.6829,9.851799999999999,30.1482,-0.0159,8363.73,0.010499999999999999,-0.003800000000000001,705.2765000000002,15.73,0.04729999999999975,0.8047999999999998,0.6531,7.77,0.0635,0.0728,5.8239,8.0615,2.8063,88.6322,41.7748,0.014099999999999998
4,3020.29,9.4946,12.4618,-6900.499999999999,8.5891,1.033600000000001,18.9664,-0.0271,8510.42,-0.028699999999999993,-0.011899999999999999,719.8049,15.9,0.4258000000000001,0.7611,0.36019999999999996,11.060000000000002,0.05050000000000001,0.0374,6.5621,10.0529,1.0932,70.6281,23.1457,0.0114
5,2964.69,9.7899,12.5492,-5546.0,9.0744,3.680900000000001,16.3191,-0.06219999999999999,8365.7701,0.03519999999999998,-0.0115,711.4945,15.82,1.6550000000000002,0.8137,0.8524,6.26,0.0242,0.0569,7.285,7.9101,0.7021,57.2251,37.3638,0.0251
6,2940.74,9.9299,12.4124,-5408.75,8.9132,2.8109000000000015,17.1891,-0.024100000000000003,9047.8399,-0.02310000000000001,-0.0093,777.1425000000002,15.76,0.0,0.8253000000000001,0.368,8.8,0.0655,0.0337,6.1564000000000005,9.565,2.6354,70.1378,31.3174,0.0059
7,3043.08,9.8134,12.5004,-5095.0,8.3383,1.503599999999999,18.4964,-0.025499999999999995,8493.8199,-0.1509,-0.013599999999999998,741.9427,15.650000000000002,2.4579999999999997,0.8345999999999999,0.5468,5.24,0.0867,0.0085,5.4847,7.5607,1.9699,50.3276,23.5649,0.014799999999999999
8,2932.61,9.3144,12.5404,-5447.75,8.659,23.8245,16.1755,-0.0182,9317.1698,0.05530000000000003,-0.0026000000000000003,718.5777,15.9,-0.1891999999999997,0.8194000000000001,0.4909,13.3,0.08,0.0583,5.7247,8.9855,2.2943,50.6425,32.3594,0.039106045718769675
9,3031.78,10.2769,12.5582,-4958.0,8.7512,1.5745,18.4255,-0.015900910195213648,8681.405205522757,-0.03830000000000001,-0.0102,826.7217,15.92,-0.14189999999999994,0.8711999999999999,0.1965,5.1,0.04490000000000001,0.0961,6.3127,11.8301,1.3589000000000002,91.1204,15.479600000000001,0.0275
10,3028.08,9.4578,12.5967,-5345.25,9.534,2.9282000000000012,17.0718,-0.07160404781624563,8078.23,0.019300000000000015,-0.0086,681.0371,15.95,0.5203999999999996,0.6778,0.7795,6.99,0.1099,0.0428,5.4921,8.5805,1.4902,38.694900000000004,13.0192,0.01
11,3003.82,10.832,12.4998,-5192.5,8.5288,5.4991,14.5009,-0.012599999999999995,8564.1802,-0.03010000000000001,-0.0105,729.4385000000001,15.94,-0.5677000000000001,0.6786,0.43090000000000006,7.32,0.1141,0.0703,6.5321,11.094,2.2458,62.3963,27.4194,0.0226
