,feature_66,feature_171,feature_427,feature_133,feature_461,feature_299,feature_354,feature_3
0,23.2216,0.8247,1.3155,2.3766,14.755400000000002,0.0595,0.0202,2207.0444
1,27.2716,0.7047,0.6593,2.3805,12.157,0.0662,0.0357,2155.3111
2,14.7061,0.7804,1.5403,2.3244,21.1169,0.0519,0.0145,2173.4556
3,36.0791,0.6262,1.6422,2.3725,41.7748,0.0635,0.0512,2224.0
4,24.3057,0.969,0.8006,2.3401,23.1457,0.05050000000000001,0.0533,2217.8111
5,19.118899999999996,0.4063,0.7004,2.2797,37.3638,0.0242,0.0497,2212.3
6,22.2064,0.5595,1.4411999999999998,2.2864,31.3174,0.0655,0.017,2200.2
7,25.3099,0.8028,1.419,2.3080999999999996,23.5649,0.0867,0.033,2209.8
8,24.2829,1.0824,1.8268,2.2592,32.3594,0.08,0.0428,2186.4111
9,21.0974,0.4433,0.9783,2.2877,15.479600000000001,0.04490000000000001,0.05159999999999999,2182.5555
10,23.905,0.4788,1.3358,2.212,13.0192,0.1099,0.051899999999999995,2173.2778
11,17.5983,0.7978,1.5564,2.2773,27.4194,0.1141,0.0497,2163.5889
12,32.7483,0.781,1.5814,2.2959,33.2053,0.0266,0.0495,2162.5556
13,22.3647,0.6332,0.7479,2.3322999999999996,30.5482,0.048600000000000004,0.0626,2236.0667
14,22.3694,0.7299,0.6601,2.2673999999999994,24.0618,0.060700000000000004,0.049,2239.4111
15,29.142900000000004,0.5868,0.8463,2.2564,55.391000000000005,0.05850000000000001,0.05450000000000001,2227.2444
16,24.685460000000003,0.6062,0.5788,2.2784,44.92130000000001,0.0536,0.0455,2195.6667
17,44.792763830260405,0.7108,2.02,2.3735000000000004,20.7031,0.0868,0.013500000000000002,2207.0444
18,15.047100000000002,0.5162,0.6477,2.1911,25.4407,0.0359,0.0448,2164.3666
19,22.1659,0.7973,2.0504,2.3499,14.845300000000002,0.12647035144201868,0.0446,2170.0666
20,37.258,0.48280000000000006,1.5739,2.2928,26.161,0.0565,0.05870000000000001,2244.1111
21,21.7095,0.49450000000000005,1.5151000000000001,2.3146,16.8406,0.0166,0.0378,2160.6
22,23.1287,0.6531,0.737,2.3386,28.8304,0.0488,0.0596,2191.5667
23,30.7593,0.5357,1.2606,2.272,21.7993,0.071,0.0124,2227.2222
24,19.2834,0.6458,0.5418,2.2802,36.519,0.045,0.007799999999999999,2224.6778
25,27.2876,0.8505,1.7251,2.3121999999999994,31.398699999999998,0.0601,0.0506,2207.3889
26,24.3905,0.6791,2.2004,2.2728,66.3273450377527,0.053,0.0513,2173.4556
27,21.2465,0.6177,0.8378,2.2474,19.1756,0.0643,0.0583,2210.8556
28,26.2754,0.5811,1.9544,2.3216,23.6929,0.0339,0.0423,2230.4222
29,29.809,0.5744,0.6131,2.4241,32.6596,0.1043,0.0389,2243.8556
30,41.2374,0.6385,1.3431,2.3684,53.5488,0.0254,0.0225,2171.9
31,30.4914,0.969,0.4793,2.2937,33.3826,0.05870000000000001,0.0384,2220.4778
32,22.9635,0.9090000000000001,0.9287,2.2757,56.318,0.0286,0.0435,2216.5
33,26.2691,0.377,0.9269,2.2658,22.4105,0.0816,0.029100000000000004,2266.8333
34,21.7926,0.7743,1.2483,2.3817,18.8183,0.0679,0.048299999999999996,2205.7445
35,23.8157,0.5844,1.0257000000000003,2.2771,14.2191,0.047200000000000006,0.0324,2124.8444
36,26.4132,0.5595,0.5418,2.2864,28.1081,0.0175,0.013,2208.5222
37,30.3233,0.6379,1.1716000000000002,2.2434,18.1961,0.099,0.0559,2228.4778
38,26.448,0.7512,0.8527,2.2569,46.502100000000006,0.0257,0.0247,2247.3666
39,44.792763830260405,0.5928,1.4389,2.3712,29.586499999999997,0.038000000000000006,0.020800000000000003,2191.9
40,21.6831,0.4433,0.5403,2.3187,20.8576,0.0327,0.049,2191.3556
41,27.4102,0.8976,1.2655,2.2887,30.4356,0.0384,0.0204,2223.0333
42,26.8979,0.5756,0.5995999999999999,2.4151,28.4535,0.03930000000000001,0.0188,2165.0333
43,27.3211,0.6023,1.3047,2.2616,45.239900000000006,0.0805,0.0396,2189.9667
44,31.4501,0.4812,1.5308,2.3672,33.5223,0.045,0.062,2218.0555
45,23.5578,0.7555,0.6632,2.3375,30.783899999999996,0.0351,0.021300000000000003,2217.8667
46,22.1353,0.6491,2.1082,2.3756,53.855000000000004,0.043300000000000005,0.0368,2232.5889
47,32.7577,0.9858,0.6269,2.3099000000000003,45.946000000000005,0.088,0.042100000000000005,2196.8
48,22.7275,0.7769,0.5892,2.2825999999999995,14.495,0.1198,0.0568,2162.1333
49,33.272,0.5786,1.5991000000000002,2.4241,22.1105,0.057300000000000004,0.0474,2178.5889
50,30.1062,0.7997,1.6608000000000003,2.3275,31.099000000000004,0.0813,0.0321,2191.7889
51,25.9809,0.6535,1.7426,2.3257,25.3724,0.0144,0.014,2217.8667
52,24.7257,0.7888,0.6011,2.3132,47.83950000000001,0.061000000000000006,0.0105,2207.0444
53,30.7182,0.4779999999999999,0.6632,2.2752,21.569,0.0626,0.0569,2206.4
54,44.792763830260405,0.6723,1.2224,2.3497,25.2808,0.12647035144201868,0.028800000000000003,2196.6555
55,26.6305,0.7495,0.5648,2.3259,35.497,0.0454,0.0284,2183.1
56,22.5569,0.4955,0.6418,2.3063,16.6688,0.0397,0.05090000000000001,2228.4444
