,feature_1,feature_20,feature_22,feature_34,feature_60,feature_65,feature_122,feature_130,feature_131,feature_288,feature_337,feature_342,feature_421,feature_424
0,3079.77,12.3686,-4750.75,8.6915,0.6990999999999995,19.3009,15.76,0.0,0.8203000000000003,0.091,10.0329,2.6547,1.8087,81.7554
1,3001.36,12.4959,-5410.75,8.3006,-1.4173000000000007,21.4173,15.76,0.2837999999999999,0.8291000000000002,0.0899,13.2427,2.0989,1.4549,71.9194
2,3042.78,12.5553,-6456.750000000001,8.7418,10.235500000000002,9.7645,15.650000000000002,-0.2837999999999999,0.5438,0.0722,11.0695,2.5012,1.9880000000000002,58.0425
3,3018.64,12.4469,-5775.0,8.6829,9.851799999999999,30.1482,15.73,0.04729999999999975,0.8047999999999998,0.1869,8.0615,2.4329,2.8063,88.6322
4,3020.29,12.4618,-6900.499999999999,8.5891,1.033600000000001,18.9664,15.9,0.4258000000000001,0.7611,0.11879999999999999,10.0529,3.2653,1.0932,70.6281
5,2964.69,12.5492,-5546.0,9.0744,3.680900000000001,16.3191,15.82,1.6550000000000002,0.8137,0.239,7.9101,2.2442,0.7021,57.2251
6,2940.74,12.4124,-5408.75,8.9132,2.8109000000000015,17.1891,15.76,0.0,0.8253000000000001,0.1101,9.565,2.5551,2.6354,70.1378
7,3043.08,12.5004,-5095.0,8.3383,1.503599999999999,18.4964,15.650000000000002,2.4579999999999997,0.8345999999999999,0.163,7.5607,2.0186,1.9699,50.3276
8,2932.61,12.5404,-5447.75,8.659,23.8245,16.1755,15.9,-0.1891999999999997,0.8194000000000001,0.1479,8.9855,3.7663,2.2943,50.6425
9,3031.78,12.5582,-4958.0,8.7512,1.5745,18.4255,15.92,-0.14189999999999994,0.8711999999999999,0.0616,11.8301,1.6033,1.3589000000000002,91.1204
10,3028.08,12.5967,-5345.25,9.534,2.9282000000000012,17.0718,15.95,0.5203999999999996,0.6778,0.2194,8.5805,2.4674,1.4902,38.694900000000004
11,3003.82,12.4998,-5192.5,8.5288,5.4991,14.5009,15.94,-0.5677000000000001,0.6786,0.1281,11.094,2.3933,2.2458,62.3963
12,2990.57,12.5373,-6623.75,8.1605,-2.5027000000000013,22.5027,15.7,0.0,0.7048,0.1273,10.1164,3.1731,2.5142,58.39549999999999
13,2986.5,12.4849,-5416.0,8.8043,0.3399999999999989,19.66,15.96,-0.9461000000000002,0.7527,0.1075,11.13,3.2261,0.9559000000000001,64.68739999999997
14,3219.75,12.5914,-5187.25,8.7556,4.1690999999999985,15.8309,15.82,-0.4258000000000001,0.6888,0.0812,10.0258,3.0013,0.8173,49.4844
15,2913.4,12.5488,-5153.75,8.5571,-3.7399999999999993,23.74,15.75,-3.4960000000000004,0.5638,0.12189999999999998,10.0281,1.547,1.653,80.66799999999999
16,3018.8,12.27669424820973,-5334.75,9.131,2.2763599999999995,17.72364,15.8,0.0,0.7865000000000001,0.0711,9.1425,2.686288463324579,0.9921000000000001,85.2863
17,2942.41,12.6278,-5410.5,8.5687,1.9482000000000006,34.62999992554279,15.77,0.0,0.8217,0.2159,10.2062,3.8318,2.7501,37.1837
18,2848.46,12.4716,-5233.75,8.7187,8.145499999999998,11.8545,16.02,-0.7568999999999998,0.7403,0.0834,12.8157,1.5118000000000003,0.5649,99.6876
19,3010.26,12.4049,-4173.536428374855,8.441,4.955499999999998,15.0445,15.59,-0.14189999999999994,0.6847,0.0903,8.8046,4.0309,3.0235,51.5852
20,3033.29,12.6278,-6363.000000000001,9.5642,9.188200000000002,30.8118,15.83,-0.3784000000000001,0.7463,0.44190388499406486,8.4756,2.903,2.7521,54.5945
21,2941.23,12.58,-6257.5,8.6706,2.285499999999999,17.7145,15.650000000000002,1.0399999999999998,0.657,0.11790000000000002,13.5441,4.8332,2.126,46.8068
22,3043.22,12.4849,-5607.25,8.7867,0.6190999999999987,19.3809,15.74,-0.9461000000000002,0.6893,0.23290000000000002,11.5569,3.4031999999999996,1.0582,70.9477
23,3021.61,12.4124,-5720.25,8.8581,-3.7509,23.7509,15.73,-3.449,0.5042,0.2818,9.9534,1.5594,1.6264000000000003,104.409
24,3048.76,12.512,-5122.5,8.8624,4.911800000000003,15.088199999999999,15.75,0.7096,0.8543,0.0752,9.5915,2.5103,0.9130999999999999,122.35709999999999
25,2980.566,12.4761,-5434.0,8.6397,0.11999999999999994,19.88,15.87,-0.4258000000000001,0.7785,0.1078,9.1303,2.9003,2.3232,74.1514
26,2943.9,12.4753,-6349.750000000001,9.5713,1.8172999999999997,18.1827,15.92,0.23650000000000015,0.7287,0.10319999999999999,8.5625,1.9383,2.6912,78.125
27,2965.41,12.7051,-5419.75,8.2345,2.792699999999999,17.2073,15.87,-0.8042000000000002,0.7003,0.1437,8.674,1.8276000000000001,1.1494,72.29360000000001
28,3030.27,12.4608,-6154.0,9.1502,2.1109,17.8891,15.83,-0.4730999999999999,0.7589,0.12069999999999999,8.099,4.1816,2.5678,91.3669
29,3035.89,12.58,-5341.25,8.6544,-4.4109,24.4109,15.84,-2.553,0.8014000000000001,0.1541,8.0188,1.7378000000000002,0.8233,154.9622
30,2943.58,12.5698,-5474.25,10.063204409341335,8.9136,31.0864,15.74,-0.3310999999999997,0.7681,0.1116,7.9086,2.9373,1.9598999999999998,95.2363
31,3006.39,12.5218,-6305.250000000001,8.5891,-2.0764000000000014,22.0764,15.93,-1.655,0.7591,0.1247,10.3051,2.9181,0.5995,129.9072
32,3007.75,12.5488,-5639.75,8.287,0.5518000000000001,19.4482,15.77,0.04729999999999975,0.6423,0.1373,9.7387,2.476,1.6993,66.6712
33,2936.51,12.4059,-5977.249999999999,8.5851,-0.936399999999999,20.9364,15.79,-2.222,0.7821999999999999,0.0877,8.7863,1.4554000000000002,1.4106000000000003,51.7334
34,3021.83,12.4349,-5466.75,8.572,5.206400000000001,14.7936,15.9,0.0,0.8536,0.158,9.4316,1.6991,2.4229,109.1323
35,3033.29,12.4998,-6278.999999999999,9.7836,1.2836,18.7164,15.95,-0.5203999999999996,0.7232,0.1317,13.0936,5.077642316622894,1.9827000000000001,55.3285
36,3230.125904598164,12.56,-5477.0,8.9132,1.002699999999999,18.9973,15.76,0.0,0.8253000000000001,0.1034,9.8985,2.7473,1.9321000000000002,65.3446
37,2951.06,12.5967,-5371.5,9.0447,-2.6564,22.6564,15.74,-0.5203999999999996,0.7154,0.1598,8.1657,1.0967,1.5853000000000002,115.0351
38,2994.06,12.2981,-5176.25,8.9191,-0.06359999999999964,20.0636,15.83,-2.93,0.8144999999999999,0.33869999999999995,8.1525,3.6058,1.3856,55.9769
39,2955.3,12.4247,-5641.25,9.2405,3.905499999999998,34.62999992554279,15.7,0.7568999999999998,0.7859999999999999,0.10509999999999999,7.8787,2.822,2.1898,86.7402
40,2996.65,12.649,-5193.25,8.7512,2.0318000000000014,17.9682,15.74,0.6622999999999996,0.8780999999999999,0.0827,12.3178,2.1479,0.758,82.9691
41,2988.99,12.4231,-5369.0,8.9336,17.387300000000003,22.6127,15.98,-0.04729999999999975,0.6287,0.44190388499406486,8.585,2.4997,2.0262,90.9661
42,3054.52,12.6122,-5770.75,8.8909,-0.15449999999999883,20.1545,15.82,0.04729999999999975,0.8343000000000002,0.1299,8.9376,2.3749,0.8953999999999999,89.7356
43,3221.21,12.551,-5658.25,8.7635,-0.3308999999999991,20.3309,15.8,-1.797,0.5662,0.12480000000000001,8.0577,1.5814,1.6860000000000002,57.9488
44,2977.43,12.4616,-5282.75,9.1855,-5.7181999999999995,25.7182,15.87,-0.23650000000000015,0.8117000000000002,0.1301,8.9853,2.6755,1.9768999999999999,129.5748
45,3017.87,12.5018,-5936.000000000001,9.0121,3.649999999999999,16.35,15.97,0.0,0.7986999999999999,0.1319,10.256,2.6408,0.8225,62.19589999999999
46,2950.454,12.5088,-5657.75,9.094,25.51269999999999,14.4873,15.7,-0.14189999999999994,0.6925,0.1348,6.0479,2.5308,3.0263,55.1427
47,3230.125904598164,12.4661,-5226.5,8.536,-5.647300000000001,25.6473,15.79,0.23650000000000015,0.6755,0.24929999999999997,8.5708,2.7357,0.9489,48.2409
48,3182.87,12.6122,-5603.75,8.8097,1.860900000000001,18.1391,15.78,1.4190000000000003,0.821,0.2412,8.8196,1.2755,0.6982,66.0575
