,feature_1,feature_20,feature_22,feature_34,feature_38,feature_60,feature_92,feature_103,feature_104,feature_112,feature_116,feature_122,feature_127,feature_130,feature_131,feature_154,feature_206,feature_228,feature_320,feature_337,feature_426,feature_461,feature_489,feature_511,feature_520
0,3079.7700000000004,12.368599999999999,-4750.75,8.6915,66.1976,0.6990999999999996,-0.1835,0.08109999999999999,-0.0095,232.28232,785.5426,15.76,2.813,0.0,0.8202999999999999,0.0127,9.22,0.0179,11.051800000000002,10.0329,2.8888,14.755400000000002,472.0497,84.9279,3.2924000000000007
1,3001.36,12.4959,-5410.75,8.3006,65.9546,-1.4173000000000002,0.016700000000000027,-0.03459999999999999,-0.0163,231.95054,672.3211,15.76,2.99,0.2837999999999999,0.8291,0.0065,7.31,0.0155,7.0269,10.736,2.8863,12.157,430.0637,25.2308,5.104620000000001
2,3042.78,12.5553,-6456.75,8.7418,66.3572,10.235499999999998,-0.03160000000000001,-0.0563,-0.0108,231.88954,751.7695,15.65,2.918,-0.2837999999999999,0.5438,0.014800000000000002,8.8,0.0129,10.8718,11.0695,2.166,21.1169,389.4737,46.2963,7.4392
3,3018.64,12.4469,-5775.0,8.6829,66.5518,9.851799999999997,0.010499999999999982,-0.04590000000000002,-0.0037999999999999996,233.30186,705.2765,15.729999999999999,2.749,0.04729999999999975,0.8048,0.0159,7.77,0.0163,9.476,8.0615,6.164300000000001,41.7748,498.5871,71.92200000000001,6.740620000000001
4,3020.29,12.4618,-6900.5,8.5891,66.0981,1.0335999999999994,-0.028700000000000014,0.011199999999999988,-0.0119,231.72818,719.8049,15.9,2.776,0.4258000000000001,0.7611000000000001,0.007799999999999999,11.06,0.0136,10.0446,10.0529,3.7934,23.145699999999998,213.8249,36.2869,5.86016
5,2990.57,12.537300000000002,-6623.75,8.1605,66.3805,-2.5027,-0.1331,0.009900000000000016,-0.0094,233.8565,801.3997,15.699999999999998,2.533,0.0,0.7048,0.0153,9.69,0.023500000000000004,4.2805,10.1164,3.7780000000000005,33.2053,718.0915,44.94788,5.873519999999999
6,2986.5,12.4849,-5416.0,8.8043,66.2008,0.3400000000000003,-0.02720000000000001,-0.03230000000000001,-0.013,230.8273,722.202,15.96,2.892,-0.9461000000000002,0.7527,0.0073,10.32,0.0135,6.6974,11.13,3.5025000000000004,30.5482,670.6294,54.615399999999994,3.3066
7,2913.4,12.5488,-5153.750000000001,8.5571,66.145,-3.7400000000000015,0.03299999999999998,-0.04,-0.0098,231.8477,762.0218,15.750000000000002,2.389,-3.4960000000000004,0.5638,0.0082,4.12,0.0101,8.643,10.0281,4.319,55.391,204.5421,34.7826,5.670659999999999
8,3010.26,12.4049,-5938.65,8.441,65.5794,4.955499999999999,-0.08229999999999998,0.037,-0.0097,231.59894,691.3175,15.59,2.511,-0.14189999999999994,0.6847,0.0196,14.740000000000002,0.0144,6.368999999999999,8.8046,2.8742,14.845299999999998,710.3203,48.329,7.7522
9,3033.29,12.6278,-6363.0,9.5642,65.7964,9.1882,0.015599999999999994,-0.008399999999999994,-0.0086,232.63232,809.4099,15.83,2.618,-0.3784000000000001,0.7463000000000001,0.0153,9.02,0.0122,10.0419,8.4756,7.306400000000001,26.160999999999998,848.0874,45.152,4.346
10,2941.23,12.58,-6257.5,8.6706,65.8977,2.2855000000000008,-0.1071,0.047279999999999975,-0.006199999999999999,231.39562,730.9317,15.65,2.552,1.0399999999999998,0.657,0.0146,14.91,0.025600000000000005,6.6024,9.94396,3.9069000000000003,16.8406,420.6573,42.0202,4.4134400000000005
11,3043.22,12.4849,-5607.25,8.7867,66.3724,0.6191000000000008,0.09989999999999999,-0.04420000000000002,-0.008,230.8709,742.3405,15.740000000000002,2.452,-0.9461000000000002,0.6893,0.007199999999999999,11.18,0.014900000000000002,6.2683,11.5569,8.639099999999997,28.830399999999997,212.4031,71.028,9.4653
12,3021.61,12.412399999999998,-5720.25,8.8581,66.1061,-3.7508999999999992,0.10239999999999999,0.02440000000000002,-0.0086,230.51868,710.5846,15.729999999999999,2.658,-3.449,0.668,0.0123,4.95,0.0189,9.5407,9.9534,10.569499999999998,21.7993,450.7389,39.708,4.77132
13,3048.76,12.512000000000002,-5122.5,8.8624,66.2314,4.9118,0.011799999999999988,0.0286,-0.0114,233.3418,782.5507,15.750000000000002,2.783,0.7096,0.8542999999999998,0.0053,7.039999999999999,0.0121,8.1451,9.5915,2.275,36.519,450.7223,30.837000000000003,4.1715
14,3001.7960000000003,12.476099999999999,-5434.0,8.6397,66.18312,0.11999999999999918,-0.1293,0.0776,-0.0092,230.7574,804.2368,15.87,2.582,-0.4258000000000001,0.7784999999999999,0.0167,8.33,0.019639999999999998,7.1292,9.1303,3.3881,31.398700000000005,351.4956,64.3929,6.377600000000001
15,3030.27,12.4608,-6154.0,9.1502,66.2237,2.110899999999999,0.13969999999999996,0.022099999999999998,-0.004200000000000001,231.61284,806.2734,15.83,2.854,-0.4730999999999999,0.7589,0.0189,13.41,0.0226,5.168499999999999,8.099,4.1364,23.6929,355.7932,70.33696,8.685
16,3035.89,12.58,-5341.25,8.6544,66.2357,-4.410900000000001,-0.028000000000000004,0.037099999999999994,-0.0101,230.123,730.2174,15.84,2.917,-2.553,0.8014,0.005999999999999999,5.5,0.0123,6.7671,8.0188,5.6515,32.6596,251.19709999999998,34.6535,7.4483999999999995
