,feature_60,feature_478,feature_133,feature_65,feature_349,feature_435,feature_124,feature_34,feature_563,feature_118,feature_442,feature_148
0,0.6991,6.0266,2.3766,19.3009,0.0237,9.9805,15.83,8.6915,267.07,59.2662,0.9639,0.0173
1,-1.4173,4.8218,2.3805,21.4173,0.0272,12.5349,15.75,8.3006,250.084,58.7063,0.8427,0.014
2,10.2355,6.1589,2.3244,9.7645,0.0163,12.8413,15.69,8.7418,264.272,55.8504,0.9193,0.0189
3,9.8518,5.0612,2.3725,30.1482,0.03,10.5202,15.81,8.6829,262.35654592489095,58.2831,0.7158,0.0267
4,1.0336,7.4828,2.3401,18.9664,0.0243,11.1054,15.94,8.5891,261.58062699435663,58.0262,1.1255,0.0106
5,3.6809,4.1813,2.2797,16.3191,0.0205,4.3896,15.86,9.0744,264.272,60.9507,0.4782,0.0069
6,2.8109,5.9339,2.2864,17.1891,0.0245,11.5102,15.79,8.9132,264.272,58.9076,0.656,0.0251
7,1.5036,3.5466,2.3081,18.4964,0.0174,14.6852,15.69,8.3383,264.272,58.282,0.932,0.0189
8,23.8245,9.1221,2.2592,16.1755,0.0105,14.2503,15.94,8.659,267.064,58.4808,1.2771,0.0221
9,1.5745,3.3971,2.2877,18.4255,0.01978343252799333,8.041,15.91,8.7512,264.272,59.9764,0.5317,0.0132
10,2.9282,4.7353,2.212,17.0718,0.0339,18.972,15.98,9.534,272.796,55.9011,0.565,0.0144
11,5.4991,5.2686,2.2773,14.5009,0.0172,19.7531,15.97,8.5288,265.306,56.4388,0.9361,0.0214
12,-2.5027,6.8676,2.2959,22.5027,0.0198,5.9122,15.73,8.1605,270.44,56.3776,0.9175,0.0241
13,0.34,7.0359,2.3323,19.66,0.0116,8.9372,15.98,8.8043,251.616,59.0911,0.7316,0.0092
14,4.1691,6.8146,2.2674,15.8309,0.0225,10.0583,15.84,8.7556,256.842,59.6793,0.8532,0.008
15,-3.74,2.7876,2.2564,23.74,0.0236,9.6358,15.81,8.5571,258.924,56.7784,0.7032,0.0159
16,4.020384501363157,5.626410149383243,2.2784,19.74662814783941,0.0148,8.919,15.89,9.131,249.918,59.0958,0.7139,0.0096
17,1.9482,9.1675,2.3735,34.62861705988786,0.0381,14.1928,15.8,8.5687,261.168,57.4901,0.8222,0.0262
18,8.1455,3.4324,2.1911,11.8545,0.0253,5.9052,16.1,8.7187,264.272,55.36440966816628,0.6144,0.0055
19,4.9555,9.9444,2.3499,15.0445,0.0184,23.283439254242147,15.61,8.441,269.366,58.7458,0.9383,0.0286
20,9.1882,5.9269,2.2928,30.8118,0.014,13.8036,15.91,9.5642,262.68280707153997,59.8003,0.5593,0.0262
21,2.2855,10.1458,2.3146,17.7145,0.0162,2.7861,15.7,8.6706,264.272,59.5427,0.5836,0.0203
22,0.6191,7.5571,2.3386,19.3809,0.0229,9.2987,15.81,8.7867,251.03,58.4837,0.78,0.0102
23,-3.7509,3.369,2.272,23.7509,0.0209,13.1301,15.75,8.8581,264.272,59.3419,0.6373,0.0157
24,4.9118,4.8707,2.2802,15.0882,0.0154,8.2562,15.8,8.8624,264.272,57.1869,0.7655,0.0088
25,0.12,5.817,2.3122,19.88,0.0241,9.9237,15.87,8.6397,263.02,58.6908,0.9965,0.0223
26,1.8173,3.4949,2.2728,18.1827,0.0445,13.2642,15.99,9.5713,265.908,59.4203,0.7928,0.0257
27,2.7927,3.9522,2.2474,17.2073,0.0245,10.9953,15.92,8.2345,253.314,58.3601,0.7233,0.0112
28,2.1109,8.8016,2.3216,17.8891,0.0177,8.6069,15.89,9.1502,261.95286902914415,58.823,0.6667,0.0246
29,-4.4109,3.706,2.4241,24.4109,0.0199,16.4288,15.88,8.6544,264.272,59.4322,0.6641,0.008
30,8.9136,7.1799,2.3684,31.0864,0.0373,4.7491,15.77,10.056017592522666,260.674,59.0911,0.7584,0.0189
31,-2.0764,6.11,2.2937,22.0764,0.0278,14.5455,15.98,8.5891,261.99743518316234,59.0644,1.1255,0.0059
32,0.5518,6.0246,2.2757,19.4482,0.0273,4.7256,15.86,8.287,264.272,55.44,1.0541,0.0163
33,-0.9364,2.9235,2.2658,20.9364,0.017,14.3617,15.77,8.5851,277.55,58.2257,0.442,0.0137
34,5.2064,4.0558,2.3817,14.7936,0.0207,12.1562,15.85,8.572,264.272,58.6223,0.9238,0.0232
35,1.2836,12.050161098801356,2.2771,18.7164,0.0319,11.6714,16.01,9.7836,264.47,59.1488,0.6987,0.0189
36,1.0027,7.1443,2.2864,18.9973,0.0221,2.5787,15.79,8.9132,264.272,57.5441,0.656,0.0189
37,-2.6564,2.3646,2.2434,22.6564,0.0256,19.2454,15.78,9.0447,272.572,58.8339,0.7534,0.0153
38,-0.0636,10.0705,2.2569,20.0636,0.0253,4.3531,15.84,8.9191,256.014,57.6451,0.8859,0.0134
39,3.9055,6.1617,2.3712,34.62861705988786,0.0164,5.645,15.75,9.2405,263.176,57.7094,0.6901,0.0211
40,2.0318,4.3582,2.3187,17.9682,0.0227,5.1253,15.8,8.7512,253.17,58.5099,0.5317,0.0074
41,17.3873,5.7628,2.2887,22.6127,0.0461,6.7048,15.99,8.9336,265.49,58.6421,1.0644,0.0194
42,-0.1545,4.319,2.4151,20.1545,0.0241,6.4061,15.84,8.8909,250.206,58.7766,0.6815,0.0087
43,-0.3309,3.2036,2.2616,20.3309,0.0169,13.1777,15.86,8.7635,264.272,61.2828,0.7053,0.0163
44,-5.7182,6.748,2.3672,25.7182,0.0144,7.9905,15.87,9.1855,264.272,59.3036,0.5632,0.019
45,3.65,6.0536,2.3375,16.35,0.0247,6.3029,15.99,9.0121,250.292,56.9856,0.8716,0.008
46,25.5127,5.1949,2.3756,14.4873,0.0151,7.6279,15.72,9.094,261.542,57.8978,0.7613,0.0287
47,-5.6473,6.4204,2.3099,25.6473,0.0252,16.1069,15.84,8.536,249.548,58.148,1.1525,0.0092
48,1.8609,2.582,2.2826,18.1391,0.0197,20.1799,15.79,8.8097,264.272,59.305,0.9136,0.0068
49,-4.4927,4.5795,2.4241,24.4927,0.0141,10.4381,15.88,8.58,264.272,59.0025,0.684,0.018
50,17.4,5.1848,2.3275,22.6,0.0256,14.361,15.8,8.8287,262.938,57.0914,0.9251,0.0277
51,1.6073,4.6249,2.3257,18.3927,0.0232,2.4696,16.01,8.7219,262.04615939669424,59.3308,0.7663,0.016
52,0.8873,3.9097,2.3132,19.1127,0.04999901438308338,13.239,15.91,8.4092,261.13112203039805,58.3741,0.9251,0.0219
53,-2.7136,6.015,2.2752,22.7136,0.0211,10.1682,15.89,9.6515,257.404,58.3573,0.5669,0.0073
54,5.3382,6.0748,2.3497,34.62861705988786,0.0162,23.283439254242147,15.77,9.1784,264.136,58.9744,0.7898,0.0062
55,1.6373,6.026,2.3259,18.3627,0.0236,10.6195,15.75,8.5987,250.0,58.7323,0.8807,0.0103
56,2.9691,3.4708,2.3063,17.0309,0.0141,7.4002,15.96,9.754,250.698,58.5766,0.577,0.0075
57,-1.0991,6.1979,2.4214,21.0991,0.0154,5.5035,15.62,8.5855,248.774,58.3136,0.9588,0.005
58,2.9518,4.8857,2.3573,17.0482,0.0194,8.5058,15.87,8.7994,262.86777683140565,59.0601,0.8435,0.0185
59,-10.37,4.4544,2.295,30.37,0.04999901438308338,7.1982,15.88,8.5177,263.1828344060331,57.9622,0.8384,0.0057
60,1.3445,3.9991,2.2808,18.6555,0.0208,12.9923,15.82,8.2395,251.156,57.3415,1.0216,0.0072
61,1.1664,3.4878,2.2930921013724337,18.8336,0.021876956826976903,8.43,15.831546344250219,8.1728,256.73,59.2046,0.7584,0.008078273594290643
62,0.1873,3.4793,2.3923,19.8127,0.0248,8.8156,15.9,8.6544,268.152,59.2204,0.6641,0.0151
63,0.4836,3.9691,2.3122,19.5164,0.0185,8.177,15.87,8.6397,263.066,59.4838,0.9965,0.0212
64,4.0809,3.2357,2.4079,15.9191,0.0208,6.3871,15.79,8.322,264.272,58.8463,0.7506,0.0326
65,18.3936,4.2732,2.2936,21.6064,0.0386,23.283439254242147,16.04,9.2007,262.1439804989238,56.8545,0.7015,0.0203
66,1.2809,4.3922,2.349,18.7191,0.0208,10.8354,15.71,8.3331,266.8,59.2341,0.9396,0.0176
67,0.5682,7.684,2.3573,19.4318,0.0183,14.9271,15.87,8.7994,261.8031453123083,57.1673,0.8435,0.0181
68,8.0955,6.9474,2.3865,11.9045,0.04999901438308338,13.2003,15.78,9.5713,262.4547192785744,59.0927,0.7928,0.0342
69,-1.97,2.8027,2.2797,21.97,0.0337,15.6194,15.86,9.088,256.778,59.6505,0.481,0.0072
70,-8.2255,5.2293,2.337339031350627,28.2255,0.0138,15.2786,15.815489647116795,8.8249,261.436,57.6821,0.6302,0.0145
71,-0.75,5.8268,2.2647,20.75,0.025,13.3543,15.83,8.6544,261.234,57.2349,0.6641,0.0169
72,0.1627,3.2662,2.2826,19.8373,0.0215,2.2511,15.79,8.6472,264.272,59.2585,0.7611,0.0195
73,-1.9555,7.1548,2.3161,21.9555,0.0201,13.7654,15.89,9.9964,264.272,57.4722,0.7477,0.025
74,-1.3018,5.6614,2.2915,21.3018,0.0281,8.4459,15.54,8.7538,264.272,59.6445,0.8471,0.0194
75,-0.0191,6.4234,2.3063,20.0191,0.0149,16.5013,15.96,9.0425,250.556,58.3868,0.6335,0.0062
76,-2.0327,4.8172,2.2563,22.0327,0.0229,5.6548,15.83,9.1526,280.32,56.6758,0.4254,0.0203
77,3.0982,4.8741,2.3883,16.9018,0.0192,13.9335,15.91,8.8546,264.272,58.2014,0.7337,0.0094
78,-2.9609,7.3252,2.2859,22.9609,0.0134,10.1575,15.72,8.2963,271.75,59.3887,0.8136,0.0254
79,3.5436,4.3696,2.2726,16.4564,0.0199,18.9251,15.76,8.8519,248.426,57.8907,0.6927,0.0067
80,1.5127,8.4684,2.3323,18.4873,0.0239,16.4479,15.97,8.5779,261.6278206297708,59.4696,1.0189,0.017
81,1.17,4.533,2.3402,18.83,0.0234,9.7785,15.88,8.8132,252.932,58.5681,0.8146,0.0081
82,-0.8045,5.2201,2.2472,20.8045,0.0152,14.3598,15.72,8.9979,256.832,59.6825,0.7258,0.0096
83,2.99,6.8674,2.3604,17.01,0.0461,10.8833,15.86,9.754,261.4340432987097,57.4551,0.577,0.0205
84,27.3427,6.7229,2.3524,12.6573,0.0135,10.9924,15.74,8.6667,260.17,56.9211,1.0959,0.0216
85,0.7,3.952,2.2445,19.3,0.0175,15.2516,15.79,8.1161,264.272,59.3614,0.8595,0.0101
86,10.9955,9.4756,2.3073,29.0045,0.0306,6.2156,15.76,8.6013,262.2566008798382,58.4879,1.1815,0.0292
87,1.7373,4.3682,2.3162,18.2627,0.0269,15.5645,15.75,9.7324,263.0247316339199,57.0942,0.8752,0.0261
88,-19.9927,6.6127,2.3375,34.62861705988786,0.0323,8.36,15.99,9.0121,265.16,59.0341,0.8716,0.0151
89,0.9573,5.5044,2.212,19.0427,0.0219,11.9272,15.98,8.8356,264.272,58.4191,0.5194,0.0176
90,-3.3555,6.5896,2.2877,23.3555,0.02034829869450733,5.0598,15.91,8.9607,266.832,57.102,0.7392,0.0213
91,-0.6327,5.515,2.4167,20.6327,0.0169,2.8641,15.83,8.8078,264.272,58.1348,1.0143,0.011
92,5.0691,2.7352,2.1996,14.9309,0.0193,12.605,16.09,8.7782,272.312,55.4671,0.745,0.0214
93,11.2909,10.7271,2.2697,8.7091,0.021,7.0512,15.94,8.7994,265.432,55.7648,0.8435,0.0222
94,-2.6109,2.5503,2.3936,22.6109,0.0151,8.9998,15.87,8.5571,264.272,58.0021,0.7032,0.0071
95,-0.3736,5.7983,2.2937,20.3736,0.0127,9.2971,15.98,8.9635,261.7853832426992,58.0777,0.7643,0.0095
96,-1.1391,3.3645,2.3289,21.1391,0.0204,7.7824,15.94,8.6427,250.78,57.4779,0.9079,0.037782954220831
97,-4.99,4.3431,2.2555,24.99,0.01958400130663523,6.0282,15.74,10.056017592522666,251.976,58.3851,0.8229,0.012
98,-0.9091,4.2125,2.2915,20.9091,0.0176,9.2494,15.54,8.6472,272.74,59.1913,0.7611,0.0205
99,1.8164,5.801,2.3481,18.1836,0.0226,14.0172,15.74,8.2638,262.8243066883474,58.2855,0.9726,0.0183
100,0.1227,6.0602,2.3099,19.8773,0.0262,9.1776,15.84,9.5713,261.5011334738842,59.2818,0.7928,0.0181
101,0.8745,5.0466,2.2588,19.1255,0.0125,12.9555,15.95,8.5251,262.5040579000212,58.637,0.869,0.0217
102,-1.0182,6.2631,2.2725,21.0182,0.0142,16.2183,15.82,8.7779,251.252,58.1897,0.466,0.0059
103,0.3036,6.8782,2.3177,19.6964,0.0189,7.6823,15.8,8.8513,264.272,59.459,1.062,0.0086
104,2.0509,8.3516,2.2674,17.9491,0.026,15.4171,15.85,8.6556,264.272,60.2727,0.6163,0.0207
105,22.7927,8.4149,2.4244,17.2073,0.0352,10.6846,15.78,9.0998,262.5102848084242,59.1327,1.0551,0.0057
106,4.1464,8.2175,2.4214,15.8536,0.0202,5.7493,15.62,8.5889,259.932,59.3007,0.6222,0.0181
107,0.3245,8.9509,2.2949,19.6755,0.04999901438308338,5.4458,15.7,8.8973,264.272,58.5453,0.6796,0.0082
108,6.1527,2.6252,2.3672,13.8473,0.0183,4.1104,15.87,8.6915,250.676,57.434,0.9639,0.0095
109,-1.8473,8.9647,2.4,34.62861705988786,0.0249,10.717,15.79,8.7879,264.774,57.5427,0.8556,0.0222
110,-1.6436,7.076,2.4073,21.6436,0.0202,7.8761,15.72,8.2823,261.24,58.434,0.8133,0.0143
111,2.2982,4.252,2.2821,17.7018,0.0171,4.2138,15.8,8.6799,266.644,58.4667,0.593,0.0098
112,23.8864,3.626,2.3471,16.1136,0.0395,9.3799,15.75,9.1638,243.712,58.9705,0.6641,0.006
113,3.8109,5.1132,2.2674,16.1891,0.0146,10.6545,15.85,8.9605,264.272,61.0652,0.9274,0.0118
114,-6.74,4.736,2.3079,26.74,0.0195,11.4899,15.71,9.7137,273.694,57.7747,0.3973,0.0161
115,2.2618,8.7071,2.2789,17.7382,0.0253,12.2203,15.67,9.7571,264.298,59.3528,0.7852,0.0171
116,1.9245,4.6417,2.2728,18.0755,0.0136,10.3977,15.99,8.5459,250.11,57.9313,1.0918,0.0048
117,-0.4409,6.1962,2.2474,20.4409,0.0175,12.1517,15.77,8.3663,264.272,58.4467,0.5779,0.0143
118,27.651944607378546,6.5265,2.3596,11.5773,0.0432,13.9178,15.79,8.7947,262.6366783436114,58.0664,0.8446,0.0177
119,2.4209,6.6675,2.3984,17.5791,0.0218,3.0036,15.92,9.0145,261.262,59.0937,0.5478,0.037782954220831
120,-0.81,12.050161098801356,2.3296,20.81,0.0294,14.0369,15.71,8.6439,262.1017218271452,56.2629,1.0135,0.0257
121,-3.1801746649886304,5.624340992487997,2.3883,20.352895417986954,0.0153,9.5164,15.91,8.2981,265.378,56.173,0.7093,0.0169
122,-17.9336,4.7846,2.3407,34.62861705988786,0.0237,7.1685,15.84,9.043,260.87,59.8788,0.7574,0.0167
123,-0.7155,2.1779,2.4151,20.7155,0.0245,8.3029,15.84,8.6799,266.126,59.0096,0.593,0.0209
124,4.1509,5.0601,2.3099,15.8491,0.0285,17.1637,15.84,9.0622,247.374,57.356,0.8343,0.0111
125,3.9673,5.5115,2.2527,16.0327,0.0171,7.2727,15.81,9.0811,264.272,57.6435,1.1213,0.0061
126,-3.65,4.6997,2.2631,23.65,0.0261,10.5841,15.81,8.3663,247.772,57.5845,0.5779,0.0079
127,-1.9855,7.9214,2.3495,21.9855,0.0197,8.8526,15.81,8.7932,262.4303222610041,59.4504,0.8159,0.0046
128,-3.88,4.8058,2.2711,23.88,0.0122,4.6438,15.77,8.3675,264.272,58.2965,0.6268,0.0283
129,5.8045,8.0418,2.4201,14.1955,0.0248,7.1704,15.56,8.7932,260.13,58.5312,0.8159,0.0122
130,-0.9945,6.5778,2.3883,20.9945,0.0284,14.686,15.91,8.287,272.668,57.584,1.0541,0.0205
131,-4.6636,4.3419,2.2989,24.6636,0.0224,7.9362,15.84,9.9964,269.484,59.3441,0.7477,0.026
132,-19.1518,3.4781,2.334702013556166,34.62861705988786,0.0283,8.6154,15.807975872165338,8.8388,265.006,59.5307,0.9836,0.0141
