,feature_1,feature_17,feature_20,feature_22,feature_34,feature_60,feature_65,feature_82,feature_91,feature_92,feature_104,feature_116,feature_122,feature_127,feature_130,feature_131,feature_153,feature_154,feature_162,feature_206,feature_300,feature_337,feature_349,feature_456,feature_461,feature_511
0,3079.77,9.859,12.3686,-4750.75,8.6915,0.6990999999999995,19.3009,-0.016100000000000003,9131.0599,-0.1835,-0.009499999999999998,785.5426,15.76,2.8130000000000006,0.0,0.8203000000000001,0.2848,0.0127,641.0,9.22,0.0574,10.0329,0.0237,4.913499999999999,14.7554,84.9279
1,3001.36,10.671,12.4959,-5410.75,8.3006,-1.4172999999999991,21.4173,-0.019599999999999996,8795.69,0.016700000000000013,-0.0163,672.3211,15.76,2.99,0.2837999999999999,0.8291,0.308,0.0065,209.0,7.31,0.0477,13.2427,0.0272,2.9724000000000004,12.157,25.2308
2,3042.78,9.8446,12.5553,-6456.749999999999,8.7418,10.235500000000004,9.7645,-0.0238,8615.15,-0.0316,-0.010799999999999999,751.7695,15.65,2.918,-0.2837999999999999,0.5438,0.2132,0.0148,1177.0,8.8,0.0335,11.0695,0.0163,4.964,21.1169,46.2963
3,3018.64,10.5954,12.4469,-5775.0,8.6829,9.851799999999997,30.1482,-0.015899999999999997,8363.73,0.010499999999999983,-0.003800000000000001,705.2765,15.73,2.7489999999999997,0.04729999999999975,0.8048,0.6531,0.0159,1976.9999999999998,7.77,0.0728,8.0615,0.03,4.492099999999999,41.7748,114.2857
4,3020.29,9.4946,12.4618,-6900.5,8.5891,1.033599999999999,18.9664,-0.0271,8510.42,-0.02869999999999999,-0.011900000000000003,719.8049,15.9,2.776,0.4258000000000001,0.7611,0.3602,0.0078,4126.0,11.06,0.037399999999999996,10.0529,0.0243,4.544699999999999,23.145700000000005,36.2869
5,2964.69,9.7899,12.5492,-5546.0,9.0744,3.6809000000000016,16.3191,-0.0622,8365.7701,0.035200000000000016,-0.0115,711.4945,15.82,3.064,1.6550000000000002,0.8137,0.8524,0.006899999999999999,7790.0,6.26,0.0569,7.9101,0.0205,2.1367,37.3638,32.9718
6,2940.74,9.9299,12.4124,-5408.75,8.9132,2.810900000000001,17.1891,-0.0241,9047.8399,-0.023099999999999985,-0.009299999999999998,777.1425,15.76,2.789,0.0,0.8252999999999999,0.368,0.014000000000000002,3133.0,8.8,0.033699999999999994,9.565,0.024500000000000004,3.6010000000000004,31.317399999999996,58.9023
7,3043.08,9.8134,12.5004,-5095.0,8.3383,1.5036000000000005,18.4964,-0.0255,8493.8199,-0.1509,-0.0136,741.9427,15.65,2.982,2.4579999999999997,0.8346,0.5468,0.013700000000000002,1991.0,5.24,0.0085,7.5607,0.0174,3.4455,23.5649,51.3291
8,2932.61,9.3144,12.5404,-5447.75,8.659,23.824499999999997,16.1755,-0.018200000000000004,9317.1698,0.055300000000000016,-0.0025999999999999994,718.5777,15.9,3.094,-0.1891999999999997,0.8194,0.4909,0.0177,759.0,13.3,0.0583,8.9855,0.0105,3.118199999999999,32.3594,133.0074745070932
9,3031.78,10.2769,12.5582,-4958.0,8.7512,1.5744999999999998,18.4255,-0.015901973938117146,8755.501346163896,-0.03830000000000001,-0.0102,826.7217,15.92,2.7830000000000004,-0.14189999999999994,0.8712,0.19649999999999998,0.0095,3966.0,5.1,0.0961,11.8301,0.019329520963092053,3.9776999999999996,15.479599999999998,46.022000000000006
10,3028.08,9.4578,12.5967,-5345.25,9.534,2.928200000000002,17.0718,-0.07160375959574142,8078.23,0.0193,-0.0086,681.0371,15.95,2.58,0.5203999999999996,0.6778,0.7795,0.013,2238.0,6.99,0.0428,8.5805,0.0339,3.070699999999999,13.0192,52.0231
11,3003.82,10.832,12.4998,-5192.5,8.5288,5.499100000000001,14.5009,-0.0126,8564.1802,-0.030100000000000012,-0.010499999999999999,729.4385,15.94,3.4317744877177576,-0.5677000000000001,0.6786,0.4309,0.015,5790.0,7.32,0.0703,11.094,0.0172,5.1316999999999995,27.4194,29.4537
12,2990.57,9.407,12.5373,-6623.750000000001,8.1605,-2.5027,22.5027,-0.0126,8808.85,-0.1331,-0.0094,801.3997,15.7,2.533,0.0,0.7048,0.3554,0.0153,548.0,9.69,0.0216,10.1164,0.0198,2.2905999999999995,33.2053,133.0074745070932
13,2986.5,10.5436,12.4849,-5416.0,8.8043,0.340000000000001,19.66,-0.014299999999999997,8303.47,-0.027199999999999995,-0.013,722.202,15.96,2.892,-0.9461000000000002,0.7527,0.36929999999999996,0.007300000000000001,1442.0,10.320000000000002,0.0308,11.13,0.0116,2.8616999999999995,30.5482,54.6154
14,3219.75,9.5974,12.5914,-5187.25,8.7556,4.1690999999999985,15.8309,-0.0168,8508.81,0.04250000000000002,-0.0121,725.1428,15.82,2.654,-0.4258000000000001,0.6888,0.2456,0.0065,2439.0,10.110000000000001,0.0444,10.0258,0.0225,2.385,24.0618,39.6285
15,2913.4,9.6284,12.5488,-5153.75,8.5571,-3.74,23.74,-0.0341,9303.0001,0.032999999999999974,-0.009799999999999998,762.0218,15.75,2.389,-3.4960000000000004,0.5638,0.41580000000000006,0.0082,2960.0,4.12,0.0171,10.0281,0.0236,3.6842999999999995,55.391,34.782599999999995
16,3018.8,10.3504,12.27685990738101,-5334.75,9.131,2.304679696518749,17.695320303481257,-0.066,9207.0201,0.0,-0.010799999999999999,735.5572,15.8,2.686,0.0,0.7865000000000001,0.2308,0.005700000000000001,1895.0,9.135177160528754,0.0341,9.146732980112244,0.0148,3.8579,44.9213,42.3963
17,2942.41,9.778,12.6278,-5410.5,8.5687,1.9482000000000004,34.62861705988786,-0.023000000000000003,8738.47,0.015999999999999986,-0.007200000000000001,749.6408,15.77,2.792,0.0,0.8216999999999999,0.8118,0.0194,1521.0,13.530000000000001,0.041999999999999996,10.2062,0.0381,4.684999999999999,20.7031,91.9861
18,2848.46,10.1278,12.4716,-5233.75,8.7187,8.145500000000002,11.8545,-0.010599999999999998,9280.83,0.0636,-0.011400000000000002,798.0013,16.02,2.608,-0.7568999999999998,0.7403,0.249,0.006299999999999999,1398.0,4.95,0.053099999999999994,12.8157,0.0253,4.1721,25.4407,51.8112
19,3010.26,10.4363,12.4049,-4173.894919464572,8.441,4.955499999999998,15.0445,-0.014100000000000001,8531.5401,-0.08230000000000001,-0.0097,691.3175,15.59,2.511,-0.14189999999999994,0.6847,0.3,0.0196,9681.0,14.740000000000002,0.0999838819435499,8.804600000000002,0.0184,2.9258000000000006,14.845300000000002,48.329
20,3033.29,10.0634,12.6278,-6363.0,9.5642,9.188199999999998,30.8118,-0.009200000000000005,8981.2399,0.015599999999999989,-0.0086,809.4099,15.830000000000002,2.618,-0.3784000000000001,0.7463,1.5075536898487796,0.0153,9374.0,9.02,0.030699999999999995,8.4756,0.014,4.652199999999999,26.161,45.152
21,2941.23,9.6635,12.58,-6257.5,8.6706,2.285500000000001,17.7145,-0.021300000000000006,8586.1801,-0.10710000000000001,-0.0062,730.9317,15.65,2.552,1.0399999999999998,0.657,0.3775,0.014600000000000002,1897.0000000000002,14.91,0.0281,13.5441,0.0162,2.701,16.8406,42.0202
22,3043.22,10.0466,12.4849,-5607.25,8.7867,0.6190999999999998,19.3809,-0.0258,8881.1499,0.09989999999999999,-0.008,742.3405,15.74,2.452,-0.9461000000000002,0.6893,0.8679,0.0072,9936.0,11.180000000000001,0.0522,11.5569,0.022899999999999997,2.6549999999999994,28.8304,71.028
23,3021.61,9.3651,12.4124,-5720.25,8.8581,-3.7509000000000015,23.7509,-0.020300000000000006,8562.79,0.10240000000000002,-0.0086,710.5846,15.73,2.658,-3.449,0.5042,0.9898,0.012299999999999998,1616.0,4.95,0.0648,9.9534,0.0209,4.343699999999999,21.7993,39.708
24,3048.76,10.4536,12.512,-5122.5,8.8624,4.911800000000001,15.0882,-0.015600000000000003,9060.0199,0.011800000000000007,-0.011400000000000002,782.5507,15.75,2.7830000000000004,0.7096,0.8543,0.2378,0.0053,1237.0,7.04,0.0839,9.5915,0.015399999999999999,3.7061,36.519,30.837
25,2984.113764432563,10.3503,12.4761,-5434.0,8.6397,0.12000000000000101,19.88,-0.0309,9233.7999,-0.1293,-0.0092,804.2368,15.870000000000001,2.582,-0.4258000000000001,0.7785,0.35070000000000007,0.0167,4335.0,8.33,0.0052,9.1303,0.0241,2.7681999999999998,31.398699999999998,64.3929
26,2943.9,10.4094,12.4753,-6349.749999999999,9.5713,1.8173000000000006,18.1827,-0.009300000000000003,8639.07,0.025699999999999973,-0.016,763.2943,15.92,2.803,0.23650000000000015,0.7287,0.34580000000000005,0.0211,5948.0,5.14,0.026,8.5625,0.0445,4.4504,66.32617791614695,50.7439
27,2965.41,9.8053,12.7051,-5419.75,8.2345,2.7927,17.2073,-0.0452,8742.2499,0.004999999999999978,-0.0091,815.9082,15.870000000000001,2.5529999999999995,-0.8042000000000002,0.7003,0.4482,0.0082,3328.0,6.01,0.0327,8.673999999999998,0.024500000000000004,3.9385999999999997,19.1756,56.044
28,3030.27,9.999,12.4608,-6154.0,9.1502,2.1108999999999996,17.8891,-0.0281,9238.3601,0.1397,-0.004200000000000001,806.2734,15.830000000000002,2.854,-0.4730999999999999,0.7589,0.4136,0.0189,441.0,13.410000000000002,0.0174,8.099,0.0177,2.1894,23.6929,133.0074745070932
29,3035.89,9.3572,12.58,-5341.25,8.6544,-4.410899999999999,24.4109,-0.0272,8628.6799,-0.027999999999999994,-0.010100000000000001,730.2174,15.84,2.917,-2.553,0.8014000000000001,0.5288,0.005999999999999999,3007.0,5.5,0.0642,8.0188,0.0199,2.9883000000000006,32.6596,34.6535
30,2943.58,9.1952,12.5698,-5474.25,10.056017592522666,8.913600000000004,31.0864,-0.005399999999999997,8527.2501,0.1834,-0.0039000000000000003,737.8589,15.74,2.675,-0.3310999999999997,0.7681,0.3267,0.013100000000000002,1360.0,10.220000000000002,0.050300000000000004,7.9086,0.0373,3.0191,53.5488,93.9683
31,3006.39,9.4949,12.5218,-6305.249999999999,8.5891,-2.0764,22.0764,0.0,8763.57,-0.01090000000000001,-0.0141,755.3514,15.93,2.461,-1.655,0.7591,0.3763,0.0047,1311.0,9.35,0.04109999999999999,10.3051,0.0278,3.7537000000000003,33.3826,33.2449
32,3007.75,9.8632,12.5488,-5639.75,8.287,0.5517999999999995,19.4482,-0.014299999999999997,8875.2099,-0.003600000000000013,-0.0123,782.4785,15.77,3.4317744877177576,0.04729999999999975,0.6423,0.4765,0.0091,2129.0,8.84,0.0433,9.7387,0.0273,3.7262999999999997,56.318,44.8065
33,2936.51,9.9457,12.4059,-5977.25,8.5851,-0.9363999999999988,20.9364,-0.0228,8163.370099999999,-0.02879999999999999,-0.0158,682.5904,15.79,2.874,-2.222,0.7822,0.2558,0.009,8352.0,4.38,0.059,8.7863,0.017,3.2273,22.4105,25.3365
34,3021.83,10.6553,12.4349,-5466.75,8.572,5.206400000000001,14.793600000000001,-0.0198,8812.8499,0.0,-0.0102,744.1374,15.9,2.911,0.0,0.8536,0.507,0.0122,4811.0,5.7,0.0742,9.4316,0.0207,3.6241,18.8183,37.3464
35,3033.29,10.5538,12.4998,-6279.0,9.7836,1.2836000000000005,18.7164,-0.019099999999999995,8543.74,0.025099999999999976,-0.012,702.0668,15.95,2.875,-0.5203999999999996,0.7232,0.451,0.01,6168.0,17.8532719249251,0.0276,13.0936,0.031900000000000005,5.011399999999999,14.2191,28.3333
36,3230.1251316919993,9.9621,12.56,-5477.0,8.9132,1.002700000000001,18.9973,-0.0664,8974.0602,0.0636,-0.0139,768.3565,15.76,2.789,0.0,0.8252999999999999,0.33620000000000005,0.0053,8751.0,10.4,0.0483,9.8985,0.0221,4.588099999999999,28.1081,38.9189
37,2951.06,9.8259,12.5967,-5371.5,9.0447,-2.6564000000000005,22.6564,-0.006399999999999998,9268.49,-0.029399999999999985,-0.0083,811.2656,15.74,2.521,-0.5203999999999996,0.7154,0.5614,0.011400000000000002,6935.0,3.49,0.0566,8.1657,0.0256,3.5501,18.1961,44.3778
38,2994.06,9.0234,12.2981,-5176.25,8.9191,-0.06359999999999949,20.0636,0.00019999999999999575,9575.389799999999,0.0,-0.010600000000000002,827.0727,15.830000000000002,2.856,-2.93,0.8145,1.1641,0.0083,6512.0,15.35,0.0095,8.1525,0.0253,3.6577,46.5021,55.9242
39,2955.3,9.1855,12.4247,-5641.25,9.2405,3.9055000000000013,34.62861705988786,-0.0271,8802.4499,0.0,-0.0068,759.1618999999998,15.7,2.746,0.7568999999999998,0.786,0.321,0.014000000000000002,5273.0,8.66,0.05319999999999999,7.8787,0.0164,2.8727,29.586500000000004,61.7647
40,2996.65,10.2747,12.649,-5193.25,8.7512,2.031799999999999,17.9682,-0.005000000000000005,8799.72901311252,-0.1331,-0.010100000000000001,791.9736,15.74,2.951,0.6622999999999996,0.8780999999999999,0.2515,0.0053,1767.0,6.37,0.0574,12.3178,0.022700000000000005,4.207799999999999,20.8576,23.7037
41,2988.99,10.215,12.4231,-5369.0,8.9336,17.3873,22.6127,-0.007599999999999995,8608.34,-0.1689,-0.0078000000000000005,735.4067,15.980000000000002,3.0020000000000002,-0.04729999999999975,0.6287,1.5075536898487796,0.012299999999999998,2311.0,8.26,0.049,8.585,0.04610000000000001,2.7888,30.435600000000004,69.6774
42,3054.52,10.001,12.6122,-5770.75,8.8909,-0.15450000000000066,20.1545,-0.008800000000000002,8997.84,-0.04350000000000001,-0.0164,787.916,15.82,2.865,0.04729999999999975,0.8343,0.4462,0.0059,5562.0,6.33,0.0933,8.9376,0.0241,2.4525,28.453500000000002,21.3577
43,3221.21,10.115,12.551,-5658.25,8.7635,-0.3309000000000004,20.3309,-0.0265,7936.660100000001,-0.03600000000000002,-0.0118,714.6349,15.8,2.413,-1.797,0.5662,0.4148,0.0127,1469.0,4.78,0.0533,8.0577,0.0169,3.6174,45.2399,42.4178
44,2977.43,11.0543,12.4616,-5282.75,9.1855,-5.7181999999999995,25.7182,-0.022099999999999998,8552.3599,-0.009399999999999988,-0.0135,740.1717999999998,15.870000000000001,2.746,-0.23650000000000015,0.8116999999999999,0.4452,0.0148,846.0,9.82,0.037399999999999996,8.9853,0.0144,4.725399999999999,33.5223,49.0251
45,3017.87,9.703,12.5018,-5936.000000000001,9.0121,3.650000000000001,16.35,-0.0316,8672.8999,-0.03020000000000001,-0.009999999999999998,745.5714,15.97,3.351,0.0,0.7987,0.4459,0.0065,6572.0,9.02,0.0316,10.256,0.024699999999999996,4.8727,30.783900000000003,46.2312
46,2951.59987408447,10.4161,12.5088,-5657.75,9.094,25.512700000000002,14.4873,-0.0572,8394.1499,0.092,-0.004400000000000001,719.0445000000001,15.7,2.931,-0.14189999999999994,0.6925,0.4607,0.0203,564.0,7.74,0.0381,6.047899999999999,0.0151,2.2445,53.855,77.2727
47,3230.1251316919993,10.384,12.4661,-5226.5,8.536,-5.6473,25.6473,-0.018599999999999995,9839.3898,0.050600000000000006,-0.011900000000000003,839.7342,15.79,2.512,0.23650000000000015,0.6755,0.8525,0.0061,2197.0,9.04,0.0172,8.5708,0.0252,2.763199999999999,45.946,26.8344
