,feature_1,feature_17,feature_20,feature_22,feature_32,feature_34,feature_60,feature_65,feature_66,feature_92,feature_104,feature_116,feature_122,feature_125,feature_130,feature_131,feature_148,feature_154,feature_206,feature_288,feature_300,feature_320,feature_337,feature_342,feature_424,feature_427,feature_461,feature_478,feature_489,feature_574,feature_582
0,3079.77,9.859,12.3686,-4750.75,3.3618,8.6915,0.6990999999999995,19.3009,23.2216,-0.1835,-0.009499999999999998,785.5426,15.76,15.82,0.0,0.8203000000000001,0.0173,0.0127,9.22,0.091,0.0574,11.0518,10.0329,2.6547,81.7554,1.3155,14.7554,6.0266,472.0497,0.6456,68.7444
1,3001.36,10.671,12.4959,-5410.75,3.3499999999999996,8.3006,-1.4172999999999991,21.4173,27.271600000000003,0.016700000000000013,-0.0163,672.3211,15.76,15.73,0.2837999999999999,0.8291,0.014,0.0065,7.31,0.0899,0.0477,7.0269,13.2427,2.0989,71.9194,0.6592999999999999,12.157,4.8218,430.0637,0.1828,44.5901
2,3042.78,9.8446,12.5553,-6456.749999999999,4.6781,8.7418,10.235500000000004,9.7645,14.7061,-0.0316,-0.010799999999999999,751.7695,15.65,15.69,-0.2837999999999999,0.5438,0.0189,0.0148,8.8,0.0722,0.0335,10.8718,11.0695,2.5012,58.0425,1.5403,21.1169,6.1589,389.4737,0.3066,81.03254
3,3018.64,10.5954,12.4469,-5775.0,3.4767,8.6829,9.851799999999997,30.1482,36.0791,0.010499999999999983,-0.003800000000000001,705.2765,15.73,15.77,0.04729999999999975,0.8048,0.026699999999999998,0.0159,7.77,0.1869,0.0728,9.476,8.0615,2.4329,88.6322,1.6422,41.7748,5.0612,498.5871,0.2887,49.749
4,3020.29,9.4946,12.4618,-6900.5,4.6303,8.5891,1.033599999999999,18.9664,24.3057,-0.02869999999999999,-0.011900000000000003,719.8049,15.9,15.95,0.4258000000000001,0.7611,0.0106,0.0078,11.06,0.1188,0.037399999999999996,10.0446,10.0529,3.2653,70.6281,0.8005999999999999,23.145700000000005,7.4828,213.8249,0.2772,124.63727907845825
5,2964.69,9.7899,12.5492,-5546.0,3.3016000000000005,9.0744,3.6809000000000016,16.3191,19.1189,0.035200000000000016,-0.0115,711.4945,15.82,15.75,1.6550000000000002,0.8137,0.0069,0.006899999999999999,6.26,0.239,0.0569,3.8932999999999995,7.9101,2.2442,57.2251,0.7004,37.3638,4.1813,59.1402,0.2619,78.0955
6,2940.74,9.9299,12.4124,-5408.75,3.3186,8.9132,2.810900000000001,17.1891,22.206399999999995,-0.023099999999999985,-0.009299999999999998,777.1425,15.76,15.7,0.0,0.8252999999999999,0.025099999999999997,0.014000000000000002,8.8,0.11010000000000002,0.033699999999999994,7.225899999999999,9.565,2.5551,70.1378,1.4412,31.317399999999996,5.9338999999999995,367.1859,0.24670000000000003,53.9706
7,3043.08,9.8134,12.5004,-5095.0,3.4786,8.3383,1.5036000000000005,18.4964,25.3099,-0.1509,-0.0136,741.9427,15.65,15.61,2.4579999999999997,0.8346,0.0189,0.013700000000000002,5.24,0.16300000000000006,0.0085,8.1627,7.5607,2.0186,50.3276,1.419,23.5649,3.5466,309.8039,0.2392,50.40936
8,2932.61,9.3144,12.5404,-5447.75,3.5986,8.659,23.824499999999997,16.1755,24.2829,0.055300000000000016,-0.0025999999999999994,718.5777,15.9,15.95,-0.1891999999999997,0.8194,0.0221,0.0177,13.3,0.1479,0.0583,6.1796999999999995,8.9855,3.7663,50.6425,1.8268,32.3594,9.122100000000001,191.7582,0.18820000000000003,82.8602
9,3031.78,10.2769,12.5582,-4958.0,3.2114,8.7512,1.5744999999999998,18.4255,21.0974,-0.03830000000000001,-0.0102,826.7217,15.92,15.87,-0.14189999999999994,0.8712,0.0132,0.0095,5.1,0.06160000000000001,0.0961,8.6833,11.8301,1.6033,91.1204,0.9783000000000002,15.479599999999998,3.3971,273.04304,0.3891,117.0945
10,3028.08,9.4578,12.5967,-5345.25,3.3061,9.534,2.928200000000002,17.0718,23.905,0.0193,-0.0086,681.0371,15.95,16.01,0.5203999999999996,0.6778,0.0144,0.013,6.99,0.2194,0.0428,7.2602,8.5805,2.4674,38.6949,1.3357999999999999,13.0192,4.7353,39.4165,0.35609999999999997,54.057460000000006
11,3003.82,10.832,12.4998,-5192.5,3.3488,8.5288,5.499100000000001,14.5009,17.5983,-0.030100000000000012,-0.010499999999999999,729.4385,15.94,15.990000000000002,-0.5677000000000001,0.6786,0.021399999999999995,0.015,7.32,0.1281,0.0703,11.3343,11.094,2.3933,62.3963,1.5564,27.4194,5.268599999999999,710.495,0.1496,86.07438
12,2990.57,9.407,12.5373,-6623.750000000001,4.7082,8.1605,-2.5027,22.5027,32.7483,-0.1331,-0.0094,801.3997,15.7,15.710000000000003,0.0,0.7048,0.024099999999999996,0.0153,9.69,0.1273,0.0216,4.2805,10.1164,3.1731,58.3955,1.5814,33.2053,6.8676,718.0915,0.3659,44.0961
