,feature_1,feature_20,feature_22,feature_34,feature_60,feature_104,feature_122,feature_130,feature_131,feature_288,feature_337,feature_342,feature_427,feature_489
0,3079.77,12.3686,-4750.75,8.6915,0.6990999999999995,-0.009499999999999998,15.76,0.0,0.8203000000000001,0.091,10.0329,2.6547,1.3155,472.0497
1,3001.36,12.4959,-5410.75,8.3006,-1.4172999999999991,-0.0163,15.76,0.2837999999999999,0.8291,0.0899,13.2427,2.0989,0.6592999999999999,430.0637
2,3042.78,12.5553,-6456.749999999999,8.7418,10.235500000000004,-0.010799999999999999,15.65,-0.2837999999999999,0.5438,0.0722,11.0695,2.5012,1.5403,389.4737
3,3018.64,12.4469,-5775.0,8.6829,9.851799999999997,-0.003800000000000001,15.73,0.04729999999999975,0.8048,0.1869,8.0615,2.4329,1.6422,498.5871
4,3020.29,12.4618,-6900.5,8.5891,1.033599999999999,-0.011900000000000003,15.9,0.4258000000000001,0.7611,0.1188,10.0529,3.2653,0.8005999999999999,213.8249
5,2964.69,12.5492,-5546.0,9.0744,3.6809000000000016,-0.0115,15.82,1.6550000000000002,0.8137,0.239,7.9101,2.2442,0.7004,59.1402
6,2940.74,12.4124,-5408.75,8.9132,2.810900000000001,-0.009299999999999998,15.76,0.0,0.8252999999999999,0.11010000000000002,9.565,2.5551,1.4412,367.1859
7,3043.08,12.5004,-5095.0,8.3383,1.5036000000000005,-0.0136,15.65,2.4579999999999997,0.8346,0.16300000000000006,7.5607,2.0186,1.419,309.8039
8,2932.61,12.5404,-5447.75,8.659,23.824499999999997,-0.0025999999999999994,15.9,-0.1891999999999997,0.8194,0.1479,8.9855,3.7663,1.8268,191.7582
9,3031.78,12.5582,-4958.0,8.7512,1.5744999999999998,-0.0102,15.92,-0.14189999999999994,0.8712,0.06160000000000001,11.8301,1.6033,0.9783000000000002,273.04304
10,3028.08,12.5967,-5345.25,9.534,2.928200000000002,-0.0086,15.95,0.5203999999999996,0.6778,0.2194,8.5805,2.4674,1.3357999999999999,39.4165
11,3003.82,12.4998,-5192.5,8.5288,5.499100000000001,-0.010499999999999999,15.94,-0.5677000000000001,0.6786,0.1281,11.094,2.3933,1.5564,710.495
12,2990.57,12.5373,-6623.750000000001,8.1605,-2.5027,-0.0094,15.7,0.0,0.7048,0.1273,10.1164,3.1731,1.5814,718.0915
13,2986.5,12.4849,-5416.0,8.8043,0.340000000000001,-0.013,15.96,-0.9461000000000002,0.7527,0.1075,11.13,3.2261,0.7479,670.6294
14,3219.75,12.5914,-5187.25,8.7556,4.1690999999999985,-0.0121,15.82,-0.4258000000000001,0.6888,0.0812,10.0258,3.0013,0.6600999999999999,675.4098
15,2913.4,12.5488,-5153.75,8.5571,-3.74,-0.009799999999999998,15.75,-3.4960000000000004,0.5638,0.1219,10.0281,1.547,0.8463,204.5421
16,3018.8,12.27685990738101,-5334.75,9.131,2.276360000000001,-0.010799999999999999,15.8,0.0,0.7865000000000001,0.0711,9.1425,2.6853613522756077,0.5788,97.1212
17,2942.41,12.6278,-5410.5,8.5687,1.9482000000000004,-0.007200000000000001,15.77,0.0,0.8216999999999999,0.21589999999999998,10.2062,3.8318,2.02,482.2633
18,2848.46,12.4716,-5233.75,8.7187,8.145500000000002,-0.011400000000000002,16.02,-0.7568999999999998,0.7403,0.0834,12.8157,1.5118,0.6477,897.6526
19,3010.26,12.4049,-4173.894919464572,8.441,4.955499999999998,-0.0097,15.59,-0.14189999999999994,0.6847,0.0903,8.804600000000002,4.0309,2.0504,710.3203
