,feature_60,feature_478,feature_133,feature_148,feature_349,feature_65,feature_435,feature_442,feature_34,feature_332,feature_118,feature_22,feature_3,feature_124
0,0.6991,6.0266,2.3766,0.0173,0.0237,19.3009,9.9805,0.9639,8.6915,0.0791,59.2662,-4750.75,2207.0444,15.83
1,10.2355,6.1589,2.3244,0.0189,0.0163,9.7645,12.8413,0.9193,8.7418,0.0852,55.8504,-6456.75,2173.4556,15.69
2,1.0336,7.4828,2.3401,0.0106,0.0243,18.9664,11.1054,1.1255,8.5891,0.0817,58.0262,-6900.5,2217.8111,15.94
3,3.6809,4.1813,2.2797,0.0069,0.0205,16.3191,4.3896,0.4782,9.0744,0.0318,60.9507,-5546.0,2212.3,15.86
4,2.8109,5.9339,2.2864,0.0251,0.0245,17.1891,11.5102,0.656,8.9132,0.0752,58.9076,-5408.75,2200.2,15.79
5,2.9282,4.7353,2.212,0.0144,0.0339,17.0718,18.972,0.565,9.534,0.0824,55.9011,-5345.25,2173.2778,15.98
6,-2.5027,6.8676,2.2959,0.0241,0.0198,22.5027,5.9122,0.9175,8.1605,0.0368,56.3776,-6623.75,2162.5556,15.73
7,0.34,7.0359,2.3323,0.0092,0.0116,19.66,8.9372,0.7316,8.8043,0.0929,59.0911,-5416.0,2236.0667,15.98
8,4.1691,6.8146,2.2674,0.008,0.0225,15.8309,10.0583,0.8532,8.7556,0.0311,59.6793,-5187.25,2239.4111,15.84
9,-3.74,2.7876,2.2564,0.0159,0.0236,23.74,9.6358,0.7032,8.5571,0.0892,56.7784,-5153.75,2227.2444,15.81
10,2.2855,10.1458,2.3146,0.0203,0.0162,17.7145,2.7861,0.5836,8.6706,0.0954,59.5427,-6257.5,2160.6,15.7
11,-3.7509,3.369,2.272,0.0157,0.0209,23.7509,13.1301,0.6373,8.8581,0.1043,59.3419,-5720.25,2227.2222,15.75
12,4.9118,4.8707,2.2802,0.0088,0.0154,15.0882,8.2562,0.7655,8.8624,0.085,57.1869,-5122.5,2224.6778,15.8
13,0.12,5.817,2.3122,0.0223,0.0241,19.88,9.9237,0.9965,8.6397,0.0883,58.6908,-5434.0,2207.3889,15.87
14,2.7927,3.9522,2.2474,0.0112,0.0245,17.2073,10.9953,0.7233,8.2345,0.0911,58.3601,-5419.75,2210.8556,15.92
15,-0.9364,2.9235,2.2658,0.0137,0.017,20.9364,14.3617,0.442,8.5851,0.0839,58.2257,-5977.25,2266.8333,15.77
16,5.2064,4.0558,2.3817,0.0232,0.0207,14.7936,12.1562,0.9238,8.572,0.0871,58.6223,-5466.75,2205.7445,15.85
17,1.2836,12.045415078110173,2.2771,0.0189,0.0319,18.7164,11.6714,0.6987,9.7836,0.0775,59.1488,-6279.0,2124.8444,16.01
18,-2.6564,2.3646,2.2434,0.0153,0.0256,22.6564,19.2454,0.7534,9.0447,0.0824,58.8339,-5371.5,2228.4778,15.78
19,-0.0636,10.0705,2.2569,0.0134,0.0253,20.0636,4.3531,0.8859,8.9191,0.0699,57.6451,-5176.25,2247.3666,15.84
20,3.9055,6.1617,2.3712,0.0211,0.0164,34.62831765032473,5.645,0.6901,9.2405,0.0224,57.7094,-5641.25,2191.9,15.75
21,2.0318,4.3582,2.3187,0.0074,0.0227,17.9682,5.1253,0.5317,8.7512,0.1065,58.5099,-5193.25,2191.3556,15.8
22,-0.1545,4.319,2.4151,0.0087,0.0241,20.1545,6.4061,0.6815,8.8909,0.0381,58.7766,-5770.75,2165.0333,15.84
23,-0.3309,3.2036,2.2616,0.0163,0.0169,20.3309,13.1777,0.7053,8.7635,0.0699,61.2828,-5658.25,2189.9667,15.86
24,3.65,6.0536,2.3375,0.008,0.0247,16.35,6.3029,0.8716,9.0121,0.0833,56.9856,-5936.0,2217.8667,15.99
25,25.5127,5.1949,2.3756,0.0287,0.0151,14.4873,7.6279,0.7613,9.094,0.0778,57.8978,-5657.75,2232.5889,15.72
26,1.8609,2.582,2.2826,0.0068,0.0197,18.1391,20.1799,0.9136,8.8097,0.0832,59.305,-5603.75,2162.1333,15.79
27,-4.4927,4.5795,2.4241,0.018,0.0141,24.4927,10.4381,0.684,8.58,0.0381,59.0025,-5508.5,2178.5889,15.88
28,1.6073,4.6249,2.3257,0.016,0.0232,18.3927,2.4696,0.7663,8.7219,0.0623,59.3308,-5422.0,2217.8667,16.01
29,0.8873,3.9097,2.3132,0.0219,0.04999499086751431,19.1127,13.239,0.9251,8.4092,0.1003,58.3741,-6280.75,2207.0444,15.91
30,-2.7136,6.015,2.2752,0.0073,0.0211,22.7136,10.1682,0.5669,9.6515,0.0306,58.3573,-5425.5,2206.4,15.89
31,2.9518,4.8857,2.3573,0.0185,0.0194,17.0482,8.5058,0.8435,8.7994,0.0813,59.0601,-5427.75,2172.5333,15.87
32,-10.37,4.4544,2.295,0.0057,0.04999499086751431,30.37,7.1982,0.8384,8.5177,0.0823,57.9622,-6439.0,2207.0444,15.88
33,1.3445,3.9991,2.2808,0.0072,0.0208,18.6555,12.9923,1.0216,8.2395,0.1044,57.3415,-5250.75,2246.5778,15.82
34,1.1664,3.4878,2.2930291050105884,0.008024310181383144,0.021914052804623108,18.8336,8.43,0.7584,8.1728,0.0706,59.2046,-5153.25,2206.3,15.831549107141665
35,0.1873,3.4793,2.3923,0.0151,0.0248,19.8127,8.8156,0.6641,8.6544,0.0686,59.2204,-5359.25,2222.0111,15.9
36,0.4836,3.9691,2.3122,0.0212,0.0185,19.5164,8.177,0.9965,8.6397,0.0914,59.4838,-5575.25,2207.3889,15.87
37,4.0809,3.2357,2.4079,0.0326,0.0208,15.9191,6.3871,0.7506,8.322,0.1061,58.8463,-6029.0,2168.7,15.79
38,1.2809,4.3922,2.349,0.0176,0.0208,18.7191,10.8354,0.9396,8.3331,0.086,59.2341,-5371.25,2175.9667,15.71
39,0.5682,7.684,2.3573,0.0181,0.0183,19.4318,14.9271,0.8435,8.7994,0.0813,57.1673,-5932.0,2178.6889,15.87
40,-1.97,2.8027,2.2797,0.0072,0.0337,21.97,15.6194,0.481,9.088,0.0863,59.6505,-5377.0,2223.0444,15.86
