,feature_1,feature_20,feature_22,feature_34,feature_60,feature_91,feature_92,feature_103,feature_104,feature_116,feature_118,feature_122,feature_130,feature_131,feature_154,feature_206,feature_248,feature_288,feature_317,feature_320,feature_337,feature_461,feature_588
0,3079.7700000000004,12.368599999999999,-4750.75,8.6915,0.6991000000000002,9131.0599,-0.1835,0.08110000000000002,-0.0095,785.5426,59.2662,15.76,0.0,0.8202999999999999,0.0127,9.22,0.0152,0.091,6.9408,11.051800000000002,10.0329,14.755400000000002,0.0194
1,3001.36,12.4959,-5410.75,8.3006,-1.4172999999999998,8795.69,0.016700000000000027,-0.0346,-0.0163,672.3211,58.7063,15.76,0.2837999999999999,0.8291,0.0065,7.31,0.023568453456464536,0.0899,5.4323,7.0269,10.093119254872107,12.157,0.0276
2,3042.78,12.5553,-6456.75,8.7418,10.2355,8615.15,-0.03160000000000001,-0.056299999999999996,-0.0108,751.7695,55.8504,15.65,-0.2837999999999999,0.5438,0.014800000000000002,8.8,0.0345,0.0722,5.0133,10.8718,11.0695,21.1169,0.0287
3,3018.64,12.4469,-5775.0,8.6829,9.8518,8363.73,0.010499999999999982,-0.0459,-0.0037999999999999996,705.2765,58.283100000000005,15.729999999999999,0.04729999999999975,0.8048,0.0159,7.77,0.02808012134204117,0.1869,5.823899999999999,9.476,8.0615,41.7748,0.014100000000000001
4,3020.29,12.4618,-6900.5,8.5891,1.033600000000001,8510.42,-0.028700000000000014,0.011199999999999984,-0.0119,719.8049,58.0262,15.9,0.4258000000000001,0.7611000000000001,0.007799999999999999,11.06,0.02889884911087183,0.1188,6.5621,10.0446,10.0529,23.145699999999998,0.0114
5,2964.69,12.549199999999999,-5546.0,9.0744,3.6808999999999985,8365.7701,0.03519999999999999,-0.005399999999999993,-0.0115,711.4945,60.95069999999999,15.82,1.6550000000000002,0.8136999999999999,0.006899999999999999,6.26,0.019674533750909915,0.239,7.285000000000001,3.8933000000000004,7.910100000000001,37.3638,0.0251
6,2940.74,12.412399999999998,-5408.750000000001,8.9132,2.8108999999999997,9047.8399,-0.023099999999999992,-0.012199999999999994,-0.0093,777.1425,58.9076,15.76,0.0,0.8253,0.014,8.8,0.029757793806867244,0.1101,6.1564,7.225899999999999,9.565,31.317399999999996,0.0059
7,3043.08,12.5004,-5095.0,8.3383,1.5036,8493.8199,-0.1509,0.06930000000000001,-0.0136,741.9427,58.282000000000004,15.65,2.4579999999999997,0.8346,0.013699999999999999,5.24,0.02244540577140128,0.163,5.4847,8.1627,7.560699999999999,23.564899999999998,0.014800000000000002
8,2932.61,12.5404,-5447.75,8.659,1.709694701098649,9317.1698,0.0553,0.013399999999999985,-0.0026,718.5777,58.4808,15.9,-0.1891999999999997,0.8194000000000001,0.0177,13.3,0.034133871985733984,0.1479,5.7247,6.1797,8.9855,32.3594,0.01795360348402465
9,3031.78,12.5582,-4958.0,8.7512,1.5745000000000002,8883.114716948035,-0.038300000000000015,0.03649999999999999,-0.0102,826.7217,59.976400000000005,15.92,-0.14189999999999994,0.8712,0.0095,5.1,0.028683570446529492,0.0616,6.3127,8.6833,11.8301,15.4796,0.0275
