,feature_1,feature_20,feature_22,feature_29,feature_34,feature_42,feature_60,feature_92,feature_103,feature_104,feature_112,feature_116,feature_118,feature_122,feature_130,feature_131,feature_148,feature_206,feature_288,feature_317,feature_320,feature_337,feature_489,feature_520,feature_588
0,3079.7700000000004,12.368599999999999,-4750.75,66.4,8.6915,2.2130000000000005,0.6991000000000002,-0.1835,0.08110000000000002,-0.0095,231.64636,785.5426,59.2662,15.76,0.0,0.8202999999999999,0.0173,9.22,0.091,6.9408,11.051800000000002,10.0329,472.0497,3.2924,0.0194
1,3001.36,12.4959,-5410.75,75.8111,8.3006,3.147,-1.4172999999999998,0.016700000000000027,-0.0346,-0.0163,231.95054,672.3211,58.7063,15.76,0.2837999999999999,0.8291,0.014,7.31,0.0899,5.4323,7.0269,10.08782,430.0637,5.10462,0.0276
2,3042.78,12.5553,-6456.75,71.3111,8.7418,2.508,10.2355,-0.03160000000000001,-0.056299999999999996,-0.0108,231.88954,751.7695,55.8504,15.65,-0.2837999999999999,0.5438,0.0189,8.8,0.0722,5.0133,10.8718,11.0695,389.4737,7.4392,0.0287
3,3018.64,12.4469,-5775.0,70.0556,8.6829,4.97,9.8518,0.010499999999999982,-0.0459,-0.0037999999999999996,233.30186,705.2765,58.283100000000005,15.729999999999999,0.04729999999999975,0.8048,0.0267,7.77,0.1869,5.823899999999999,9.476,8.0615,498.5871,5.99828,0.014100000000000001
4,3020.29,12.4618,-6900.5,67.0222,8.5891,2.9150000000000005,1.033600000000001,-0.028700000000000014,0.011199999999999984,-0.0119,231.36286,719.8049,58.0262,15.9,0.4258000000000001,0.7611000000000001,0.0106,11.06,0.1188,6.5621,10.0446,10.0529,213.8249,6.23964,0.0114
5,2964.69,12.549199999999999,-5546.0,70.4,9.0744,2.3080000000000003,3.6808999999999985,0.03519999999999999,-0.005399999999999993,-0.0115,230.74332,711.4945,60.95069999999999,15.82,1.6550000000000002,0.8136999999999999,0.0069,6.26,0.239,7.285000000000001,3.8933000000000004,7.910100000000001,59.1402,4.248539999999999,0.0251
6,2940.74,12.412399999999998,-5408.750000000001,73.9778,8.9132,2.5440000000000005,2.8108999999999997,-0.023099999999999992,-0.012199999999999994,-0.0093,231.1908,777.1425,58.9076,15.76,0.0,0.8253,0.0251,8.8,0.1101,6.1564,7.225899999999999,9.565,367.1859,6.28814,0.0059
7,3043.08,12.5004,-5095.0,69.4222,8.3383,3.409,1.5036,-0.1509,0.06930000000000001,-0.0136,232.3809,741.9427,58.282000000000004,15.65,2.4579999999999997,0.8346,0.0189,5.24,0.163,5.4847,8.1627,7.560699999999999,309.8039,4.87264,0.014800000000000002
8,2932.61,12.5404,-5447.75,67.1333,8.659,5.434,1.6894600000000008,0.0553,0.013399999999999985,-0.0026,230.74518,718.5777,58.4808,15.9,-0.1891999999999997,0.8194000000000001,0.0221,13.3,0.1479,5.7247,6.1797,8.9855,191.7582,7.35724,0.01792
9,3031.78,12.5582,-4958.0,72.4889,8.7512,2.5860000000000003,1.5745000000000002,-0.038300000000000015,0.03649999999999999,-0.0102,233.7235,826.7217,59.976400000000005,15.92,-0.14189999999999994,0.8712,0.0132,5.1,0.0616,6.3127,8.6833,11.8301,322.02628,6.21386,0.0275
10,3028.08,12.5967,-5345.25,68.4333,9.534,2.305,2.928199999999999,0.019299999999999987,-0.03740000000000001,-0.0086,229.0942,681.0371,55.9011,15.95,0.5203999999999996,0.6778,0.0144,6.990000000000001,0.2194,5.4921,7.2602,8.5805,39.4165,4.56644,0.01
11,3003.82,12.4998,-5192.5,67.5,8.5288,3.1820000000000004,5.499100000000002,-0.030100000000000005,-0.016599999999999993,-0.0105,230.50316,729.4385,56.4388,15.94,-0.5677000000000001,0.6786,0.0214,7.32,0.1281,6.5321,11.3343,11.094,710.495,4.7135,0.0226
12,2990.57,12.537300000000002,-6623.75,70.5667,8.1605,2.759,-2.5027,-0.1331,0.009900000000000003,-0.0094,233.8565,801.3997,56.3776,15.699999999999998,0.0,0.7048,0.0241,9.69,0.1273,8.5495,4.2805,10.1164,718.0915,7.2715200000000015,0.0121
13,2986.5,12.4849,-5416.0,68.7333,8.8043,5.044,0.3400000000000003,-0.02720000000000001,-0.0323,-0.013,230.8273,722.202,59.0911,15.96,-0.9461000000000002,0.7527,0.0092,10.32,0.1075,5.2238,6.6974,11.13,670.6294,3.3066,0.0277
14,3035.48,12.5914,-5187.25,68.0889,8.7556,4.194,4.169099999999999,0.04250000000000002,-0.0867,-0.0121,234.1616,725.1428,59.6793,15.82,-0.4258000000000001,0.6888,0.008,10.11,0.0812,8.6883,4.6509,10.0258,675.4098,4.808439999999999,0.0121
15,2913.4,12.5488,-5153.750000000001,75.5556,8.5571,2.791,-3.74,0.03299999999999998,-0.04000000000000001,-0.0098,231.8477,762.0218,56.77839999999999,15.750000000000002,-3.4960000000000004,0.5638,0.0159,4.12,0.1219,6.265300000000001,8.643,10.0281,204.5421,5.815300000000001,0.012700000000000001
16,3018.8,12.45294,-5334.749999999999,69.5222,9.131,3.3120000000000007,5.318360000000002,0.0,0.0,-0.0108,231.8164,735.5572,59.0958,15.8,0.0,0.7865,0.0096,9.458,0.0711,5.5089,8.7444,8.16974,97.1212,6.376760000000001,0.013500000000000002
17,2942.41,12.6278,-5410.500000000001,69.0111,8.5687,3.186,1.9482000000000006,0.01599999999999999,0.005199999999999995,-0.0072,231.22498,749.6408,57.4901,15.77,0.0,0.8217,0.0262,13.53,0.2159,5.8213,9.9818,10.2062,482.2633,3.6093,0.0355
18,2848.46,12.4716,-5233.75,66.0111,8.7187,2.826,8.145499999999998,0.06359999999999999,-0.026499999999999996,-0.0114,229.8595,798.0013,59.296780000000005,16.02,-0.7568999999999998,0.7403,0.0055,4.95,0.0834,5.7746,8.8329,12.8157,897.6526,6.27652,0.0159
19,3010.26,12.4049,-6100.1,72.8778,8.441,3.134,4.9555,-0.08229999999999998,0.03700000000000001,-0.0097,231.72978,691.3175,58.74580000000001,15.59,-0.14189999999999994,0.6847,0.0286,14.740000000000002,0.0903,5.779799999999999,6.368999999999999,8.8046,710.3203,7.7522,0.0227
20,3033.29,12.6278,-6363.0,63.0556,9.5642,2.888,9.1882,0.015599999999999994,-0.008400000000000005,-0.0086,232.25217999999998,809.4099,59.8003,15.83,-0.3784000000000001,0.7463000000000001,0.0262,9.02,0.15356,6.9848,10.0419,8.4756,848.0874,4.346,0.014200000000000003
21,2941.23,12.58,-6257.5,70.2667,8.6706,3.5149999999999997,2.2855000000000003,-0.1071,0.04728000000000002,-0.006199999999999999,231.41462,730.9317,59.5427,15.65,1.0399999999999998,0.657,0.0203,14.91,0.1179,6.678,6.6024,9.94396,420.6573,4.41344,0.0189
22,3043.22,12.4849,-5607.25,68.1222,8.7867,2.9559999999999995,0.6191000000000005,0.09989999999999999,-0.04419999999999999,-0.008,230.8709,742.3405,58.4837,15.740000000000002,-0.9461000000000002,0.6893,0.0102,11.18,0.2329,6.4131,6.2683,11.5569,212.4031,9.4653,0.0335
23,3021.61,12.412399999999998,-5720.25,69.4222,8.8581,5.31,-3.750900000000001,0.10239999999999999,0.024399999999999988,-0.0086,230.41254,710.5846,59.3419,15.729999999999999,-3.449,0.67324,0.0157,4.95,0.2818,6.1863,9.5407,9.9534,450.7389,4.97738,0.02
24,3048.76,12.512000000000002,-5122.5,70.9889,8.8624,2.6730000000000005,4.9118,0.011799999999999988,0.028600000000000007,-0.0114,233.3418,782.5507,57.18690000000001,15.750000000000002,0.7096,0.8542999999999998,0.0088,7.039999999999999,0.07519999999999999,5.1057,8.1451,9.5915,450.7223,4.1715,0.0113
25,2983.536,12.476099999999999,-5434.0,65.1667,8.6397,0.9003,0.1200000000000002,-0.1293,0.0776,-0.0092,231.67455999999999,804.2368,58.690799999999996,15.87,-0.4258000000000001,0.7784999999999999,0.0223,8.33,0.1078,6.7289,7.1292,9.1303,351.4956,6.464379999999999,0.006
26,2943.9,12.475300000000002,-6349.75,67.9889,9.5713,2.5010000000000003,1.8172999999999995,0.025700000000000004,-0.0785,-0.016,232.458,763.2943,59.4203,15.92,0.23650000000000015,0.7286999999999999,0.0257,5.14,0.1032,6.004199999999999,9.9673,8.5625,0.0,4.4127,0.0159
27,2965.41,12.5041,-5419.75,73.1222,8.2345,2.272,2.792700000000001,0.004999999999999999,0.0195,-0.0091,230.9354,815.9082,58.3601,15.87,-0.8042000000000002,0.7003,0.0112,6.01,0.14370000000000005,5.3451,8.8706,8.674,106.7403,5.70328,0.021
