,feature_60,feature_478,feature_133,feature_349,feature_65,feature_435,feature_442,feature_34,feature_332,feature_118,feature_22
0,0.6991,6.0266,2.3766,0.0237,19.3009,9.9805,0.9639,8.6915,0.0791,59.2662,-4750.75
1,-1.4173,4.8218,2.3805,0.0272,21.4173,12.5349,0.8427,8.3006,0.1071,58.7063,-5410.75
2,10.2355,6.1589,2.3244,0.0163,9.7645,12.8413,0.9193,8.7418,0.0852,55.8504,-6456.75
3,9.8518,5.0612,2.3725,0.03,30.1482,10.5202,0.7158,8.6829,0.0985,58.2831,-5775.0
4,1.0336,7.4828,2.3401,0.0243,18.9664,11.1054,1.1255,8.5891,0.0817,58.0262,-6900.5
5,3.6809,4.1813,2.2797,0.0205,16.3191,4.3896,0.4782,9.0744,0.0318,60.9507,-5546.0
6,2.8109,5.9339,2.2864,0.0245,17.1891,11.5102,0.656,8.9132,0.0752,58.9076,-5408.75
7,1.5036,3.5466,2.3081,0.0174,18.4964,14.6852,0.932,8.3383,0.0863,58.282,-5095.0
8,23.8245,9.1221,2.2592,0.0105,16.1755,14.2503,1.2771,8.659,0.0243,58.4808,-5447.75
9,1.5745,3.3971,2.2877,0.019798757707889903,18.4255,8.041,0.5317,8.7512,0.0975,59.9764,-4958.0
10,2.9282,4.7353,2.212,0.0339,17.0718,18.972,0.565,9.534,0.0824,55.9011,-5345.25
11,5.4991,5.2686,2.2773,0.0172,14.5009,19.7531,0.9361,8.5288,0.0807,56.4388,-5192.5
12,-2.5027,6.8676,2.2959,0.0198,22.5027,5.9122,0.9175,8.1605,0.0368,56.3776,-6623.75
13,0.34,7.0359,2.3323,0.0116,19.66,8.9372,0.7316,8.8043,0.0929,59.0911,-5416.0
14,4.1691,6.8146,2.2674,0.0225,15.8309,10.0583,0.8532,8.7556,0.0311,59.6793,-5187.25
15,-3.74,2.7876,2.2564,0.0236,23.74,9.6358,0.7032,8.5571,0.0892,56.7784,-5153.75
16,4.04004110403698,5.6244307654783565,2.2784,0.0148,19.807392431683947,8.919,0.7139,9.131,0.0909,59.0958,-5334.75
17,1.9482,9.1675,2.3735,0.0381,34.6282528267176,14.1928,0.8222,8.5687,0.094,57.4901,-5410.5
18,8.1455,3.4324,2.1911,0.0253,11.8545,5.9052,0.6144,8.7187,0.1011,55.36455393049866,-5233.75
19,4.9555,9.9444,2.3499,0.0184,15.0445,22.843422195353057,0.9383,8.441,0.0622,58.7458,-4173.967771556411
20,9.1882,5.9269,2.2928,0.014,30.8118,13.8036,0.5593,9.5642,0.0968,59.8003,-6363.0
21,2.2855,10.1458,2.3146,0.0162,17.7145,2.7861,0.5836,8.6706,0.0954,59.5427,-6257.5
22,0.6191,7.5571,2.3386,0.0229,19.3809,9.2987,0.78,8.7867,0.0929,58.4837,-5607.25
23,-3.7509,3.369,2.272,0.0209,23.7509,13.1301,0.6373,8.8581,0.1043,59.3419,-5720.25
24,4.9118,4.8707,2.2802,0.0154,15.0882,8.2562,0.7655,8.8624,0.085,57.1869,-5122.5
25,0.12,5.817,2.3122,0.0241,19.88,9.9237,0.9965,8.6397,0.0883,58.6908,-5434.0
26,1.8173,3.4949,2.2728,0.0445,18.1827,13.2642,0.7928,9.5713,0.0848,59.4203,-6349.75
27,2.7927,3.9522,2.2474,0.0245,17.2073,10.9953,0.7233,8.2345,0.0911,58.3601,-5419.75
28,2.1109,8.8016,2.3216,0.0177,17.8891,8.6069,0.6667,9.1502,0.0778,58.823,-6154.0
29,-4.4109,3.706,2.4241,0.0199,24.4109,16.4288,0.6641,8.6544,0.0842,59.4322,-5341.25
30,8.9136,7.1799,2.3684,0.0373,31.0864,4.7491,0.7584,10.053910476593831,0.0224,59.0911,-5474.25
31,-2.0764,6.11,2.2937,0.0278,22.0764,14.5455,1.1255,8.5891,0.0652,59.0644,-6305.25
32,0.5518,6.0246,2.2757,0.0273,19.4482,4.7256,1.0541,8.287,0.0875,55.44,-5639.75
33,-0.9364,2.9235,2.2658,0.017,20.9364,14.3617,0.442,8.5851,0.0839,58.2257,-5977.25
34,5.2064,4.0558,2.3817,0.0207,14.7936,12.1562,0.9238,8.572,0.0871,58.6223,-5466.75
35,1.2836,12.044310987504188,2.2771,0.0319,18.7164,11.6714,0.6987,9.7836,0.0775,59.1488,-6279.0
36,1.0027,7.1443,2.2864,0.0221,18.9973,2.5787,0.656,8.9132,0.0812,57.5441,-5477.0
37,-2.6564,2.3646,2.2434,0.0256,22.6564,19.2454,0.7534,9.0447,0.0824,58.8339,-5371.5
38,-0.0636,10.0705,2.2569,0.0253,20.0636,4.3531,0.8859,8.9191,0.0699,57.6451,-5176.25
39,3.9055,6.1617,2.3712,0.0164,34.6282528267176,5.645,0.6901,9.2405,0.0224,57.7094,-5641.25
40,2.0318,4.3582,2.3187,0.0227,17.9682,5.1253,0.5317,8.7512,0.1065,58.5099,-5193.25
41,17.3873,5.7628,2.2887,0.0461,22.6127,6.7048,1.0644,8.9336,0.0247,58.6421,-5369.0
42,-0.1545,4.319,2.4151,0.0241,20.1545,6.4061,0.6815,8.8909,0.0381,58.7766,-5770.75
43,-0.3309,3.2036,2.2616,0.0169,20.3309,13.1777,0.7053,8.7635,0.0699,61.2828,-5658.25
44,-5.7182,6.748,2.3672,0.0144,25.7182,7.9905,0.5632,9.1855,0.0969,59.3036,-5282.75
45,3.65,6.0536,2.3375,0.0247,16.35,6.3029,0.8716,9.0121,0.0833,56.9856,-5936.0
46,25.5127,5.1949,2.3756,0.0151,14.4873,7.6279,0.7613,9.094,0.0778,57.8978,-5657.75
47,-5.6473,6.4204,2.3099,0.0252,25.6473,16.1069,1.1525,8.536,0.0254,58.148,-5226.5
48,1.8609,2.582,2.2826,0.0197,18.1391,20.1799,0.9136,8.8097,0.0832,59.305,-5603.75
49,-4.4927,4.5795,2.4241,0.0141,24.4927,10.4381,0.684,8.58,0.0381,59.0025,-5508.5
50,17.4,5.1848,2.3275,0.0256,22.6,14.361,0.9251,8.8287,0.0964,57.0914,-6112.25
51,1.6073,4.6249,2.3257,0.0232,18.3927,2.4696,0.7663,8.7219,0.0623,59.3308,-5422.0
52,0.8873,3.9097,2.3132,0.0499939140056925,19.1127,13.239,0.9251,8.4092,0.1003,58.3741,-6280.75
53,-2.7136,6.015,2.2752,0.0211,22.7136,10.1682,0.5669,9.6515,0.0306,58.3573,-5425.5
54,5.3382,6.0748,2.3497,0.0162,34.6282528267176,22.843422195353057,0.7898,9.1784,0.0779,58.9744,-4173.967771556411
55,1.6373,6.026,2.3259,0.0236,18.3627,10.6195,0.8807,8.5987,0.0813,58.7323,-6310.25
56,2.9691,3.4708,2.3063,0.0141,17.0309,7.4002,0.577,9.754,0.0817,58.5766,-5490.25
57,-1.0991,6.1979,2.4214,0.0154,21.0991,5.5035,0.9588,8.5855,0.0658,58.3136,-5273.0
58,2.9518,4.8857,2.3573,0.0194,17.0482,8.5058,0.8435,8.7994,0.0813,59.0601,-5427.75
59,-10.37,4.4544,2.295,0.0499939140056925,30.37,7.1982,0.8384,8.5177,0.0823,57.9622,-6439.0
60,1.3445,3.9991,2.2808,0.0208,18.6555,12.9923,1.0216,8.2395,0.1044,57.3415,-5250.75
61,1.1664,3.4878,2.2929922811541026,0.02194027571201099,18.8336,8.43,0.7584,8.1728,0.0706,59.2046,-5153.25
62,0.1873,3.4793,2.3923,0.0248,19.8127,8.8156,0.6641,8.6544,0.0686,59.2204,-5359.25
63,0.4836,3.9691,2.3122,0.0185,19.5164,8.177,0.9965,8.6397,0.0914,59.4838,-5575.25
64,4.0809,3.2357,2.4079,0.0208,15.9191,6.3871,0.7506,8.322,0.1061,58.8463,-6029.0
65,18.3936,4.2732,2.2936,0.0386,21.6064,22.843422195353057,0.7015,9.2007,0.0859,56.8545,-4173.967771556411
66,1.2809,4.3922,2.349,0.0208,18.7191,10.8354,0.9396,8.3331,0.086,59.2341,-5371.25
67,0.5682,7.684,2.3573,0.0183,19.4318,14.9271,0.8435,8.7994,0.0813,57.1673,-5932.0
68,8.0955,6.9474,2.3865,0.0499939140056925,11.9045,13.2003,0.7928,9.5713,0.0998,59.0927,-6383.75
69,-1.97,2.8027,2.2797,0.0337,21.97,15.6194,0.481,9.088,0.0863,59.6505,-5377.0
70,-8.2255,5.2293,2.3378407476916236,0.0138,28.2255,15.2786,0.6302,8.8249,0.15596538777096725,57.6821,-5393.25
71,-0.75,5.8268,2.2647,0.025,20.75,13.3543,0.6641,8.6544,0.0875,57.2349,-5692.5
72,0.1627,3.2662,2.2826,0.0215,19.8373,2.2511,0.7611,8.6472,0.034,59.2585,-5326.5
73,-1.9555,7.1548,2.3161,0.0201,21.9555,13.7654,0.7477,9.9964,0.0241,57.4722,-6453.75
74,-1.3018,5.6614,2.2915,0.0281,21.3018,8.4459,0.8471,8.7538,0.0337,59.6445,-5175.5
75,-0.0191,6.4234,2.3063,0.0149,20.0191,16.5013,0.6335,9.0425,0.0599,58.3868,-5336.0
76,-2.0327,4.8172,2.2563,0.0229,22.0327,5.6548,0.4254,9.1526,0.03,56.6758,-5305.25
77,3.0982,4.8741,2.3883,0.0192,16.9018,13.9335,0.7337,8.8546,0.0895,58.2014,-5548.25
78,-2.9609,7.3252,2.2859,0.0134,22.9609,10.1575,0.8136,8.2963,0.0311,59.3887,-5426.0
79,3.5436,4.3696,2.2726,0.0199,16.4564,18.9251,0.6927,8.8519,0.0347,57.8907,-5329.25
80,1.5127,8.4684,2.3323,0.0239,18.4873,16.4479,1.0189,8.5779,0.0817,59.4696,-6447.25
81,1.17,4.533,2.3402,0.0234,18.83,9.7785,0.8146,8.8132,0.0871,58.5681,-5545.75
82,-0.8045,5.2201,2.2472,0.0152,20.8045,14.3598,0.7258,8.9979,0.1092,59.6825,-5439.25
83,2.99,6.8674,2.3604,0.0461,17.01,10.8833,0.577,9.754,0.1012,57.4551,-5513.5
84,27.3427,6.7229,2.3524,0.0135,12.6573,10.9924,1.0959,8.6667,0.0754,56.9211,-6472.5
85,0.7,3.952,2.2445,0.0175,19.3,15.2516,0.8595,8.1161,0.0858,59.3614,-5339.5
86,10.9955,9.4756,2.3073,0.0306,29.0045,6.2156,1.1815,8.6013,0.0937,58.4879,-5633.25
87,1.7373,4.3682,2.3162,0.0269,18.2627,15.5645,0.8752,9.7324,0.0909,57.0942,-5763.75
88,-19.9927,6.6127,2.3375,0.0323,34.6282528267176,8.36,0.8716,9.0121,0.0911,59.0341,-5362.75
89,0.9573,5.5044,2.212,0.0219,19.0427,11.9272,0.5194,8.8356,0.1067,58.4191,-5663.5
90,-3.3555,6.5896,2.2877,0.020144130565110618,23.3555,5.0598,0.7392,8.9607,0.0782,57.102,-6408.75
91,-0.6327,5.515,2.4167,0.0169,20.6327,2.8641,1.0143,8.8078,0.1087,58.1348,-5434.25
92,5.0691,2.7352,2.1996,0.0193,14.9309,12.605,0.745,8.7782,0.1058,55.4671,-5138.5
93,11.2909,10.7271,2.2697,0.021,8.7091,7.0512,0.8435,8.7994,0.0925,55.7648,-5343.0
94,-2.6109,2.5503,2.3936,0.0151,22.6109,8.9998,0.7032,8.5571,0.0841,58.0021,-5621.0
95,-0.3736,5.7983,2.2937,0.0127,20.3736,9.2971,0.7643,8.9635,0.0848,58.0777,-5135.0
96,-1.1391,3.3645,2.3289,0.0204,21.1391,7.7824,0.9079,8.6427,0.0619,57.4779,-5750.0
97,-4.99,4.3431,2.2555,0.019206739889131307,24.99,6.0282,0.8229,10.053910476593831,0.0832,58.3851,-5491.75
98,-0.9091,4.2125,2.2915,0.0176,20.9091,9.2494,0.7611,8.6472,0.1111,59.1913,-5160.75
99,1.8164,5.801,2.3481,0.0226,18.1836,14.0172,0.9726,8.2638,0.0685,58.2855,-5763.0
100,0.1227,6.0602,2.3099,0.0262,19.8773,9.1776,0.7928,9.5713,0.0998,59.2818,-6391.5
101,0.8745,5.0466,2.2588,0.0125,19.1255,12.9555,0.869,8.5251,0.0264,58.637,-6409.5
102,-1.0182,6.2631,2.2725,0.0142,21.0182,16.2183,0.466,8.7779,0.0858,58.1897,-5966.75
103,0.3036,6.8782,2.3177,0.0189,19.6964,7.6823,1.062,8.8513,0.0969,59.459,-6259.5
104,2.0509,8.3516,2.2674,0.026,17.9491,15.4171,0.6163,8.6556,0.0845,60.2727,-5445.25
105,22.7927,8.4149,2.4244,0.0352,17.2073,10.6846,1.0551,9.0998,0.0529,59.1327,-5707.5
106,4.1464,8.2175,2.4214,0.0202,15.8536,5.7493,0.6222,8.5889,0.0865,59.3007,-5618.75
107,0.3245,8.9509,2.2949,0.0499939140056925,19.6755,5.4458,0.6796,8.8973,0.1114,58.5453,-5390.0
108,6.1527,2.6252,2.3672,0.0183,13.8473,4.1104,0.9639,8.6915,0.0915,57.434,-5487.25
109,-1.8473,8.9647,2.4,0.0249,34.6282528267176,10.717,0.8556,8.7879,0.0946,57.5427,-5518.0
110,-1.6436,7.076,2.4073,0.0202,21.6436,7.8761,0.8133,8.2823,0.1071,58.434,-5539.5
111,2.2982,4.252,2.2821,0.0171,17.7018,4.2138,0.593,8.6799,0.0861,58.4667,-5402.0
112,23.8864,3.626,2.3471,0.0395,16.1136,9.3799,0.6641,9.1638,0.0785,58.9705,-6599.25
113,3.8109,5.1132,2.2674,0.0146,16.1891,10.6545,0.9274,8.9605,0.15596538777096725,61.0652,-5260.25
114,-6.74,4.736,2.3079,0.0195,26.74,11.4899,0.3973,9.7137,0.0452,57.7747,-5415.25
115,2.2618,8.7071,2.2789,0.0253,17.7382,12.2203,0.7852,9.7571,0.0989,59.3528,-5641.0
116,1.9245,4.6417,2.2728,0.0136,18.0755,10.3977,1.0918,8.5459,0.0932,57.9313,-5803.0
117,-0.4409,6.1962,2.2474,0.0175,20.4409,12.1517,0.5779,8.3663,0.1187,58.4467,-5125.75
118,27.651779561699204,6.5265,2.3596,0.0432,11.5773,13.9178,0.8446,8.7947,0.0529,58.0664,-5497.75
119,2.4209,6.6675,2.3984,0.0218,17.5791,3.0036,0.5478,9.0145,0.1141,59.0937,-5451.75
120,-0.81,12.044310987504188,2.3296,0.0294,20.81,14.0369,1.0135,8.6439,0.0936,56.2629,-6310.25
121,-3.1572934350741804,5.621637896762711,2.3883,0.0153,20.34777813895975,9.5164,0.7093,8.2981,0.0834,56.173,-5420.25
122,-17.9336,4.7846,2.3407,0.0237,34.6282528267176,7.1685,0.7574,9.043,0.0871,59.8788,-6364.25
123,-0.7155,2.1779,2.4151,0.0245,20.7155,8.3029,0.593,8.6799,0.0939,59.0096,-5729.25
124,4.1509,5.0601,2.3099,0.0285,15.8491,17.1637,0.8343,9.0622,0.084,57.356,-5566.75
125,3.9673,5.5115,2.2527,0.0171,16.0327,7.2727,1.1213,9.0811,0.15596538777096725,57.6435,-6411.0
126,-3.65,4.6997,2.2631,0.0261,23.65,10.5841,0.5779,8.3663,0.1103,57.5845,-5217.25
127,-1.9855,7.9214,2.3495,0.0197,21.9855,8.8526,0.8159,8.7932,0.0855,59.4504,-5329.0
128,-3.88,4.8058,2.2711,0.0122,23.88,4.6438,0.6268,8.3675,0.0315,58.2965,-5153.5
