,feature_66,feature_427,feature_442,feature_133,feature_3
0,23.2216,1.3155,0.9639,2.3766,2207.0444
1,27.2716,0.6593,0.8427,2.3805,2155.3111
2,14.7061,1.5403,0.9192999999999999,2.3244,2173.4556
3,36.0791,1.6421999999999999,0.7158,2.3725,2224.0
4,24.3057,0.8006,1.1255,2.3401,2217.8111
5,19.1189,0.7004,0.4782,2.2797,2212.3
6,22.2064,1.4412,0.656,2.2864,2200.2
7,25.3099,1.419,0.9319999999999999,2.3080999999999996,2209.8
8,24.2829,1.8267999999999998,1.2771,2.2592,2186.4111
9,21.0974,0.9783000000000001,0.5317,2.2877,2182.5555
10,23.905,1.3357999999999999,0.565,2.212,2173.2778
11,17.5983,1.5564,0.9361,2.2773,2163.5889
12,32.7483,1.5814,0.9174999999999999,2.2959,2162.5556
13,22.3647,0.7479,0.7316,2.3322999999999996,2236.0667
14,22.3694,0.6601,0.8531999999999998,2.2673999999999994,2239.4111
15,29.1429,0.8463,0.7032,2.2564,2227.2444
16,24.685459999999996,0.5788,0.7139,2.2784,2195.6667
17,44.78388654286515,2.02,0.8222,2.3735000000000004,2207.0444
18,15.0471,0.6477,0.6144,2.1911,2164.3666
19,22.1659,2.0504,0.9383,2.3499,2170.0666
20,37.258,1.5739,0.5593,2.2928,2244.1111
21,21.7095,1.5151000000000001,0.5836,2.3146,2160.6
22,23.128699999999995,0.7370000000000001,0.78,2.3386,2191.5667
23,30.7593,1.2606,0.6373,2.272,2227.2222
24,19.2834,0.5418,0.7655,2.2802,2224.6778
25,27.2876,1.7250999999999999,0.9964999999999999,2.3121999999999994,2207.3889
26,24.3905,2.2004,0.7928,2.2728,2173.4556
27,21.2465,0.8378,0.7233,2.2474,2210.8556
28,26.2754,1.9544000000000001,0.6667,2.3216,2230.4222
29,29.809,0.6131,0.6641,2.4241,2243.8556
30,41.2374,1.3431,0.7584,2.3684,2171.9
31,30.4914,0.4793,1.1255,2.2937,2220.4778
32,22.9635,0.9287000000000001,1.0541,2.2757,2216.5
33,26.2691,0.9268999999999998,0.442,2.2658,2266.8333
34,21.7926,1.2483,0.9237999999999998,2.3817,2205.7445
35,23.8157,1.0257,0.6987,2.2771,2124.8444
36,26.4132,0.5418,0.656,2.2864,2208.5222
37,30.323300000000003,1.1716000000000002,0.7534,2.2434,2228.4778
38,26.448,0.8527,0.8858999999999999,2.2569,2247.3666
39,44.78388654286515,1.4389,0.6901,2.3712,2191.9
40,21.6831,0.5403,0.5317,2.3187,2191.3556
41,27.4102,1.2655,1.0644,2.2887,2223.0333
42,26.8979,0.5996,0.6815,2.4151,2165.0333
43,27.3211,1.3047,0.7053,2.2616,2189.9667
44,31.4501,1.5308,0.5632,2.3672,2218.0555
45,23.5578,0.6632000000000001,0.8716,2.3375,2217.8667
46,22.1353,2.1082,0.7613,2.3756,2232.5889
47,32.7577,0.6269,1.1525,2.3099000000000003,2196.8
48,22.7275,0.5892,0.9136,2.2825999999999995,2162.1333
49,33.272,1.5991,0.684,2.4241,2178.5889
50,30.1062,1.6608,0.9251,2.3275,2191.7889
51,25.9809,1.7426,0.7663,2.3257,2217.8667
52,24.725700000000003,0.6011,0.9251,2.3132,2207.0444
53,30.7182,0.6632000000000001,0.5669,2.2752,2206.4
54,44.78388654286515,1.2224,0.7898,2.3497,2196.6555
55,26.630500000000005,0.5648,0.8807,2.3259,2183.1
56,22.5569,0.6418,0.577,2.3063,2228.4444
57,26.063,0.5445,0.9588,2.4213999999999998,2203.4556
58,22.1675,1.1766,0.8435,2.3573,2172.5333
