,feature_1,feature_17,feature_20,feature_22,feature_32,feature_34,feature_60,feature_65,feature_66,feature_82,feature_92,feature_104,feature_122,feature_130,feature_131,feature_148,feature_153,feature_154,feature_206,feature_288,feature_300,feature_320,feature_337,feature_342,feature_417,feature_427,feature_461,feature_478,feature_511,feature_519,feature_588
0,3079.77,9.859,12.3686,-4750.75,3.3618,8.6915,0.6990999999999996,19.3009,23.2216,-0.016100000000000003,-0.1835,-0.0095,15.76,0.0,0.8203,0.0173,0.2848,0.012699999999999998,9.22,0.091,0.05739999999999999,11.0518,10.0329,2.6547,3.4389999999999996,1.3155,14.755399999999998,6.0266,84.9279,1.6734799999999999,0.019400000000000004
1,3001.36,10.671,12.4959,-5410.75,3.3499999999999996,8.3006,-1.4173,21.4173,27.271600000000003,-0.019600000000000003,0.01669999999999999,-0.0163,15.76,0.2837999999999999,0.8290999999999998,0.014000000000000002,0.308,0.0065,7.31,0.0899,0.0477,7.026900000000001,13.2427,2.0989,4.8102,0.6593,12.157,4.8218,25.230800000000002,1.4805800000000002,0.0276
2,3042.78,9.8446,12.5553,-6456.75,4.6781,8.7418,10.235500000000004,9.7645,14.7061,-0.0238,-0.0316,-0.010799999999999999,15.65,-0.2837999999999999,0.5438,0.0189,0.2132,0.014799999999999999,8.8,0.0722,0.0335,10.8718,11.0695,2.5012,2.3289,1.5403,21.1169,6.1589,46.2963,1.3161,0.0287
3,3018.64,10.5954,12.4469,-5775.0,3.4767,8.6829,9.851799999999999,30.148199999999996,36.0791,-0.015900000000000004,0.010499999999999982,-0.0038,15.73,0.04729999999999975,0.8048,0.0267,0.6531,0.0159,7.77,0.18690000000000004,0.0728,9.476,8.0615,2.4329,3.671,1.6421999999999999,41.7748,5.061200000000001,114.2857,1.8400400000000001,0.0141
4,3020.29,9.4946,12.4618,-6900.499999999999,4.6303,8.5891,1.0336000000000012,18.9664,24.3057,-0.0271,-0.0287,-0.0119,15.9,0.4258000000000001,0.7611,0.0106,0.3602000000000001,0.0078,11.06,0.11879999999999999,0.0374,10.0446,10.0529,3.2653,3.4487999999999994,0.8006,23.1457,7.4828,36.2869,1.31356,0.011400000000000002
5,2964.69,9.7899,12.5492,-5546.0,3.3016000000000005,9.0744,3.6808999999999967,16.3191,19.1189,-0.0622,0.03519999999999998,-0.0115,15.819999999999999,1.6550000000000002,0.8136999999999999,0.0069,0.8524,0.006900000000000001,6.26,0.239,0.056900000000000006,3.8933000000000004,7.9101,2.2442,3.5483,0.7004,37.3638,4.1813,32.9718,1.4935000000000003,0.0251
6,2940.74,9.9299,12.4124,-5408.75,3.3186,8.9132,2.8108999999999993,17.1891,22.2064,-0.024100000000000003,-0.023099999999999996,-0.0093,15.76,0.0,0.8253,0.025100000000000004,0.36799999999999994,0.014,8.8,0.1101,0.0337,7.225900000000001,9.565,2.5551,4.6164,1.4412,31.317400000000003,5.9339,58.9023,1.415,0.0059
7,3043.08,9.8134,12.5004,-5095.0,3.4786,8.3383,1.5036000000000012,18.4964,25.309900000000003,-0.025500000000000002,-0.1509,-0.0136,15.65,2.4579999999999997,0.8345999999999999,0.0189,0.5468,0.0137,5.24,0.163,0.0085,8.1627,7.5607,2.0186,3.2595,1.419,23.564900000000005,3.5466,51.3291,1.4838600000000002,0.0148
8,2932.61,9.3144,12.5404,-5447.75,3.5986,8.659,23.8245,16.1755,24.2829,-0.018199999999999994,0.055299999999999974,-0.002599999999999999,15.9,-0.1891999999999997,0.8193999999999999,0.0221,0.4909,0.0177,13.300000000000002,0.1479,0.058300000000000005,6.1797,8.9855,3.7663,3.0609,1.8267999999999998,32.3594,9.1221,132.87192696285706,1.48432,0.03910345165836493
9,3031.78,10.2769,12.5582,-4958.0,3.2114,8.7512,1.5744999999999998,18.4255,21.0974,-0.015960000000000002,-0.03830000000000001,-0.0102,15.92,-0.14189999999999994,0.8712,0.0132,0.19650000000000004,0.0095,5.1,0.0616,0.0961,8.6833,11.8301,1.6033,5.3505,0.9783000000000001,15.4796,3.3971,46.022,1.7886,0.0275
