,feature_66,feature_427,feature_442,feature_133,feature_3,feature_124,feature_299
0,24.3057,0.8006,1.1255,2.3401,2217.8111,15.94,0.0505
1,19.1189,0.7004,0.4782,2.2797,2212.3,15.86,0.0242
2,21.0974,0.9783,0.5317,2.2877,2182.5555,15.91,0.0449
3,23.905,1.3358,0.565,2.212,2173.2778,15.98,0.1099
4,23.1287,0.737,0.78,2.3386,2191.5667,15.81,0.0488
5,19.2834,0.5418,0.7655,2.2802,2224.6778,15.8,0.045
6,21.2465,0.8378,0.7233,2.2474,2210.8556,15.92,0.0643
7,26.2754,1.9544,0.6667,2.3216,2230.4222,15.89,0.0339
8,22.9635,0.9287,1.0541,2.2757,2216.5,15.86,0.0286
9,26.2691,0.9269,0.442,2.2658,2266.8333,15.77,0.0816
10,23.8157,1.0257,0.6987,2.2771,2124.8444,16.01,0.0472
11,21.6831,0.5403,0.5317,2.3187,2191.3556,15.8,0.0327
12,23.5578,0.6632,0.8716,2.3375,2217.8667,15.99,0.0351
13,22.1353,2.1082,0.7613,2.3756,2232.5889,15.72,0.0433
14,32.7577,0.6269,1.1525,2.3099,2196.8,15.84,0.088
15,25.9809,1.7426,0.7663,2.3257,2217.8667,16.01,0.0144
16,26.6305,0.5648,0.8807,2.3259,2183.1,15.75,0.0454
17,26.063,0.5445,0.9588,2.4214,2203.4556,15.62,0.0337
18,26.2833,0.6101,1.0216,2.2808,2246.5778,15.82,0.074
19,25.8939,0.7481636035367512,0.7584,2.292883732944758,2206.3,15.832117279792191,0.0452
20,26.2174,1.4616,0.9965,2.3122,2207.3889,15.87,0.0467
21,24.9899,1.1539,0.8435,2.3573,2178.6889,15.87,0.0875
22,27.9713,0.7382,0.481,2.2797,2223.0444,15.86,0.0866
23,24.5799,1.2366,0.6641,2.2647,2194.9556,15.83,0.0803
24,23.4468,1.5257,0.7611,2.2826,2238.1444,15.79,0.0119
25,30.0288,0.4832,0.7477,2.3161,2218.0555,15.89,0.0564
26,27.3802,1.4317,0.8471,2.2915,2204.6667,15.54,0.0551
27,25.7305,1.5604,0.4254,2.2563,2231.0555,15.83,0.0342
28,22.0576,0.5481,0.7337,2.3883,2114.990567295772,15.91,0.0884
29,30.9387,1.7736,0.8136,2.2859,2199.3,15.72,0.0532
30,23.5326,1.8291,1.0189,2.3323,2233.1556,15.97,0.0678
31,24.7337,0.5965,0.8146,2.3402,2201.0667,15.88,0.059
32,23.2157,1.8725,0.577,2.3604,2179.2,15.86,0.0654
33,20.2591,2.1221,1.0959,2.3524,2222.3222,15.74,0.0466
34,26.3407,1.0482,0.8595,2.2445,2172.3111,15.79,0.0849
35,21.2309,0.7851,0.8752,2.3162,2183.3111,15.75,0.0859
36,28.1684,1.39,0.5194,2.212,2211.4,15.98,0.0627
37,31.4027,1.588,0.7392,2.2877,2198.5667,15.91,0.0249
38,28.0428,0.557,0.7032,2.3936,2187.4111,15.87,0.0539
39,26.4354,0.7473,0.7643,2.2937,2216.4778,15.98,0.0536
40,29.5723,0.7797,0.9079,2.3289,2200.0666,15.94,0.0413
41,30.6875,0.6728,0.8229,2.2555,2195.4444,15.74,0.0367
42,27.7301,1.4506,0.7611,2.2915,2182.4111,15.54,0.0554
43,26.336,0.5311,1.062,2.3177,2218.0555,15.8,0.0307
44,21.0498,1.4331,0.6163,2.2674,2223.0444,15.85,0.0881
45,20.9393,0.9017,0.6222,2.4214,2162.7556,15.62,0.0338
46,23.8674,0.6247,0.6796,2.2949,2203.1667,15.7,0.0341
47,17.735,0.5238,0.9639,2.3672,2178.6889,15.87,0.0231
48,26.254,1.2856,0.8133,2.4073,2136.4111,15.72,0.0489
49,23.7582,0.5256,0.6641,2.3471,2178.1444,15.75,0.0438
50,20.0076,0.7915,0.9274,2.2674,2223.0444,15.85,0.0659
51,23.5781,1.1499,0.5779,2.2474,2172.3111,15.77,0.0666
52,22.2504,2.741894708146578,0.5478,2.3984,2199.6334,15.92,0.0176
53,23.5582,0.5748,0.8343,2.3099,2218.5778,15.84,0.0945
54,28.6073,0.4115,0.5779,2.2631,2180.5556,15.81,0.073
55,32.1774,1.9127,0.6268,2.2711,2205.5,15.77,0.0268
56,27.0475,1.1538,1.0541,2.3883,2114.990567295772,15.91,0.0804
57,33.7771,1.3867,0.7477,2.2989,2194.5889,15.84,0.0425
58,20.9574,1.0549,0.9175,2.2877,2195.1,15.91,0.0225
59,25.2645,0.5565,0.811,2.3978,2218.0555,15.76,0.0559
60,29.012,2.741894708146578,0.7643,2.2771,2179.0778,16.01,0.0653
61,21.9929,0.9597,0.7139,2.2802,2224.6778,15.8,0.0358
62,30.9009,1.6516,0.9175,2.3021,2187.9889,15.77,0.0554
63,26.3771,1.2486,0.7477,2.3161,2198.7222,15.89,0.0357
64,24.1581,0.6995,0.573,2.2705,2231.0555,15.83,0.0767
65,27.7378,1.507,0.7507,2.3128,2177.3222,15.9,0.0493
66,22.8177,0.9541,0.3963,2.3301,2201.0667,16.0,0.0559
67,28.2316,1.145,1.0186,2.4196,2266.8333,15.86,0.0513
68,24.7192,0.7827,0.7928,2.2928,2197.2667,15.91,0.0523
69,22.4948,1.1846,0.5194,2.2892,2221.3667,15.69,0.0853
70,33.5324,0.6766,1.1623,2.3884,2187.7888,15.85,0.0945
71,29.1444,1.068,0.5377,2.2697,2200.7333,15.94,0.0169
72,27.4264,0.61,0.7677,2.4349,2249.2556,15.77,0.0362
73,23.9846,0.9771,0.9048,2.2616,2191.1333,15.86,0.0796
74,21.8556,1.5403,0.7532,2.2859,2195.1,15.72,0.0321
75,30.4987,0.5555,0.9332,2.4167,2200.2,15.83,0.0501
76,18.3248,1.3887,0.6576,2.3025,2178.0778,15.81,0.0495
77,34.2074,1.1199,0.8859,2.2634,2211.6,15.76,0.0667
78,39.6865,1.7284,0.7162,2.3403,2196.6555,15.85,0.0953
79,25.1055,0.5593,0.9066,2.2954,2181.1889,15.59,0.0243
80,37.5213,1.3533,0.7524,2.3132,2197.2333,15.84,0.0601
81,17.4684,0.5947,0.8446,2.3471,2239.4223,15.75,0.0636
82,26.7205,1.2194,0.8859,2.2596,2218.6223,15.74,0.0779
83,25.6635,1.6932,0.685,2.2569,2203.4445,15.84,0.059
84,30.222,1.42,0.6385,2.212,2173.2778,15.98,0.0456
85,44.78379717997183,1.4775,0.9087,2.3314,2139.2667,15.77,0.0521
86,22.2242,0.8521,0.9735,2.3453,2184.8889,15.92,0.0405
87,24.4119,1.9183,1.0078,2.3401,2233.1556,15.94,0.018
88,26.114,0.9145,0.6257,2.3207,2181.0444,15.83,0.0834
89,26.9505,1.1351,0.5888,2.3162,2141.0667,15.75,0.0507
90,21.6961,0.499,0.8235,2.3834,2197.6444,15.83,0.062
91,23.7588,1.1126,0.4749,2.2392,2203.1667,15.83,0.0832
92,26.5186,1.0423,0.8616,2.3883,2228.7222,15.91,0.0618
93,24.5318,1.4033,0.9525,2.2959,2180.8889,15.73,0.0613
94,22.9188,0.6153,0.6644,2.3479,2232.0778,15.58,0.0694
95,22.1064,1.1443,0.4382,2.349,2194.8,15.71,0.0443
96,31.6904,1.5751,0.7158,2.3038,2185.8111,15.91,0.0542
97,19.9232,1.1092,0.9238,2.2989,2218.8778,15.84,0.0678
98,16.8961,0.589,0.713,2.2989,2188.7111,15.84,0.0435
99,28.2022,0.8961,0.832,2.3289,2200.0666,15.94,0.0293
100,21.0159,0.8832,0.7865,2.3124,2210.3556,15.93,0.0188
101,37.0555,0.5426,0.9059,2.3144,2197.6778,15.52223904106658,0.0475
102,34.578,2.3536,0.811,2.2881,2218.5778,15.87,0.0447
103,26.314,0.9055,0.9525,2.2982,2192.7556,15.57,0.0339
104,26.5379,1.4885,0.78,2.3259,2230.7555,15.75,0.059
105,28.3035,0.7743,0.6373,2.2631,2210.2778,15.81,0.0548
106,19.1593,1.5638,0.596,2.3834,2185.9333,15.83,0.0513
107,24.6278,1.1976,0.7611,2.3138,2137.6111,15.71,0.0505
108,27.0311,0.8222,0.9091,2.4172,2178.5889,15.86,0.0612
109,22.8831,1.2968,0.6163,2.2939,2189.6778,15.83,0.0194
110,27.6339,1.174,0.7558,2.2631,2216.5,15.81,0.0313
111,13.5705,0.9166,0.5374,2.3984,2208.6556,15.92,0.0098
112,23.8107,1.911,0.6641,2.2445,2192.5556,15.79,0.083
113,31.8429,1.7271,0.684,2.2527,2215.5111,15.91,0.088
114,21.0858,0.4517,0.9726,2.4073,2189.8778,15.72,0.0472
115,24.3734,0.87,0.481,2.2674,2210.8556,15.85,0.027
116,30.1905,1.6506,0.5329,2.2544,2187.3444,15.77,0.0898
117,14.406,2.0383,0.5593,2.3038,2243.7778,15.85,0.0576
118,30.3384,1.33,0.9186,2.3079,2208.9,15.71,0.0679
119,19.7743,2.3024,0.8735,2.3592,2220.7111,15.78,0.0444
120,26.841,1.0179,1.1638,2.2728,2155.6333,15.99,0.0249
121,20.8163,0.5671,0.9251,2.3796,2197.6778,15.74,0.0348
122,32.4091,1.0539,0.9707,2.3058,2204.2889,15.59,0.0432
123,24.2043,2.4515,0.9255,2.3038,2178.7333,15.85,0.0387
124,25.1914,0.5783,0.6815,2.1995,2200.1222,16.09,0.0757
125,21.3934,0.9338,0.57,2.3308,2217.8667,15.95,0.0571
126,29.0059,1.1257,0.7032,2.4012,2171.5,15.87,0.0717
127,25.6619,1.1328,0.6332,2.2445,2201.8666,15.79,0.056
128,34.4785,1.4004,0.3512,2.2959,2205.5,15.73,0.0663
129,26.2155,0.672,0.9525,2.2247,2172.8111,15.96,0.0822
130,20.0249,0.9178,0.9193,2.3044,2183.3444,15.9,0.0639
131,15.585,0.8101,0.7121,2.3149,2224.0,15.88,0.0547
132,27.1415,1.0165,0.8716,2.2868,2199.6334,15.77,0.0303
133,18.6383,0.9655,0.6644,2.3932,2260.2222,15.81,0.0296
134,28.2459,1.8361,0.7663,2.2757,2217.0,15.71,0.0395
135,30.4269,0.543,0.593,2.4349,2200.2,15.77,0.0589
136,29.7647,1.1059,0.6903,2.2474,2172.3111,15.77,0.028
137,26.0255,0.8903,0.8705,2.2646,2246.5778,15.89,0.0693
138,24.4489,1.3825,0.9735,2.3625,2229.3333,15.8,0.0364
139,27.8129,0.8107,0.6787,2.2757,2217.0,15.71,0.0512
140,29.5935,2.1387,1.1869,2.3573,2172.5333,15.87,0.077
141,32.3553,0.738,0.714,2.416,2201.129672258078,15.89,0.0499
142,20.4284,2.051,1.0047,2.3025,2186.9889,15.81,0.0436
143,23.4612,1.3849,0.7153,2.2771,2124.8444,16.01,0.0463
144,20.1338,1.2667,0.7674,2.2797,2218.8111,15.84,0.0322
145,35.4148,2.448,0.7059,2.3132,2196.6889,15.91,0.0884
146,26.26,0.5796,1.1623,2.416,2231.9555,15.89,0.0558
147,22.9633,0.9146,0.9729,2.2967,2183.3444,15.94,0.0539
148,26.9923,1.1613,0.5066,2.2939,2205.2555,15.83,0.0583
149,44.78379717997183,1.478,1.0803,2.3314,2139.2667,15.77,0.0597
150,28.4535,0.5624,0.9329,2.2604,2216.8111,15.76,0.0748
151,28.8331,1.6262,0.9329,2.2711,2195.9778,15.77,0.083
152,19.9156,0.6777,0.7642,2.3073,2202.1222,15.76,0.0401
153,32.6343,1.1404,1.148,2.3505,2186.2667,15.85,0.0394
154,26.308,0.4807,1.0359,2.2553,2206.1444,15.76,0.0412
155,32.7382,0.5159,1.0478,2.4439,2231.6111,15.57,0.0842
156,25.4566,0.4382,0.8435,2.3162,2179.0778,15.75,0.0454
157,23.6862,1.1866,0.8807,2.2697,2200.7333,15.94,0.059
158,23.229,1.0777,0.7643,2.3063,2216.4778,15.96,0.0726
159,26.658,1.8979,1.0459,2.3237,2180.6778,15.85,0.12570988867962482
160,18.6087,1.2833,0.8681,2.3583,2180.1556,15.89,0.0717
161,28.3785,0.6415,0.577,2.3063,2216.4778,15.96,0.0293
162,26.5918,1.2209,0.9276,2.1996,2172.8111,16.09,0.0564
163,28.1825,1.0556,0.8155,2.3301,2177.4333,15.9,0.0427
164,25.7025,1.4643,0.8231,2.3257,2171.8556,16.01,0.0647
165,23.8478,1.2156,0.9332,2.3331,2194.5889,15.75,0.0834
166,30.2685,1.0912,0.9175,2.3021,2187.9889,15.77,0.0278
167,35.7866,1.9645,0.9059,2.3149,2196.6889,15.88,0.056
168,23.5681,1.4277,0.869,2.2588,2172.1223,15.95,0.0342
169,23.7727,1.9923,0.8041,2.3978,2218.0555,15.76,0.0744
170,31.4605,0.8899,1.0189,2.3257,2171.8556,16.01,0.0488
171,32.11491058611678,1.0355,0.6644,2.4241,2269.2556,15.88,0.0614
172,20.8541,0.54,1.0216,2.3275,2190.1555,15.84,0.102
173,20.1394,0.7954,0.8345,2.31,2212.7111,15.92,0.0476
174,22.8619,0.6347,0.8047,2.4151,2218.7778,15.84,0.0389
175,20.8256,1.2146,1.0216,2.3124,2220.0445,15.87,0.0852
176,20.4431,1.8924,1.062,2.3132,2208.4444,15.91,0.0388
177,23.2908,2.3473,1.0338,2.3672,2180.0556,15.87,0.0362
178,24.8245,1.3016,0.593,2.2954,2266.8333,15.71,0.0402
179,23.3059,1.1364,0.687,2.3099,2186.9889,15.84,0.0424
180,29.7843,1.3151,0.4744,2.2858,2196.1111,15.8,0.0649
181,21.6796,0.8488,0.713,2.3036,2218.8778,15.8,0.0651
182,31.879,0.7724,0.7159,2.2756,2200.9889,15.85,0.0361
183,23.7087,0.6813,0.687,2.3144,2197.2333,15.52223904106658,0.0617
184,25.2115,0.9829,0.9826,2.2771,2201.8222,16.01,0.0468
185,35.2757,0.636,0.5677,2.2948,2197.6778,15.7,0.0506
186,28.6157,1.2209,0.6066,2.4073,2203.4556,15.72,0.1077
187,18.2764,2.421,1.0323,2.3805,2205.4667,15.9,0.0582
188,32.176,1.8409,0.7159,2.3883,2210.2778,15.91,0.0207
189,17.8357,1.1921,0.9232,2.2555,2217.4111,15.74,0.0322
190,31.7755,1.1524,0.8297,2.3058,2201.2889,15.59,0.0455
191,17.3399,1.1433,1.0135,2.3087,2189.6555,15.81,0.0508
192,22.588,0.454,0.8343,2.3078,2218.5778,15.972692285107803,0.0553
193,22.6626,1.8458,0.6796,2.2959,2187.9889,15.73,0.0885
194,28.8106,0.9833,1.0541,2.2725,2114.990567295772,15.82,0.0713
195,19.3697,0.6189,0.9725,2.2948,2208.4444,15.7,0.026
196,22.8489,0.7446,0.8752,2.2909,2183.3111,15.89,0.039
197,22.9832,0.6305,0.8229,2.4723,2231.6111,15.67,0.0393
198,14.8409,1.1482,0.713,2.2802,2202.2556,15.8,0.0379
199,23.6925,0.8588,0.869,2.2622,2180.7,15.85,0.008
200,24.3585,0.5434,0.9091,2.2563,2227.9778,15.75,0.0128
201,22.7886,1.3679,0.4685,2.2216,2171.8556,16.0,0.0363
202,25.4333,1.7578,1.0407,2.3221,2220.5445,15.88,0.046
203,31.3918,1.1005,1.0631,2.3936,2189.3556,15.87,0.0618
204,22.97,0.6766,0.7032,2.2757,2200.9889,15.86,0.0802
205,28.8009,2.741894708146578,0.9588,2.3323,2184.8889,15.97,0.0594
206,29.9212,1.6691,0.4254,2.2915,2182.4111,15.54,0.0703
207,23.1757,1.7021,0.7613,2.3313,2183.4333,15.91,0.0499
208,26.7098,0.7935,0.577,2.3306,2171.8556,15.97,0.0086
209,18.277,0.9863,0.3963,2.3391,2205.7222,15.83,0.0398
210,25.688,0.4568,0.9873,2.2689,2126.6555,16.04,0.0549
211,23.1136,0.7458,1.0216,2.3331,2204.5445,15.75,0.0867
212,23.8511,0.9222,0.9175,2.3021,2187.9889,15.77,0.0352
213,29.2938,1.6628,0.6259,2.2674,2207.9555,15.85,0.0528
214,32.0454,1.4633,1.1869,2.3038,2195.7666,15.91,0.0545
215,28.9752,0.9923,0.4744,2.2797,2212.3,15.86,0.0708
216,26.1038,1.174,0.7153,2.2967,2155.6333,15.94,0.0775
217,31.3727,1.8398,0.4744,2.2809,2209.6667,15.79,0.0369
218,27.9706,1.5461,0.7392,2.2732,2215.8111,15.71,0.0429
219,31.5545,0.621,0.8705,2.4044,2210.9778,15.67,0.0659
220,31.016,1.0689,0.8231,2.3414,2171.3222,15.97,0.058
221,29.7545,0.498,0.8163,2.2588,2200.9889,15.95,0.0326
222,27.6705,1.0303,0.7337,2.2954,2182.0222,15.71,0.0361
223,21.0027,1.0161,0.6576,2.3672,2178.6889,15.87,0.0438
224,25.849,1.0662,0.8716,2.3297,2217.8667,15.97,0.036
225,27.6462,1.163,0.7719,2.4196,2200.2,15.86,0.0419
226,26.3116,0.5544,0.7663,2.2793,2171.8556,15.74,0.0388
227,28.803,1.7661,1.0631,2.2646,2192.0,15.89,0.0893
228,28.1993,2.1399,0.5742,2.2809,2209.4667,15.79,0.0332
229,28.189,0.9768,0.9049,2.3058,2204.6667,15.59,0.0712
230,30.0565,1.4319,0.5377,2.3259,2183.3111,15.75,0.0521
231,18.2111,1.2562,0.7613,2.3712,2191.9,15.75,0.0473
232,23.7055,0.5642,1.0478,2.3793,2189.8778,15.94,0.0667
233,26.2629,0.5072,0.8571,2.2826,2199.6556,15.79,0.0511
234,34.1725,0.9274,0.4443,2.2729,2206.4,15.79,0.061
235,24.7718,0.6388,0.7611,2.4201,2137.6111,15.9,0.0897
236,27.8252,0.5889,1.0143,2.2864,2219.7667,15.79,0.042
237,31.416,2.1505,1.1815,2.3971,2185.9333,15.79,0.0267
238,25.3309,1.2665,0.9186,2.292,2178.5889,15.79,0.0498
239,24.3465,0.4508,1.0189,2.3063,2216.4778,15.96,0.0604
240,28.6582,0.9273,0.6144,2.2474,2210.8556,15.92,0.0604
241,22.3822,0.3971,0.6987,2.3162,2219.1333,15.75,0.0513
242,23.2779,1.4487,0.9725,2.3128,2180.9666,15.91,0.0624
243,25.7166,0.7974,0.7663,2.3144,2205.2222,15.52223904106658,0.021
244,25.3734,0.5985,0.5799,2.3495,2242.8555,15.81,0.076
245,18.3175,1.7144,0.9251,2.4,2185.9333,15.79,0.0447
246,30.6953,1.3522,0.5284,2.2671,2188.5111,15.73,0.086
247,37.6915,1.4197,0.6783,2.3243,2270.2556,15.85,0.0584
248,19.1895,0.8821,0.746,2.3124,2210.3556,15.93,0.0909
249,20.6151,1.1259,0.8705,2.3124,2216.7333,15.87,0.0429
250,26.166,1.2276,0.7316,2.3044,2146.1111,15.9,0.0391
251,22.8211,1.2161,0.7664,2.3042,2200.9556,15.76,0.0643
252,20.7242,0.9775,0.8834,2.2831,2114.990567295772,15.8,0.0811
253,18.784,0.956,0.8758,2.3301,2177.4333,15.9,0.12570988867962482
254,26.4708,1.653,0.6161,2.4196,2219.7667,15.86,0.075
255,19.6859,1.5655,1.1869,2.2689,2219.1333,16.04,0.0243
256,18.0095,1.1074,0.7093,2.2802,2204.2333,15.8,0.0724
257,26.8806,1.0294,0.9916,2.3991,2216.6778,15.72,0.033
258,33.6192,2.2207,0.662,2.2931,2180.3778,16.04,0.0662
259,28.0695,1.143,0.7162,2.3403,2181.6111,15.85,0.061
260,23.7193,0.9529,0.78,2.3991,2242.4333,15.72,0.0748
261,28.9017,0.5774,0.9276,2.4253,2147.1111,15.77,0.0936
262,32.6374,1.2101,0.7233,2.2678,2200.9470388898517,15.75,0.0486
263,41.8842,0.5712,1.148,2.3408,2234.6111,15.85,0.0586
264,20.5025,0.9215,0.7093,2.3817,2205.7445,15.85,0.0409
265,26.0917,0.7553,0.4254,2.2779,2201.3553726858954,15.74,0.0424
266,27.527,1.5008,0.9186,2.2927,2178.4667,15.8,0.077
267,27.6476,1.0674,0.9726,2.4073,2136.4111,15.72,0.0606
268,21.0446,0.9001,0.647,2.2949,2208.9778,15.7,0.0642
269,27.6301,1.4857,1.2364,2.2932,2230.4222,15.91,0.0502
270,26.7021,1.079,0.7153,2.3162,2114.990567295772,15.75,0.0884
271,31.4439,0.8458,0.5355,2.3289,2200.0666,15.94,0.031
272,30.6289,1.205,0.6783,2.3416,2197.3111,15.85,0.0152
273,22.3374,0.6183,1.1815,2.3177,2202.1222,15.8,0.0319
274,30.2505,2.0058,1.0803,2.3167,2178.7333,15.87,0.0466
275,23.4325,1.065,0.5799,2.3414,2229.3333,15.97,0.04
276,23.7913,0.896,0.7808,2.3725,2197.6778,15.81,0.0289
277,20.9755,0.4549,0.8336,2.2647,2114.990567295772,15.83,0.0584
278,18.5294,0.8581,1.0478,2.3938,2211.7778,15.84,0.0235
279,28.1426,1.1776,0.5742,2.2809,2209.4667,15.79,0.0492
280,22.6375,0.5981,0.9826,2.3063,2216.4778,15.96,0.0521
281,24.3769,1.5979,0.6222,2.4044,2218.6333,15.67,0.0796
282,23.0148,1.4308,0.8735,2.3524,2171.9,15.74,0.0563
283,27.8256,1.0753,0.8569,2.2982,2201.2889,15.57,0.0738
284,29.2883,0.808,0.8304,2.3207,2127.9555,15.83,0.0838
285,26.977,1.507,0.8089,2.2939,2189.6778,15.83,0.0248
286,19.9565,2.0754,0.8007,2.3524,2222.3222,15.74,0.0556
287,28.6558,0.7991,0.9163,2.2805,2200.9889,15.92,0.0472
288,26.9974,0.8728,0.832,2.3654,2165.8666,15.85,0.078
289,31.0075,0.6604,0.7159,2.2757,2171.5,15.86,0.0528
290,27.5901,1.7093,0.8122,2.2869,2217.4111,15.76,0.0185
291,28.8518,1.2873,0.8807,2.3044,2202.2889,15.9,0.0334
292,23.6405,1.3873,0.7674,2.2797,2239.4111,15.84,0.0318
293,22.9785,0.9634,1.0393,2.3654,2217.8111,15.85,0.0527
294,26.0408,0.7595,0.8159,2.3991,2216.5111,15.72,0.0534
295,22.7338,0.9691,0.6641,2.3403,2181.1555,15.85,0.0327
296,29.0235,0.9998,0.8184,2.2555,2217.4111,15.74,0.0373
297,17.1276,0.7518,1.0338,2.2771,2180.7,16.01,0.0862
298,29.8969,0.7478,1.0803,2.3221,2202.7111,15.88,0.0684
299,23.6096,1.0146,0.8595,2.3283,2182.6222,15.69,0.0632
300,25.9589,1.7343,0.6335,2.3308,2171.8556,15.95,0.0502
301,25.7407,1.8646,0.4685,2.2756,2202.5556,15.85,0.0633
302,17.0797,1.2446,0.8446,2.3592,2183.4556,15.78,0.0603
303,24.5978,0.5786,0.587,2.4012,2187.4111,15.87,0.0615
304,29.4636,1.2286,0.4254,2.2434,2203.1667,15.78,0.1137
305,23.1901,1.272,0.4129,2.3106,2191.8445,15.74,0.0216
306,29.185,0.6689,1.0323,2.3078,2218.5778,15.88,0.092
307,25.0963,0.9105,0.6066,2.3499,2194.5889,15.61,0.031
308,31.6501,1.1152,0.8595,2.2474,2211.6,15.77,0.0908
309,23.6254,1.033,1.0216,2.3331,2187.8111,15.75,0.0974
310,19.064,1.2166,0.565,2.2377,2203.1667,15.89,0.091
311,28.777,1.6289,0.4722,2.319,2204.6667,15.69,0.0824
312,15.0708,1.4003,0.8446,2.3592,2265.1889,15.78,0.0445
313,22.7427,0.7664,0.8752,2.2965,2201.8222,15.96,0.0827
314,30.2922,2.1936,1.1086,2.3583,2183.4556,15.89,0.0281
315,22.9589,0.8849,0.9588,2.3604,2233.1556,15.86,0.0446
316,22.23,1.1377,0.745,2.2892,2221.3667,15.69,0.0444
317,23.5906,1.0448,0.8007,2.3497,2242.2444,15.77,0.07
318,22.5384,1.9299,0.9251,2.2948,2197.6778,15.7,0.0355
319,15.3094,1.6483,0.9753,2.3437,2248.9,15.86,0.0663
320,17.1419,0.6092,0.9812,2.3883,2180.5556,15.91,0.1071
321,25.2303,1.7408,0.6987,2.3323,2233.1556,15.97,0.0601
322,25.4763,0.8475,0.6927,2.2527,2201.8666,15.81,0.058
323,29.871,2.0216,0.9109,2.3704,2202.4333,15.85,0.0432
324,28.7982,0.4254,1.0393,2.3063,2242.8555,15.96,0.0551
325,28.9871,1.0703,0.6335,2.2793,2200.0666,15.74,0.0271
326,21.3926,0.4864,0.8235,2.3834,2197.6444,15.83,0.0479
327,31.3031,0.8722,0.7032,2.2631,2171.5,15.81,0.0899
328,14.606,1.2249,0.8571,2.2216,2253.3444,16.0,0.0395
329,26.3387,0.6476,0.8229,2.4196,2200.2,15.86,0.0423
330,26.4617,0.9152,0.9143,2.2821,2249.2556,15.8,0.0846
331,25.7529,1.3811,0.7852,2.2732,2215.8111,15.71,0.12570988867962482
332,26.5409,0.9138,1.0135,2.3672,2178.6889,15.87,0.0393
333,28.6132,0.853,0.7558,2.2564,2171.5,15.81,0.0505
334,29.8709,1.0448,0.7053,2.2616,2189.9667,15.86,0.0602
335,23.9411,0.8713,1.0631,2.2445,2215.5111,15.79,0.0564
336,22.1373,1.9653,0.9059,2.3052,2183.5777,15.89,0.0452
337,27.3317,1.4497,0.7674,2.2539,2217.0,15.78,0.0342
338,27.2848,0.9256,0.8041,2.3025,2218.0555,15.81,0.0488
339,28.2487,0.9117,1.0189,2.3323,2172.4,15.97,0.0346
340,17.7128,1.0873,0.8469,2.2604,2187.3444,15.76,0.0442
341,24.5276,0.5596,0.7664,2.4151,2228.9445,15.84,0.0601
