,feature_60,feature_478,feature_65,feature_349,feature_299,feature_442,feature_34,feature_332,feature_22,feature_118
0,0.6991,6.0266,19.3009,0.0237,0.0595,0.9639,8.6915,0.0791,-4750.75,59.2662
1,-1.4173,4.8218,21.4173,0.0272,0.0662,0.8427,8.3006,0.1071,-5410.75,58.7063
2,10.2355,6.1589,9.7645,0.0163,0.0519,0.9193,8.7418,0.0852,-6456.75,55.8504
3,9.8518,5.0612,30.1482,0.03,0.0635,0.7158,8.6829,0.0985,-5775.0,58.2831
4,1.0336,7.4828,18.9664,0.0243,0.0505,1.1255,8.5891,0.0817,-6900.5,58.0262
5,3.6809,4.1813,16.3191,0.0205,0.0242,0.4782,9.0744,0.0318,-5546.0,60.9507
6,2.8109,5.9339,17.1891,0.0245,0.0655,0.656,8.9132,0.0752,-5408.75,58.9076
7,1.5036,3.5466,18.4964,0.0174,0.0867,0.932,8.3383,0.0863,-5095.0,58.282
8,23.8245,9.1221,16.1755,0.0105,0.08,1.2771,8.659,0.0243,-5447.75,58.4808
9,1.5745,3.3971,18.4255,0.01985231256495276,0.0449,0.5317,8.7512,0.0975,-4958.0,59.9764
10,2.9282,4.7353,17.0718,0.0339,0.1099,0.565,9.534,0.0824,-5345.25,55.9011
11,5.4991,5.2686,14.5009,0.0172,0.1141,0.9361,8.5288,0.0807,-5192.5,56.4388
12,-2.5027,6.8676,22.5027,0.0198,0.0266,0.9175,8.1605,0.0368,-6623.75,56.3776
13,0.34,7.0359,19.66,0.0116,0.0486,0.7316,8.8043,0.0929,-5416.0,59.0911
14,4.1691,6.8146,15.8309,0.0225,0.0607,0.8532,8.7556,0.0311,-5187.25,59.6793
15,-3.74,2.7876,23.74,0.0236,0.0585,0.7032,8.5571,0.0892,-5153.75,56.7784
16,4.040437804001133,5.623994283858725,19.80593778348826,0.0148,0.0536,0.7139,9.131,0.0909,-5334.75,59.0958
17,1.9482,9.1675,34.62823879222262,0.0381,0.0868,0.8222,8.5687,0.094,-5410.5,57.4901
18,8.1455,3.4324,11.8545,0.0253,0.0359,0.6144,8.7187,0.1011,-5233.75,55.364556183216706
19,4.9555,9.9444,15.0445,0.0184,0.12570988867962482,0.9383,8.441,0.0622,-4173.969634289816,58.7458
20,9.1882,5.9269,30.8118,0.014,0.0565,0.5593,9.5642,0.0968,-6363.0,59.8003
21,2.2855,10.1458,17.7145,0.0162,0.0166,0.5836,8.6706,0.0954,-6257.5,59.5427
22,0.6191,7.5571,19.3809,0.0229,0.0488,0.78,8.7867,0.0929,-5607.25,58.4837
23,-3.7509,3.369,23.7509,0.0209,0.071,0.6373,8.8581,0.1043,-5720.25,59.3419
24,4.9118,4.8707,15.0882,0.0154,0.045,0.7655,8.8624,0.085,-5122.5,57.1869
25,0.12,5.817,19.88,0.0241,0.0601,0.9965,8.6397,0.0883,-5434.0,58.6908
26,1.8173,3.4949,18.1827,0.0445,0.053,0.7928,9.5713,0.0848,-6349.75,59.4203
27,2.7927,3.9522,17.2073,0.0245,0.0643,0.7233,8.2345,0.0911,-5419.75,58.3601
28,2.1109,8.8016,17.8891,0.0177,0.0339,0.6667,9.1502,0.0778,-6154.0,58.823
29,-4.4109,3.706,24.4109,0.0199,0.1043,0.6641,8.6544,0.0842,-5341.25,59.4322
30,8.9136,7.1799,31.0864,0.0373,0.0254,0.7584,10.053810884229684,0.0224,-5474.25,59.0911
31,-2.0764,6.11,22.0764,0.0278,0.0587,1.1255,8.5891,0.0652,-6305.25,59.0644
32,0.5518,6.0246,19.4482,0.0273,0.0286,1.0541,8.287,0.0875,-5639.75,55.44
33,-0.9364,2.9235,20.9364,0.017,0.0816,0.442,8.5851,0.0839,-5977.25,58.2257
34,5.2064,4.0558,14.7936,0.0207,0.0679,0.9238,8.572,0.0871,-5466.75,58.6223
35,1.2836,12.044054218287883,18.7164,0.0319,0.0472,0.6987,9.7836,0.0775,-6279.0,59.1488
36,1.0027,7.1443,18.9973,0.0221,0.0175,0.656,8.9132,0.0812,-5477.0,57.5441
37,-2.6564,2.3646,22.6564,0.0256,0.099,0.7534,9.0447,0.0824,-5371.5,58.8339
38,-0.0636,10.0705,20.0636,0.0253,0.0257,0.8859,8.9191,0.0699,-5176.25,57.6451
39,3.9055,6.1617,34.62823879222262,0.0164,0.038,0.6901,9.2405,0.0224,-5641.25,57.7094
40,2.0318,4.3582,17.9682,0.0227,0.0327,0.5317,8.7512,0.1065,-5193.25,58.5099
41,17.3873,5.7628,22.6127,0.0461,0.0384,1.0644,8.9336,0.0247,-5369.0,58.6421
42,-0.1545,4.319,20.1545,0.0241,0.0393,0.6815,8.8909,0.0381,-5770.75,58.7766
43,-0.3309,3.2036,20.3309,0.0169,0.0805,0.7053,8.7635,0.0699,-5658.25,61.2828
44,-5.7182,6.748,25.7182,0.0144,0.045,0.5632,9.1855,0.0969,-5282.75,59.3036
