,feature_60,feature_478,feature_65,feature_349,feature_299,feature_34,feature_22,feature_118,feature_283,feature_442,feature_332
0,0.6991,6.0266,19.3009,0.0237,0.0595,8.6915,-4750.75,59.2662,0.0058,0.9639,0.0791
1,-1.4173,4.8218,21.4173,0.0272,0.0662,8.3006,-5410.75,58.7063,0.0045,0.8427,0.1071
2,10.2355,6.1589,9.7645,0.0163,0.0519,8.7418,-6456.75,55.8504,0.0064,0.9193,0.0852
3,9.8518,5.0612,30.1482,0.03,0.0635,8.6829,-5775.0,58.2831,0.0088,0.7158,0.0985
4,1.0336,7.4828,18.9664,0.0243,0.0505,8.5891,-6900.5,58.0262,0.0035,1.1255,0.0817
5,3.6809,4.1813,16.3191,0.0205,0.0242,9.0744,-5546.0,60.9507,0.0025,0.4782,0.0318
6,2.8109,5.9339,17.1891,0.0245,0.0655,8.9132,-5408.75,58.9076,0.0083,0.656,0.0752
7,1.5036,3.5466,18.4964,0.0174,0.0867,8.3383,-5095.0,58.282,0.006,0.932,0.0863
8,23.8245,9.1221,16.1755,0.0105,0.08,8.659,-5447.75,58.4808,0.0075,1.2771,0.0243
9,1.5745,3.3971,18.4255,0.019892723758735527,0.0449,8.7512,-4958.0,59.9764,0.0044,0.5317,0.0975
10,2.9282,4.7353,17.0718,0.0339,0.1099,9.534,-5345.25,55.9011,0.0045,0.565,0.0824
11,5.4991,5.2686,14.5009,0.0172,0.1141,8.5288,-5192.5,56.4388,0.0072,0.9361,0.0807
12,-2.5027,6.8676,22.5027,0.0198,0.0266,8.1605,-6623.75,56.3776,0.0083,0.9175,0.0368
13,0.34,7.0359,19.66,0.0116,0.0486,8.8043,-5416.0,59.0911,0.0032,0.7316,0.0929
14,4.1691,6.8146,15.8309,0.0225,0.0607,8.7556,-5187.25,59.6793,0.0026,0.8532,0.0311
15,-3.74,2.7876,23.74,0.0236,0.0585,8.5571,-5153.75,56.7784,0.0054,0.7032,0.0892
16,4.048450162234548,5.6239776581601175,19.8040740090078,0.0148,0.0536,9.131,-5334.75,59.0958,0.0033,0.7139,0.0909
17,1.9482,9.1675,34.62823575372056,0.0381,0.0868,8.5687,-5410.5,57.4901,0.0088,0.8222,0.094
18,8.1455,3.4324,11.8545,0.0253,0.0359,8.7187,-5233.75,55.36455648285417,0.002,0.6144,0.1011
19,4.9555,9.9444,15.0445,0.0184,0.12570754265494335,8.441,-4173.969956905301,58.7458,0.0094,0.9383,0.0622
20,9.1882,5.9269,30.8118,0.014,0.0565,9.5642,-6363.0,59.8003,0.0089,0.5593,0.0968
21,2.2855,10.1458,17.7145,0.0162,0.0166,8.6706,-6257.5,59.5427,0.0067,0.5836,0.0954
22,0.6191,7.5571,19.3809,0.0229,0.0488,8.7867,-5607.25,58.4837,0.0036,0.78,0.0929
23,-3.7509,3.369,23.7509,0.0209,0.071,8.8581,-5720.25,59.3419,0.0052,0.6373,0.1043
24,4.9118,4.8707,15.0882,0.0154,0.045,8.8624,-5122.5,57.1869,0.003,0.7655,0.085
25,0.12,5.817,19.88,0.0241,0.0601,8.6397,-5434.0,58.6908,0.0075,0.9965,0.0883
26,1.8173,3.4949,18.1827,0.0445,0.053,9.5713,-6349.75,59.4203,0.0085,0.7928,0.0848
27,2.7927,3.9522,17.2073,0.0245,0.0643,8.2345,-5419.75,58.3601,0.0036,0.7233,0.0911
28,2.1109,8.8016,17.8891,0.0177,0.0339,9.1502,-6154.0,58.823,0.0084,0.6667,0.0778
29,-4.4109,3.706,24.4109,0.0199,0.1043,8.6544,-5341.25,59.4322,0.0027,0.6641,0.0842
30,8.9136,7.1799,31.0864,0.0373,0.0254,10.053786753896286,-5474.25,59.0911,0.0064,0.7584,0.0224
31,-2.0764,6.11,22.0764,0.0278,0.0587,8.5891,-6305.25,59.0644,0.0021,1.1255,0.0652
32,0.5518,6.0246,19.4482,0.0273,0.0286,8.287,-5639.75,55.44,0.0056,1.0541,0.0875
33,-0.9364,2.9235,20.9364,0.017,0.0816,8.5851,-5977.25,58.2257,0.0045,0.442,0.0839
34,5.2064,4.0558,14.7936,0.0207,0.0679,8.572,-5466.75,58.6223,0.0075,0.9238,0.0871
35,1.2836,12.043994507974523,18.7164,0.0319,0.0472,9.7836,-6279.0,59.1488,0.0065,0.6987,0.0775
36,1.0027,7.1443,18.9973,0.0221,0.0175,8.9132,-5477.0,57.5441,0.0073,0.656,0.0812
37,-2.6564,2.3646,22.6564,0.0256,0.099,9.0447,-5371.5,58.8339,0.005,0.7534,0.0824
38,-0.0636,10.0705,20.0636,0.0253,0.0257,8.9191,-5176.25,57.6451,0.0043,0.8859,0.0699
39,3.9055,6.1617,34.62823575372056,0.0164,0.038,9.2405,-5641.25,57.7094,0.007,0.6901,0.0224
40,2.0318,4.3582,17.9682,0.0227,0.0327,8.7512,-5193.25,58.5099,0.0025,0.5317,0.1065
41,17.3873,5.7628,22.6127,0.0461,0.0384,8.9336,-5369.0,58.6421,0.0063,1.0644,0.0247
42,-0.1545,4.319,20.1545,0.0241,0.0393,8.8909,-5770.75,58.7766,0.0029,0.6815,0.0381
43,-0.3309,3.2036,20.3309,0.0169,0.0805,8.7635,-5658.25,61.2828,0.0055,0.7053,0.0699
44,-5.7182,6.748,25.7182,0.0144,0.045,9.1855,-5282.75,59.3036,0.0064,0.5632,0.0969
45,3.65,6.0536,16.35,0.0247,0.0351,9.0121,-5936.0,56.9856,0.0025,0.8716,0.0833
46,25.5127,5.1949,14.4873,0.0151,0.0433,9.094,-5657.75,57.8978,0.0093,0.7613,0.0778
47,-5.6473,6.4204,25.6473,0.0252,0.088,8.536,-5226.5,58.148,0.0031,1.1525,0.0254
48,1.8609,2.582,18.1391,0.0197,0.1198,8.8097,-5603.75,59.305,0.0022,0.9136,0.0832
49,-4.4927,4.5795,24.4927,0.0141,0.0573,8.58,-5508.5,59.0025,0.0059,0.684,0.0381
50,17.4,5.1848,22.6,0.0256,0.0813,8.8287,-6112.25,57.0914,0.0091,0.9251,0.0964
51,1.6073,4.6249,18.3927,0.0232,0.0144,8.7219,-5422.0,59.3308,0.0051,0.7663,0.0623
52,0.8873,3.9097,19.1127,0.04999354868435307,0.061,8.4092,-6280.75,58.3741,0.0075,0.9251,0.1003
53,-2.7136,6.015,22.7136,0.0211,0.0626,9.6515,-5425.5,58.3573,0.0026,0.5669,0.0306
54,5.3382,6.0748,34.62823575372056,0.0162,0.12570754265494335,9.1784,-4173.969956905301,58.9744,0.0022,0.7898,0.0779
55,1.6373,6.026,18.3627,0.0236,0.0454,8.5987,-6310.25,58.7323,0.0032,0.8807,0.0813
56,2.9691,3.4708,17.0309,0.0141,0.0397,9.754,-5490.25,58.5766,0.0025,0.577,0.0817
57,-1.0991,6.1979,21.0991,0.0154,0.0337,8.5855,-5273.0,58.3136,0.0017,0.9588,0.0658
58,2.9518,4.8857,17.0482,0.0194,0.05,8.7994,-5427.75,59.0601,0.0061,0.8435,0.0813
59,-10.37,4.4544,30.37,0.04999354868435307,0.0339,8.5177,-6439.0,57.9622,0.0022,0.8384,0.0823
60,1.3445,3.9991,18.6555,0.0208,0.074,8.2395,-5250.75,57.3415,0.0023,1.0216,0.1044
61,1.1664,3.4878,18.8336,0.021959500402846964,0.0452,8.1728,-5153.25,59.2046,0.0026771257798559166,0.7584,0.0706
62,0.1873,3.4793,19.8127,0.0248,0.0494,8.6544,-5359.25,59.2204,0.0049,0.6641,0.0686
63,0.4836,3.9691,19.5164,0.0185,0.0467,8.6397,-5575.25,59.4838,0.0069,0.9965,0.0914
64,4.0809,3.2357,15.9191,0.0208,0.0387,8.322,-6029.0,58.8463,0.0116,0.7506,0.1061
65,18.3936,4.2732,21.6064,0.0386,0.12570754265494335,9.2007,-4173.969956905301,56.8545,0.0066,0.7015,0.0859
66,1.2809,4.3922,18.7191,0.0208,0.0644,8.3331,-5371.25,59.2341,0.0057,0.9396,0.086
67,0.5682,7.684,19.4318,0.0183,0.0875,8.7994,-5932.0,57.1673,0.0061,0.8435,0.0813
68,8.0955,6.9474,11.9045,0.04999354868435307,0.0535,9.5713,-6383.75,59.0927,0.0111,0.7928,0.0998
69,-1.97,2.8027,21.97,0.0337,0.0866,9.088,-5377.0,59.6505,0.0025,0.481,0.0863
70,-8.2255,5.2293,28.2255,0.0138,0.0813,8.8249,-5393.25,57.6821,0.0049,0.6302,0.15596532520832973
71,-0.75,5.8268,20.75,0.025,0.0803,8.6544,-5692.5,57.2349,0.0055,0.6641,0.0875
72,0.1627,3.2662,19.8373,0.0215,0.0119,8.6472,-5326.5,59.2585,0.0062,0.7611,0.034
73,-1.9555,7.1548,21.9555,0.0201,0.0564,9.9964,-6453.75,57.4722,0.0083,0.7477,0.0241
74,-1.3018,5.6614,21.3018,0.0281,0.0551,8.7538,-5175.5,59.6445,0.0064,0.8471,0.0337
75,-0.0191,6.4234,20.0191,0.0149,0.09,9.0425,-5336.0,58.3868,0.002,0.6335,0.0599
