,feature_1,feature_20,feature_22,feature_34,feature_60,feature_92,feature_103,feature_104,feature_116,feature_118,feature_122,feature_126,feature_130,feature_131,feature_148,feature_248,feature_288,feature_317,feature_320,feature_337,feature_342,feature_469,feature_489,feature_574,feature_588
0,3079.7700000000004,12.368599999999999,-4750.75,8.6915,0.6991000000000006,-0.1835,0.08109999999999998,-0.0095,785.5426,59.2662,15.76,1.196,0.0,0.8202999999999999,0.0173,0.0152,0.091,6.9408,11.051800000000002,10.0329,2.6546999999999996,0.0,472.0497,0.34415845971850184,0.0194
1,3001.36,12.4959,-5410.75,8.3006,-1.4172999999999998,0.016700000000000027,-0.0346,-0.0163,672.3211,58.7063,15.76,0.9271,0.2837999999999999,0.8291,0.014,0.023556520084131474,0.0899,5.4323,7.0269,10.094269620906925,2.0989,0.0,430.0637,0.1828,0.0276
2,3042.78,12.5553,-6456.75,8.7418,10.235499999999998,-0.03160000000000001,-0.0563,-0.0108,751.7695,55.8504,15.65,1.182,-0.2837999999999999,0.5438,0.0189,0.0345,0.0722,5.0133,10.8718,11.0695,2.5012,50.6084,389.4737,0.3066,0.0287
3,3018.64,12.4469,-5775.0,8.6829,9.851799999999999,0.010499999999999982,-0.045899999999999996,-0.0037999999999999996,705.2765,58.283100000000005,15.729999999999999,1.3989999999999998,0.04729999999999975,0.8048,0.0267,0.02885834103805757,0.1869,5.823899999999999,9.476,8.0615,2.4329,63.440099999999994,498.5871,0.2887,0.014100000000000001
4,3020.29,12.4618,-6900.5,8.5891,1.0335999999999994,-0.028700000000000014,0.011199999999999996,-0.0119,719.8049,58.0262,15.9,0.9838,0.4258000000000001,0.7611000000000001,0.0106,0.02888685980181237,0.1188,6.5621,10.0446,10.0529,3.2653,432.4538,213.8249,0.2772,0.0114
5,2964.69,12.549199999999999,-5546.0,9.0744,3.680900000000002,0.03519999999999999,-0.0054000000000000055,-0.0115,711.4945,60.95069999999999,15.82,0.946,1.6550000000000002,0.8136999999999999,0.0069,0.02018540470656309,0.239,7.285000000000001,3.8933000000000004,7.910100000000001,2.2442,300.1976,59.1402,0.2619,0.0251
6,2940.74,12.412399999999998,-5408.750000000001,8.9132,2.8108999999999997,-0.023099999999999992,-0.012200000000000004,-0.0093,777.1425,58.9076,15.76,0.9838,0.0,0.8253,0.0251,0.02976210601574294,0.1101,6.1564,7.225899999999999,9.565,2.5551000000000004,160.8021,367.1859,0.2467,0.0059
7,3043.08,12.5004,-5095.0,8.3383,1.5035999999999998,-0.1509,0.0693,-0.0136,741.9427,58.282000000000004,15.65,1.097,2.4579999999999997,0.8346,0.0189,0.021674750688216754,0.163,5.4847,8.1627,7.560699999999999,2.0186,273.3374,309.8039,0.2392,0.014800000000000002
8,2932.61,12.5404,-5447.75,8.659,1.7093742973676878,0.0553,0.013400000000000014,-0.0026,718.5777,58.4808,15.9,0.8798,-0.1891999999999997,0.8194000000000001,0.0221,0.034142707210431805,0.1479,5.7247,6.1797,8.9855,3.7662999999999998,21.3645,191.7582,0.1882,0.017953051359067936
9,3031.78,12.5582,-4958.0,8.7512,1.5745000000000013,-0.038300000000000015,0.0365,-0.0102,826.7217,59.976400000000005,15.92,1.309,-0.14189999999999994,0.8712,0.0132,0.02867851423550074,0.0616,6.3127,8.6833,11.8301,1.6033,344.2031767675399,316.65931500045707,0.3891,0.0275
