,feature_60,feature_478,feature_133,feature_349,feature_65,feature_124,feature_442,feature_164,feature_34,feature_383
0,0.6991,6.0266,2.3766,0.0237,19.3009,15.83,0.9639,0.128,8.6915,4.8488705508087024e-05
1,-1.4173,4.8218,2.3805,0.0272,21.4173,15.75,0.8427,0.157,8.3006,0.0006138488808639913
2,10.2355,6.1589,2.3244,0.0163,9.7645,15.69,0.9193,0.127,8.7418,0.000827909937005258
3,9.8518,5.0612,2.3725,0.03,30.1482,15.81,0.7158,0.135,8.6829,0.001458823031438015
4,1.0336,7.4828,2.3401,0.0243,18.9664,15.94,1.1255,0.108,8.5891,0.0008075421796781522
5,3.6809,4.1813,2.2797,0.0205,16.3191,15.86,0.4782,0.056,9.0744,0.0001738157488942963
6,2.8109,5.9339,2.2864,0.0245,17.1891,15.79,0.656,0.149,8.9132,0.0007
7,1.5036,3.5466,2.3081,0.0174,18.4964,15.69,0.932,0.193,8.3383,0.000603689059926334
8,23.8245,9.1221,2.2592,0.0105,16.1755,15.94,1.2771,0.187,8.659,0.00077161647858154
9,1.5745,3.3971,2.2877,0.02121191991083716,18.4255,15.91,0.5317,0.102,8.7512,0.0006
10,2.9282,4.7353,2.212,0.0339,17.0718,15.98,0.565,0.251,9.534,0.0005
11,5.4991,5.2686,2.2773,0.0172,14.5009,15.97,0.9361,0.248,8.5288,0.0008558909182075063
12,-2.5027,6.8676,2.2959,0.0198,22.5027,15.73,0.9175,0.064,8.1605,0.0004
13,0.34,7.0359,2.3323,0.0116,19.66,15.98,0.7316,0.115,8.8043,0.000991904233489417
14,4.1691,6.8146,2.2674,0.0225,15.8309,15.84,0.8532,0.138,8.7556,0.0005
15,-3.74,2.7876,2.2564,0.0236,23.74,15.81,0.7032,0.125,8.5571,0.0008401239660040787
16,4.095622257378942,5.667155551775378,2.2784,0.0148,19.77682086591495,15.89,0.7139,0.112,9.131,0.0015
17,1.9482,9.1675,2.3735,0.0381,35.591120445653786,15.8,0.8222,0.18,8.5687,0.0016230066345663385
18,8.1455,3.4324,2.1911,0.0253,11.8545,16.1,0.6144,0.076,8.7187,0.0008
