,feature_20,feature_22,feature_54,feature_57,feature_59,feature_60,feature_65,feature_100,feature_112,feature_118,feature_130,feature_133,feature_144,feature_165,feature_169,feature_183,feature_198,feature_202,feature_206,feature_217,feature_250,feature_456,feature_472,feature_565,feature_577,feature_584,feature_588
0,12.3686,-4750.75,4.645,0.9202,4.4784,0.6991000000000014,19.3009,0.03909999999999998,231.7206289123293,59.2662,0.0,2.3766,0.0042,0.128,0.075,12.72,19.8,10.46,9.22,0.07600000000000001,0.0,4.9135,7.9976,7.960000000000001,37.4436,0.011,0.0194
1,12.4959,-5410.75,4.553,0.9304,4.5275,-1.4173000000000007,21.4173,-0.028800000000000003,231.80328411549337,58.7063,0.2837999999999999,2.3805,0.0059,0.104,0.146,18.03,26.42,16.77,7.31,0.0844,0.0,2.9724,29.454499999999996,6.49,1.6936,0.0199,0.0276
2,12.5553,-6456.75,4.586,0.9247,4.5068,10.235500000000002,9.7645,-0.07909999999999999,232.27731690260615,55.85039999999999,-0.2837999999999999,2.3244,0.0029,0.078,0.11799999999999998,11.17,27.08,5.18,8.8,0.0925,0.0,4.964,6.2661,4.980000000000001,1.7503000000000002,0.0114,0.0287
3,12.4469,-5775.0,4.599,0.9354,4.6726,9.851800000000003,30.1482,-0.0242,231.12240223339086,58.2831,0.04729999999999975,2.3725,0.0044,0.147,0.221,10.99,18.64,6.250000000000001,7.77,0.0794,0.0,4.4921,8.7939,6.476386365452705,1.9582000000000002,0.0101,0.0141
4,12.4618,-6900.5,4.617,0.929,4.5141,1.0335999999999996,18.9664,-0.007400000000000001,232.4260534014435,58.026199999999996,0.4258000000000001,2.3401,0.0042,0.083,0.11,10.689999999999998,19.72,4.47,11.06,0.05800000000000002,0.0,4.5447,10.1304,6.466139579872797,1.1929,0.0147,0.0114
5,12.5492,-5546.0,4.627,0.9228,4.5537,3.680900000000001,16.3191,0.0484,231.37133245529446,60.95069999999999,1.6550000000000002,2.2797,0.0043,0.124,0.213,18.1,23.41,11.05,6.260000000000001,0.0368,0.0,2.1367,6.3337,4.980000000000001,1.4715,0.0153,0.0251
6,12.4124,-5408.75,4.555,0.9319,4.6326,2.8109,17.1891,0.03160000000000002,231.1908,58.90760000000001,0.0,2.2864,0.0055,0.077,0.099,9.299999999999999,22.23,4.52,8.8,0.0884,0.0,3.601,6.6721,4.980000000000001,2.188,0.023299999999999998,0.0059
7,12.500400000000003,-5095.0,4.604,0.9347,4.535,1.5036000000000016,18.4964,-0.027899999999999998,231.57803507868547,58.282,2.4579999999999997,2.3080999999999996,0.004,0.02,0.062,5.59,11.8,4.11,5.24,0.079,0.0,3.4454999999999996,7.263,4.980000000000001,1.5366,0.0142,0.014800000000000002
8,12.5404,-5447.75,4.486,0.9139,4.5873,23.8245,16.1755,0.12180000000000003,231.82975651325918,58.4808,-0.1891999999999997,2.2592,0.0038,0.117,0.12300000000000001,13.310000000000002,19.75,5.09,13.3,0.0349,0.0,3.1182,8.3977,1.1000000000000003,2.0952,0.0157,0.0424395211613185
9,12.5582,-4958.0,4.513,0.9295,4.5377,1.5744999999999982,18.4255,0.023299999999999994,233.7235,59.9764,-0.14189999999999994,2.2877,0.0067,0.209,0.109,14.26,22.7,15.550000000000002,5.099999999999999,0.08117773188381655,0.0,3.9776999999999996,23.3477,4.980000000000001,1.0187,0.0138,0.0275
10,12.5967,-5345.25,4.621,0.9327,4.554,2.9282000000000004,17.0718,-0.0177,229.0942,55.9011,0.5203999999999996,2.212,0.004,0.104,0.175,5.22,17.71,6.86,6.99,0.0331,0.0,3.0706999999999995,5.1407,5.229999999999999,1.4546,0.0154,0.01
11,12.499799999999999,-5192.5,4.588,0.9261,4.5454,5.499100000000001,14.500899999999998,-0.03719999999999999,231.64750973238992,56.4388,-0.5677000000000001,2.2773,0.0033,0.148,0.15,11.96,22.32,4.16,7.319999999999999,0.0897,0.0,5.1317,9.6231,6.070000000000002,1.3158,0.0169,0.0226
12,12.5373,-6623.75,4.63,0.9191,4.5777,-2.5026999999999995,22.5027,-0.1256,233.8565,56.3776,0.0,2.2959,0.004,0.051,0.086,14.59,28.79,13.229999999999999,9.69,0.0903,0.0,2.2905999999999995,3.4598,2.86,1.2026,0.0117,0.0121
13,12.4849,-5416.0,4.6,0.9314,4.4982,0.3399999999999987,19.66,0.07159999999999998,231.74780126231798,59.0911,-0.9461000000000002,2.3322999999999996,0.0031,0.073,0.172,20.53,15.88,11.69,10.32,0.0959,0.0,2.8617,27.5409,8.489999999999998,1.7688,0.0151,0.0277
14,12.5914,-5187.25,4.601,0.9185,4.539,4.169100000000004,15.8309,0.005599999999999992,234.1616,59.6793,-0.4258000000000001,2.2673999999999994,0.0028,0.095,0.135,15.26,25.800000000000004,12.77,10.11,0.11329999999999998,0.0,2.3849999999999993,5.2885,4.1499999999999995,1.717,0.0139,0.0121
15,12.5488,-5153.75,4.612,0.9337,4.678,-3.7399999999999984,23.74,-0.04000000000000001,231.85735756082818,56.778400000000005,-3.4960000000000004,2.2564,0.0046,0.041,0.156,4.4,19.24,5.54,4.12,0.06980000000000001,0.0,3.6842999999999995,6.9861,7.4700000000000015,56.173747931284815,0.0095,0.0127
16,12.129800000000001,-5334.75,4.646,0.9272,4.5863,4.095622257378939,19.77682086591495,0.0,231.8164,59.0958,0.0,2.2784,0.0037,0.075,0.10100000000000002,4.58,19.81277206033305,7.72229571926565,8.231843285798632,0.06410000000000002,0.0,3.8579,9.075636447751608,7.18,2.5217,0.0125,0.0135
17,12.6278,-5410.5,4.623,0.9331,4.5634,1.9482000000000002,35.591120445653786,0.012100000000000008,232.07262296434126,57.4901,0.0,2.3735000000000004,0.0042,0.083,0.114,12.89,22.61,13.33,13.530000000000001,0.1108,0.0,4.685,13.464300000000003,1.7000000000000002,1.6322,0.0161,0.0355
18,12.4716,-5233.75,4.575,0.9329,4.5217,8.145499999999997,11.8545,-0.05770000000000001,229.8595,53.6104,-0.7568999999999998,2.1911,0.0031,0.109,0.198,20.15,21.94,17.68,4.949999999999999,0.0956,0.0,4.1721,27.6999,4.980000000000001,1.4926,0.0154,0.0159
19,12.4049,-3726.665583970241,4.618,0.935,4.6915,4.955500000000002,15.044500000000001,-0.031599999999999996,231.31240171715828,58.7458,-0.14189999999999994,2.3499,0.0053,0.8754127888874621,0.074,7.77,20.32,3.7299999999999995,14.739999999999998,0.0998,0.0,2.9258,5.9329,8.18,1.441,0.0135,0.0227
20,12.6278,-6363.0,4.592,0.9348,4.6276,9.188200000000002,30.811800000000005,-0.0456,231.6060254902391,59.8003,-0.3784000000000001,2.2928,0.0062,0.075,0.085,13.310000000000002,19.26,7.67,9.02,0.0776,0.0,4.6522,6.4999,6.479726776624612,1.9471000000000003,0.030499999999999996,0.0142
21,12.58,-6257.5,4.577,0.9295,4.5017,2.285500000000001,17.7145,-0.17527454046826255,233.31598356321783,59.5427,1.0399999999999998,2.3146,0.0044,0.063,0.088,22.0,21.780000000000005,16.51,14.909999999999998,0.0896,0.0,2.701,32.8988,4.980000000000001,1.5023,0.0179,0.0189
22,12.4849,-5607.25,4.6,0.9314,4.4982,0.6190999999999997,19.3809,-0.0911,230.86126490382463,58.4837,-0.9461000000000002,2.3386,0.0031,0.11,0.10400000000000001,20.77,15.31,12.84,11.179999999999998,0.05480000000000001,0.0,2.655,28.7871,7.949999999999999,1.7688,0.0134,0.0335
23,12.4124,-5720.25,4.569,0.9304,4.6512,-3.750900000000001,23.7509,0.027899999999999998,231.62230420556364,59.341899999999995,-3.449,2.272,0.0031,0.135,0.1,14.26,16.77,8.27,4.949999999999999,0.09149999999999998,0.0,4.3437,13.125800000000002,4.980000000000001,1.518,0.0123,0.02
24,12.512,-5122.5,4.584,0.9314,4.6356,4.9117999999999995,15.0882,-0.002799999999999996,233.3418,57.186899999999994,0.7096,2.2802,0.0033,0.17,0.11799999999999998,4.37,17.4,6.37,7.04,0.07020000000000001,0.0,3.7061,6.4761,4.980000000000001,1.3573,0.0129,0.0113
25,12.4761,-5434.0,4.668,0.9267,4.4913,0.12000000000000104,19.88,-0.03719999999999999,231.80071181322018,58.69080000000001,-0.4258000000000001,2.3121999999999994,0.0053,0.011,0.139,8.5,19.95,5.9,8.33,0.10870000000000002,0.0,2.7682,5.985,3.7500000000000004,1.5279,0.0137,0.006
26,12.475300000000002,-6349.75,4.615,0.9278,4.759,1.8172999999999997,18.1827,0.106,232.13419615165304,59.4203,0.23650000000000015,2.2728,0.0029,0.055999999999999994,0.05,9.14,19.59,7.69,5.14,0.141,0.0,4.4504,6.0497,10.77,1.9746999999999997,0.014500000000000002,0.0159
27,12.7051,-5419.75,4.583,0.9308,4.5585,2.7926999999999995,17.2073,0.08280000000000001,230.9354,58.3601,-0.8042000000000002,2.2474,0.0042,0.078,0.127,10.399999999999999,15.199999999999998,3.87,6.009999999999999,0.04830000000000001,0.0,3.9386,7.631099999999999,5.1899999999999995,1.5615,0.015,0.021
28,12.4608,-6154.0,4.59,0.9324,4.682,2.1109000000000018,17.8891,0.05770000000000001,232.46009843069845,58.82299999999999,-0.4730999999999999,2.3216,0.0049,0.04,0.11600000000000002,10.81,17.53,3.43,13.41,0.0998,0.0,2.1894,10.4319,6.493906539057507,1.1958,0.0143,0.015100000000000004
29,12.58,-5341.25,4.596,0.931,4.5121,-4.4109,24.4109,-0.03349999999999999,230.123,59.4322,-2.553,2.4241,0.003,0.153,0.073,8.19,18.31,8.15,5.5,0.06820000000000001,0.0,2.9883,5.0668,4.980000000000001,2.0333,0.0111,0.0181
30,12.5698,-5474.25,4.607,0.934,4.6613,8.913599999999999,31.0864,-0.03719999999999999,231.56727338830854,59.0911,-0.3310999999999997,2.3684,0.0063,0.114,0.12,11.499999999999998,23.81,12.58,10.22,0.06820000000000001,0.0,3.0191,4.4555,10.17,1.1157,0.009399999999999999,0.014500000000000002
31,12.5218,-6305.25,4.637,0.934,4.5775,-2.0763999999999996,22.0764,-0.060500000000000005,231.82447170756254,59.0644,-1.655,2.2937,0.0067,0.096,0.088,6.73,19.31,7.160000000000001,9.35,0.0715,0.0,3.7537,5.6045,6.362042635434662,1.5624,0.022,0.0102
32,12.5488,-5639.75,4.601,0.9348,4.6766,0.5518000000000012,19.4482,0.042800000000000005,232.06061504301982,55.44,0.04729999999999975,2.2757,0.0033,0.102,0.1,7.8,16.75,9.01,8.84,0.0964,0.0,3.7263,7.761599999999999,4.980000000000001,2.0496,0.0099,0.0139
33,12.4059,-5977.25,4.588,0.9314,4.4911,-0.9363999999999992,20.9364,-0.0893,230.0787,58.2257,-2.222,2.2658,0.0062,0.131,0.147,6.41,16.9,6.969999999999999,4.38,0.0906,0.0,3.2273,6.5045,12.869999999999997,1.2645,0.0152,0.0093
