,feature_60,feature_478,feature_133,feature_349,feature_65,feature_435,feature_124,feature_461,feature_283,feature_442,feature_34,feature_332,feature_22,feature_185
0,0.6991000000000014,6.0266,2.3766,0.0237,19.3009,9.9805,15.83,14.7554,0.0058,0.9639,8.6915,0.0791,-4750.75,0.09979999999999999
1,-1.4173000000000007,4.8218,2.3805,0.0272,21.4173,12.5349,15.750000000000002,12.157,0.0045,0.8427,8.3006,0.1071,-5410.75,0.0643
2,10.235500000000002,6.1589,2.3244,0.0163,9.7645,12.8413,15.69,21.1169,0.0064,0.9192999999999999,8.7418,0.0852,-6456.75,0.1502
3,9.851800000000003,5.0612,2.3725,0.03,30.1482,10.5202,15.81,41.77479999999999,0.0088,0.7158,8.6829,0.0985,-5775.0,0.1681
4,1.0335999999999996,7.4828,2.3401,0.0243,18.9664,11.1054,15.94,23.1457,0.0035,1.1255,8.5891,0.0817,-6900.5,0.1415
5,3.680900000000001,4.1813,2.2797,0.0205,16.3191,4.3896,15.86,37.3638,0.0025,0.4782,9.0744,0.0318,-5546.0,0.11879999999999999
6,2.8109,5.9339,2.2864,0.0245,17.1891,11.5102,15.79,31.3174,0.0083,0.656,8.9132,0.0752,-5408.75,0.10809999999999999
7,1.5036000000000016,3.5466,2.3080999999999996,0.0174,18.4964,14.6852,15.69,23.5649,0.006,0.9319999999999999,8.3383,0.0863,-5095.0,0.0508
8,23.8245,9.1221,2.2592,0.0105,16.1755,14.2503,15.94,32.3594,0.0075,1.2771,8.659,0.0243,-5447.75,0.1959
9,1.5744999999999982,3.3971,2.2877,0.02019336364577015,18.4255,8.041,15.91,15.479600000000001,0.0044,0.5317,8.7512,0.0975,-4958.0,0.0824
10,2.9282000000000004,4.735299999999999,2.212,0.0339,17.0718,18.972,15.980000000000002,13.0192,0.0045,0.565,9.534,0.0824,-5345.25,0.1443
11,5.499100000000001,5.2686,2.2773,0.0172,14.500899999999998,19.7531,15.97,27.4194,0.0072,0.9361,8.5288,0.0807,-5192.5,0.0919
12,-2.5026999999999995,6.8676,2.2959,0.0198,22.5027,5.9121999999999995,15.73,33.2053,0.0083,0.9174999999999999,8.1605,0.0368,-6623.75,0.169
13,0.3399999999999987,7.0359,2.3322999999999996,0.0116,19.66,8.9372,15.980000000000002,30.548200000000005,0.0032,0.7316,8.8043,0.0929,-5416.0,0.09379999999999998
14,4.169100000000004,6.8146,2.2673999999999994,0.0225,15.8309,10.0583,15.84,24.0618,0.0026,0.8531999999999998,8.7556,0.0311,-5187.25,0.1579
15,-3.7399999999999984,2.7876,2.2564,0.0236,23.74,9.6358,15.81,55.391,0.0054,0.7032,8.5571,0.0892,-5153.75,0.2708
16,4.1158859045706695,8.487257117730033,2.2784,0.0148,19.830392345830614,8.919,15.89,44.9213,0.0033,0.7139,9.131,0.0909,-5334.75,0.1624
17,1.9482000000000002,9.1675,2.3735000000000004,0.0381,35.591120445653786,14.1928,15.8,20.7031,0.0088,0.8222,8.5687,0.094,-5410.5,0.1237
18,8.145499999999997,3.4324,2.1911,0.0253,11.8545,5.9052,16.1,25.4407,0.002,0.6144,8.7187,0.1011,-5233.75,0.23240000000000002
19,4.955500000000002,9.9444,2.3499,0.0184,15.044500000000001,125.4346826501873,15.61,14.8453,0.0094,0.9383,8.441,0.0622,-3726.665583970241,0.114
20,9.188200000000002,5.9269,2.2928,0.014000000000000002,30.811800000000005,13.8036,15.91,26.161,0.0089,0.5593,9.5642,0.0968,-6363.0,0.10669999999999999
21,2.285500000000001,10.1458,2.3146,0.0162,17.7145,2.7861,15.7,16.8406,0.0067,0.5836,8.6706,0.0954,-6257.5,0.1115
22,0.6190999999999997,7.5571,2.3386,0.0229,19.3809,9.2987,15.81,28.8304,0.0036,0.78,8.7867,0.0929,-5607.25,0.1393
23,-3.750900000000001,3.369,2.272,0.0209,23.7509,13.1301,15.750000000000002,21.7993,0.0052,0.6373,8.8581,0.1043,-5720.25,0.1628
24,4.9117999999999995,4.8707,2.2802,0.0154,15.0882,8.2562,15.8,36.519,0.003,0.7655,8.8624,0.085,-5122.5,0.2082
25,0.12000000000000104,5.816999999999999,2.3121999999999994,0.0241,19.88,9.9237,15.87,31.398700000000005,0.0075,0.9964999999999999,8.6397,0.0883,-5434.0,0.10970000000000002
26,1.8172999999999997,3.4949,2.2728,0.0445,18.1827,13.2642,15.99,68.2629253813614,0.0085,0.7928,9.5713,0.0848,-6349.75,0.2222
27,2.7926999999999995,3.9522,2.2474,0.0245,17.2073,10.9953,15.92,19.1756,0.0036,0.7233,8.2345,0.0911,-5419.75,0.11199999999999999
28,2.1109000000000018,8.8016,2.3216,0.0177,17.8891,8.6069,15.89,23.6929,0.0084,0.6667,9.1502,0.0778,-6154.0,0.1016
29,-4.4109,3.706,2.4241,0.0199,24.4109,16.4288,15.880000000000003,32.6596,0.0027,0.6641,8.6544,0.0842,-5341.25,0.1032
30,8.913599999999999,7.1799,2.3684,0.0373,31.0864,4.7491,15.77,53.5488,0.0064,0.7584,10.6376,0.0224,-5474.25,0.1266
31,-2.0763999999999996,6.11,2.2937,0.027800000000000002,22.0764,14.5455,15.980000000000002,33.3826,0.0021,1.1255,8.5891,0.0652,-6305.25,0.11039999999999998
32,0.5518000000000012,6.0246,2.2757,0.027299999999999998,19.4482,4.7256,15.86,56.31799999999999,0.0056,1.0541,8.287,0.0875,-5639.75,0.2832
33,-0.9363999999999992,2.9235,2.2658,0.017,20.9364,14.3617,15.77,22.4105,0.0045,0.442,8.5851,0.0839,-5977.25,0.06230000000000001
34,5.2064,4.0558,2.3817,0.0207,14.7936,12.1562,15.850000000000001,18.8183,0.0075,0.9237999999999998,8.572,0.0871,-5466.75,0.10879999999999998
35,1.2836000000000007,12.675699999999999,2.2771,0.0319,18.7164,11.6714,16.01,14.2191,0.0065,0.6987,9.7836,0.0775,-6279.0,0.11460000000000001
36,1.002699999999999,7.1443,2.2864,0.0221,18.9973,2.5787,15.79,28.1081,0.0073,0.656,8.9132,0.0812,-5477.0,0.0764
37,-2.6564,2.3646,2.2434,0.025600000000000005,22.6564,19.2454,15.78,18.1961,0.005,0.7534,9.0447,0.0824,-5371.5,0.0704
38,-0.06359999999999875,10.070500000000001,2.2569,0.0253,20.0636,4.3531,15.84,46.5021,0.0043,0.8858999999999999,8.9191,0.0699,-5176.25,0.24940000000000004
39,3.905500000000002,6.1617,2.3712,0.0164,35.591120445653786,5.645,15.750000000000002,29.5865,0.007,0.6901,9.2405,0.0224,-5641.25,0.11579999999999999
40,2.0318,4.3582,2.3187,0.0227,17.9682,5.1253,15.8,20.8576,0.0025,0.5317,8.7512,0.1065,-5193.25,0.0974
41,17.3873,5.7627999999999995,2.2887,0.0461,22.6127,6.7048,15.99,30.4356,0.0063,1.0644,8.9336,0.0247,-5369.0,0.1515
42,-0.1544999999999999,4.319,2.4151,0.0241,20.1545,6.4060999999999995,15.84,28.4535,0.0029,0.6815,8.8909,0.0381,-5770.75,0.23260000000000003
43,-0.3309,3.2036,2.2616,0.0169,20.3309,13.1777,15.86,45.2399,0.0055,0.7053,8.7635,0.0699,-5658.25,0.1224
44,-5.718200000000002,6.748,2.3672,0.0144,25.7182,7.9905,15.87,33.5223,0.0064,0.5632,9.1855,0.0969,-5282.75,0.129
45,3.650000000000001,6.0536,2.3375,0.024699999999999996,16.35,6.3029,15.99,30.7839,0.0025,0.8716,9.0121,0.0833,-5936.0,0.1308
46,25.5127,5.1949,2.3756,0.0151,14.4873,7.6278999999999995,15.72,53.855,0.0093,0.7613,9.094,0.0778,-5657.75,0.1467
47,-5.647299999999999,6.4204,2.3099000000000003,0.025199999999999997,25.6473,16.1069,15.84,45.946,0.0031,1.1525,8.536,0.0254,-5226.5,0.1279
48,1.8609000000000004,2.582,2.2825999999999995,0.0197,18.1391,20.1799,15.79,14.495,0.0022,0.9136,8.8097,0.0832,-5603.75,0.114
49,-4.492699999999999,4.5795,2.4241,0.0141,24.4927,10.4381,15.880000000000003,22.1105,0.0059,0.684,8.58,0.0381,-5508.5,0.2293
50,17.4,5.1848,2.3275,0.025600000000000005,22.6,14.361,15.8,31.099,0.0091,0.9251,8.8287,0.0964,-6112.25,0.1396
51,1.607300000000001,4.6249,2.3257,0.0232,18.3927,2.4696,16.01,25.3724,0.0051,0.7663,8.7219,0.0623,-5422.0,0.1221
52,0.8873000000000013,3.9097,2.3132,0.0521,19.1127,13.239,15.91,47.8395,0.0075,0.9251,8.4092,0.1003,-6280.75,0.2526
