,feature_66,feature_349,feature_332,feature_442,feature_133,feature_478,feature_461,feature_283,feature_34,feature_124,feature_299,feature_342,feature_65,feature_22,feature_60,feature_164,feature_435,feature_206,feature_185
0,23.2216,0.0237,0.0791,0.9639,2.3766,6.0266,14.7554,0.0058,8.6915,15.83,0.0595,2.6547,19.3009,-4750.75,0.6991000000000014,0.128,9.9805,9.22,0.09979999999999999
1,27.2716,0.0272,0.1071,0.8427,2.3805,4.8218,12.157,0.0045,8.3006,15.750000000000002,0.0662,2.0989,21.4173,-5410.75,-1.4173000000000007,0.157,12.5349,7.31,0.0643
2,14.7061,0.0163,0.0852,0.9192999999999999,2.3244,6.1589,21.1169,0.0064,8.7418,15.69,0.0519,2.5012,9.7645,-6456.75,10.235500000000002,0.127,12.8413,8.8,0.1502
3,36.0791,0.03,0.0985,0.7158,2.3725,5.0612,41.77479999999999,0.0088,8.6829,15.81,0.0635,2.4329,30.1482,-5775.0,9.851800000000003,0.135,10.5202,7.77,0.1681
4,24.3057,0.0243,0.0817,1.1255,2.3401,7.4828,23.1457,0.0035,8.5891,15.94,0.0505,3.2653,18.9664,-6900.5,1.0335999999999996,0.108,11.1054,11.06,0.1415
5,19.1189,0.0205,0.0318,0.4782,2.2797,4.1813,37.3638,0.0025,9.0744,15.86,0.0242,2.2442,16.3191,-5546.0,3.680900000000001,0.056,4.3896,6.260000000000001,0.11879999999999999
6,22.2064,0.0245,0.0752,0.656,2.2864,5.9339,31.3174,0.0083,8.9132,15.79,0.0655,2.5551,17.1891,-5408.75,2.8109,0.149,11.5102,8.8,0.10809999999999999
7,25.309900000000003,0.0174,0.0863,0.9319999999999999,2.3080999999999996,3.5466,23.5649,0.006,8.3383,15.69,0.0867,2.0186,18.4964,-5095.0,1.5036000000000016,0.193,14.6852,5.24,0.0508
8,24.2829,0.0105,0.0243,1.2771,2.2592,9.1221,32.3594,0.0075,8.659,15.94,0.08,3.7663000000000006,16.1755,-5447.75,23.8245,0.187,14.2503,13.3,0.1959
9,21.0974,0.02004,0.0975,0.5317,2.2877,3.3971,15.479600000000001,0.0044,8.7512,15.91,0.0449,1.6033,18.4255,-4958.0,1.5744999999999982,0.102,8.041,5.099999999999999,0.0824
10,23.905,0.0339,0.0824,0.565,2.212,4.735299999999999,13.0192,0.0045,9.534,15.980000000000002,0.1099,2.4674,17.0718,-5345.25,2.9282000000000004,0.251,18.972,6.99,0.1443
11,17.5983,0.0172,0.0807,0.9361,2.2773,5.2686,27.4194,0.0072,8.5288,15.97,0.1141,2.3933,14.500899999999998,-5192.5,5.499100000000001,0.24800000000000003,19.7531,7.319999999999999,0.0919
12,32.7483,0.0198,0.0368,0.9174999999999999,2.2959,6.8676,33.2053,0.0083,8.1605,15.73,0.026599999999999995,3.1731,22.5027,-6623.75,-2.5026999999999995,0.064,5.9121999999999995,9.69,0.169
13,22.3647,0.0116,0.0929,0.7316,2.3322999999999996,7.0359,30.548200000000005,0.0032,8.8043,15.980000000000002,0.0486,3.2261,19.66,-5416.0,0.3399999999999987,0.115,8.9372,10.32,0.09379999999999998
14,22.3694,0.0225,0.0311,0.8531999999999998,2.2673999999999994,6.8146,24.0618,0.0026,8.7556,15.84,0.0607,3.0013,15.8309,-5187.25,4.169100000000004,0.138,10.0583,10.11,0.1579
