,feature_1,feature_20,feature_22,feature_34,feature_60,feature_112,feature_122,feature_130,feature_131,feature_206,feature_248,feature_383,feature_427
0,3079.77,12.3686,-4750.75,8.6915,0.6990999999999998,231.71531147745057,15.76,0.0,0.8203,9.22,0.015199999999999998,0.000883722494256542,1.3155000000000001
1,3001.36,12.4959,-5410.75,8.3006,-1.4173000000000016,231.76151159460164,15.76,0.2837999999999999,0.8291000000000001,7.309999999999999,0.05777302694125363,0.000552303203475546,0.6593
2,3042.78,12.5553,-6456.75,8.7418,10.235499999999998,232.24452674319417,15.649999999999999,-0.2837999999999999,0.5438,8.8,0.0345,0.0009229541450469936,1.5402999999999998
3,3018.64,12.4469,-5775.0,8.6829,9.8518,231.05120753256114,15.73,0.04729999999999975,0.8048,7.769999999999999,0.21496076152331178,0.001395684589010078,1.6422
4,3020.29,12.4618,-6900.5,8.5891,1.0336000000000005,232.3853236122609,15.9,0.4258000000000001,0.7611,11.06,0.05379103624236191,0.0007839082435313962,0.8006
5,2964.69,12.5492,-5546.0,9.0744,3.6808999999999976,231.35145695590293,15.820000000000002,1.6550000000000002,0.8137,6.26,0.051286079165108675,9.388232996131e-05,0.7004
6,2940.74,12.4124,-5408.75,8.9132,2.8108999999999997,231.1908,15.76,0.0,0.8253000000000001,8.8,0.05667614298192931,0.0006999999999999999,1.4412
7,3043.08,12.5004,-5095.0,8.3383,1.5036,231.60905845670604,15.649999999999999,2.4579999999999997,0.8345999999999999,5.24,0.05757202457157277,0.0006706220750257486,1.419
8,2932.61,12.5404,-5447.75,8.659,23.8245,231.79169758261855,15.9,-0.1891999999999997,0.8194000000000001,13.3,0.1729,0.0010486995684747397,1.8268000000000002
9,3031.78,12.5582,-4958.0,8.7512,1.5745000000000011,233.7235,15.92,-0.14189999999999994,0.8712,5.1,0.0529163694850572,0.0006,0.9783
10,3028.08,12.5967,-5345.25,9.534,2.9282000000000017,229.0942,15.95,0.5203999999999996,0.6778,6.99,0.057723705778018865,0.0005,1.3358
11,3003.82,12.4998,-5192.5,8.5288,5.499099999999999,231.57380574250098,15.94,-0.5677000000000001,0.6786,7.32,0.0217,0.0007876264865929199,1.5564
12,2990.57,12.5373,-6623.75,8.1605,-2.5027000000000013,233.8565,15.7,0.0,0.7048,9.69,0.053450727993681314,0.0004,1.5814
13,2986.5,12.4849,-5416.0,8.8043,0.33999999999999897,231.73710292850464,15.960000000000003,-0.9461000000000002,0.7527,10.32,0.015299999999999998,0.0008889164777239973,0.7478999999999999
14,3219.75,12.5914,-5187.25,8.7556,4.169099999999999,234.1616,15.820000000000002,-0.4258000000000001,0.6888,10.11,0.051622370250690365,0.0005,0.6601
15,2913.4,12.5488,-5153.75,8.5571,-3.7399999999999998,231.78606035140896,15.75,-3.4960000000000004,0.5638,4.12,0.05482687121407875,0.0008366572642785184,0.8463
16,3018.8,12.276893646641154,-5334.75,9.131,4.083429072180119,231.8164,15.8,0.0,0.7865,8.251285121319128,0.031064772564281508,0.0015,0.5788
17,2942.41,12.6278,-5410.5,8.5687,1.9481999999999997,232.07693818520076,15.77,0.0,0.8217,13.53,0.0167,0.0015065416060862022,2.02
18,2848.46,12.4716,-5233.75,8.7187,8.1455,229.8595,16.02,-0.7568999999999998,0.7403,4.95,0.05637540704807061,0.0007999999999999998,0.6477
19,3010.26,12.4049,-4173.970024424177,8.441,4.9555,231.3053081623292,15.59,-0.14189999999999994,0.6847,14.74,0.0354,0.0007916638721852873,2.0504
20,3033.29,12.6278,-6363.0,9.5642,9.188200000000002,231.5828519247851,15.83,-0.3784000000000001,0.7463,9.02,0.0202,0.001521929888779602,1.5739
21,2941.23,12.58,-6257.5,8.6706,2.2855,233.3344034134674,15.649999999999999,1.0399999999999998,0.657,14.91,0.05696443800711426,0.0013514097496342328,1.5151000000000001
22,3043.22,12.4849,-5607.25,8.7867,0.6190999999999991,230.909872989132,15.74,-0.9461000000000002,0.6893,11.18,0.0444,0.0010553273276800949,0.737
23,3021.61,12.4124,-5720.25,8.8581,-3.7509000000000015,231.62208413455295,15.73,-3.449,0.5042,4.95,0.05214393916542167,0.0009855463249217843,1.2606
24,3048.76,12.512,-5122.5,8.8624,4.911799999999998,233.3418,15.75,0.7096,0.8543,7.04,0.0196,0.0018587623920710747,0.5418
25,3011.9442369339763,12.4761,-5434.0,8.6397,0.12000000000000109,231.815313644914,15.87,-0.4258000000000001,0.7784999999999999,8.33,0.05565616535502048,0.00017615406867595683,1.7251
26,2943.9,12.4753,-6349.749999999999,9.5713,1.8172999999999997,232.06530379815328,15.92,0.23650000000000015,0.7287,5.14,0.0205,0.0008864337723756555,2.2004
27,2965.41,12.7051,-5419.75,8.2345,2.7927000000000004,230.9354,15.87,-0.8042000000000002,0.7003,6.01,0.024071971733150472,0.0004,0.8378
28,3030.27,12.4608,-6153.999999999999,9.1502,2.1109000000000004,232.45482772870122,15.83,-0.4730999999999999,0.7589,13.41,0.0654766433482075,0.00042315631996243594,1.9544
29,3035.89,12.58,-5341.25,8.6544,-4.410900000000001,230.123,15.84,-2.553,0.8013999999999999,5.5,0.04925124036342301,0.0006,0.6131
30,2943.58,12.5698,-5474.25,10.053779064762416,8.9136,231.55398937914086,15.74,-0.3310999999999997,0.7681,10.22,0.1677,0.0010053206059392628,1.3431
31,3006.39,12.5218,-6305.25,8.5891,-2.076400000000001,231.79315751489835,15.930000000000001,-1.655,0.7591,9.35,0.0162,0.00010456983390434889,0.47930000000000006
32,3007.75,12.5488,-5639.75,8.287,0.5517999999999996,232.07556350481929,15.77,0.04729999999999975,0.6423,8.84,0.0225,0.001008792700896422,0.9287
33,2936.51,12.4059,-5977.250000000001,8.5851,-0.9364000000000001,230.0787,15.790000000000001,-2.222,0.7822,4.38,0.03896874592388551,0.00030000000000000003,0.9269
34,3021.83,12.4349,-5466.75,8.572,5.206399999999999,231.1416,15.9,0.0,0.8536,5.7,0.018,0.0011999999999999997,1.2482999999999997
35,3033.29,12.4998,-6279.0,9.7836,1.2835999999999994,231.98248039869713,15.95,-0.5203999999999996,0.7232,17.847436217406994,0.0293,0.0006925692268541801,1.0257
36,3230.1250333219655,12.56,-5477.0,8.9132,1.0027,230.6949,15.76,0.0,0.8253000000000001,10.4,0.044176318752531744,0.0011999999999999997,0.5418
37,2951.06,12.5967,-5371.5,9.0447,-2.656399999999999,229.6407,15.74,-0.5203999999999996,0.7154,3.49,0.0478384487192195,9.999999999999998e-05,1.1716
38,2994.06,12.2981,-5176.25,8.9191,-0.06360000000000071,231.2142,15.83,-2.93,0.8145,15.35,0.053814004527416415,0.0004,0.8527
39,2955.3,12.4247,-5641.25,9.2405,3.9054999999999995,231.3767887363905,15.7,0.7568999999999998,0.7860000000000001,8.66,0.0182,0.0008652578431016696,1.4389
40,2996.65,12.649,-5193.25,8.7512,2.031799999999999,229.5449,15.74,0.6622999999999996,0.8781,6.369999999999999,0.05006291500981344,0.0018587623920710747,0.5403
41,2988.99,12.4231,-5369.0,8.9336,17.387300000000003,231.3700184703476,15.98,-0.04729999999999975,0.6287,8.26,0.0332,0.000622274824891555,1.2655000000000003
42,3054.52,12.6122,-5770.75,8.8909,-0.15450000000000055,230.3738,15.820000000000002,0.04729999999999975,0.8343,6.329999999999999,0.0219,0.0005,0.5996
43,3221.21,12.551,-5658.25,8.7635,-0.33089999999999925,231.2351,15.8,-1.797,0.5662,4.78,0.04749981439654481,0.0004,1.3047
44,2977.43,12.4616,-5282.75,9.1855,-5.7182,231.29604356042202,15.87,-0.23650000000000015,0.8116999999999999,9.82,0.028120002215887577,0.0014389792753909322,1.5308
45,3017.87,12.5018,-5936.0,9.0121,3.650000000000002,232.4508644722148,15.97,0.0,0.7987,9.02,0.019,0.0007305932740059289,0.6632
46,3015.7878180224925,12.5088,-5657.75,9.094,25.512700000000002,231.6050170610615,15.7,-0.14189999999999994,0.6925,7.74,0.0641,0.0008996729644376033,2.1082
47,3230.1250333219655,12.4661,-5226.5,8.536,-5.6472999999999995,230.7230189434293,15.790000000000001,0.23650000000000015,0.6755,9.04,0.0455,0.00011615918584382925,0.6269
48,3182.87,12.6122,-5603.75,8.8097,1.8609000000000016,230.7053,15.78,1.4190000000000003,0.821,3.85,0.0219,0.0006,0.5892
49,3037.2,12.498,-5508.5,8.58,-4.492700000000001,231.7058,15.84,-2.553,0.8013999999999999,6.78,0.0162,0.0008999999999999999,1.5990999999999997
50,3024.15,12.6202,-6112.25,8.8287,17.4,232.88730083210314,15.75,-0.14189999999999994,0.7085,7.2299999999999995,0.059300000000000005,0.001182759262143212,1.6608000000000003
51,3004.71,12.4706,-5422.0,8.7219,1.607300000000001,231.97853867558555,16.0,-0.0946000000000002,0.7975,7.03,0.1811,0.0008594681659078347,1.7426
52,2894.04,12.4616,-6280.75,8.4092,0.8873000000000001,232.41675178250154,15.820000000000002,0.8042000000000002,0.6518,5.71,0.05692303248991976,0.0009701826172635162,0.6011
53,2997.45,12.6012,-5425.5,9.6515,-2.7135999999999996,231.6601,15.87,-1.277,0.7223,9.09,0.056928208119205244,0.00030000000000000003,0.6632
54,2950.0,12.4743,-4173.970024424177,9.1784,5.338199999999999,231.49085931237934,15.72,-0.04729999999999975,0.7304,9.26,0.0507,0.0013513121208796868,1.2224
55,2997.15,12.4841,-6310.25,8.5987,1.6372999999999993,232.62891383405508,15.74,-0.04729999999999975,0.6887,8.83,0.0154,0.0010140829566268553,0.5648
56,3058.6,12.4618,-5490.25,9.754,2.969099999999999,231.72744303312646,15.92,-0.0946000000000002,0.7436,5.07,0.0203,0.0007313964334105822,0.6418
57,2940.26,12.4743,-5273.0,8.5855,-1.0991000000000006,231.75862600990462,15.619999999999997,0.14189999999999994,0.7697,8.97,0.051,0.001019078982644134,0.5445
