,feature_1,feature_20,feature_22,feature_34,feature_60,feature_91,feature_92,feature_103,feature_104,feature_112,feature_116,feature_122,feature_130,feature_131,feature_154,feature_206,feature_248,feature_288,feature_317,feature_320,feature_337,feature_406,feature_461,feature_519,feature_588
0,3079.7700000000004,12.368599999999999,-4750.75,8.6915,0.6991000000000004,9131.0599,-0.1835,0.08110000000000002,-0.0095,231.49919834222956,785.5426,15.76,0.0,0.8202999999999999,0.0127,9.22,0.0152,0.09099999999999998,6.9408,11.051800000000002,10.0329,0.0288,14.755400000000002,1.9398510766092636,0.0194
1,3001.36,12.4959,-5410.75,8.3006,-1.4172999999999996,8795.69,0.016700000000000027,-0.0346,-0.0163,231.9447149853444,672.3211,15.76,0.2837999999999999,0.8291,0.0065,7.31,0.02355940202346606,0.0899,5.4323,7.0269,10.093901351493992,0.0361,12.157,1.0318850569092173,0.0276
2,3042.78,12.5553,-6456.75,8.7418,10.235500000000002,8615.15,-0.03160000000000001,-0.056299999999999996,-0.0108,231.91192747748215,751.7695,15.65,-0.2837999999999999,0.5438,0.014800000000000002,8.8,0.0345,0.0722,5.0133,10.8718,11.0695,0.0149,21.1169,1.2304026426155585,0.0287
3,3018.64,12.4469,-5775.0,8.6829,9.851800000000003,8363.73,0.010499999999999982,-0.0459,-0.0037999999999999996,233.29958494099338,705.2765,15.729999999999999,0.04729999999999975,0.8048,0.0159,7.77,0.028079170009024667,0.1869,5.823899999999999,9.476,8.0615,0.027599999999999996,41.7748,1.5237859537605505,0.014100000000000001
4,3020.29,12.4618,-6900.5,8.5891,1.0335999999999996,8510.42,-0.028700000000000014,0.011199999999999984,-0.0119,231.39955287367633,719.8049,15.9,0.4258000000000001,0.7611000000000001,0.007799999999999999,11.06,0.028898535878782182,0.1188,6.5621,10.0446,10.0529,0.0118,23.145699999999998,1.2428025353261067,0.0114
5,2964.69,12.549199999999999,-5546.0,9.0744,3.6808999999999985,8365.7701,0.03519999999999999,-0.005399999999999993,-0.0115,230.78263825442335,711.4945,15.82,1.6550000000000002,0.8136999999999999,0.006899999999999999,6.26,0.02018115232139961,0.239,7.285000000000001,3.8933000000000004,7.910100000000001,0.0461,37.3638,1.407321271770772,0.0251
6,2940.74,12.412399999999998,-5408.750000000001,8.9132,2.810900000000001,9047.8399,-0.023099999999999992,-0.012199999999999994,-0.0093,231.1908,777.1425,15.76,0.0,0.8253,0.014,8.8,0.029733667811817313,0.1101,6.1564,7.225899999999999,9.565,0.0182,31.317399999999996,1.4150000000000003,0.0059
7,3043.08,12.5004,-5095.0,8.3383,1.5036000000000012,8493.8199,-0.1509,0.06930000000000001,-0.0136,232.4005377897023,741.9427,15.65,2.4579999999999997,0.8346,0.013699999999999999,5.24,0.021673769984932822,0.163,5.4847,8.1627,7.560699999999999,0.0441,23.564899999999998,1.6312093703788684,0.014800000000000002
8,2932.61,12.5404,-5447.75,8.659,1.70895832009679,9317.1698,0.0553,0.013399999999999985,-0.0026,230.74894534263808,718.5777,15.9,-0.1891999999999997,0.8194000000000001,0.0177,13.3,0.03407898114920117,0.1479,5.7247,6.1797,8.9855,0.019000000000000003,32.3594,1.5883624990681946,0.01794113980947179
9,3031.78,12.5582,-4958.0,8.7512,1.5744999999999996,8883.684159247627,-0.038300000000000015,0.03649999999999999,-0.0102,233.7235,826.7217,15.92,-0.14189999999999994,0.8712,0.0095,5.1,0.028679116399996638,0.0616,6.3127,8.6833,11.8301,0.038,15.4796,1.7885999999999997,0.0275
10,3028.08,12.5967,-5345.25,9.534,2.9282000000000004,8078.23,0.019299999999999987,-0.03740000000000001,-0.0086,229.0942,681.0371,15.95,0.5203999999999996,0.6778,0.013,6.990000000000001,0.027389354040455973,0.2194,5.4921,7.2602,8.5805,0.0114,13.0192,2.3005,0.01
11,3003.82,12.4998,-5192.5,8.5288,5.499099999999999,8564.1802,-0.030100000000000005,-0.016599999999999993,-0.0105,230.5009122377573,729.4385,15.94,-0.5677000000000001,0.6786,0.014999999999999998,7.32,0.0217,0.1281,6.5321,11.3343,11.094,0.0117,27.419400000000003,1.5177015891227077,0.0226
12,2990.57,12.537300000000002,-6623.75,8.1605,-2.5027000000000004,8808.85,-0.1331,0.009900000000000003,-0.0094,233.8565,801.3997,15.699999999999998,0.0,0.7048,0.0153,9.69,0.03443951894989638,0.1273,8.5495,4.2805,10.1164,0.0208,33.2053,2.1356,0.0121
13,2986.5,12.4849,-5416.0,8.8043,0.3400000000000008,8303.47,-0.02720000000000001,-0.0323,-0.013,230.83504366777356,722.202,15.96,-0.9461000000000002,0.7527,0.0073,10.32,0.0153,0.10749999999999998,5.2238,6.6974,11.13,0.0098,30.5482,1.541693511374305,0.0277
14,3035.3638693304647,12.5914,-5187.25,8.7556,4.1691,8508.81,0.04250000000000002,-0.0867,-0.0121,234.1616,725.1428,15.82,-0.4258000000000001,0.6888,0.0065,10.11,0.022206590031326585,0.0812,8.6883,4.6509,10.0258,0.0226,24.0618,1.5545,0.0121
15,2913.4,12.5488,-5153.750000000001,8.5571,-3.7400000000000007,9303.0001,0.03299999999999998,-0.04000000000000001,-0.0098,231.84290776481265,762.0218,15.750000000000002,-3.4960000000000004,0.5638,0.0082,4.12,0.02669461296151342,0.1219,6.265300000000001,8.643,10.0281,0.0251,55.391,1.3437749365997649,0.012700000000000001
16,3018.8,12.452200868960992,-5334.749999999999,9.131,5.313476684708239,9207.0201,0.0,0.0,-0.0108,231.8164,735.5572,15.8,0.0,0.7865,0.005699999999999999,9.43141397649067,0.029242644386666756,0.0711,5.5089,8.7444,8.182867468012722,0.0084,44.9213,1.4338,0.013500000000000002
17,2942.41,12.6278,-5410.500000000001,8.5687,1.9482000000000017,8738.47,0.01599999999999999,0.005199999999999995,-0.0072,231.14725079496753,749.6408,15.77,0.0,0.8217,0.0194,13.53,0.0167,0.2159,5.8213,9.9818,10.2062,0.028399999999999998,20.7031,1.6032405443954867,0.0355
18,2848.46,12.4716,-5233.75,8.7187,8.1455,9280.83,0.06359999999999999,-0.026499999999999996,-0.0114,229.8595,798.0013,16.02,-0.7568999999999998,0.7403,0.006299999999999999,4.95,0.02909226351684451,0.0834,5.7746,8.8329,12.8157,0.0104,25.4407,1.1195,0.0159
19,3010.26,12.4049,-6093.069712659458,8.441,4.955500000000001,8531.5401,-0.08229999999999998,0.03700000000000001,-0.0097,231.72870160780337,691.3175,15.59,-0.14189999999999994,0.6847,0.0196,14.740000000000002,0.0354,0.0903,5.779799999999999,6.368999999999999,8.8046,0.0323,14.845299999999998,1.7504119032688514,0.0227
20,3033.29,12.6278,-6363.0,9.5642,9.1882,8981.2399,0.015599999999999994,-0.008400000000000005,-0.0086,232.24589418818633,809.4099,15.83,-0.3784000000000001,0.7463000000000001,0.0153,9.02,0.0202,0.15357970188870537,6.9848,10.0419,8.4756,0.0265,26.160999999999998,1.522292737700119,0.014200000000000003
21,2941.23,12.58,-6257.5,8.6706,2.2855000000000008,8586.1801,-0.1071,0.04781647116346736,-0.006199999999999999,231.38892539321066,730.9317,15.65,1.0399999999999998,0.657,0.0146,14.91,0.02039201058392058,0.1179,6.678,6.6024,9.942488612975419,0.0367,16.8406,1.4649464401939432,0.0189
22,3043.22,12.4849,-5607.25,8.7867,0.6190999999999997,8881.1499,0.09989999999999999,-0.04419999999999999,-0.008,230.8668484505463,742.3405,15.740000000000002,-0.9461000000000002,0.6893,0.007199999999999999,11.18,0.0444,0.2329,6.4131,6.2683,11.5569,0.0163,28.830399999999997,1.5645779336044314,0.0335
23,3021.61,12.412399999999998,-5720.25,8.8581,-3.750900000000001,8562.79,0.10239999999999999,0.024399999999999988,-0.0086,230.42253196034727,710.5846,15.729999999999999,-3.449,0.6746496704607282,0.0123,4.95,0.021562009939399766,0.2818,6.1863,9.5407,9.9534,0.0206,21.7993,1.4765456690824308,0.02
24,3048.76,12.512000000000002,-5122.5,8.8624,4.9117999999999995,9060.0199,0.011799999999999988,0.028600000000000007,-0.0114,233.3418,782.5507,15.750000000000002,0.7096,0.8542999999999998,0.0053,7.039999999999999,0.0196,0.0752,5.1057,8.1451,9.5915,0.0131,36.519,1.6072,0.0113
25,3011.39709988304,12.476099999999999,-5434.0,8.6397,0.11999999999999952,9233.7999,-0.1293,0.0776,-0.0092,230.7568415186789,804.2368,15.87,-0.4258000000000001,0.7784999999999999,0.0167,8.33,0.029843460620410395,0.1078,6.7289,7.1292,9.1303,0.0108,31.398700000000005,1.1883701614877682,0.006
26,2943.9,12.475300000000002,-6349.75,9.5713,1.8172999999999986,8639.07,0.025700000000000004,-0.0785,-0.016,232.54212997910233,763.2943,15.92,0.23650000000000015,0.7286999999999999,0.0211,5.14,0.0205,0.10320000000000001,6.004199999999999,9.9673,8.5625,0.0106,47.7900260681786,1.4828292856061895,0.0159
27,2965.41,12.503931316931,-5419.75,8.2345,2.7926999999999995,8742.249899999999,0.004999999999999999,0.0195,-0.0091,230.9354,815.9082,15.87,-0.8042000000000002,0.7003,0.0082,6.01,0.026471871202372255,0.14369999999999997,5.3451,8.8706,8.674,0.007600000000000001,19.1756,0.889,0.021
