,feature_66,feature_349,feature_248,feature_442,feature_478,feature_133,feature_383,feature_563,feature_60,feature_164,feature_124
0,23.2216,0.0237,0.0152,0.9639,6.0266,2.3766,0.0003482061074265713,267.07,0.6991,0.128,15.83
1,27.2716,0.0272,0.052994325196854715,0.8427,4.8218,2.3805,0.0009259237066805981,250.084,-1.4173,0.157,15.75
2,14.7061,0.0163,0.0345,0.9193,6.1589,2.3244,0.0008325060620698148,264.272,10.2355,0.127,15.69
3,36.0791,0.03,0.055912977862836846,0.7158,5.0612,2.3725,0.0020282585081652857,262.3846162409049,9.8518,0.135,15.81
4,24.3057,0.0243,0.052035876483588386,1.1255,7.4828,2.3401,0.0008879177569652216,261.6473064761434,1.0336,0.108,15.94
5,19.1189,0.0205,0.04919970802357518,0.4782,4.1813,2.2797,-7.863457581008468e-05,264.272,3.6809,0.056,15.86
6,22.2064,0.0245,0.05106601203031489,0.656,5.9339,2.2864,0.0007,264.272,2.8109,0.149,15.79
7,25.3099,0.0174,0.04981987128403506,0.932,3.5466,2.3081,0.0005313831813675285,264.272,1.5036,0.193,15.69
8,24.2829,0.0105,0.1729,1.2771,9.1221,2.2592,0.0007489211752887623,267.064,23.8245,0.187,15.94
9,21.0974,0.021428223594178092,0.04943901042753886,0.5317,3.3971,2.2877,0.0006,264.272,1.5745,0.102,15.91
10,23.905,0.0339,0.0493723824164715,0.565,4.7353,2.212,0.0005,272.796,2.9282,0.251,15.98
11,17.5983,0.0172,0.0217,0.9361,5.2686,2.2773,0.0009511204713361053,265.306,5.4991,0.248,15.97
12,32.7483,0.0198,0.0534516476926288,0.9175,6.8676,2.2959,0.0004,270.44,-2.5027,0.064,15.73
13,22.3647,0.0116,0.0153,0.7316,7.0359,2.3323,0.0012846350272075896,251.616,0.34,0.115,15.98
14,22.3694,0.0225,0.044684431147163216,0.8532,6.8146,2.2674,0.0005,256.842,4.1691,0.138,15.84
15,29.1429,0.0236,0.05066415388894193,0.7032,2.7876,2.2564,0.0007323308039014105,258.924,-3.74,0.125,15.81
16,26.835832370706804,0.0148,0.036593525802320365,0.7139,5.630103687038305,2.2784,0.0015,249.918,6.122243321694292,0.112,15.89
17,45.3921,0.0381,0.0167,0.8222,9.1675,2.3735,0.001984493703483709,261.168,1.9482,0.18,15.8
18,15.0471,0.0253,0.05183416678038932,0.6144,3.4324,2.1911,0.0008,264.272,8.1455,0.076,16.1
19,22.1659,0.0184,0.0354,0.9383,9.9444,2.3499,0.0012788530328098242,269.366,4.9555,0.18674785250203196,15.61
20,37.258,0.014,0.0202,0.5593,5.9269,2.2928,0.0016828840318811808,262.788425279375,9.1882,0.136,15.91
21,21.7095,0.0162,0.05013267309998335,0.5836,10.1458,2.3146,0.0015085506920662385,264.272,2.2855,0.035,15.7
22,23.1287,0.0229,0.0444,0.78,7.5571,2.3386,0.0013594459484292214,251.03,0.6191,0.118,15.81
23,30.7593,0.0209,0.04727225075724586,0.6373,3.369,2.272,0.0008667316707295231,264.272,-3.7509,0.168,15.75
24,19.2834,0.0154,0.0196,0.7655,4.8707,2.2802,0.0021,264.272,4.9118,0.107,15.8
25,27.2876,0.0241,0.05097010108716301,0.9965,5.817,2.3122,0.00039175052562911983,263.02,0.12,0.13,15.87
26,24.3905,0.0445,0.0205,0.7928,3.4949,2.2728,0.0008652900180093452,265.908,1.8173,0.128,15.99
27,21.2465,0.0245,0.028744767257728274,0.7233,3.9522,2.2474,0.0004,253.314,2.7927,0.145,15.92
28,26.2754,0.0177,0.06067660819453458,0.6667,8.8016,2.3216,-0.00010965379100421127,261.80034973250685,2.1109,0.078,15.89
29,29.809,0.0199,0.042438108040017436,0.6641,3.706,2.4241,0.0006,264.272,-4.4109,0.213,15.88
30,41.2374,0.0373,0.1677,0.7584,7.1799,2.3684,0.0012497377968208635,260.674,8.9136,0.062,15.77
31,30.4914,0.0278,0.0162,1.1255,6.11,2.2937,0.00028143422534797,261.73917405070296,-2.0764,0.142,15.98
32,22.9635,0.0273,0.0225,1.0541,6.0246,2.2757,0.0010395669036408726,264.272,0.5518,0.062,15.86
