,feature_66,feature_427,feature_300,feature_332,feature_442,feature_133,feature_3,feature_60
0,23.2216,1.3154999999999997,0.0574,0.0791,0.9639,2.3766,2207.0444,0.6991000000000002
1,27.2716,0.6593,0.0477,0.1071,0.8427,2.3805,2155.3111,-1.4173000000000007
2,14.7061,1.5403,0.0335,0.0852,0.9192999999999999,2.3244,2173.4556,10.235500000000004
3,36.0791,1.6422,0.0728,0.09850000000000002,0.7158,2.3725,2224.0,9.851799999999999
4,24.305700000000005,0.8006,0.0374,0.0817,1.1255,2.3401,2217.8111,1.0336000000000014
5,19.118899999999996,0.7004,0.0569,0.0318,0.4782,2.2797,2212.3,3.680899999999999
6,22.2064,1.4412000000000003,0.0337,0.0752,0.656,2.2864,2200.2,2.810900000000001
7,25.309900000000003,1.4190000000000003,0.0085,0.0863,0.9319999999999999,2.3080999999999996,2209.8,1.5035999999999998
8,24.2829,1.8268,0.0583,0.0243,1.2771,2.2592,2186.4111,23.8245
9,21.0974,0.9783,0.0961,0.0975,0.5317,2.2877,2182.5555,1.5745000000000011
10,23.905,1.3357999999999999,0.0428,0.0824,0.565,2.212,2173.2778,2.928200000000001
11,17.5983,1.5564,0.0703,0.0807,0.9361,2.2773,2163.5889,5.499100000000002
12,32.7483,1.5814,0.0216,0.0368,0.9174999999999999,2.2959,2162.5556,-2.5027000000000004
13,22.3647,0.7479000000000001,0.0308,0.0929,0.7316,2.3322999999999996,2236.0667,0.3400000000000013
14,22.3694,0.6601,0.0444,0.0311,0.8531999999999998,2.2673999999999994,2239.4111,4.169099999999998
15,29.142900000000004,0.8463,0.0171,0.0892,0.7032,2.2564,2227.2444,-3.74
16,24.0273,0.5788,0.0341,0.0909,0.7139,2.2784,2195.6667,2.7292600000000005
17,45.3921,2.02,0.042,0.094,0.8222,2.3735000000000004,2207.0444,1.9482000000000004
18,15.0471,0.6477,0.0531,0.1011,0.6144,2.1911,2164.3666,8.1455
19,22.165900000000004,2.0504,0.24250819530221143,0.0622,0.9383,2.3499,2170.0666,4.955499999999997
20,37.258,1.5739000000000003,0.030700000000000005,0.0968,0.5593,2.2928,2244.1111,9.188200000000002
21,21.7095,1.5151,0.0281,0.0954,0.5836,2.3146,2160.6,2.285499999999999
