,feature_66,feature_349,feature_332,feature_478,feature_489,feature_34,feature_563,feature_125,feature_60,feature_164,feature_442
0,23.2216,0.0237,0.0791,6.0266,472.0497,8.6915,267.07,15.82,0.6991,0.128,0.9639
1,27.2716,0.0272,0.1071,4.8218,430.0637,8.3006,250.084,15.73,-1.4173,0.157,0.8427
2,14.7061,0.0163,0.0852,6.1589,389.4737,8.7418,264.272,15.69,10.2355,0.127,0.9193
3,36.0791,0.03,0.0985,5.0612,498.5871,8.6829,262.5466836803145,15.77,9.8518,0.135,0.7158
4,24.3057,0.0243,0.0817,7.4828,213.8249,8.5891,261.6638404818651,15.95,1.0336,0.108,1.1255
5,19.1189,0.0205,0.0318,4.1813,59.1402,9.0744,264.272,15.75,3.6809,0.056,0.4782
6,22.2064,0.0245,0.0752,5.9339,367.1859,8.9132,264.272,15.7,2.8109,0.149,0.656
7,25.3099,0.0174,0.0863,3.5466,309.8039,8.3383,264.272,15.61,1.5036,0.193,0.932
8,24.2829,0.0105,0.0243,9.1221,191.7582,8.659,267.064,15.95,23.8245,0.187,1.2771
9,21.0974,0.024811874777235426,0.0975,3.3971,352.0189478068098,8.7512,264.272,15.87,1.5745,0.102,0.5317
10,23.905,0.0339,0.0824,4.7353,39.4165,9.534,272.796,16.01,2.9282,0.251,0.565
11,17.5983,0.0172,0.0807,5.2686,710.495,8.5288,265.306,15.99,5.4991,0.248,0.9361
12,32.7483,0.0198,0.0368,6.8676,718.0915,8.1605,270.44,15.71,-2.5027,0.064,0.9175
13,22.3647,0.0116,0.0929,7.0359,670.6294,8.8043,251.616,15.95,0.34,0.115,0.7316
14,22.3694,0.0225,0.0311,6.8146,675.4098,8.7556,256.842,15.79,4.1691,0.138,0.8532
15,29.1429,0.0236,0.0892,2.7876,204.5421,8.5571,258.924,15.71,-3.74,0.125,0.7032
16,26.06175466193478,0.0148,0.0909,5.5771158343181515,97.1212,9.131,249.918,15.84,3.957242065528405,0.112,0.7139
17,35.96385568800737,0.0381,0.094,9.1675,482.2633,8.5687,261.168,15.73,1.9482,0.18,0.8222
18,15.0471,0.0253,0.1011,3.4324,897.6526,8.7187,264.272,16.07,8.1455,0.076,0.6144
19,22.1659,0.0184,0.0622,9.9444,710.3203,8.441,269.366,15.54,4.9555,0.1120212548671027,0.9383
20,37.258,0.014,0.0968,5.9269,848.0874,9.5642,262.6144336734248,15.92,9.1882,0.136,0.5593
21,21.7095,0.0162,0.0954,10.1458,420.6573,8.6706,264.272,15.66,2.2855,0.035,0.5836
22,23.1287,0.0229,0.0929,7.5571,212.4031,8.7867,251.03,15.79,0.6191,0.118,0.78
23,30.7593,0.0209,0.1043,3.369,450.7389,8.8581,264.272,15.71,-3.7509,0.168,0.6373
24,19.2834,0.0154,0.085,4.8707,450.7223,8.8624,264.272,15.73,4.9118,0.107,0.7655
25,27.2876,0.0241,0.0883,5.817,351.4956,8.6397,263.02,15.84,0.12,0.13,0.9965
26,24.3905,0.0445,0.0848,3.4949,0.0,9.5713,265.908,15.99,1.8173,0.128,0.7928
