,feature_1,feature_2,feature_3,feature_4,feature_5,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_15,feature_16,feature_17,feature_18,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_29,feature_30,feature_33,feature_34,feature_35,feature_36,feature_38,feature_39,feature_40,feature_41,feature_42,feature_44,feature_45,feature_46,feature_48,feature_49,feature_54,feature_56,feature_58,feature_59,feature_60,feature_62,feature_64,feature_65,feature_68,feature_69,feature_72,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_100,feature_101,feature_103,feature_104,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_127,feature_129,feature_130,feature_132,feature_133,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_143,feature_144,feature_145,feature_146,feature_147,feature_149,feature_151,feature_152,feature_153,feature_156,feature_157,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_171,feature_172,feature_173,feature_174,feature_176,feature_177,feature_178,feature_181,feature_182,feature_183,feature_184,feature_185,feature_186,feature_189,feature_196,feature_197,feature_198,feature_199,feature_200,feature_201,feature_205,feature_206,feature_209,feature_211,feature_212,feature_213,feature_214,feature_215,feature_216,feature_217,feature_218,feature_219,feature_220,feature_222,feature_224,feature_225,feature_226,feature_228,feature_229,feature_239,feature_240,feature_245,feature_246,feature_247,feature_248,feature_249,feature_253,feature_254,feature_256,feature_268,feature_269,feature_270,feature_346,feature_347,feature_368,feature_369,feature_419,feature_420,feature_424,feature_433,feature_434,feature_461,feature_469,feature_483,feature_484,feature_485,feature_486,feature_487,feature_488,feature_489,feature_490,feature_500,feature_501,feature_511,feature_512,feature_543,feature_544,feature_545,feature_547,feature_548,feature_549,feature_551,feature_552,feature_559,feature_560,feature_563,feature_564,feature_565,feature_566,feature_571,feature_572,feature_573,feature_574,feature_579,feature_580,feature_581,feature_582,feature_583,feature_584
0,3079.77,2354.51,2207.0444,1269.6078,1.7571,97.0189,0.1221,1.4607,0.0155,0.0093,0.9577,198.5381,6.8827,408.2091,9.859,0.9663,12.3686,1.425,-4750.75,2713.25,-3669.6667,499.25,1.2825,66.4,3.0556,85.5573,8.6915,50.465,64.1145,66.1976,86.8147,118.8908,79.48,2.213,364.9891,9.8111,140.7127,0.8532,135.5491,4.645,2854.0,0.945,4.4784,0.6991,10.366,5.9553,19.3009,1.3103,152.9882,90.6173,475.1447343722871,0.0,-0.0095,-0.0297,-0.0138,-0.1113,0.0113,0.0106,-0.0161,-0.0439,7.2406,0.1333,2.3793,0.9888,1777.7633,0.161,9131.0599,-0.1835,-0.0018,0.0012,0.0002,0.0,0.0391,0.0005,0.0811,-0.0095,0.0566,-0.0137,0.9777418963349176,101.10454227293697,231.71525275861254,0.4611,0.9305,0.0,0.9916,59.2662,0.6067,0.9793,6.3654,15.76,2.932,2.813,3.358,0.0,0.9956,2.3766,39.8168,134.0,95.7,70.8,54.5,449.78,0.1339,8.71,0.0042,0.0898,0.0732,0.0346,6.7977,5.627,14.104,0.2848,0.36,0.0788,1454.0,323.0,641.0,652.0,0.128,0.128,0.31,2.0,0.6,0.075,0.8247,0.106,0.3306,0.6741,0.7185,0.3475,0.169,16.29,0.727,12.72,36.715,0.0998,10.94,18.26,0.24,10.46,19.8,0.345,9.71,14.68,0.2448,9.22,102.938,0.0772,0.11206796220408494,0.0504,0.0575,0.0741,0.0434,0.076,0.0568,4.07,0.003,0.0771,181.1365,0.0284,1446.9004,0.0357,0.0149,0.0081,0.0039,0.0017479465539272125,1.5479104627436104,3.695597756331159,0.0152,0.05497464759932351,3.763,0.0351,0.5801,0.0828,7.022,2.5755,11.968320134577143,8.265886293284922,0.0073,0.002,471.4976,370.301,81.7554,17.4675,130.5959,14.7554,0.0,814.7757,503.1171,365.2174,51.6506,654.6659,407.5117,472.0497,129.385,0.0,0.0,84.9279,742.8571,0.1096,0.0078,0.0026,0.9362287173235999,403.52179618620477,75.58217793452317,16.79381656072214,1.2174920408482097,1.1360659828338175,0.7051,267.07,0.8015,7.96,0.1718,521.629875828411,2.6271,16.506257335357077,0.6456,0.0282,0.0194,0.0059,68.7444,0.5001,0.011
1,3001.36,2491.23,2155.3111,918.2161,1.2753,105.0478,0.1227,1.4206,-0.0052,0.001,0.9649,203.8512,12.7017,420.3021,10.671,0.9808,12.4959,1.4068,-5410.75,2909.5,-3768.5,-906.75,1.2525,75.8111,1.9778,83.6264,8.3006,50.3196,64.2059,65.9546,86.6896,119.8088,81.55,3.147,348.5055,10.2142,139.5655,0.9922,140.9136,4.553,2866.0,0.9556,4.5275,-1.4173,10.538,9.699,21.4173,1.0728,151.6045,109.5533,466.36408501977496,0.0,-0.0028,-0.0412,-0.0326,-0.0281,0.0233,0.0146,-0.0196,0.0175,6.5941,0.1335,2.4398,0.9881,1820.2068,0.1974,8795.69,0.0167,-0.0005,-0.0002,0.0001,0.0,-0.0288,-0.0003,-0.0346,-0.0163,0.0567,0.0399,0.9808139512249849,101.3348300200611,231.7614463596427,0.46476803797597355,0.9405,0.0,0.991,58.7063,0.5931,0.9649,6.4203,15.76,3.703,2.99,3.359,0.2838,1.0,2.3805,36.6141,140.0,74.7,50.1,68.8,325.699,0.1527,4.9,0.0059,0.1077,0.0586,0.0642,9.697,9.135,6.746,0.308,0.26,0.0526,1367.0,967.0,209.0,2405.0,0.157,0.104,0.113,2.3,1.9,0.146,0.7047,0.1135,0.3051,0.5407,0.8264,0.2602,0.315,20.54,0.434,18.03,21.754,0.0643,7.05,16.231,0.326,16.77,26.42,0.344,29.8064680408702,15.61,0.1402,7.31,114.391,0.0909,0.0714,0.0268,0.0582,0.0734,0.0706,0.0844,0.0667,3.0658,0.0022,0.0306,91.2612,0.0414,625.9004,0.0155,0.0248,0.0041,0.0074,0.001948141552292353,1.501138952044664,3.632470628137363,0.057773817305990786,0.0089,1.76,0.0307,0.4782,0.102,17.824,4.7882,6.6213125546994185,4.4947019369505865,0.0034,0.0061,0.0,0.0,71.9194,5.546,265.233,12.157,0.0,0.0,173.5115,82.1456,207.1174,314.7682,484.3911,430.0637,382.235,0.0,0.0,25.2308,0.0,0.1107,0.0065,0.002,0.6073,398.1,80.404,18.27,1.48,0.9515,0.1931,250.084,0.6708,6.49,0.1023,532.5973,2.3271,9.02,0.1828,0.0169941955424584,0.027241327690341502,0.007171524436070831,160.2735643970837,0.4943,0.0199
2,3042.78,2377.89,2173.4556,1433.6732,1.0304,110.5422,0.1245,1.4964,0.0204,0.0133,0.9486,197.4142,6.4832,407.2145,9.8446,0.959,12.5553,1.4098,-6456.75,2909.75,-3360.0,1270.0,0.989,71.3111,2.5889,84.8892,8.7418,50.2052,63.9238,66.3572,86.5759,118.7802,78.11,2.508,354.8109,10.1611,135.52,1.4023,146.8264,4.586,2859.0,0.9512,4.5068,10.2355,10.1472,13.0423,9.7645,0.9617,142.8836,109.2538,465.7885,0.0,0.0049,0.029,-0.0053,-0.066,-0.0217,0.0614,-0.0238,-0.003,7.6467,0.126,2.4373,0.9903,1817.5571,0.1664,8615.15,-0.0316,0.0003,0.0024,0.0,0.0,-0.0791,-0.0001,-0.0563,-0.0108,-0.0215,0.0041,0.9786221081909418,101.35700468120048,232.24450728153644,0.4637,0.9318,0.0,0.9664,55.8504,0.6035,0.9712,6.51,15.65,4.375,2.918,3.276,-0.2838,0.9972,2.3244,38.4572,136.0,125.6,127.3,52.5,143.6,0.1972,4.15,0.0029,0.0792,0.067,0.0463,2.5575,3.763,18.322,0.2132,0.2,0.0596,186.0,636.0,1177.0,76.0,0.127,0.078,0.096,2.4,0.9,0.118,0.7804,0.0723,0.2949,0.5351,0.6215,0.2064,0.939,15.43,0.199,11.17,36.459,0.1502,4.52,41.986,0.277,5.18,27.08,0.91,7.88,18.36,0.1411,8.8,59.736,0.0672,0.0608,0.0277,0.0597,0.0585,0.0352,0.0925,0.0368,3.9314,0.0007,0.0384,117.4829,0.0496,386.2998,0.0129,0.0106,0.005,0.0034,0.0020664505888779586,1.5180588019012577,3.638669269473536,0.0345,0.0057,3.242,0.0448,0.2937,0.0461,39.127,3.8147,5.6968,2.6399,0.0026,0.0019,328.1298,347.3043,58.0425,35.0298,5.9843,21.1169,50.6084,0.0,209.4746,525.1185,90.4545,269.6629,57.3057,389.4737,0.0,0.0,445.1444,46.2963,320.0,0.1096,0.0078,0.0026,1.9093,407.79,80.418,19.79,2.4743209377582325,0.963,0.1474,264.272,0.5671,4.98,0.0877,535.3327,2.0886,9.37,0.3066,0.020668952060664103,0.02742772668646895,0.0034064736521018865,137.73126192575205,0.4962,0.0114
3,3018.64,2401.8,2224.0,1510.0797,1.5611,99.83,0.1199,1.4428,-0.011,0.0101,0.9501,199.192,9.8316,414.4535,10.5954,0.969,12.4469,1.3883,-5775.0,3019.5,-4471.25,-7417.0,1.2833,70.0556,1.5778,87.4809,8.6829,51.149413213821056,65.02546648794095,66.5518,86.9236,121.39204311600899,16.53,4.97,350.4355,10.0521,129.1945,1.0627,139.8418,4.599,2811.0,0.9532,4.6726,9.8518,10.8864,20.3227,30.1482,0.9971,153.5209,112.0173,466.95851247593646,0.0,-0.011,-0.0476,-0.0497,-0.0595,0.0324,-0.0885,-0.0159,0.0423,7.2974,0.1325652263421957,2.3663,0.9866,1810.3829,0.2039,8363.73,0.0105,0.003,0.0045,0.0,0.0002,-0.0242,0.0003,-0.0459,-0.0038,-0.0312,-0.0826,0.9777933619934897,101.6832475001534,231.05110355828484,0.4527,0.9377,0.0,0.9905,58.2831,0.5951,0.9707,6.2091,15.73,2.88,2.749,3.252,0.0473,0.9946,2.3725,38.8714,126.0,210.1,96.2,55.6001,235.875,0.5065,4.21,0.0044,0.1397,0.0718,0.0652,6.3174,8.714,10.175,0.6531,0.49,0.0609,1048.0,1305.305901466542,1977.0,5726.0,0.135,0.147,0.306,2.9,1.2,0.221,0.6262,0.0562,0.2161,0.3712,0.7079,0.2786,0.565,20.21,0.589,10.99,32.134,0.1681,12.96,19.467,0.31,6.25,18.64,0.195,8.71,18.57,0.1385,7.77,66.548,0.1051,0.0581,0.0898,0.0808,0.0851,0.0951,0.0794,0.0946,4.029,0.003204749107278769,0.0729,100.6545,0.059,640.2002,0.0163,0.0147,0.0043,0.0064,0.0024806181250756495,1.5574601578758112,3.6195535536626,0.21496051300321922,0.038,2.5391,0.0254,0.4912,0.0845,14.706,1.6475,5.9794858172509855,3.4873476014863285,0.0035,0.0046,651.2472,645.1453,88.6322,44.2158,77.201,41.7748,63.4401,951.6695,121.9307,180.5933,135.7983,262.7557,107.488,498.5871,223.9053,543.3333,325.3112,114.2857,0.0,0.1096,0.0078,0.0026,0.9041,407.088,81.212,22.13,1.45,0.9347,0.1475,262.3770222755347,0.6413575552298965,6.429024608749144,0.14672213865793077,529.5727,2.3873,10.37,0.2887,0.0284,0.0141,0.0038,49.749,0.5047,0.0101
4,3020.29,2433.99,2217.8111,1744.7771,0.9618,100.1789,0.1218,1.495,-0.0097,-0.0054,0.9679,201.6603,9.8304,426.9548,9.4946,0.9728,12.4618,1.3852,-6900.5,3063.25,-2439.25,1562.25,0.9725,67.0222,2.4889,86.0936,8.5891,50.4484,64.1358,66.0981,86.7366,119.1796,78.4,2.915,355.0545,10.0575,135.0527,0.937,137.5482,4.617,2843.0,0.9484,4.5141,1.0336,10.4132,9.9475,18.9664,0.8924,147.8064,74.0842,466.12702974137545,0.0,0.0021,-0.0736,0.0215,-0.0272,0.0113,-0.096,-0.0271,0.0217,6.2585,0.1378,2.3783,0.9685,1823.8228,0.2051,8510.42,-0.0287,0.0004,-0.0048,-0.0001,0.0001,-0.0074,-0.0006,0.0112,-0.0119,-0.0389,0.0106,0.9785395376539165,101.32830122115823,232.38532091700586,0.46122152907765246,0.9374,0.0,0.9911,58.0262,0.5912,0.9675,6.2503,15.9,3.383,2.776,3.392,0.4258,0.9971,2.3401,37.1562,149.0,87.2,101.4,54.3999,225.1749,0.2358,4.3,0.0042,0.1214,0.0402,0.049,5.7687,6.943,9.399,0.3602,0.66,0.12806145904798225,1952.0,642.0,4126.0,128.0,0.108,0.083,0.079,3.1,0.9,0.11,0.969,0.0613,0.4582,0.6485,0.6511,0.1948,0.196,24.14,0.874,10.69,33.182,0.1415,12.6,27.709,0.271,4.47,19.72,0.367,11.76,17.25,0.1723,11.06,80.09,0.0858,0.0447,0.0976,0.0613,0.0828,0.0981,0.058,0.0661,7.289991778805601,0.0019,0.0389,58.3865,0.1565,652.9004,0.0136,0.013,0.0043,0.0042,0.002014674936833747,1.507445694981755,3.730023537512073,0.0537931872188036,0.026,2.0761,0.0186,0.4605,0.0362,19.256,3.8497,8.129303511571226,4.563340423451493,0.003,0.0045,414.1661,902.1864,70.6281,169.1504,8.1933,23.1457,432.4538,0.0,60.7131,453.4262,225.1607,735.5913,102.1609,213.8249,303.908,0.0,270.4811,36.2869,0.0,0.1096,0.0078,0.0026,1.4003,406.748,80.986,13.46,1.32,0.9772,0.0926,261.58017705131647,0.6733939170925032,6.408553713375381,0.1358823397854257,534.8336,2.1127,6.38,0.2772,0.016371814372289406,0.011824743575847695,0.003306314057007133,71.2197635118207,0.501,0.0147
5,2964.69,2474.97,2212.3,1807.5841,0.9816,92.37,0.1212,1.4424,-0.0242,0.005,0.9776,198.9222,7.7344,405.8248,9.7899,0.9789,12.5492,1.4118,-5546.0,2687.75,-4961.75,-68.5,1.2757,70.4,2.3778,84.9605,9.0744,50.8538,64.2376,66.2771,85.9594,119.4514,80.69,2.308,368.24,10.0701,127.6291,0.9885,135.5109,4.627,2877.0,0.954,4.5537,3.6809,10.7581,7.534,16.3191,1.4663,149.7127,158.4831,467.2697,0.0,-0.0247,-0.0357,-0.0398,-0.0013,-0.0179,0.012,-0.0622,0.0209,8.2082,0.1263,2.4004,0.9908,1799.0774,0.1939,8365.7701,0.0352,-0.0006,-0.0029,0.0001,0.0001,0.0484,0.0001,-0.0054,-0.0115,0.0763,0.0422,0.9816375512307536,101.37499248559091,231.3514490963416,0.45986706885199224,0.9704,0.0,0.989,60.9507,0.6029,0.9782,6.225,15.82,2.84,3.064,3.423,1.655,0.9974,2.2797,37.2572,126.0,186.6,176.4,55.8999,679.767,0.0893,8.77,0.0043,0.1105,0.0717,0.0502,12.4371,4.426,21.512,0.8524,0.8660842758435894,0.0566,309.0,403.0,7790.0,702.0,0.056,0.124,0.373,2.6,1.4,0.213,0.4063,0.1045,0.3678,0.7631,0.8259,0.4319,0.261,20.23,0.956,18.1,15.675,0.1188,6.5,23.772,0.114,11.05,23.41,0.408,7.05,7.33,0.1967,6.26,63.678,0.0656,0.0642,0.0447,0.065,0.0711,0.0959,0.0368,0.1581,3.489,0.003,0.0343,96.8884,0.0692,1710.1001,0.0161,0.0122,0.0038,0.0034,0.0012618089117047452,1.5156009786493145,3.6667472695705827,0.051284666315735535,0.0067,2.7488,0.0529,0.4711,0.1336,19.377,2.6311,2.687,3.9157,0.004,0.0026,295.7463,0.0,57.2251,157.0011,0.0,37.3638,300.1976,265.7215,179.5804,112.1706,0.0,397.3454,797.5052,59.1402,757.3653,0.0,421.5983,32.9718,523.0769,0.1117,0.0079,0.0024,0.8273,400.814,73.254,14.53,1.33,0.9478,0.0699,264.272,0.5671,4.98,0.0877,532.1073,1.8126,7.83,0.2619,0.03441891545384024,0.024215381289083737,0.0038969464840997656,72.42651933343016,0.5003,0.0153
6,2940.74,2596.71,2200.2,1121.1875,1.3171,103.8978,0.1191,1.3836,0.0135,0.0013,0.9518,203.4228,8.5389,408.2683,9.9299,0.9716,12.4124,1.3941,-5408.75,2785.0,-4599.75,105.0,1.2945,73.9778,2.4556,85.2917,8.9132,50.1638,63.7658,66.2465,86.81,118.562,80.33,2.544,346.8955,10.0685,133.0455,1.3074,141.4991,4.555,2842.0,0.9447,4.6326,2.8109,10.4126,10.9182,17.1891,0.8065,148.3,96.2319,467.34979386153833,0.0,-0.0135,-0.0426,-0.0355,0.0811,-0.0236,-0.0154,-0.0241,0.0243,7.4393,0.1301,2.3367,0.9918,1767.0592,0.1817,9047.8399,-0.0231,0.002,-0.0081,0.0001,0.0,0.0316,0.0005,-0.0122,-0.0093,-0.0593,-0.2424,0.9794,101.9446,231.1908,0.4600569130689211,0.9667,0.0,0.9911,58.9076,0.5946,0.9612,6.291,15.76,3.082,2.789,3.017,0.0,0.9979,2.2864,41.2989,106.0,209.4,177.0,67.6001,290.96,0.0897,6.32,0.0055,0.0517,0.0621,0.0523,8.7419,5.989,6.875,0.368,0.42,0.0322,1124.0,204.0,3133.0,1577.0,0.149,0.077,0.135,5.1,1.7,0.099,0.5595,0.1067,0.3052,0.3707,1.0444,0.1322,0.285,18.31,0.348,9.3,25.873,0.1081,4.39,59.035,0.305,4.52,22.23,0.307,7.73,18.11,0.1096,8.8,43.861,0.0919,0.0581,0.0378,0.0254,0.0806,0.0413,0.0884,0.0545,4.1593,0.0017,0.0341,62.8685,0.0341,1129.5996,0.0317,0.0307,0.0055,0.0053,0.0023,0.9888,3.2714,0.05667443901778161,0.0044,1.5501,0.0213,0.1975,0.0609,19.331,4.1716,5.390977260822318,3.450420585395541,0.0073,0.003,459.362,0.0,70.1378,68.1124,0.0,31.3174,160.8021,679.7966,136.385,106.5539,31.329,341.8876,268.1818,367.1859,224.2798,0.0,376.9762,58.9023,0.0,0.1169,0.0094,0.0027,0.9277,406.972,73.784,14.84,0.78,0.9652,0.3472,264.272,0.5671,4.98,0.0877,532.4564,1.9432,11.65,0.2467,0.018785770471586388,0.006022372310846902,0.0045685419421771165,33.41092374008097,0.5053,0.0233
7,3043.08,2484.43,2209.8,1175.5508,1.1464,112.1367,0.1227,1.4639,-0.0123,-0.0173,0.9596,202.3047,7.9638,403.9927,9.8134,0.9676,12.5004,1.3844,-5095.0,2412.0,-4196.75,-194.0,1.3143,69.4222,2.8444,86.1383,8.3383,50.4625,64.2525,65.965,86.9421,117.9702,78.38,3.409,348.5173,10.004,142.4118,1.2674,139.2991,4.604,2828.0,0.9481,4.535,1.5036,10.0745,8.7662,18.4964,0.8626,147.7473,99.3058,465.0222,0.0,-0.0129,-0.0411,-0.0433,0.0132,-0.0336,0.0048,-0.0255,0.0188,6.7122,0.1344,2.3585,0.9925,1792.188,0.1811,8493.8199,-0.1509,-0.0034,0.0027,-0.0001,0.0001,-0.0279,-0.0004,0.0693,-0.0136,0.0361,-0.0002,0.9823868639782645,101.48220419709114,231.60903923715895,0.46045062044341434,0.9412,0.0,0.9896,58.282,0.5873,0.9627,6.4109,15.65,3.217,2.982,3.326,2.458,0.9972,2.3081,43.5596,88.0,190.2,116.1,50.5999,485.115,0.1587,5.95,0.004,0.0945,0.0911,0.0681,6.7027,4.008,12.251,0.5468,0.46,0.1096,774.0,248.0,1991.0,1601.0,0.193,0.02,0.239,2.2,0.7,0.062,0.8028,0.1398,0.414,0.6022,0.796,0.2253,0.403,18.92,0.51,5.59,25.269,0.0508,7.37,49.88,0.256,4.11,11.8,0.413,9.0,12.15,0.1346,5.24,86.298,0.072,0.0629,0.0336,0.0419,0.0408,0.0677,0.079,0.0449,5.8556,0.006751364490569393,0.0779,113.0447,0.0651,1545.8994,0.0173,0.0111,0.007,0.0028,0.001907989629318406,1.5226231327178286,3.686227888167143,0.05757270558392564,0.0245,4.5255,0.0435,0.4348,0.1244,21.838,4.1132,5.383,1.5642,0.0021,0.0021,741.0269,393.0736,50.3276,47.4415,825.2577,23.5649,273.3374,556.5217,153.0414,77.5087,316.8242,121.4964,0.0,309.8039,238.5126,504.1894,405.4795,51.3291,746.6667,0.1143,0.0087,0.0025,0.8273,400.814,73.254,14.53,1.33,1.004,0.1579,264.272,0.5671,4.98,0.0877,532.3427,2.0841,8.18,0.2392,0.01847517913387209,0.015310691898992958,0.0045764408326598935,80.28565290938968,0.4944,0.0142
8,2932.61,2559.94,2186.4111,1698.0172,1.5102,95.4878,0.1241,1.4436,0.0041,0.0013,0.9615,202.0179,9.5157,416.7075,9.3144,0.9674,12.5404,1.4123,-5447.75,2701.75,-4047.0,-1916.5,1.3122,67.1333,2.3333,84.7569,8.659,50.153,64.1114,65.8389,85.59922336763199,118.6128,14.37,5.434,364.3782,9.8783,131.8027,1.2992,141.0845,4.49220024292895,2932.9657101223197,0.9447,4.5873,23.8245,10.1685,11.3019,16.1755,0.8694,145.8,84.7681,475.1447343722871,0.0,-0.0078,-0.0326,-0.0052,0.0213,-0.0054,-0.1134,-0.0182,0.0287,7.1041,0.1362,2.4532,0.988,1685.8514,0.1497,9317.1698,0.0553,0.0006,-0.0013,0.0,0.0002,0.1218,0.0006,0.0134,-0.0026,-0.0301,-0.0728,0.9811912468066998,101.14716470914743,231.79165553358635,0.4684,0.9231,0.0,0.9899,58.4808,0.6015,0.9772,6.4527,15.9,2.882,3.094,3.272,-0.1892,0.9978,2.2592,42.0579,89.0,126.4,96.5,45.1001,306.038,0.3263,8.33,0.0038,0.0754,0.0483,0.0619,8.266,4.819,8.443,0.4909,0.47,0.0497,562.0,788.0,759.0,2100.0,0.187,0.117,0.068,2.1,1.4,0.123,1.0824,0.0369,0.3141,0.5753,0.9677,0.2706,0.326,17.78,0.745,13.31,22.912,0.1959,9.21,60.11,0.139,5.09,19.75,0.949,9.71,16.73,0.1164,13.3,79.618,0.0339,0.0494,0.0696,0.0406,0.0401,0.084,0.0349,0.0718,2.4266,0.0014,0.0963,182.4956,0.0284,839.6006,0.0192,0.017,0.0062,0.004,0.0014386702556877665,1.5578309857521544,3.674240232570522,0.1729,0.0273,4.1446,0.06577574025946845,0.4166,0.0487,29.621,3.9133,11.968320134577143,8.265886293284922,0.003,0.0037,0.0,0.0,50.6425,18.7546,109.5747,32.3594,21.3645,434.2674,151.7665,0.0,190.3869,746.915,74.0741,191.7582,250.1742,0.0,0.0,132.85278293010546,244.2748,0.1096,0.0078,0.0026,0.7942,411.136,74.654,16.16,0.85,1.1360659828338175,0.3718,267.064,0.9032,1.1,0.3614016716632033,535.0245,2.0293,11.21,0.1882,0.05339205002653147,0.04091471452291058,0.013488479918760865,82.8602,0.4958,0.0157
9,3031.78,2528.55,2182.5555,1261.0898,1.211,112.2922,0.1252,1.3485,0.0151,0.0003,0.9693,197.2941,9.8858,410.2755,10.2769,0.9752,12.5582,1.4259,-4958.0,2573.25,-4892.0,410.0,1.2685,72.4889,2.4778,83.3726,8.7512,50.2712,64.4292,66.1116,86.446,120.3942,79.55,2.586,343.9136,10.1915,139.2936,0.914,139.7864,4.513,2855.0,0.9471,4.5377,1.5745,10.3617,8.4647,18.4255,0.9591,150.1273,130.5133,468.1790335485725,0.0,-0.0053229711580266015,-0.01777975970455127,-0.015100661352094043,-0.0042444421026623935,-0.006064593746902103,0.026836140444188306,-0.018722668639327034,0.0008150773519400717,7.2233,0.1292,2.3551,0.9914,1845.2409,0.18620155554594647,9287.99270019118,-0.0383,0.0006,0.0024,-0.0001,0.0,0.0233,0.0,0.0365,-0.0102,0.0167,0.047,0.9835,100.5021,233.7235,0.460930057400419,0.9392,0.0,0.9895,59.9764,0.5970726825353854,0.9602,6.5951,15.92,1.671,2.783,3.7718943614816487,-0.1419,1.0,2.2877,42.9394,93.0,64.7,56.6,57.6001,376.173,0.6685,2.89,0.0067,0.2181,0.0814,0.0443,4.3099,9.008,6.663,0.1965,0.25,0.0325,423.0,374.0,3966.0,603.0,0.102,0.209,0.385,2.5,1.1,0.109,0.4433,0.1044,0.263,0.4988,0.5958,0.2314,0.373,21.43,0.623,14.26,28.84,0.0824,5.66,22.068,0.278,15.55,22.7,0.38,28.22,13.15,0.169,5.1,19.501,0.07000337827401731,0.057538338800379195,0.0477395186029943,0.0656010774444034,0.09730316342282769,0.07599423816084988,0.08326267406163845,0.06733697118377907,3.4599,0.0022,0.075,122.7334,0.051261442968114496,1112.5197138818528,0.0064,0.0159,0.0047,0.0058,0.002,3.9239,4.1804,0.05291847851828446,0.0319,2.4154,0.03237686416181626,0.4422,0.112,24.5,4.5432,5.133105387495796,2.5202482805620843,0.0022,0.0029,538.4043,0.0,91.1204,81.0711,147.0732,15.4796,901.451767623718,328.46651824573036,196.7818487441814,193.25770366648183,194.6662007694798,300.67511748468644,223.67090221681298,352.1843797736022,275.74432149459204,0.0,657.3643,46.022,0.0,0.1117,0.0074,0.0022,1.3389,401.206,73.578,21.4,1.17,1.0227,0.3072,264.272,0.5671,4.98,0.0877,537.9264,2.1814,5.48,0.3891,0.0235,0.0275,0.0098,117.0945,0.5025,0.0138
