,feature_124,feature_299,feature_148,feature_435,feature_349,feature_332,feature_461,feature_164,feature_206,feature_442,feature_22,feature_60,feature_66,feature_118,feature_478,feature_133,feature_34,feature_342,feature_65
0,15.83,0.0595,0.017300000000000003,9.9805,0.023699999999999995,0.07909999999999999,14.7554,0.128,9.22,0.9639,-4750.75,0.6991000000000006,23.2216,59.266200000000005,6.0266,2.3766,8.6915,2.6547,19.3009
1,15.749999999999998,0.0662,0.014,12.5349,0.0272,0.1071,12.157,0.157,7.31,0.8427,-5410.75,-1.4173,27.2716,58.7063,4.821799999999999,2.3805,8.3006,2.0989,21.4173
2,15.69,0.0519,0.0189,12.8413,0.0163,0.0852,21.1169,0.127,8.8,0.9192999999999999,-6456.75,10.235500000000004,14.7061,55.8504,6.1589,2.3244,8.7418,2.5012,9.7645
3,15.81,0.0635,0.0267,10.5202,0.03,0.0985,41.7748,0.135,7.77,0.7158,-5775.0,9.851800000000003,36.07909999999999,58.283100000000005,5.0611999999999995,2.3725,8.6829,2.4328999999999996,30.1482
4,15.94,0.0505,0.0106,11.1054,0.0243,0.0817,23.1457,0.108,11.06,1.1255,-6900.5,1.0335999999999999,24.3057,58.026199999999996,7.4828,2.3401,8.5891,3.2653,18.9664
5,15.86,0.0242,0.0069,4.3896,0.020500000000000004,0.0318,37.3638,0.056,6.26,0.4782,-5546.0,3.680899999999999,19.1189,60.9507,4.1813,2.2797,9.0744,2.2442,16.3191
6,15.79,0.0655,0.025100000000000008,11.5102,0.0245,0.07520000000000002,31.3174,0.149,8.8,0.656,-5408.75,2.810899999999999,22.2064,58.90760000000001,5.9339,2.2864,8.9132,2.5551,17.1891
7,15.69,0.0867,0.0189,14.685199999999998,0.0174,0.0863,23.5649,0.193,5.24,0.9319999999999999,-5095.0,1.5035999999999998,25.3099,58.282000000000004,3.5465999999999998,2.3080999999999996,8.3383,2.0186,18.4964
8,15.94,0.08,0.022100000000000005,14.2503,0.0105,0.0243,32.3594,0.187,13.300000000000002,1.2771,-5447.75,23.824500000000004,24.2829,58.48080000000001,9.1221,2.2592,8.659,3.7663,16.1755
9,15.909999999999998,0.0449,0.0132,8.041,0.02088,0.0975,15.4796,0.102,5.1,0.5317,-4958.0,1.5745000000000013,21.0974,59.9764,3.3971,2.2877,8.7512,1.6033000000000002,18.4255
10,15.98,0.10989999999999998,0.0144,18.972,0.033900000000000007,0.0824,13.0192,0.251,6.99,0.565,-5345.25,2.9282,23.905,55.9011,4.735299999999999,2.212,9.534,2.4674,17.0718
11,15.97,0.1141,0.021400000000000002,19.7531,0.0172,0.08070000000000001,27.4194,0.248,7.32,0.9361,-5192.5,5.4990999999999985,17.5983,56.4388,5.2686,2.2773,8.5288,2.3932999999999995,14.500899999999998
12,15.73,0.0266,0.024100000000000003,5.9122,0.0198,0.036800000000000006,33.2053,0.064,9.69,0.9174999999999999,-6623.75,-2.5027,32.7483,56.3776,6.8676,2.2959,8.1605,3.1731,22.5027
13,15.98,0.0486,0.0092,8.9372,0.0116,0.0929,30.5482,0.115,10.32,0.7316,-5416.0,0.3400000000000009,22.3647,59.0911,7.0359,2.3322999999999996,8.8043,3.2261,19.66
14,15.84,0.0607,0.008,10.058300000000001,0.0225,0.0311,24.061800000000005,0.138,10.11,0.8531999999999998,-5187.25,4.1690999999999985,22.3694,59.67929999999999,6.8145999999999995,2.2673999999999994,8.7556,3.0013,15.830900000000002
15,15.81,0.0585,0.0159,9.635800000000001,0.0236,0.0892,55.391,0.125,4.12,0.7032,-5153.75,-3.740000000000002,29.1429,56.778400000000005,2.7876,2.2564,8.5571,1.547,23.74
16,15.89,0.0536,0.0096,8.919,0.0148,0.0909,44.9213,0.112,9.256285640024425,0.7139,-5334.75,2.2763599999999964,24.68546,59.095800000000004,6.3422069272196495,2.2784,9.131,2.7174918012848814,17.72364
17,15.8,0.0868,0.026200000000000008,14.1928,0.0381,0.094,20.7031,0.18,13.530000000000001,0.8222,-5410.5,1.9481999999999986,44.9459616831798,57.49009999999999,9.1675,2.3735000000000004,8.5687,3.8318,34.666002787332104
18,16.1,0.0359,0.0055,5.9052,0.0253,0.1011,25.4407,0.076,4.95,0.6144,-5233.75,8.145499999999998,15.0471,55.30217167498311,3.4324,2.1911,8.7187,1.5118000000000003,11.8545
19,15.61,0.13750336952302658,0.0286,38.235678500851506,0.0184,0.0622,14.845300000000002,0.3021990244762846,14.740000000000002,0.9383,-4159.573159036706,4.955499999999999,22.1659,58.7458,9.9444,2.3499,8.441,4.0309,15.0445
20,15.909999999999998,0.0565,0.026200000000000008,13.8036,0.014000000000000002,0.0968,26.161,0.136,9.02,0.5593,-6363.000000000001,9.1882,37.258,59.8003,5.9269,2.2928,9.5642,2.903,30.8118
21,15.7,0.0166,0.0203,2.7860999999999994,0.0162,0.0954,16.8406,0.035,14.91,0.5836,-6257.5,2.285499999999999,21.7095,59.54270000000001,10.1458,2.3146,8.6706,4.8332,17.7145
22,15.81,0.0488,0.0102,9.2987,0.0229,0.0929,28.8304,0.118,11.180000000000001,0.78,-5607.25,0.6191000000000005,23.1287,58.483700000000006,7.5571,2.3386,8.7867,3.4031999999999996,19.3809
23,15.749999999999998,0.071,0.0157,13.1301,0.0209,0.1043,21.7993,0.16799999999999998,4.95,0.6373,-5720.25,-3.750899999999999,30.7593,59.3419,3.369,2.272,8.8581,1.5594,23.7509
24,15.8,0.045,0.0088,8.2562,0.0154,0.085,36.519,0.10700000000000001,7.04,0.7655,-5122.5,4.9118,19.2834,57.1869,4.870699999999999,2.2802,8.8624,2.5103,15.0882
25,15.87,0.0601,0.0223,9.9237,0.0241,0.0883,31.398699999999998,0.13,8.33,0.9964999999999999,-5434.0,0.1199999999999987,27.2876,58.6908,5.817000000000001,2.3121999999999994,8.6397,2.9003,19.88
26,15.99,0.053,0.025700000000000004,13.2642,0.044500000000000005,0.0848,66.37576594608113,0.128,5.14,0.7928,-6349.750000000001,1.8173000000000004,24.3905,59.420300000000005,3.4949,2.2728,9.5713,1.9383,18.1827
27,15.920000000000002,0.0643,0.0112,10.9953,0.0245,0.0911,19.1756,0.145,6.01,0.7233,-5419.75,2.792699999999999,21.2465,58.36010000000001,3.9522,2.2474,8.2345,1.8276000000000001,17.2073
28,15.89,0.0339,0.024600000000000004,8.6069,0.0177,0.0778,23.6929,0.078,13.41,0.6667,-6154.0,2.110899999999999,26.2754,58.823,8.8016,2.3216,9.1502,4.1816,17.8891
29,15.88,0.1043,0.008,16.4288,0.0199,0.0842,32.6596,0.213,5.5,0.6641,-5341.25,-4.4109,29.809,59.4322,3.706,2.4241,8.6544,1.7378,24.4109
30,15.77,0.0254,0.0189,4.7491,0.03730000000000001,0.0224,53.5488,0.062,10.22,0.7584,-5474.25,8.9136,41.2374,59.0911,7.1799,2.3684,10.237029652516307,2.9373,31.086399999999998
31,15.98,0.0587,0.0059,14.5455,0.0278,0.0652,33.3826,0.142,9.35,1.1255,-6305.25,-2.076399999999999,30.4914,59.0644,6.11,2.2937,8.5891,2.9181000000000004,22.0764
32,15.86,0.0286,0.0163,4.7256,0.0273,0.0875,56.318,0.062,8.84,1.0541,-5639.75,0.5518000000000012,22.9635,55.43999999999999,6.0246,2.2757,8.287,2.476,19.4482
